pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
282332,9.79,5.570588235294117,11.774999999999999,,20.0,17.0,12.0,,8.812244897959182,49,,11.1,-36.8,33.6,,
425794,10.626923076923076,11.752083333333331,6.236842105263157,,52.0,48.0,19.0,,10.379831932773108,119,,2.4,13.2,-39.9,,
425844,12.804545454545453,10.612727272727271,11.977272727272727,,66.0,55.0,22.0,,11.834265734265733,143,,8.2,-10.3,1.2,,
430935,10.58076923076923,11.631999999999998,12.699999999999998,,26.0,25.0,6.0,,11.264912280701752,57,,-6.1,3.3,12.7,,
433587,6.633333333333332,6.156249999999998,6.4571428571428555,,18.0,16.0,7.0,,6.417073170731706,41,,3.4,-4.1,0.6,,
434378,17.55909090909091,14.277499999999998,16.688235294117646,,66.0,80.0,17.0,,15.85766871165644,163,,10.7,-10.0,5.2,,
434671,10.669565217391304,11.806451612903224,13.763636363636362,,23.0,31.0,11.0,,11.735384615384614,65,,-9.1,0.6,17.3,,
446372,15.047058823529412,10.90681818181818,4.707692307692307,,34.0,44.0,13.0,,11.568131868131866,91,,30.1,-5.7,-59.3,,
448179,9.617391304347825,9.366666666666665,10.703999999999999,,46.0,45.0,25.0,,9.754310344827584,116,,-1.4,-4.0,9.7,,
448306,10.96470588235294,10.183333333333332,4.966666666666666,,17.0,12.0,3.0,,10.109374999999998,32,,8.5,0.7,-50.9,,
450203,12.47142857142857,12.134343434343432,11.6,,70.0,99.0,38.0,,12.150241545893717,207,,2.6,-0.1,-4.5,,
450306,5.983333333333332,12.28,10.408333333333333,15.5,24.0,10.0,12.0,1.0,8.655319148936169,47,79.1,-30.9,41.9,20.3,,
452657,7.172499999999998,9.609090909090908,12.171428571428569,11.599999999999998,40.0,33.0,14.0,1.0,8.93181818181818,88,29.9,-19.7,7.6,36.3,,
453281,12.335294117647058,7.430769230769229,4.436363636363635,,17.0,13.0,11.0,,8.660975609756097,41,,42.4,-14.2,-48.8,,
453286,18.31830985915493,16.316417910447758,13.233333333333333,,71.0,67.0,21.0,,16.80314465408805,159,,9.0,-2.9,-21.2,"Scherzer, Max",169.0
453385,4.429411764705882,8.908333333333331,5.249999999999999,,17.0,12.0,6.0,,6.105714285714285,35,,-27.5,45.9,-14.0,,
453562,6.339393939393938,7.5612903225806445,5.858333333333332,,33.0,31.0,12.0,,6.761842105263156,76,,-6.2,11.8,-13.4,,
456034,8.745833333333332,11.0125,13.610526315789471,21.799999999999997,24.0,16.0,19.0,1.0,11.10833333333333,60,96.2,-21.3,-0.9,22.5,,
456501,13.030434782608696,4.830434782608695,11.01111111111111,,23.0,23.0,18.0,,9.515624999999998,64,,36.9,-49.2,15.7,,
456701,7.47391304347826,5.6099999999999985,16.266666666666666,,23.0,20.0,6.0,,7.7897959183673455,49,,-4.1,-28.0,108.8,,
457918,7.55,12.745161290322578,10.373684210526314,,38.0,31.0,19.0,,9.989772727272726,88,,-24.4,27.6,3.8,,
458681,11.378461538461536,10.934848484848484,15.013793103448275,,65.0,66.0,29.0,,11.854375,160,,-4.0,-7.8,26.7,,
461829,8.514999999999999,10.710526315789473,7.937499999999999,,20.0,19.0,8.0,,9.304255319148934,47,,-8.5,15.1,-14.7,,
462136,7.876923076923076,6.649999999999999,3.4999999999999987,,13.0,12.0,6.0,,6.554838709677418,31,,20.2,1.5,-46.6,,
467100,7.942857142857142,6.838095238095237,11.639999999999999,4.9,28.0,21.0,10.0,2.0,8.068852459016393,61,-39.3,-1.6,-15.3,44.3,,
468504,8.765624999999998,8.999999999999998,12.333333333333334,,32.0,19.0,6.0,,9.219298245614032,57,,-4.9,-2.4,33.8,,
471911,10.903571428571427,8.866666666666665,7.277272727272726,,56.0,48.0,22.0,,9.494444444444444,126,,14.8,-6.6,-23.4,,
474463,4.887499999999998,8.09705882352941,8.872222222222222,2.3,16.0,34.0,18.0,1.0,7.471014492753621,69,-69.2,-34.6,8.4,18.8,,
477132,16.155263157894737,13.216666666666665,14.240740740740739,18.5,38.0,78.0,27.0,1.0,14.220833333333331,144,30.1,13.6,-7.1,0.1,,
488768,8.508333333333331,0.45454545454545325,10.257142857142854,,24.0,11.0,14.0,,7.1999999999999975,49,,18.2,-93.7,42.5,,
489119,10.759459459459459,9.616,9.122222222222222,,37.0,50.0,18.0,,9.934285714285714,105,,8.3,-3.2,-8.2,,
500779,9.556451612903224,10.657894736842104,10.135714285714284,,62.0,76.0,28.0,,10.158433734939758,166,,-5.9,4.9,-0.2,"Quintana, Jose",166.0
501381,9.729999999999999,10.547058823529412,8.694444444444443,,20.0,17.0,18.0,,9.643636363636363,55,,0.9,9.4,-9.8,,
501985,10.875675675675673,11.618749999999999,9.188888888888888,,37.0,48.0,18.0,,10.927184466019416,103,,-0.5,6.3,-15.9,,
502042,7.762499999999999,11.278571428571427,7.3999999999999995,,32.0,28.0,16.0,,8.981578947368419,76,,-13.6,25.6,-17.6,,
502043,11.359999999999998,9.682278481012656,10.240624999999998,2.3,70.0,79.0,32.0,1.0,10.385164835164833,182,-77.9,9.4,-6.8,-1.4,,
502171,8.45,11.432352941176468,10.026666666666666,13.399999999999999,36.0,34.0,30.0,1.0,9.97128712871287,101,34.4,-15.3,14.7,0.6,,
502179,5.344444444444443,9.629999999999999,8.524999999999999,,18.0,10.0,8.0,,7.241666666666666,36,,-26.2,33.0,17.7,,
502188,11.311764705882352,8.976470588235294,8.533333333333333,,17.0,17.0,6.0,,9.9025,40,,14.2,-9.4,-13.8,,
502190,9.42258064516129,8.444999999999999,8.41,,31.0,20.0,10.0,,8.93606557377049,61,,5.4,-5.5,-5.9,,
502239,6.308333333333333,13.249999999999998,3.9499999999999993,,12.0,14.0,10.0,,8.352777777777776,36,,-24.5,58.6,-52.7,,
502624,7.699999999999998,8.382857142857143,8.963636363636363,,39.0,35.0,11.0,,8.144705882352941,85,,-5.5,2.9,10.1,,
502706,9.987499999999999,11.774999999999999,7.349999999999998,,16.0,12.0,8.0,,9.997222222222222,36,,-0.1,17.8,-26.5,,
506433,11.6537037037037,15.008196721311474,14.332258064516127,,54.0,61.0,31.0,,13.623972602739723,146,,-14.5,10.2,5.2,,
518516,11.33035714285714,9.078378378378376,9.629411764705882,,56.0,37.0,17.0,,10.309999999999999,110,,9.9,-11.9,-6.6,,
518633,10.652173913043477,11.33076923076923,7.549999999999999,-2.6000000000000014,23.0,26.0,10.0,1.0,10.208333333333332,60,-125.5,4.3,11.0,-26.0,,
