name,team,own,per_start,src,rp3_rank,inj,mlbam
Robbie Ray,SD,73.2,9.68,rp3_dd,151,,
Kyle Bradish,Bal,65.5,11.44,rp3_dd,67,,
Emerson Hancock,Sea,65.0,10.85,rp3_dd,87,,
Michael Wacha,KC,61.0,10.59,rp3_dd,95,,
Carlos Rodon,NYY,60.1,11.39,rp3_dd,69,,
Matthew Boyd,ChC,52.7,9.48,rp3_dd,167,,
Nick Pivetta,SD,49.8,12.6,rp3_dd,37,SIXTY_DAY_DL,
Luis Castillo,ChW,47.0,11.25,rp3_dd,78,,
Cole Ragans,KC,45.3,11.81,rp3_dd,54,SIXTY_DAY_DL,
Aaron Nola,Phi,43.0,11.98,rp3_dd,52,,
Spencer Strider,Atl,41.4,11.37,rp3_dd,70,SIXTY_DAY_DL,
Michael Soroka,Ari,41.3,9.51,rp3_dd,164,FIFTEEN_DAY_DL,
Brandon Woodruff,Mil,41.3,12.93,rp3_dd,30,SIXTY_DAY_DL,
Andrew Abbott,Cin,40.8,10.2,rp3_dd,116,,
Bryce Miller,Sea,39.5,12.54,rp3_dd,38,,
Emmet Sheehan,LAD,39.1,12.39,rp3_dd,43,,
Will Warren,NYY,36.1,9.86,rp3_dd,134,,
Davis Martin,ChW,33.2,9.37,rp3_dd,175,FIFTEEN_DAY_DL,
Zac Gallen,Ari,33.1,8.02,rp3_dd,274,SIXTY_DAY_DL,
Ryan Weathers,NYY,32.9,10.72,rp3_dd,91,FIFTEEN_DAY_DL,
Roki Sasaki,LAD,31.1,11.56,rp3_dd,62,,
Ryan Pepiot,TB,30.4,9.85,talent_prior,135,SIXTY_DAY_DL,
Jack Flaherty,Det,30.0,11.02,rp3_dd,82,FIFTEEN_DAY_DL,
Jake Bennett,Bos,26.0,10.68,rp3_dd,94,,
Hunter Greene,Cin,25.3,12.5,rp3_dd,40,SIXTY_DAY_DL,
Kris Bubic,LAD,21.9,10.57,rp3_dd,96,SIXTY_DAY_DL,
Walbert Urena,LAA,21.2,12.19,rp3_dd,47,,
