board_rank,name,team,own,per_start,src,rp3_rank,inj,mlbam,k,player_id,avail,ret_source,xfp_ros,xfp_po,proj_ros_starts_vol,ros_starts,po_frac,xfp_ros_v2,xfp_po_v2,vol_src,audit_flag
1,Bryce Miller,Sea,39.5,12.54,rp3_dd,38,,,bryce miller,4654313,2026-08-24,heuristic,74.6,45.1,5.4,5.4,0.9714285714285714,67.7,65.8,vol,
2,Aaron Nola,Phi,43.0,11.98,rp3_dd,52,,,aaron nola,33709,2026-08-24,heuristic,71.3,43.1,5.4,5.4,0.9714285714285714,64.7,62.9,vol,
3,Tyler Wells,TB,2.4,10.41,talent_prior,103,,,tyler wells,4717904,2026-08-24,heuristic,61.9,37.5,,5.949999999999999,0.9714285714285714,61.9,60.1,flat,
4,Nestor Cortes,Phi,0.1,10.14,talent_prior,120,,,nestor cortes,36480,2026-08-24,heuristic,60.3,36.5,,5.949999999999999,0.9714285714285714,60.3,58.6,flat,"STALE-HEALTH: On live MLB rehab assignment (Clearwater, A-ball) as of 8/19 - actually hurt, board shows healthy"
5,Tyler Mahle,Atl,17.7,11.11,rp3_dd,80,,,tyler mahle,34973,2026-08-24,heuristic,66.1,40.0,5.4,5.4,0.9714285714285714,60.0,58.3,vol,
6,Michael Wacha,KC,61.0,10.59,rp3_dd,95,,,michael wacha,32640,2026-08-24,heuristic,63.0,38.1,5.6,5.6,0.9714285714285714,59.3,57.6,vol,
7,Clayton Kershaw,FA,0.1,9.94,talent_prior,128,,,clayton kershaw,28963,2026-08-24,heuristic,59.1,35.8,,5.949999999999999,0.9714285714285714,59.1,57.4,flat,
8,Emerson Hancock,Sea,65.0,10.85,rp3_dd,87,,,emerson hancock,4297897,2026-08-24,heuristic,64.6,39.1,5.4,5.4,0.9714285714285714,58.6,56.9,vol,
9,Luis Castillo,ChW,47.0,11.25,rp3_dd,78,,,luis castillo,35124,2026-08-24,heuristic,66.9,40.5,5.2,5.2,0.9714285714285714,58.5,56.8,vol,
10,Andrew Abbott,Cin,40.8,10.2,rp3_dd,116,,,andrew abbott,4414528,2026-08-24,heuristic,60.7,36.7,5.5,5.5,0.9714285714285714,56.1,54.5,vol,
11,Walbert Urena,LAA,21.2,12.19,rp3_dd,47,,,walbert urena,5197476,2026-08-24,heuristic,72.5,43.9,4.6,4.6,0.9714285714285714,56.1,54.5,vol,
12,Julio Urias,FA,0.0,9.4,talent_prior,174,,,julio urias,33223,2026-08-24,heuristic,55.9,33.8,,5.949999999999999,0.9714285714285714,55.9,54.3,flat,
13,Carlos Rodon,NYY,60.1,11.39,rp3_dd,69,,,carlos rodon,33696,2026-08-24,heuristic,67.8,41.0,4.9,4.9,0.9714285714285714,55.8,54.2,vol,
14,Ty Madden,Det,0.4,9.35,rp3_dd,179,,,ty madden,4414347,2026-08-24,heuristic,55.6,33.7,,5.949999999999999,0.9714285714285714,55.6,54.0,flat,
15,Dean Kremer,Min,3.5,10.48,rp3_dd,98,,,dean kremer,38295,2026-08-24,heuristic,62.4,37.7,5.3,5.3,0.9714285714285714,55.5,53.9,vol,
16,Wade Miley,FA,0.0,9.16,talent_prior,192,,,wade miley,31094,2026-08-24,heuristic,54.5,33.0,,5.949999999999999,0.9714285714285714,54.5,52.9,flat,
17,Eduardo Rivera,Bos,0.0,9.1,rp3_dd,195,,,eduardo rivera,5265014,2026-08-24,heuristic,54.1,32.8,,5.949999999999999,0.9714285714285714,54.1,52.6,flat,
18,Ryan Bergert,KC,0.0,9.08,talent_prior,196,,,ryan bergert,5196249,2026-08-24,heuristic,54.0,32.7,,5.949999999999999,0.9714285714285714,54.0,52.5,flat,
19,Brady Singer,Cin,8.4,9.91,rp3_dd,133,,,brady singer,41172,2026-08-24,heuristic,59.0,35.7,5.4,5.4,0.9714285714285714,53.5,52.0,vol,
20,J.P. France,Hou,0.0,8.81,talent_prior,215,,,jp france,3662290,2026-08-24,heuristic,52.4,31.7,,5.949999999999999,0.9714285714285714,52.4,50.9,flat,
21,Sean Manaea,NYM,9.8,10.47,rp3_dd,99,,,sean manaea,33244,2026-08-24,heuristic,62.3,37.7,5.0,5.0,0.9714285714285714,52.4,50.9,vol,
22,Roki Sasaki,LAD,31.1,11.56,rp3_dd,62,,,roki sasaki,5134638,2026-08-24,heuristic,68.8,41.6,4.5,4.5,0.9714285714285714,52.0,50.5,vol,
23,Kyle Gibson,FA,0.0,8.71,talent_prior,219,,,kyle gibson,31053,2026-08-24,heuristic,51.8,31.4,,5.949999999999999,0.9714285714285714,51.8,50.3,flat,
24,Christian Scott,NYM,10.8,11.0,rp3_dd,83,,,christian scott,4414215,2026-08-24,heuristic,65.4,39.6,4.7,4.7,0.9714285714285714,51.7,50.2,vol,
25,Kyle Bradish,Bal,65.5,11.44,rp3_dd,67,,,kyle bradish,4311625,2026-08-24,heuristic,68.1,41.2,4.5,4.5,0.9714285714285714,51.5,50.0,vol,
26,J.T. Ginn,Oak,16.4,9.83,rp3_dd,138,,,jt ginn,4414002,2026-08-24,heuristic,58.5,35.4,5.2,5.2,0.9714285714285714,51.1,49.6,vol,
27,Matthew Boyd,ChC,52.7,9.48,rp3_dd,167,,,matthew boyd,34401,2026-08-24,heuristic,56.4,34.1,5.3,5.3,0.9714285714285714,50.2,48.8,vol,
28,Landen Roupp,SF,20.6,9.96,rp3_dd,127,,,landen roupp,4345404,2026-08-24,heuristic,59.3,35.9,5.0,5.0,0.9714285714285714,49.8,48.4,vol,
29,Keider Montero,Det,16.6,9.72,rp3_dd,145,,,keider montero,5182933,2026-08-24,heuristic,57.8,35.0,5.1,5.1,0.9714285714285714,49.6,48.2,vol,
30,Grant Holmes,Atl,10.7,9.93,rp3_dd,131,,,grant holmes,33840,2026-08-24,heuristic,59.1,35.7,5.0,5.0,0.9714285714285714,49.6,48.2,vol,
31,Robbie Ray,SD,73.2,9.68,rp3_dd,151,,,robbie ray,32175,2026-08-24,heuristic,57.6,34.8,5.1,5.1,0.9714285714285714,49.4,48.0,vol,
32,Ben Lively,Cle,0.0,8.3,talent_prior,253,,,ben lively,33194,2026-08-24,heuristic,49.4,29.9,,5.949999999999999,0.9714285714285714,49.4,48.0,flat,
33,Bubba Chandler,Pit,20.9,10.7,rp3_dd,93,,,bubba chandler,4683325,2026-08-24,heuristic,63.7,38.5,4.6,4.6,0.9714285714285714,49.2,47.8,vol,
34,Jake Bennett,Bos,26.0,10.68,rp3_dd,94,,,jake bennett,4654024,2026-08-24,heuristic,63.5,38.4,4.6,4.6,0.9714285714285714,49.1,47.7,vol,
35,Drew Anderson,Det,0.9,10.86,rp3_dd,86,,,drew anderson,41125,2026-08-24,heuristic,64.6,39.1,4.5,4.5,0.9714285714285714,48.9,47.5,vol,
36,AJ Smith-Shawver,Atl,2.1,8.2,rp3_dd,259,,,aj smith shawver,4917640,2026-08-24,heuristic,48.8,29.5,,5.949999999999999,0.9714285714285714,48.8,47.4,flat,
37,Jake Irvin,Wsh,0.7,9.14,rp3_dd,193,,,jake irvin,41290,2026-08-24,heuristic,54.4,32.9,5.3,5.3,0.9714285714285714,48.4,47.0,vol,
38,Will Warren,NYY,36.1,9.86,rp3_dd,134,,,will warren,5132011,2026-08-24,heuristic,58.7,35.5,4.9,4.9,0.9714285714285714,48.3,46.9,vol,
39,Dustin May,Mil,15.8,10.45,rp3_dd,102,,,dustin may,40937,2026-08-24,heuristic,62.2,37.6,4.6,4.6,0.9714285714285714,48.1,46.7,vol,
40,Lance Lynn,FA,0.0,7.98,talent_prior,278,,,lance lynn,30820,2026-08-24,heuristic,47.5,28.7,,5.949999999999999,0.9714285714285714,47.5,46.1,flat,
41,Gavin Stone,LAD,0.2,10.35,talent_prior,109,SIXTY_DAY_DL,,gavin stone,4417230,2026-09-01,explicit,47.5,29.6,,4.59,1.0,47.5,47.5,flat,
42,Bailey Ober,Min,15.6,8.61,rp3_dd,226,,,bailey ober,3107919,2026-08-24,heuristic,51.2,31.0,5.5,5.5,0.9714285714285714,47.4,46.0,vol,
43,Tyler Anderson,LAA,0.1,7.79,talent_prior,284,,,tyler anderson,32151,2026-08-24,heuristic,46.4,28.0,,5.949999999999999,0.9714285714285714,46.4,45.1,flat,
44,Shane Drohan,Mil,8.7,11.05,rp3_dd,81,,,shane drohan,4315203,2026-08-24,heuristic,65.7,39.8,4.2,4.2,0.9714285714285714,46.4,45.1,vol,
45,Walker Buehler,SD,10.5,8.93,rp3_dd,204,,,walker buehler,39251,2026-08-24,heuristic,53.1,32.1,5.2,5.2,0.9714285714285714,46.4,45.1,vol,
46,Jordan Montgomery,Tex,0.1,7.78,talent_prior,288,,,jordan montgomery,38173,2026-08-24,heuristic,46.3,28.0,,5.949999999999999,0.9714285714285714,46.3,45.0,flat,
47,Andrew Heaney,FA,0.0,7.78,talent_prior,287,,,andrew heaney,32672,2026-08-24,heuristic,46.3,28.0,,5.949999999999999,0.9714285714285714,46.3,45.0,flat,
48,Matt Wilkinson,SF,0.3,7.78,rp3_dd,289,,,matt wilkinson,5339226,2026-08-24,heuristic,46.3,28.0,,5.949999999999999,0.9714285714285714,46.3,45.0,flat,
49,Jacob Lopez,Oak,10.0,9.58,rp3_dd,158,,,jacob lopez,42239,2026-08-24,heuristic,57.0,34.5,4.7,4.7,0.9714285714285714,45.0,43.7,vol,
50,Charlie Morton,FA,0.1,7.53,talent_prior,301,,,charlie morton,29155,2026-08-24,heuristic,44.8,27.1,,5.949999999999999,0.9714285714285714,44.8,43.5,flat,
51,Cal Quantrill,Tex,16.7,8.53,rp3_dd,228,,,cal quantrill,39875,2026-08-24,heuristic,50.8,30.7,5.2,5.2,0.9714285714285714,44.4,43.1,vol,
52,Matthew Liberatore,StL,4.3,9.8,rp3_dd,139,,,matthew liberatore,41173,2026-08-24,heuristic,58.3,35.3,4.5,4.5,0.9714285714285714,44.1,42.8,vol,
53,Joey Estes,Oak,0.0,7.37,talent_prior,305,,,joey estes,4917636,2026-08-24,heuristic,43.9,26.5,,5.949999999999999,0.9714285714285714,43.9,42.6,flat,
54,Grayson Rodriguez,LAA,2.4,9.72,rp3_dd,148,,,grayson rodriguez,41196,2026-08-24,heuristic,57.8,35.0,4.5,4.5,0.9714285714285714,43.7,42.5,vol,
55,Marcus Stroman,FA,0.1,7.33,talent_prior,308,,,marcus stroman,32815,2026-08-24,heuristic,43.6,26.4,,5.949999999999999,0.9714285714285714,43.6,42.4,flat,
56,Blade Tidwell,SF,0.8,9.6,rp3_dd,156,,,blade tidwell,4719088,2026-08-24,heuristic,57.1,34.6,4.5,4.5,0.9714285714285714,43.2,42.0,vol,
57,Connor Prielipp,Min,1.7,10.24,rp3_dd,113,,,connor prielipp,4620001,2026-08-24,heuristic,60.9,36.9,4.2,4.2,0.9714285714285714,43.0,41.8,vol,
58,David Peterson,ChC,5.9,9.42,rp3_dd,172,,,david peterson,40921,2026-08-24,heuristic,56.0,33.9,4.5,4.5,0.9714285714285714,42.4,41.2,vol,
59,Anthony Kay,ChW,6.9,9.37,rp3_dd,176,,,anthony kay,40947,2026-08-24,heuristic,55.8,33.7,4.5,4.5,0.9714285714285714,42.2,41.0,vol,
60,Martin Perez,Atl,9.2,8.11,rp3_dd,264,,,martin perez,31098,2026-08-24,heuristic,48.3,29.2,5.2,5.2,0.9714285714285714,42.2,41.0,vol,
61,Cole Irvin,LAD,0.0,7.08,talent_prior,321,,,cole irvin,39869,2026-08-24,heuristic,42.1,25.5,,5.949999999999999,0.9714285714285714,42.1,40.9,flat,
62,Patrick Sandoval,Bos,2.1,8.85,rp3_dd,211,,,patrick sandoval,40975,2026-08-24,heuristic,52.7,31.9,4.7,4.7,0.9714285714285714,41.6,40.4,vol,
63,Cody Bradford,Tex,2.3,9.44,rp3_dd,170,,,cody bradford,4142539,2026-08-24,heuristic,56.2,34.0,4.4,4.4,0.9714285714285714,41.5,40.3,vol,
64,Logan Allen,Cle,0.2,6.92,talent_prior,327,,,logan allen,4683350,2026-08-24,heuristic,41.2,24.9,,5.949999999999999,0.9714285714285714,41.2,40.0,flat,
65,Kyle Hendricks,FA,0.0,6.9,talent_prior,328,,,kyle hendricks,33173,2026-08-24,heuristic,41.1,24.8,,5.949999999999999,0.9714285714285714,41.1,39.9,flat,
66,Brandon Young,Bal,15.5,8.36,rp3_dd,246,,,brandon young,4414339,2026-08-24,heuristic,49.7,30.1,4.9,4.9,0.9714285714285714,41.0,39.8,vol,
67,Emmet Sheehan,LAD,39.1,12.39,rp3_dd,43,,,emmet sheehan,4417806,2026-08-24,heuristic,73.7,44.6,3.3,3.3,0.9714285714285714,40.9,39.7,vol,DEMOTED: Optioned to AAA (Oklahoma City) 8/21 - not on active MLB roster
68,Ryan Gusto,Mia,0.4,9.25,rp3_dd,183,,,ryan gusto,5131986,2026-08-24,heuristic,55.0,33.3,4.4,4.4,0.9714285714285714,40.7,39.5,vol,
69,Cooper Criswell,Sea,0.1,7.68,talent_prior,296,SIXTY_DAY_DL,,cooper criswell,4326801,2026-08-28,explicit,40.5,25.2,,5.27,1.0,40.5,40.5,flat,
70,Andrew Alvarez,Wsh,2.6,9.06,rp3_dd,197,,,andrew alvarez,4300668,2026-08-24,heuristic,53.9,32.6,4.4,4.4,0.9714285714285714,39.9,38.8,vol,
71,Robert Gasser,Mil,3.5,9.49,rp3_dd,165,,,robert gasser,4918251,2026-08-24,heuristic,56.5,34.2,4.2,4.2,0.9714285714285714,39.9,38.8,vol,
72,Hayden Wesneski,Hou,4.8,8.84,rp3_dd,213,,,hayden wesneski,42996,2026-08-24,heuristic,52.6,31.8,4.5,4.5,0.9714285714285714,39.8,38.7,vol,
73,Andrew Painter,Phi,8.7,9.25,rp3_dd,182,,,andrew painter,4872683,2026-08-24,heuristic,55.0,33.3,4.3,4.3,0.9714285714285714,39.8,38.7,vol,
74,Randy Vasquez,SD,13.1,8.24,rp3_dd,256,,,randy vasquez,4722847,2026-08-24,heuristic,49.0,29.7,4.8,4.8,0.9714285714285714,39.6,38.5,vol,
75,Trevor Williams,Wsh,0.1,6.6,talent_prior,338,,,trevor williams,33305,2026-08-24,heuristic,39.3,23.8,,5.949999999999999,0.9714285714285714,39.3,38.2,flat,
76,Zebby Matthews,Min,8.4,8.93,rp3_dd,206,,,zebby matthews,4791597,2026-08-24,heuristic,53.1,32.1,4.4,4.4,0.9714285714285714,39.3,38.2,vol,
77,Colton Gordon,Hou,0.0,6.58,talent_prior,340,,,colton gordon,5133837,2026-08-24,heuristic,39.2,23.7,,5.949999999999999,0.9714285714285714,39.2,38.1,flat,
78,Luis Morales,Oak,0.1,6.58,rp3_dd,341,,,luis morales,5150939,2026-08-24,heuristic,39.2,23.7,,5.949999999999999,0.9714285714285714,39.2,38.1,flat,
79,Kumar Rocker,Tex,5.5,8.76,rp3_dd,217,,,kumar rocker,4414525,2026-08-24,heuristic,52.1,31.5,4.4,4.4,0.9714285714285714,38.5,37.4,vol,
80,Merrill Kelly,Ari,20.5,8.36,rp3_dd,247,,,merrill kelly,32968,2026-08-24,heuristic,49.7,30.1,4.6,4.6,0.9714285714285714,38.5,37.4,vol,
81,Michael McGreevy,StL,17.9,7.6,rp3_dd,299,,,michael mcgreevy,4424141,2026-08-24,heuristic,45.2,27.4,5.0,5.0,0.9714285714285714,38.0,36.9,vol,
82,Gabriel Hughes,Col,0.3,8.61,rp3_dd,225,,,gabriel hughes,4634930,2026-08-24,heuristic,51.2,31.0,4.4,4.4,0.9714285714285714,37.9,36.8,vol,
83,Ryan Feltner,Col,0.6,8.22,rp3_dd,257,,,ryan feltner,4019484,2026-08-24,heuristic,48.9,29.6,4.6,4.6,0.9714285714285714,37.8,36.7,vol,
