pitcher,tto1_delta_vs_overall,tto2_delta_vs_overall,tto3_delta_vs_overall,tto4_delta_vs_overall,tto1_pa,tto2_pa,tto3_pa,tto4_pa,tto1_rate,tto2_rate,tto3_rate,tto4_rate,overall_rate,total_pa,tto3_minus_tto1,player_name
112526,0.05,-0.0159,-0.0561,,244.0,217.0,156.0,,-0.38114754098360654,-0.4470046082949309,-0.48717948717948717,,-0.43111831442463533,617,-0.106,
282332,0.0676,-0.0192,-0.1019,,462.0,438.0,224.0,,-0.20995670995670995,-0.2968036529680365,-0.3794642857142857,,-0.2775800711743772,1124,-0.1695,
425794,0.0655,-0.0453,-0.0256,-0.0681,1115.0,1098.0,774.0,52.0,-0.21255605381165918,-0.3233151183970856,-0.30361757105943155,-0.34615384615384615,-0.2780519907864429,3039,-0.0911,Adam Wainwright
425844,0.0581,-0.0068,-0.0889,,1368.0,1337.0,791.0,,-0.18421052631578946,-0.24906507105459985,-0.33122629582806573,,-0.24227688787185356,3496,-0.147,Zack Greinke
429719,0.0045,-0.017,0.0265,,310.0,280.0,127.0,,-0.4,-0.42142857142857143,-0.3779527559055118,,-0.40446304044630405,717,0.022,
430935,0.0399,-0.0066,-0.0483,,528.0,509.0,366.0,,-0.19318181818181818,-0.23968565815324164,-0.2814207650273224,,-0.233071988595866,1403,-0.0882,
433587,-0.0907,0.0611,0.0556,,393.0,378.0,226.0,,-0.44274809160305345,-0.291005291005291,-0.29646017699115046,,-0.3520561685055166,997,0.1463,
433589,0.0,,,,984.0,,,,-0.2184959349593496,,,,-0.2184959349593496,984,,
434378,0.0427,0.0066,-0.0746,,1530.0,1512.0,1009.0,,-0.08496732026143791,-0.12103174603174603,-0.20218037661050545,,-0.1276228091829178,4051,-0.1172,Justin Verlander
434538,0.0668,-0.0964,-0.1216,,543.0,216.0,127.0,,-0.22099447513812154,-0.38425925925925924,-0.4094488188976378,,-0.2878103837471783,886,-0.1885,
434671,0.0845,-0.033,-0.094,,616.0,589.0,347.0,,-0.15584415584415584,-0.2733446519524618,-0.33429394812680113,,-0.24033505154639176,1552,-0.1784,Aníbal Sánchez
445213,0.0,,,,629.0,,,,-0.3068362480127186,,,,-0.3068362480127186,629,,
445276,0.0,,,,1764.0,,,,-0.1082766439909297,,,,-0.1082766439909297,1764,,Kenley Jansen
445926,0.0053,-0.0678,,,1451.0,113.0,,,-0.20124052377670573,-0.2743362831858407,,,-0.20652173913043478,1564,,Jesse Chavez
446321,0.0509,-0.1782,,,501.0,143.0,,,-0.3093812375249501,-0.5384615384615384,,,-0.36024844720496896,644,,Ross Detwiler
446372,0.0437,-0.04,-0.0121,,912.0,843.0,507.0,,-0.18092105263157895,-0.26453143534994067,-0.23668639053254437,,-0.22458001768346597,2262,-0.0558,Corey Kluber
448179,0.0751,-0.0862,0.0062,,1154.0,1041.0,486.0,,-0.17590987868284227,-0.3371757925072046,-0.2448559670781893,,-0.2510257366654233,2681,-0.0689,Rich Hill
448281,0.0,,,,662.0,,,,-0.1510574018126888,,,,-0.1510574018126888,662,,Sean Doolittle
448306,-0.0173,0.0537,-0.0424,,303.0,297.0,252.0,,-0.3201320132013201,-0.24915824915824916,-0.34523809523809523,,-0.3028169014084507,852,-0.0251,
448855,0.0411,-0.132,-0.0134,,872.0,259.0,127.0,,-0.20527522935779816,-0.3783783783783784,-0.25984251968503935,,-0.246422893481717,1258,-0.0546,
450203,0.0559,-0.0489,-0.015,,1962.0,1879.0,1185.0,,-0.11977573904179409,-0.22458754656732305,-0.19071729957805908,,-0.17568643056108238,5026,-0.0709,Charlie Morton
450306,0.0399,0.0183,-0.1289,,440.0,413.0,195.0,,-0.25681818181818183,-0.2784503631961259,-0.4256410256410256,,-0.2967557251908397,1048,-0.1688,
451584,0.0,,,,653.0,,,,-0.24196018376722817,,,,-0.24196018376722817,653,,
452657,0.0287,0.0002,-0.0462,,819.0,808.0,512.0,,-0.27472527472527475,-0.3032178217821782,-0.349609375,,-0.3034128097241702,2139,-0.0749,
453178,0.0323,-0.1935,0.0372,,999.0,191.0,126.0,,-0.21921921921921922,-0.44502617801047123,-0.21428571428571427,,-0.25151975683890576,1316,0.0049,Ian Kennedy
453265,0.0,,,,717.0,,,,-0.17433751743375175,,,,-0.17433751743375175,717,,
453268,0.0,,,,780.0,,,,-0.20512820512820512,,,,-0.20512820512820512,780,,Daniel Bard
453281,0.0161,-0.0322,0.0277,,642.0,528.0,240.0,,-0.3115264797507788,-0.35984848484848486,-0.3,,-0.3276595744680851,1410,0.0115,
453284,0.0,,,,715.0,,,,-0.23496503496503496,,,,-0.23496503496503496,715,,
453286,0.0474,-0.0121,-0.0583,0.0518,1531.0,1479.0,989.0,58.0,-0.056172436316133244,-0.11561866125760649,-0.16177957532861476,-0.05172413793103448,-0.10352477199901405,4057,-0.1056,Max Scherzer
453329,0.0952,-0.0848,-0.0203,,252.0,251.0,134.0,,-0.19047619047619047,-0.3705179282868526,-0.30597014925373134,,-0.2857142857142857,637,-0.1155,
453343,0.0,,,,968.0,,,,-0.2190082644628099,,,,-0.2190082644628099,968,,Mark Melancon
453385,0.0726,-0.0382,-0.0552,,332.0,320.0,215.0,,-0.286144578313253,-0.396875,-0.413953488372093,,-0.35870818915801617,867,-0.1278,
453562,0.0401,-0.028,-0.0243,,707.0,675.0,389.0,,-0.28005657708628007,-0.34814814814814815,-0.3444730077120823,,-0.3201581027667984,1771,-0.0644,
455119,0.0,,,,1379.0,,,,-0.14793328498912256,,,,-0.14793328498912256,1379,,Chris Martin
456034,0.0017,-0.0061,0.0056,,868.0,508.0,282.0,,-0.21658986175115208,-0.22440944881889763,-0.2127659574468085,,-0.218335343787696,1658,0.0038,David Price
456501,-0.0095,0.0275,-0.0299,,667.0,627.0,365.0,,-0.3193403298350825,-0.2822966507177033,-0.33972602739726027,,-0.30982519590114527,1659,-0.0204,Johnny Cueto
456701,0.0214,0.0127,-0.0549,,459.0,442.0,282.0,,-0.28540305010893247,-0.29411764705882354,-0.3617021276595745,,-0.30684699915469144,1183,-0.0763,
