pitcher,pitches_std,tbf_std,bip_std,avg_velo_std,swstr_pct_std,c_plus_swstr_std,o_swing_pct_std,k_pct_std,bb_pct_std,hard_hit_pct_std,barrel_pct_std,xwoba_contact_std,pitches_last30,tbf_last30,bip_last30,avg_velo_last30,swstr_pct_last30,c_plus_swstr_last30,o_swing_pct_last30,k_pct_last30,bb_pct_last30,hard_hit_pct_last30,barrel_pct_last30,xwoba_contact_last30,pitches_prioryr,tbf_prioryr,bip_prioryr,avg_velo_prioryr,swstr_pct_prioryr,c_plus_swstr_prioryr,o_swing_pct_prioryr,k_pct_prioryr,bb_pct_prioryr,hard_hit_pct_prioryr,barrel_pct_prioryr,xwoba_contact_prioryr,z_trend_avg_velo,z_base_avg_velo,z_trend_swstr_pct,z_base_swstr_pct,z_trend_c_plus_swstr,z_base_c_plus_swstr,z_trend_o_swing_pct,z_base_o_swing_pct,z_trend_k_pct,z_base_k_pct,z_trend_bb_pct,z_base_bb_pct,z_trend_hard_hit_pct,z_base_hard_hit_pct,z_trend_barrel_pct,z_base_barrel_pct,z_trend_xwoba_contact,z_base_xwoba_contact,TREND_z,BASE_z,composite,pct_last30_avg_velo,pct_last30_swstr_pct,pct_last30_c_plus_swstr,pct_last30_o_swing_pct,pct_last30_k_pct,pct_last30_bb_pct,pct_last30_hard_hit_pct,pct_last30_barrel_pct,pct_last30_xwoba_contact,level_pct,player_name,name,xfp_rp3_per_start,xfp_rp3_per_start_sched,data_quality_tag,rp3_rank,as_of
434378,80.0,19.0,16.0,87.92000000000003,0.075,0.25,0.3488372093023256,0.05263157894736842,0.10526315789473684,0.5625,0.125,0.47550000000000003,,,,,,,,,,,,,2612.0,663.0,469.0,88.24704754601223,0.12059724349157734,0.28751914241960186,0.28125,0.2066365007541478,0.07692307692307693,0.36886993603411516,0.08102345415778252,0.3669386159081498,,-0.04448860186406477,,-1.0994765242353204,,-0.7714946179676025,,0.9207536307889724,,-1.7450581015034545,,-0.38637222899881063,,-1.661071987946047,,-0.6297816249873444,,-1.1480790784759678,,-6.56506913518964,,,,,,,,,,,,"Verlander, Justin",Justin Verlander,8.68,8.68,marcel_il,168.0,2026-06-06
445276,264.0,62.0,34.0,91.80189393939395,0.13257575757575757,0.32196969696969696,0.2537313432835821,0.3064516129032258,0.14516129032258066,0.3235294117647059,0.11764705882352941,0.41394117647058826,105.0,25.0,12.0,91.91142857142857,0.14285714285714285,0.3333333333333333,0.23214285714285715,0.36,0.16,0.3333333333333333,0.08333333333333333,0.35916666666666663,878.0,234.0,159.0,91.9353279631762,0.14236902050113895,0.28018223234624146,0.28763440860215056,0.24358974358974358,0.07264957264957266,0.44025157232704404,0.0880503144654088,0.36536161931226846,0.014900104569913187,-0.018151162519188045,0.24791283173926412,-0.2361428423652385,0.2336669691710778,0.8592628182957711,-0.29410412417525195,-0.46186801924774074,0.6067666255686858,0.7122994059811575,-0.20230236248315606,-0.9885827077865118,-0.08410377580898946,1.001310991235331,0.4914018003169226,-0.42385060943777697,0.5792618550851735,-0.513747808962223,1.5933999239836396,-0.06946993480641944,0.9282519804676159,0.7757352941176471,0.7720588235294118,0.8952205882352942,0.16911764705882354,0.9577205882352942,0.1341911764705882,0.6599264705882353,0.3851102941176471,0.48897058823529416,0.5820057189542484,"Jansen, Kenley",Kenley Jansen,,,,,2026-06-06
453286,344.0,84.0,66.0,87.7851311953352,0.06976744186046512,0.20930232558139536,0.3016759776536313,0.10714285714285714,0.09523809523809523,0.3787878787878788,0.13636363636363635,0.407969696969697,,,,,,,,,,,,,1392.0,359.0,252.0,88.54913669064746,0.11781609195402298,0.28160919540229884,0.2770167427701674,0.22841225626740946,0.06406685236768803,0.38095238095238093,0.12301587301587301,0.40406339140797565,,-0.10392842483409832,,-1.1585867643254024,,-1.4868239866742419,,0.33593752850284064,,-1.3741258715891265,,-0.42497064848001753,,0.018568366087698886,,-0.1911513496594584,,-0.041310708472104406,,-4.42639185944391,,,,,,,,,,,,"Scherzer, Max",Max Scherzer,6.58384131546061,6.58,data_driven_thin,279.0,2026-06-06
455119,169.0,49.0,39.0,91.79215686274509,0.10650887573964497,0.25443786982248523,0.3424657534246575,0.14285714285714285,0.04081632653061224,0.358974358974359,0.07692307692307693,0.4286470588235295,65.0,20.0,18.0,91.70612244897961,0.015384615384615385,0.16923076923076924,0.35714285714285715,0.0,0.1,0.16666666666666666,0.05555555555555555,0.28900000000000003,651.0,173.0,125.0,92.11424100156502,0.11827956989247312,0.2672811059907834,0.35563380281690143,0.24855491329479767,0.023121387283236993,0.4,0.088,0.393520811238337,-0.01170334658459017,-0.04381342466381257,-2.1972596888925775,-0.2838242162024347,-1.7520874753466869,-0.2640915261419254,0.19994902404608741,-0.17939088495402516,-1.618740567351916,-1.1976808822025735,-0.8068758823085953,-0.24124254005638682,1.6497279100994149,0.351941954154542,0.30600112107647204,0.1586309811660429,1.4768222416025067,-0.37147380070068514,-2.7541666636598845,-2.0709443396012586,-2.4808777340364343,0.7610294117647058,0.03308823529411765,0.025735294117647058,0.8051470588235294,0.03216911764705882,0.36764705882352944,0.953125,0.5891544117647058,0.8069852941176471,0.48600898692810457,"Martin, Chris",Chris Martin,,,,,2026-06-06
471911,87.0,29.0,24.0,88.52758620689653,0.10344827586206896,0.26436781609195403,0.4186046511627907,0.13793103448275862,0.0,0.4583333333333333,0.125,0.40025000000000005,58.0,21.0,18.0,88.56896551724135,0.10344827586206896,0.25862068965517243,0.4444444444444444,0.09523809523809523,0.0,0.3888888888888889,0.16666666666666666,0.42188888888888887,779.0,212.0,161.0,86.64454428754803,0.10269576379974327,0.25288831835686776,0.24817518248175183,0.16037735849056603,0.08018867924528301,0.42857142857142855,0.10559006211180125,0.39387060477146785,0.005628868602706926,0.25615205882057224,0.0,0.018145161491699396,-0.1181763982014646,0.23604939101602004,0.35202050400534124,2.321793630797277,-0.483761548863791,-0.25434342681554173,-0.0,1.0932459498423224,0.5957350786470107,-0.25531503370586184,-0.5967021860991202,-0.2779668568784721,-0.22883970965016762,-0.06746459854464087,-0.47409539155948455,3.0702962760233747,0.9436612754736593,0.3069852941176471,0.38786764705882354,0.3161764705882353,0.984375,0.109375,0.953125,0.4650735294117647,0.07628676470588236,0.21139705882352944,0.4234068627450981,"Carrasco, Carlos",Carlos Carrasco,4.79,4.79,marcel_il,310.0,2026-06-06
472610,265.0,74.0,61.0,90.04566037735844,0.10943396226415095,0.24150943396226415,0.34057971014492755,0.08108108108108109,0.08108108108108109,0.4426229508196721,0.04918032786885246,0.40122807017543854,73.0,22.0,18.0,91.29726027397265,0.1095890410958904,0.2602739726027397,0.2777777777777778,0.09090909090909091,0.09090909090909091,0.2222222222222222,0.0,0.25837499999999997,889.0,228.0,162.0,90.40229621125143,0.11361079865016872,0.2609673790776153,0.28306264501160094,0.20175438596491227,0.08771929824561403,0.46296296296296297,0.07407407407407407,0.37497374468578387,0.17025637456242454,-0.04851352599334861,0.003739382511902697,-0.10071515732846288,0.38584945273718835,-0.40010775740331306,-0.8555628771260265,0.783566108151384,0.11136298743452983,-1.3673714180831853,-0.1339893865394261,0.09050160318891051,1.8907264135419886,0.17448852576764917,0.7043042196579781,0.35649966674045797,1.5107270650282023,-0.2776497560925407,3.7874136318087617,-0.7893017110524488,1.9567274946642774,0.7132352941176471,0.45496323529411764,0.3400735294117647,0.36121323529411764,0.10110294117647059,0.44852941176470584,0.8970588235294118,0.8988970588235294,0.8952205882352942,0.5678104575163399,"García, Luis",Luis García,,,,,2026-06-06
489446,162.0,41.0,24.0,87.63827160493825,0.12345679012345678,0.30246913580246915,0.3409090909090909,0.2926829268292683,0.0975609756097561,0.625,0.08333333333333333,0.379125,162.0,41.0,24.0,87.63827160493825,0.12345679012345678,0.30246913580246915,0.3409090909090909,0.2926829268292683,0.0975609756097561,0.625,0.08333333333333333,0.379125,741.0,175.0,107.0,89.82739541160589,0.17543859649122806,0.29284750337381915,0.2909090909090909,0.28,0.10285714285714286,0.4205607476635514,0.1308411214953271,0.4034261170322134,0.0,-0.29778868135078645,0.0,-1.2534261155341067,0.0,0.19784667655111066,0.0,0.6811596752503364,0.0,0.14371257719904765,-0.0,0.07220487289960845,-0.0,-1.7537995305963405,-0.0,0.680352025271894,-0.0,0.25699381305488245,0.0,-1.2727446872543542,-0.5090978749017417,0.23161764705882354,0.6102941176470589,0.7242647058823529,0.7261029411764706,0.8446691176470589,0.39246323529411764,0.03492647058823528,0.3851102941176471,0.3897058823529411,0.48212826797385616,"Yates, Kirby",Kirby Yates,,,,,2026-06-06
500743,41.0,17.0,15.0,51.01707317073171,0.024390243902439025,0.12195121951219512,0.2962962962962963,0.0,0.058823529411764705,0.6,0.13333333333333333,0.45513333333333333,23.0,11.0,11.0,47.86521739130434,0.043478260869565216,0.13043478260869565,0.42857142857142855,0.0,0.0,0.6363636363636364,0.18181818181818182,0.5426363636363637,69.0,28.0,25.0,47.88115942028983,0.028985507246376812,0.13043478260869565,0.35555555555555557,0.0,0.07142857142857142,0.32,0.16,0.46812909242803974,-0.42875006589612796,0.4265814558909806,0.460265247249812,-0.11080459656013993,0.17444490593471781,-0.17444490593471781,1.802009722884488,-0.8073003558522511,0.0,0.0,0.8019658870815652,0.17184983294604966,-0.31194855027334395,-2.4020038371047474,-0.6943443620062492,0.38188939910343705,-0.9253787544672564,0.13743523307443048,0.8782640305076056,-2.3767977744369584,-0.42376069147022,0.011029411764705883,0.057904411764705885,0.014705882352941176,0.9742647058823529,0.03216911764705882,0.953125,0.02757352941176472,0.05514705882352944,0.03308823529411764,0.23988970588235295,"Rojas, Miguel",Miguel Rojas,,,,,2026-06-06
500779,690.0,181.0,143.0,85.7520348837209,0.09855072463768116,0.22318840579710145,0.3200992555831266,0.11049723756906077,0.09392265193370165,0.32867132867132864,0.08391608391608392,0.3464751773049646,275.0,76.0,62.0,85.39890510948905,0.09818181818181818,0.21818181818181817,0.3288590604026846,0.10526315789473684,0.07894736842105263,0.3225806451612903,0.06451612903225806,0.3281311475409836,2177.0,557.0,413.0,86.6942068965518,0.07900780891134589,0.2576940744143317,0.26793431287813313,0.15978456014362658,0.08976660682226212,0.41646489104116224,0.09685230024213075,0.37832180332442833,-0.048036593222325605,-0.12816459281653123,-0.008895362017555551,0.4712341231808001,-0.10294892554783742,-0.7095294804408597,0.11933651612292939,0.7106531086477149,-0.059308319711061784,-0.5584837195532668,0.20416433095083175,-0.056661108877292365,0.052249447006081015,0.7531445488765547,0.2778238917456766,0.18525764547847856,0.1939952862902751,0.3367905204861835,0.6283802716170135,1.0042410449817818,0.7787245809629209,0.09558823529411764,0.3400735294117647,0.10386029411764706,0.6709558823529411,0.12683823529411764,0.5459558823529411,0.6994485294117647,0.5137867647058824,0.65625,0.4169730392156863,"Quintana, Jose",Jose Quintana,6.666941041407419,6.67,data_driven_full,276.0,2026-06-06
518585,438.0,111.0,63.0,84.93256880733954,0.18036529680365296,0.3584474885844749,0.2916666666666667,0.2972972972972973,0.11711711711711711,0.23809523809523808,0.06349206349206349,0.33322580645161287,177.0,49.0,33.0,85.25771428571429,0.1864406779661017,0.3672316384180791,0.32967032967032966,0.2653061224489796,0.061224489795918366,0.18181818181818182,0.030303030303030304,0.26387499999999997,793.0,201.0,102.0,85.07339218158883,0.19924337957124844,0.3707440100882724,0.3090128755364807,0.3582089552238806,0.11940298507462686,0.38235294117647056,0.08823529411764706,0.3841848552180099,0.04422986171795259,-0.019156343187780416,0.1464943591409808,-0.4552031490538807,0.18062577881593728,-0.2528496001802628,0.517731254997966,-0.2363107600117406,-0.36249788766954105,-0.6902012019729625,0.7620076676663963,0.031164198113025735,0.4827775182801749,1.2375269869037064,0.4752952478018966,0.3543441553305702,0.7334118906882109,0.5389118629718077,2.9800756914399744,0.508226148912483,1.9913358744289777,0.0900735294117647,0.9558823529411765,0.9705882352941176,0.6746323529411765,0.7527573529411765,0.6875,0.9319852941176471,0.7601102941176471,0.8768382352941176,0.7444852941176472,"Cruz, Fernando",Fernando Cruz,,,,,2026-06-06
