name,own,pid,rp3,adj,delta,src,inj,po
Noah Cameron,MINE,702070,11.2,15.644166666666669,4.4441666666666695,"regime(SEA,n=7)",,27.0
Eury Perez,MINE,691587,14.8,15.262500000000001,0.46250000000000036,"regime(ABS,n=11)",,37.0
Drew Rasmussen,MINE,656876,13.8,13.8,0.0,rp3,,36.0
Roki Sasaki,FA,808963,13.7,13.7,0.0,rp3,,28.0
Drew Anderson,FA,623454,13.7,13.7,0.0,rp3,,27.0
Tyler Glasnow,MINE,607192,13.6,13.6,0.0,rp3,,25.0
Jacob Lopez,FA,682052,10.6,13.409999999999998,2.8099999999999987,"regime(ABS,n=8)",,23.0
Christian Scott,FA,681035,13.4,13.4,0.0,rp3,,28.0
Tyler Mahle,FA,641816,9.7,13.298125,3.5981250000000014,"regime(ABS,n=11)",,23.0
Logan Henderson,MINE,701656,13.2,13.2,0.0,rp3,,32.0
Carlos Rodon,FA,607074,13.2,13.2,0.0,rp3,,28.0
Max Fried,MINE,608331,13.1,13.1,0.0,rp3,FIFTEEN_DAY_DL,29.0
Reid Detmers,MINE,672282,13.0,13.0,0.0,rp3,,34.3
Aaron Nola,FA,605400,12.6,12.6,0.0,rp3,,29.0
Bobby Miller,FA,676272,12.5,12.5,0.0,rp3,SIXTY_DAY_DL,33.2
Connor Prielipp,FA,687570,12.2,12.2,0.0,rp3,,23.0
Shane Drohan,FA,675660,12.1,12.1,0.0,rp3,,23.0
Robert Gasser,FA,688107,12.1,12.1,0.0,rp3,,23.0
Ian Seymour,FA,693855,12.1,12.1,0.0,rp3,,32.0
Parker Messick,MINE,800048,12.0,12.0,0.0,rp3,,30.0
Emerson Hancock,FA,676106,12.0,12.0,0.0,rp3,,29.0
Walbert Urena,FA,700712,12.0,12.0,0.0,rp3,,25.0
Anthony Kay,FA,641743,11.9,11.9,0.0,rp3,,24.0
Joey Cantillo,FA,676282,11.8,11.8,0.0,rp3,,31.2
Patrick Sandoval,FA,663776,11.7,11.7,0.0,rp3,,24.0
Kyle Bradish,FA,680694,11.7,11.7,0.0,rp3,,24.0
Grayson Rodriguez,FA,680570,11.6,11.6,0.0,rp3,,24.0
Bubba Chandler,FA,696149,11.6,11.6,0.0,rp3,,23.0
Griffin Jax,FA,643377,11.5,11.5,0.0,rp3,FIFTEEN_DAY_DL,30.4
Landen Roupp,FA,694738,11.4,11.4,0.0,rp3,,25.0
Matthew Liberatore,FA,669461,11.2,11.2,0.0,rp3,,24.0
Sean Manaea,FA,640455,12.8,11.049999999999999,-1.7500000000000018,"regime(SEA,n=6)",,29.0
Luis F. Castillo,FA,622379,10.9,10.9,0.0,rp3,,25.0
Brandon Young,FA,687064,10.9,10.9,0.0,rp3,,24.0
Shota Imanaga,MINE,684007,11.1,10.793636363636365,-0.30636363636363484,"regime(SEA,n=17)",,29.0
J.T. Ginn,FA,669372,10.7,10.7,0.0,rp3,,25.0
Matthew Boyd,FA,571510,10.6,10.6,0.0,rp3,,23.0
Dean Kremer,FA,665152,10.4,10.4,0.0,rp3,,25.0
Robbie Ray,FA,592662,10.4,10.4,0.0,rp3,,25.0
Janson Junk,FA,676083,10.4,10.4,0.0,rp3,,23.0
Tyler Wells,FA,669330,10.4,10.4,0.0,rp3,,23.0
Kumar Rocker,FA,677958,10.3,10.3,0.0,rp3,,23.0
Jack Perkins,FA,678022,10.2,10.2,0.0,rp3,,26.9
Andrew Abbott,FA,671096,10.1,10.1,0.0,rp3,,25.0
Luis Castillo,FA,622491,10.9,10.010000000000002,-0.8899999999999988,"regime(SEA,n=15)",,25.0
Keider Montero,FA,672456,10.0,10.0,0.0,rp3,,22.0
Kyle Leahy,FA,681517,10.0,10.0,0.0,rp3,,26.4
Sean Newcomb,FA,656794,10.0,10.0,0.0,rp3,,26.3
Brady Singer,FA,663903,9.9,9.9,0.0,rp3,,24.0
