pitcher,name,owner,break_type,break_date,gap_days,n_pre,n_post,fp_pre,fp_post,k_pre,k_post,fp_prior,k_prior,corroborated,rp3,fp_season,contamination,direction,is_on_il_at_split
594798,"deGrom, Jacob",,SEARCHED,2026-07-20,0,18,7,15.23,5.56,0.304,0.266,15.96,0.277,True,15.54,12.52,-9.98,rp3 OVERSTATES,0
650644,"Civale, Aaron",,SEARCHED,2026-05-20,0,9,6,10.56,-0.05,0.172,0.153,7.65,0.192,True,9.04,6.31,-9.09,rp3 OVERSTATES,0
682243,Bryce Miller,FA,SEARCHED,2026-07-09,0,8,8,21.16,4.05,0.343,0.159,7.12,0.189,True,12.54,12.61,-8.49,rp3 OVERSTATES,0
593958,"Rodriguez, Eduardo",,SEARCHED,2026-07-29,0,21,6,12.7,17.47,0.17,0.212,8.32,0.206,True,9.43,13.76,8.04,rp3 UNDERSTATES,0
605488,"Springs, Jeffrey",,SEARCHED,2026-06-03,0,12,12,11.24,0.63,0.206,0.14,10.12,0.186,True,7.8,5.94,-7.16,rp3 OVERSTATES,0
663436,"Martin, Davis",,SEARCHED,2026-06-02,0,11,13,17.66,2.63,0.27,0.15,9.4,0.17,True,9.6,9.52,-6.97,rp3 OVERSTATES,1
666157,"Lodolo, Nick",,ABSENCE,2026-08-11,31,12,4,7.65,1.97,0.179,0.175,13.49,0.246,False,8.65,6.23,-6.67,rp3 OVERSTATES,0
702070,Noah Cameron,MINE,SEARCHED,2026-07-11,0,17,7,8.8,17.19,0.207,0.211,13.48,0.205,True,11.15,11.25,6.04,rp3 UNDERSTATES,0
592791,"Taillon, Jameson",,ABSENCE,2026-07-20,43,13,4,8.79,3.72,0.206,0.213,12.3,0.189,True,9.53,7.6,-5.81,rp3 OVERSTATES,1
669160,Dustin May,FA,SEARCHED,2026-06-21,0,14,10,12.75,5.27,0.228,0.222,8.63,0.215,True,10.46,9.63,-5.19,rp3 OVERSTATES,0
682052,Jacob Lopez,FA,ABSENCE,2026-07-10,40,10,8,2.75,14.76,0.157,0.296,11.25,0.277,True,9.59,8.09,5.17,rp3 UNDERSTATES,0
683004,"Leiter, Jack",,SEARCHED,2026-05-20,0,9,6,11.32,5.35,0.257,0.199,11.02,0.229,True,10.46,8.93,-5.11,rp3 OVERSTATES,1
645261,"Alcantara, Sandy",,SEARCHED,2026-06-01,0,12,16,9.8,16.53,0.161,0.196,9.01,0.191,True,11.44,13.65,5.1,rp3 UNDERSTATES,0
656605,"Keller, Mitch",,SEARCHED,2026-05-13,0,8,14,13.76,4.11,0.188,0.17,10.5,0.2,True,8.87,7.62,-4.76,rp3 OVERSTATES,1
694973,"Skenes, Paul",,SEARCHED,2026-05-17,0,9,18,18.22,10.92,0.303,0.291,17.79,0.295,True,15.64,13.35,-4.72,rp3 OVERSTATES,0
701656,Logan Henderson,MINE,ABSENCE,2026-07-09,48,5,8,13.58,17.11,0.333,0.282,16.32,0.333,False,12.47,15.75,4.64,rp3 UNDERSTATES,0
571578,"Corbin, Patrick",,SEARCHED,2026-05-28,0,9,6,8.26,2.4,0.168,0.165,9.34,0.199,True,6.91,5.91,-4.51,rp3 OVERSTATES,1
624133,"Suarez, Ranger",,SEARCHED,2026-07-05,0,16,7,14.04,6.7,0.255,0.192,13.85,0.232,True,11.17,11.8,-4.47,rp3 OVERSTATES,0
808967,"Yamamoto, Yoshinobu",,SEARCHED,2026-05-18,0,8,15,15.25,19.57,0.246,0.25,16.77,0.294,True,15.1,18.07,4.47,rp3 UNDERSTATES,0
693433,"Woo, Bryan",,SEARCHED,2026-06-05,0,12,13,14.77,10.27,0.244,0.245,17.17,0.271,True,14.52,12.43,-4.26,rp3 OVERSTATES,0
519242,"Sale, Chris",,SEARCHED,2026-07-17,0,17,6,16.14,20.35,0.29,0.353,17.15,0.32,True,16.18,17.24,4.17,rp3 UNDERSTATES,0
650911,"Sánchez, Cristopher",,SEARCHED,2026-06-14,0,14,13,20.64,11.65,0.301,0.248,17.05,0.263,True,15.81,16.31,-4.16,rp3 OVERSTATES,0
663623,Jake Irvin,FA,ABSENCE,2026-07-30,68,11,5,8.41,5.14,0.254,0.162,6.88,0.158,True,9.16,7.39,-4.02,rp3 OVERSTATES,0
691587,Eury Perez,MINE,ABSENCE,2026-06-24,28,12,11,10.9,17.05,0.272,0.26,11.33,0.273,True,13.34,13.84,3.7,rp3 UNDERSTATES,0
647336,"Soroka, Michael",,SEARCHED,2026-05-06,0,6,12,9.7,13.2,0.265,0.212,9.82,0.256,True,9.52,12.03,3.68,rp3 UNDERSTATES,1
