pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
112526,2017,28,1.9151505560211441,5,0.6034912718204489,,0,False
112526,2018,24,1.7091810851257978,10,0.2743142144638404,,0,False
282332,2017,27,1.7164661269908459,8,0.26433915211970077,,0,False
282332,2018,29,2.691535807085738,18,0.10972568578553615,,0,False
282332,2019,22,1.7314251835358723,7,0.30673316708229426,,0,False
285079,2017,31,3.458030284818748,11,0.02493765586034913,,0,False
407793,2017,30,1.8913456616248743,7,0.5561097256857855,,0,False
425794,2017,23,3.4196935806820754,18,0.012468827930174564,,0,False
425794,2019,31,2.394501461919272,23,0.286783042394015,,0,False
425794,2021,32,2.7338096866039296,26,0.10972568578553615,,0,False
425794,2022,32,3.1020042427242887,24,0.11970074812967581,,0,False
425794,2023,21,0.7977493356321665,14,0.9326683291770573,,0,False
425844,2017,32,1.8272669887826325,24,0.3516209476309227,,0,False
425844,2018,33,2.2204915617796606,22,0.2967581047381546,,0,False
425844,2019,33,1.4331494934670352,7,0.800498753117207,,0,False
425844,2021,29,2.486752510505044,24,0.04239401496259352,,0,False
425844,2022,26,2.0556604989313176,5,0.14713216957605985,10,26,False
425844,2023,27,1.6026981712091288,15,0.5236907730673317,,0,False
429719,2018,17,0.6612240765787032,9,0.9750623441396509,,0,False
429722,2017,33,1.4169306135286917,27,0.5187032418952618,,0,False
430912,2017,23,2.0705363292411696,5,0.3192019950124688,,0,False
430935,2017,24,2.628902936886819,6,0.04239401496259352,5,61,False
430935,2018,32,1.1006018721947137,7,0.9276807980049875,,0,False
430935,2019,27,1.1197832632185032,22,0.8478802992518704,17,36,False
433587,2017,16,0.9604051579301571,8,0.6907730673316709,5,59,False
433587,2018,28,1.0184669196303304,23,0.9276807980049875,,0,False
433587,2019,15,1.5755756998187544,6,0.3192019950124688,8,105,False
434378,2017,33,3.71501944503476,19,0.012468827930174564,,0,False
434378,2018,34,2.4128213459758685,18,0.16708229426433915,,0,False
434378,2019,34,2.922322566071758,20,0.10972568578553615,,0,False
434378,2022,28,3.4460772406752795,22,0.05236907730673317,,0,False
434378,2023,27,1.2443186935726562,19,0.7381546134663342,,0,False
434378,2024,17,2.3309785401158925,11,0.28428927680798005,10,73,False
434378,2025,29,1.5131104707943224,17,0.7481296758104738,10,31,False
434538,2017,18,1.9258381301865162,10,0.2743142144638404,,0,False
434538,2018,26,1.5161562393958214,21,0.4837905236907731,10,28,False
434622,2017,25,2.8509807572184536,15,0.18952618453865336,8,27,False
434628,2017,32,0.8176461307575928,8,0.9925187032418953,,0,False
434628,2018,18,1.6304920109823946,9,0.6334164588528678,,0,False
434671,2017,17,2.37943749520703,12,0.09476309226932668,,0,False
