name,own,blend,price,basis,mean_draw,p25,P_bust,P_boom
Tyler Glasnow,MINE,14.4,14.4,blend,15.4,10.7,13,38
Drew Rasmussen,MINE,13.7,13.7,blend,14.7,7.3,22,45
Eury Perez,MINE,13.2,13.2,blend,14.9,10.1,11,40
Reid Detmers,MINE,13.1,13.1,blend,14.6,7.2,19,40
Max Fried,MINE-IL,13.0,13.0,blend,13.9,6.2,19,44
Brandon Woodruff,FA-IL,12.9,12.9,blend,13.3,6.5,20,37
Spencer Schwellenbach,FA-IL,12.8,12.8,blend,12.7,6.9,19,31
Parker Messick,MINE,12.8,12.8,blend,14.6,10.7,8,40
Shota Imanaga,MINE,12.7,12.7,blend,12.3,6.2,15,32
Nick Pivetta,FA-IL,12.6,12.6,blend,12.0,6.5,21,29
Hunter Greene,FA-IL,12.5,12.5,blend,11.4,4.6,26,28
Logan Henderson,MINE,12.4,12.4,blend,14.2,10.6,13,34
Corbin Burnes,FA-IL,12.1,12.1,blend,12.1,6.1,21,29
Jose Soriano,DROPPING,12.1,12.1,blend,10.2,3.8,35,17
Walbert Urena,FA,11.9,11.9,blend,11.8,7.7,20,27
Cole Ragans,FA-IL,11.8,11.8,blend,10.6,3.0,29,26
Garrett Crochet,FA-IL,11.7,11.7,blend,10.2,5.5,21,29
Matthew Boyd,FA,9.5,11.6,cleared POS (+0.33),11.2,6.8,21,27
Kyle Bradish,FA,11.6,11.6,blend,11.0,3.2,32,31
Griffin Jax,FA-IL,11.5,11.5,blend,11.9,7.1,22,26
Carlos Rodon,FA,11.4,11.4,blend,11.7,8.1,16,22
Roki Sasaki,FA-IL,11.4,11.4,blend,11.1,4.8,25,27
Justin Steele,FA-IL,11.3,11.3,blend,11.3,5.4,23,26
Spencer Strider,FA-IL,11.3,11.3,blend,10.6,5.5,24,26
Joey Cantillo,FA,11.2,11.2,blend,11.2,5.5,21,23
Bryce Miller,FA,12.5,11.2,cleared NEG (+0.675),12.0,4.3,26,36
Luis Castillo,FA,11.2,11.2,blend,10.1,2.5,29,18
Jacob Lopez,FA,9.4,11.2,"G5 held-window (+0.87, 27% revert)",10.3,5.6,22,19
Noah Cameron,MINE,11.1,11.1,blend,12.0,4.7,29,30
Tyler Mahle,FA,11.1,11.1,blend,11.1,5.3,22,29
Jack Flaherty,FA-IL,11.0,11.0,blend,9.7,4.0,30,22
Shane Drohan,FA,11.0,11.0,blend,10.3,7.1,18,15
Drew Anderson,FA,10.9,10.9,blend,10.6,7.8,17,21
Joe Musgrove,FA-IL,10.8,10.8,blend,10.8,4.9,25,24
Christian Scott,FA,10.8,10.8,blend,11.1,5.1,23,22
Jake Bennett,FA,10.7,10.7,blend,11.8,5.6,19,25
Bubba Chandler,FA,10.6,10.6,blend,9.8,4.2,30,18
Emerson Hancock,FA,10.6,10.6,blend,11.0,6.5,19,25
Dean Kremer,FA,10.5,10.5,blend,10.5,5.5,23,16
Kris Bubic,FA-IL,10.5,10.5,blend,11.2,5.3,24,23
Connor Prielipp,FA,10.4,10.4,blend,9.0,3.8,30,21
Dustin May,FA,10.3,10.3,blend,10.1,1.1,31,28
Landen Roupp,FA,9.9,10.3,cleared NEG (+0.675),9.2,4.0,31,20
Ryan Weathers,FA-IL,10.2,10.2,blend,10.6,2.2,31,25
Sean Manaea,FA,10.2,10.2,blend,10.2,4.4,28,21
Mick Abel,FA-IL,10.1,10.1,blend,11.1,3.7,29,31
Edward Cabrera,FA-IL,10.1,10.1,blend,8.6,3.6,34,13
Cade Horton,FA-IL,10.0,10.0,blend,9.8,2.9,31,18
Grant Holmes,FA,9.9,9.9,blend,9.3,3.7,27,17
Ryan Pepiot,FA-IL,9.8,9.8,blend,10.0,4.1,28,21
Ryne Nelson,FA-IL,9.7,9.7,blend,9.6,4.6,27,24
