bucket,verdict,n,n_players,base_beat_rate,hit_rate_edge,mean_actual,median_actual,mean_proj_per,mean_residual,hit_rate,unit
H,BUY,345,14,,,0.56,0.549,0.6,-0.04,0.313,PA
H,CAUTION,48,5,,,0.583,0.568,0.568,0.014,,PA
H,FADE,4,2,,,0.289,0.288,0.49,-0.201,1.0,PA
H,MIXED,310,17,,,0.541,0.528,0.568,-0.027,,PA
RP,BUY,109,4,,,5.263,5.109,4.981,-0.025,0.229,appearances
RP,MIXED,2,1,,,2.555,2.555,,,,appearances
SP,BUY,52,6,,,11.926,11.158,11.933,-0.007,0.365,starts
SP,HOLD,10,2,,,13.925,14.533,12.18,1.745,,starts
SP,CAUTION,118,8,,,13.453,15.28,11.351,2.101,,starts
SP,MIXED,109,8,,,10.967,12.517,11.736,-0.77,,starts
