player_name,team,side,signal,is_new,severity,season_pace,recent_pace,events_last21,unit,proj_vol,naive_pace,model_gap
Brett Bateman,TOR,H,ROLE_GAIN,False,2.549,0.4924,3.25,65.0,PA,3.0414,0.4924,2.549
Nick Sogard,BOS,H,ROLE_GAIN,False,2.176,1.1692,4.7894736842105265,91.0,PA,3.3453,1.1692,2.1761
George Lombard Jr.,NYY,H,ROLE_GAIN,False,2.079,0.5077,3.6666666666666665,66.0,PA,2.5864,0.5077,2.0786999999999995
Aaron Judge,NYY,H,IL_ZERO,False,2.008,2.0077,0.0,0.0,PA,2.1936,2.0077,0.18590000000000018
Angel Genao,CLE,H,ROLE_GAIN,False,2.008,0.4885,3.5555555555555554,64.0,PA,2.4968,0.4885,2.0082999999999998
Brendan Donovan,SEA,H,ROLE_GAIN,False,1.989,1.2214,3.2777777777777777,59.0,PA,3.2108,1.2214,1.9893999999999998
Max Clark,DET,H,ROLE_GAIN,False,1.985,0.6615,3.9444444444444446,71.0,PA,2.6464,0.6615,1.9848999999999999
Osleivis Basabe,SF,H,ROLE_GAIN,False,1.959,0.6154,3.888888888888889,70.0,PA,2.5744,0.6154,1.9589999999999999
Abimelec Ortiz,WSH,H,ROLE_GAIN,False,1.94,0.5,3.3684210526315788,64.0,PA,2.4397,0.5,1.9397000000000002
Kaelen Culpepper,MIN,H,ROLE_GAIN,False,1.751,0.3817,2.7777777777777777,50.0,PA,2.1326,0.3817,1.7509000000000001
Tommy White,ATH,H,ROLE_GAIN,False,1.738,0.9618,3.3684210526315788,64.0,PA,2.6997,0.9618,1.7379
Hunter Goodman,COL,H,IL_ZERO,False,1.65,3.5385,1.8888888888888888,34.0,PA,2.6891,3.5385,-0.8494000000000002
Christian Encarnacion-Strand,BAL,H,ROLE_GAIN,False,1.443,0.7939,3.210526315789474,61.0,PA,2.2373,0.7939,1.4433999999999998
Luis Lara,MIL,H,ROLE_GAIN,False,1.44,0.9313,3.1,62.0,PA,2.3711,0.9313,1.4398000000000002
Vladimir Guerrero Jr.,TOR,H,ROLE_LOSS,False,1.408,3.7576,2.35,47.0,PA,3.2202,3.7576,-0.5373999999999999
Luis Robert Jr.,NYM,H,ROLE_GAIN,False,1.35,1.4962,3.2222222222222223,58.0,PA,2.8458,1.4962,1.3496000000000001
Braden Montgomery,CWS,H,ROLE_GAIN,False,1.097,1.9692,4.105263157894737,78.0,PA,3.0658,1.9692,1.0965999999999998
Christian Koss,SF,H,ROLE_GAIN,False,1.086,0.8077,3.3333333333333335,60.0,PA,1.8933,0.8077,1.0856
Spencer Jones,NYY,H,ROLE_GAIN,False,1.046,1.3769,3.8333333333333335,69.0,PA,2.4224,1.3769,1.0455
Jeremy Peña,HOU,H,ROLE_GAIN,False,1.022,2.6718,3.8333333333333335,69.0,PA,3.6938,2.6718,1.0219999999999998
"Tidwell, Blade",SF,SP,ROLE_GAIN,False,0.109,0.0308,0.2222222222222222,4.0,GS,0.14,0.0308,0.10920000000000002
"Bradford, Cody",,SP,ROLE_GAIN,False,0.107,0.0308,0.21052631578947367,4.0,GS,0.1375,0.0308,0.10670000000000002
"Wesneski, Hayden",,SP,ROLE_GAIN,False,0.102,0.0385,0.2222222222222222,4.0,GS,0.1405,0.0385,0.10200000000000001
"Jobe, Jackson",,SP,ROLE_GAIN,False,0.096,0.0231,0.16666666666666666,3.0,GS,0.119,0.0231,0.0959
"Anderson, Drew",DET,SP,ROLE_GAIN,False,0.095,0.0462,0.2222222222222222,4.0,GS,0.1412,0.0462,0.095
"Quantrill, Cal",TEX,SP,ROLE_GAIN,False,0.092,0.0763,0.21052631578947367,4.0,GS,0.1683,0.0763,0.092
"Dobnak, Randy",,SP,ROLE_GAIN,False,0.09,0.0538,0.21052631578947367,4.0,GS,0.1437,0.0538,0.0899
"Lynch IV, Daniel",KC,SP,ROLE_GAIN,False,0.089,0.0303,0.21052631578947367,4.0,GS,0.1198,0.0303,0.0895
"Kremer, Dean",BAL,SP,ROLE_GAIN,False,0.088,0.084,0.21052631578947367,4.0,GS,0.172,0.084,0.08799999999999998
"Newcomb, Sean",CWS,SP,ROLE_GAIN,True,0.088,0.0308,0.15789473684210525,3.0,GS,0.1186,0.0308,0.08779999999999999
"Kent, Jackson",,SP,ROLE_GAIN,True,0.087,0.0231,0.15789473684210525,3.0,GS,0.1099,0.0231,0.0868
"Sandoval, Patrick",,SP,ROLE_GAIN,False,0.086,0.0615,0.21052631578947367,4.0,GS,0.1479,0.0615,0.0864
"Stock, Robert",,SP,ROLE_GAIN,False,0.081,0.0308,0.16666666666666666,3.0,GS,0.1115,0.0308,0.0807
"Klassen, George",LAA,SP,ROLE_GAIN,False,0.08,0.0382,0.15789473684210525,3.0,GS,0.1178,0.0382,0.0796
"Hughes, Gabriel",,SP,ROLE_GAIN,False,0.075,0.0615,0.2222222222222222,4.0,GS,0.1369,0.0615,0.0754
"Dobbins, Hunter",STL,SP,ROLE_GAIN,False,0.071,0.0606,0.21052631578947367,4.0,GS,0.1316,0.0606,0.071
"Javier, Cristian",HOU,SP,ROLE_GAIN,False,0.07,0.0611,0.2222222222222222,4.0,GS,0.1314,0.0611,0.07029999999999999
"Seymour, Ian",TB,SP,ROLE_GAIN,False,0.064,0.0846,0.21052631578947367,4.0,GS,0.1487,0.0846,0.0641
"Bratt, Mitch",,SP,ROLE_GAIN,False,0.064,0.0692,0.21052631578947367,4.0,GS,0.133,0.0692,0.06380000000000001
"Manaea, Sean",NYM,SP,ROLE_GAIN,False,0.062,0.0992,0.2222222222222222,4.0,GS,0.1613,0.0992,0.0621
"Alvarez, Andrew",WSH,SP,ROLE_GAIN,False,0.062,0.0833,0.21052631578947367,4.0,GS,0.1452,0.0833,0.0619
"Barnett, Mason",ATH,SP,ROLE_GAIN,False,0.059,0.0305,0.15789473684210525,3.0,GS,0.0891,0.0305,0.0586
"Irvin, Jake",WSH,SP,ROLE_GAIN,False,0.054,0.1212,0.21052631578947367,4.0,GS,0.1752,0.1212,0.05399999999999999
"Whisenhunt, Carson",,SP,ROLE_GAIN,False,0.054,0.0538,0.16666666666666666,3.0,GS,0.1075,0.0538,0.0537
"Miller, Bryce",SEA,SP,ROLE_GAIN,True,0.051,0.1221,0.2222222222222222,4.0,GS,0.1727,0.1221,0.05059999999999999
"Gusto, Ryan",MIA,SP,ROLE_GAIN,True,0.05,0.0916,0.2222222222222222,4.0,GS,0.1417,0.0916,0.05009999999999999
Nate Lavender,NYM,RP,ROLE_GAIN,False,0.304,0.0611,0.4444444444444444,8.0,G,0.3651,0.0611,0.304
Daniel Duarte,NYM,RP,ROLE_GAIN,False,0.246,0.1374,0.5555555555555556,10.0,G,0.383,0.1374,0.2456
Hagen Smith,CWS,RP,ROLE_GAIN,False,0.238,0.0462,0.3157894736842105,6.0,G,0.2838,0.0462,0.2376
Luke Murphy,LAA,RP,ROLE_GAIN,False,0.212,0.0687,0.3684210526315789,7.0,G,0.2805,0.0687,0.21180000000000004
Josh Ekness,MIA,RP,ROLE_GAIN,False,0.206,0.1069,0.4444444444444444,8.0,G,0.3126,0.1069,0.2057
Evan Phillips,LAD,RP,ROLE_GAIN,False,0.203,0.145,0.5263157894736842,10.0,G,0.3483,0.145,0.2033
