player_type,mlbam_id,player_name,team,position,own,proj_vol,naive_pace,gap,volume_percentile,recent_raw,rate,rate_source,impact,flags,unit,direction
SP,686613,Hunter Brown,HOU,SP,Frendy's Fantastic Team,0.1783,0.094,0.08429999999999999,91.6,4.0,12.546780333702708,rp3,1.0576935821311382,,GS/tg,RISER
SP,663776,Patrick Sandoval,,SP,FA,0.1481,0.0431,0.10500000000000001,66.1,4.0,9.258928094009772,rp3,0.9721874498710261,,GS/tg,RISER
SP,668881,Hunter Greene,,SP,FA,0.1221,0.0431,0.079,48.5,3.0,12.160782187801264,rp3_marcel_prior,0.9607017928362999,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,601713,Nick Pivetta,SD,SP,MINE,0.1106,0.0342,0.0764,42.3,0.0,12.527780462021823,rp3_marcel_prior,0.9571224272984673,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,669854,Ronel Blanco,,SP,FA,0.1302,0.0345,0.09570000000000001,52.9,4.0,9.993173427542876,rp3,0.9563466970158533,,GS/tg,RISER
SP,608331,Max Fried,NYY,SP,MINE,0.1909,0.1207,0.07019999999999998,98.9,4.0,13.309087985105126,rp3,0.9342979765543796,IL-return,GS/tg,RISER
H,695720,Tommy White,ATH,3B,FA,2.8125,0.6638,2.1487,69.6,73.0,0.4341506542144334,rh3,0.932859510710553,,PA/tg,RISER
H,703601,Max Clark,DET,?,FA,2.2485,0.2845,1.964,54.8,33.0,0.4589797855457472,median_fallback,0.9014362988118475,med-rate,PA/tg,RISER
SP,669373,Tarik Skubal,DET,SP,Team Solomon,0.1985,0.1466,0.0519,99.6,4.0,17.158598589728815,rp3,0.8905312668069255,,GS/tg,RISER
SP,607192,Tyler Glasnow,LAD,SP,MINE,0.1237,0.0603,0.06340000000000001,49.6,0.0,13.840437418321372,rp3_marcel_prior,0.8774837323215752,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,687312,Gabriel Hughes,,SP,FA,0.1326,0.0431,0.0895,55.1,3.0,9.75939857554283,rp3,0.8734661725110833,,GS/tg,RISER
SP,696070,Kendry Rojas,MIN,SP,FA,0.1127,0.0342,0.07849999999999999,43.8,2.0,10.751645566358487,rp3,0.8440041769591411,,GS/tg,RISER
H,596019,Francisco Lindor,NYM,SS,Treasure Island Mashers,3.6917,2.2393,1.4524,91.3,87.0,0.5808453540398731,rh3,0.8436197922075117,,PA/tg,RISER
SP,623454,Drew Anderson,DET,SP,FA,0.1019,0.0259,0.07600000000000001,35.8,1.0,10.973823795391114,rp3,0.8340106084497249,,GS/tg,RISER
SP,701656,Logan Henderson,MIL,SP,MINE,0.1504,0.0862,0.06420000000000001,69.0,3.0,12.888686160302116,rp3,0.8274536514913959,IL-return,GS/tg,RISER
H,694671,Wyatt Langford,TEX,OF,MINE,3.8116,2.3707,1.4409,95.1,81.0,0.5691295617617692,rh3,0.8200587855425333,,PA/tg,RISER
SP,677976,Randy Dobnak,,SP,FA,0.1418,0.0345,0.1073,60.6,4.0,7.43670373705419,rp3,0.7979583109859146,,GS/tg,RISER
SP,669713,Hayden Wesneski,,SP,FA,0.1105,0.0172,0.0933,42.0,2.0,8.364259729483084,rp3,0.7803854327607717,,GS/tg,RISER
SP,694297,Brandon Pfaadt,AZ,SP,FA,0.1675,0.0855,0.082,86.9,4.0,9.492882536864483,rp3,0.7784163680228877,,GS/tg,RISER
H,687952,Christian Encarnacion-Strand,BAL,3B,FA,2.0806,0.4741,1.6065,50.4,55.0,0.4821743009255729,rh3,0.7746130144369329,,PA/tg,RISER
SP,665152,Dean Kremer,BAL,SP,FA,0.1478,0.069,0.07879999999999998,65.3,3.0,9.660277885943144,rp3,0.7612298974123195,,GS/tg,RISER
SP,690990,Cade Horton,CHC,SP,FA,0.0935,0.0171,0.0764,30.3,0.0,9.908553497190084,rp3_marcel_prior,0.7570134871853224,IL@split+IL-return+marcel-rate,GS/tg,RISER
SP,690953,Mick Abel,MIN,SP,FA,0.1006,0.0256,0.075,35.0,0.0,10.017848880344,rp3_marcel_prior,0.7513386660257999,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,641355,Cody Bellinger,NYY,OF,Frendy's Fantastic Team,2.5366,3.75,-1.2134,63.9,27.0,0.6149181089741363,rh3,-0.746141633429217,IL@split,PA/tg,FADER
SP,670990,Yohan Ramírez,PIT,SP,FA,0.0906,0.0169,0.0737,28.1,1.0,10.07063977656584,rp3,0.7422061515329025,,GS/tg,RISER
SP,606996,Kyle Hart,SD,SP,FA,0.1123,0.0342,0.0781,43.4,3.0,9.418624333948634,rp3,0.7355945604813883,,GS/tg,RISER
H,680977,Brendan Donovan,SEA,3B,FA,2.351,0.9487,1.4022999999999999,57.8,10.0,0.5195720498000639,rh3,0.7285958854346295,,PA/tg,RISER
H,828599,Lucas Spence,HOU,?,FA,1.9211,0.359,1.5621,47.0,38.0,0.4589797855457472,median_fallback,0.7169723230010118,med-rate,PA/tg,RISER
SP,804267,Zach Thornton,NYM,SP,FA,0.1443,0.0598,0.08450000000000002,63.5,4.0,8.399250335411494,rp3,0.7097366533422714,,GS/tg,RISER
H,665161,Jeremy Peña,HOU,SS,Team Solomon,3.8431,2.5726,1.2705000000000002,95.8,80.0,0.5512218134572905,rh3,0.7003273139974877,,PA/tg,RISER
SP,686930,Mason Barnett,ATH,SP,FA,0.0975,0.0172,0.08030000000000001,33.2,2.0,8.598588747680576,rp3,0.6904666764387504,,GS/tg,RISER
SP,682243,Bryce Miller,SEA,SP,U Just Lost To Edwin Diaz,0.1636,0.1111,0.05249999999999999,82.1,3.0,12.994057267274815,rp3,0.6821880065319277,,GS/tg,RISER
H,699013,Esmerlyn Valdez,PIT,OF,Team Solomon,3.0184,1.5932,1.4252000000000002,74.3,83.0,0.4768802208435914,rh3,0.6796496907462866,,PA/tg,RISER
SP,700249,Cade Povich,BAL,SP,FA,0.1128,0.0345,0.0783,44.2,1.0,8.642895065709649,rp3,0.6767386836450654,,GS/tg,RISER
H,800325,Luis Lara,MIL,OF,FA,2.1192,0.6379,1.4813,51.3,53.0,0.4496293508466767,rh3,0.6660359574091822,,PA/tg,RISER
SP,690928,Hunter Dobbins,STL,SP,FA,0.1173,0.0431,0.0742,45.6,2.0,8.74376260738064,rp3,0.6487871854676436,,GS/tg,RISER
SP,680744,Ty Madden,DET,SP,FA,0.0867,0.0172,0.0695,24.5,1.0,9.288454438335306,rp3,0.6455475834643037,,GS/tg,RISER
SP,640455,Sean Manaea,NYM,SP,FA,0.1508,0.0855,0.06529999999999998,70.1,4.0,9.86734311946524,rp3,0.64433750570108,,GS/tg,RISER
SP,683003,Jared Jones,,SP,Frendy's Fantastic Team,0.1526,0.1034,0.04920000000000001,71.5,4.0,13.014605838495264,rp3,0.640318607253967,,GS/tg,RISER
H,686765,Nick Sogard,BOS,2B,FA,2.3564,0.713,1.6433999999999997,58.2,40.0,0.3895233422990725,rh3,0.6401426607342956,,PA/tg,RISER
H,672386,Alejandro Kirk,TOR,C,Treasure Island Mashers,2.7266,1.3932,1.3334,68.1,60.0,0.4741162840723136,rh3,0.6321866531820229,,PA/tg,RISER
SP,676664,JP Sears,,SP,FA,0.1254,0.0517,0.07370000000000002,50.4,2.0,8.516691971920682,rp3,0.6276801983305544,,GS/tg,RISER
H,669242,Tommy Edman,LAD,2B,Late Night Bettsing,2.507,1.2845,1.2225000000000001,62.9,68.0,0.5096249518967209,rh3,0.6230165036937413,,PA/tg,RISER
H,650402,Gleyber Torres,DET,2B,Late Night Bettsing,3.581,2.2586,1.3224,87.8,72.0,0.4677098909702966,rh3,0.6184995598191202,,PA/tg,RISER
H,673357,Luis Robert Jr.,NYM,OF,FA,2.7144,1.2735,1.4408999999999998,67.7,51.0,0.4275489891884204,rh3,0.6160553385215949,,PA/tg,RISER
H,691176,Jasson Domínguez,NYY,OF,FA,3.0978,1.8448,1.253,76.2,69.0,0.4784784857784846,rh3,0.5995335426804411,,PA/tg,RISER
H,682988,Tyler Locklear,AZ,?,FA,1.586,0.2991,1.2869000000000002,36.1,35.0,0.4589797855457472,median_fallback,0.5906610860188222,med-rate,PA/tg,RISER
H,680777,Ryan Jeffers,MIN,C,FA,2.9531,1.906,1.0471000000000001,72.4,62.0,0.5635151735261118,rh3,0.5900567381991918,,PA/tg,RISER
SP,676979,Garrett Crochet,BOS,SP,Team Solomon,0.1027,0.0522,0.050499999999999996,36.1,0.0,11.640011375883484,rp3_marcel_prior,0.5878205744821159,IL@split+IL-return+marcel-rate,GS/tg,RISER
H,701762,Nick Kurtz,ATH,1B,Treasure Island Mashers,2.8592,3.7586,-0.8994,70.5,22.0,0.6534635907924479,rh3,-0.5877251535587276,IL@split,PA/tg,FADER
H,694249,Cole Carrigg,COL,OF,U Just Lost To Edwin Diaz,2.8411,1.6034,1.2377,70.0,66.0,0.473219344600264,rh3,0.5857035828117467,,PA/tg,RISER
SP,684442,Kohl Drake,,SP,FA,0.1182,0.0345,0.0837,46.4,4.0,6.937594171775465,rp3,0.5806766321776063,,GS/tg,RISER
H,663457,Lars Nootbaar,STL,OF,FA,2.8909,1.7155,1.1753999999999998,71.3,74.0,0.4940234798765766,rh3,0.580675198246928,,PA/tg,RISER
SP,683352,Mitch Bratt,,SP,FA,0.1306,0.0517,0.0789,53.3,4.0,7.3370162707752495,rp3,0.5788905837641671,,GS/tg,RISER
SP,571510,Matthew Boyd,CHC,SP,FA,0.169,0.1111,0.05790000000000001,87.6,4.0,9.979616042343158,rp3,0.577819768851669,,GS/tg,RISER
SP,671212,Joe Boyle,TB,SP,FA,0.0902,0.0261,0.0641,27.7,0.0,8.991981514571632,rp3,0.5763860150840416,,GS/tg,RISER
H,668715,Spencer Steer,CIN,1B,FA,2.2879,3.3391,-1.0512000000000001,56.1,22.0,0.5481822365426028,rh3,-0.5762491670535841,IL@split,PA/tg,FADER
H,670541,Yordan Alvarez,HOU,DH,Late Night Bettsing,3.5879,4.3504,-0.7624999999999997,88.2,84.0,0.743043330222761,rh3,-0.5665705392948551,,PA/tg,FADER
SP,675512,Troy Melton,,SP,2015 Draft First Round,0.1521,0.1034,0.04870000000000001,70.8,3.0,11.46570587122588,rp3,0.5583798759287004,,GS/tg,RISER
H,669720,Austin Hays,CWS,?,FA,1.599,0.3826,1.2164,36.5,0.0,0.4589797855457472,median_fallback,0.5583030111378469,med-rate,PA/tg,RISER
H,805347,Jim Jarvis,ATL,SS,FA,2.0762,0.8362,1.24,50.2,60.0,0.4500086665369641,rh3,0.5580107465058355,,PA/tg,RISER
