player,date,venue_team,is_home,career_park_lift_pct,typical_temp_f
Vladimir Guerrero Jr.,2026-05-08,TOR,True,-1.3,
Vladimir Guerrero Jr.,2026-05-09,TOR,True,-1.3,
Vladimir Guerrero Jr.,2026-05-10,TOR,True,-1.3,
Vladimir Guerrero Jr.,2026-05-11,TOR,True,-1.3,
Vladimir Guerrero Jr.,2026-05-12,TOR,True,-1.3,
Vladimir Guerrero Jr.,2026-05-13,TOR,True,-1.3,
Corbin Carroll,2026-05-08,AZ,True,9.2,
Corbin Carroll,2026-05-09,AZ,True,9.2,
Corbin Carroll,2026-05-10,AZ,True,9.2,
Elly De La Cruz,2026-05-08,CIN,True,20.2,74.4
Elly De La Cruz,2026-05-09,CIN,True,20.2,74.4
Elly De La Cruz,2026-05-10,CIN,True,20.2,74.4
Elly De La Cruz,2026-05-12,CIN,True,20.2,74.4
Elly De La Cruz,2026-05-13,CIN,True,20.2,74.4
Elly De La Cruz,2026-05-14,CIN,True,20.2,74.4
Trea Turner,2026-05-08,PHI,True,5.3,72.1
Trea Turner,2026-05-09,PHI,True,5.3,72.1
Trea Turner,2026-05-10,PHI,True,5.3,72.1
Pete Alonso,2026-05-08,BAL,True,,73.1
Pete Alonso,2026-05-09,BAL,True,,73.1
Pete Alonso,2026-05-10,BAL,True,,73.1
Pete Alonso,2026-05-11,BAL,True,,73.1
Pete Alonso,2026-05-12,BAL,True,,73.1
Pete Alonso,2026-05-13,BAL,True,,73.1
Wyatt Langford,2026-05-08,TEX,True,,
Wyatt Langford,2026-05-09,TEX,True,,
Wyatt Langford,2026-05-10,TEX,True,,
Wyatt Langford,2026-05-11,TEX,True,,
Wyatt Langford,2026-05-12,TEX,True,,
Wyatt Langford,2026-05-13,TEX,True,,
Luis Arraez,2026-05-08,SF,True,2.0,61.2
Luis Arraez,2026-05-09,SF,True,2.0,61.2
Luis Arraez,2026-05-10,SF,True,2.0,61.2
Salvador Perez,2026-05-08,KC,True,9.9,72.9
Salvador Perez,2026-05-09,KC,True,9.9,72.9
Salvador Perez,2026-05-10,KC,True,9.9,72.9
Bo Bichette,2026-05-12,NYM,True,-5.4,67.9
Bo Bichette,2026-05-13,NYM,True,-5.4,67.9
Bo Bichette,2026-05-14,NYM,True,-5.4,67.9
Bo Bichette,2026-05-15,NYM,True,-5.4,67.9
Michael Harris II,2026-05-12,ATL,True,-13.1,75.1
Michael Harris II,2026-05-13,ATL,True,-13.1,75.1
Michael Harris II,2026-05-14,ATL,True,-13.1,75.1
Michael Harris II,2026-05-15,ATL,True,-13.1,75.1
Brendan Donovan,2026-05-15,SEA,True,,61.9
Jordan Walker,2026-05-15,STL,True,,74.5
