rank,batter,player_name,team,primary_position,pa_to,pa_last21,prior_fp_per_pa,recency_form_gap,xfp_rh3_per_pa,xfp_rh3_per_game,xfp_rh3_sigma,xfp_rh3_sigma_raw,xfp_rh3_sigma_global,xfp_rh3_sigma_hetero,batter_sigma_factor,sigma_calibration_method,xfp_rh3_p25,xfp_rh3_p75,expected_pa_remaining,expected_total_fp_remaining,replacement_xfp_per_pa,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior
1,665742,Juan Soto,NYM,OF,359,25.0,0.7752232503112706,-0.0652,0.7671171702725184,2.68,0.1134963960357768,0.1075864795068277,0.1075864795068277,0.1134963960357768,1.0549317772645774,hetero_v1,0.6905638511463869,0.8436704893986499,78.0,59.8,0.5071578343016413,0.26,add,45.5,490.0,85.8,0.4378,0.1083,78.0,3.5,False
2,677951,Bobby Witt Jr.,KC,SS,423,20.0,0.7342855372768101,-0.043,0.7495782464018397,2.62,0.1074513245545014,0.1075864795068277,0.1075864795068277,0.1074513245545014,0.9987437552288552,hetero_v1,0.6771023279898285,0.8220541648138509,92.0,69.0,0.5522482949622523,0.1973,add,29.0,172.0,71.5,0.2716,0.0287,66.0,0.0,False
3,670541,Yordan Alvarez,HOU,DH,504,84.0,0.722244178150041,-0.0392,0.7458044393452217,2.61,0.1220390400662684,0.1075864795068277,0.1075864795068277,0.1220390400662684,1.1343343571208082,hetero_v1,0.6634891068205236,0.8281197718699197,110.0,82.0,0.4780723282736954,0.2677,add,95.8,616.0,52.9,0.4254,0.0156,68.0,-6.0,False
4,660271,Shohei Ohtani,LAD,TWP,484,78.0,0.8305697639420544,-0.0286,0.7382050327992304,2.58,0.1204674155226378,0.1075864795068277,0.1075864795068277,0.1204674155226378,1.1197263454930009,hetero_v1,0.6569497610292112,0.8194603045692497,106.0,78.2,0.7382050327992304,0.0,hold,29.0,285.0,88.1,0.3284,0.0983,76.0,-2.0,False
5,691406,Junior Caminero,TB,3B,502,87.0,0.6401345177276934,-0.0103,0.7206442029189098,2.52,0.1199307131305417,0.1075864795068277,0.1075864795068277,0.1199307131305417,1.114737778206885,hetero_v1,0.6397509369123595,0.8015374689254602,109.0,78.6,0.5235834022778508,0.1971,add,64.5,111.0,92.8,0.405,0.1036,67.0,15.0,False
6,608070,José Ramírez,CLE,3B,360,46.0,0.7798567227441626,-0.0259,0.7177696845869437,2.51,0.1023921016541132,0.1075864795068277,0.1075864795068277,0.1023921016541132,0.9517190461429236,hetero_v1,0.6487062120212442,0.7868331571526431,78.0,56.0,0.5235834022778508,0.1942,add,29.7,439.0,90.2,0.435,0.1128,66.0,0.0,False
7,592450,Aaron Judge,NYY,OF,261,0.0,0.8614362674987366,-0.0497,0.7085923537242931,2.48,0.1269456833445725,0.1075864795068277,0.1075864795068277,0.1269456833445725,1.1799408617745155,hetero_v1,0.6229674903083788,0.7942172171402073,57.0,40.4,0.5071578343016413,0.2014,add,65.7,730.0,64.0,0.3728,0.0447,80.0,2.0,False
8,682998,Corbin Carroll,AZ,OF,482,84.0,0.6811064751793634,-0.0076,0.6851322393932162,2.4,0.1127394924452007,0.1075864795068277,0.1075864795068277,0.1127394924452007,1.047896473255694,hetero_v1,0.6090894517389283,0.7611750270475042,105.0,71.9,0.5071578343016413,0.178,add,35.5,160.0,90.0,0.358,0.1125,67.0,3.5,False
9,677594,Julio Rodríguez,SEA,OF,451,72.0,0.5745068657181112,-0.0076,0.6576887291502819,2.3,0.1095926900998201,0.1075864795068277,0.1075864795068277,0.1095926900998201,1.0186474230050917,hetero_v1,0.5837684596779532,0.7316089986226105,98.0,64.5,0.5071578343016413,0.1505,add,41.0,227.0,92.1,0.2624,0.1047,61.0,1.5,False
10,701762,Nick Kurtz,ATH,1B,436,22.0,0.7019929594255337,-0.0476,0.653609912763992,2.29,0.1300266994995748,0.1075864795068277,0.1075864795068277,0.1300266994995748,1.208578439369075,hetero_v1,0.5659069039515289,0.7413129215764552,95.0,62.1,0.5728714641460441,0.0807,hold,3.5,3.0,100.0,0.495,0.3322,69.0,0.0,True
11,671277,Luis García Jr.,NYY,1B,386,67.0,0.5612556749652818,-0.0172,0.6491556868657057,2.27,0.1099103702341605,0.1075864795068277,0.1075864795068277,0.1099103702341605,1.0216002116435583,hetero_v1,0.5750211421427643,0.723290231588647,84.0,54.5,0.5728714641460441,0.0763,add,16.4,93.0,96.8,0.2759,0.1126,59.0,2.0,False
12,686948,Drake Baldwin,ATL,C,405,86.0,0.6564943796204381,-0.009,0.6431583436609124,2.25,0.1135751621555732,0.1075864795068277,0.1075864795068277,0.1135751621555732,1.0556638963947642,hetero_v1,0.5665518967869783,0.7197647905348465,88.0,56.6,0.5266768880291347,0.1165,add,66.3,59.0,89.8,0.4109,0.0948,65.0,0.0,True
13,695578,James Wood,WSH,OF,537,81.0,0.5011555751504425,-0.0671,0.6425517059163051,2.25,0.1256743194647337,0.1075864795068277,0.1075864795068277,0.1256743194647337,1.168123727449954,hetero_v1,0.5577843774373422,0.7273190343952679,117.0,75.2,0.5071578343016413,0.1354,add,55.4,112.0,82.1,0.26,0.0941,61.0,5.0,False
14,606466,Ketel Marte,AZ,2B,483,78.0,0.7089169088062854,-0.0358,0.6406215702763491,2.24,0.1091155951846113,0.1075864795068277,0.1075864795068277,0.1091155951846113,1.0142128981707832,hetero_v1,0.5670231013243288,0.7142200392283695,105.0,67.3,0.5178999715490752,0.1227,add,10.2,121.0,86.8,0.31,0.1535,71.0,5.5,False
15,605141,Mookie Betts,LAD,SS,330,71.0,0.7174539102871327,-0.0047,0.6399056635379426,2.24,0.0971700084783112,0.1075864795068277,0.1075864795068277,0.0971700084783112,0.9031804825637456,hetero_v1,0.5743644928193218,0.7054468342565635,72.0,46.1,0.5522482949622523,0.0877,add,,,,,,60.0,-8.0,False
16,621566,Matt Olson,ATL,1B,499,83.0,0.61545239844392,-0.011,0.6332100403993746,2.22,0.1195437738468027,0.1075864795068277,0.1075864795068277,0.1195437738468027,1.1111412362853283,hetero_v1,0.5525777649397061,0.713842315859043,109.0,69.0,0.5728714641460441,0.0603,hold,85.7,1014.0,55.8,0.3134,0.0142,63.0,-6.0,False
17,650490,Yandy Díaz,TB,DH,480,86.0,0.6082211906116272,-0.0356,0.6290131208470483,2.2,0.1023118647189423,0.1075864795068277,0.1075864795068277,0.1023118647189423,0.9509732560070367,hetero_v1,0.5600037680941217,0.6980224735999749,105.0,66.0,0.4780723282736954,0.1509,add,85.9,746.0,64.2,0.3507,0.0323,65.0,-1.5,False
18,691718,Pete Crow-Armstrong,CHC,OF,506,88.0,0.5591763403600049,-0.0079,0.6272230276939169,2.2,0.1166201163280847,0.1075864795068277,0.1075864795068277,0.1166201163280847,1.083966283334736,hetero_v1,0.5485627592306237,0.7058832961572101,110.0,69.0,0.5071578343016413,0.1201,add,30.9,76.0,98.7,0.2673,0.1962,57.0,11.0,False
19,621439,Byron Buxton,MIN,OF,362,27.0,0.6226206328325757,-0.0166,0.6233799569804092,2.18,0.1206185751612223,0.1075864795068277,0.1075864795068277,0.1206185751612223,1.12113135139409,hetero_v1,0.5420227280341647,0.7047371859266536,79.0,49.2,0.5071578343016413,0.1162,add,70.5,585.0,74.4,0.25,0.0969,64.0,6.0,False
20,671739,Michael Harris II,ATL,OF,437,81.0,0.5098648439059329,-0.0254,0.6201628640217348,2.17,0.1097357730388372,0.1075864795068277,0.1075864795068277,0.1097357730388372,1.0199773572093982,hetero_v1,0.5461460851070391,0.6941796429364305,95.0,58.9,0.5071578343016413,0.113,add,85.0,415.0,59.8,0.3035,0.0403,54.0,-4.0,False
21,678246,Miguel Vargas,CWS,3B,489,80.0,0.4782650392011536,-0.047,0.6197033954385587,2.17,0.1108170703024993,0.1075864795068277,0.1075864795068277,0.1108170703024993,1.0300278511805616,hetero_v1,0.5449572815195229,0.6944495093575944,107.0,66.3,0.5235834022778508,0.0961,add,87.3,240.0,53.8,0.2494,0.0224,56.0,3.5,False
22,672695,Geraldo Perdomo,AZ,SS,481,90.0,0.6360597405834303,-0.0017,0.6185224005753885,2.16,0.0939529964570713,0.1075864795068277,0.1075864795068277,0.0939529964570713,0.8732788440308508,hetero_v1,0.555151104465094,0.6818936966856831,105.0,64.9,0.5522482949622523,0.0663,add,73.8,383.0,62.9,0.2723,0.0454,63.0,10.5,False
23,547180,Bryce Harper,PHI,1B,485,77.0,0.6341615729107222,-0.0249,0.6171589186791531,2.16,0.1179317228593541,0.1075864795068277,0.1075864795068277,0.1179317228593541,1.0961574669972347,hetero_v1,0.5376139716105187,0.6967038657477874,106.0,65.4,0.5728714641460441,0.0443,hold,48.6,678.0,77.4,0.3657,0.0762,65.0,-1.0,False
