rank,pitcher,player_name,gs_to,fp_per_start_to,xfp_rp1_per_start,k_pct_to,bb_pct_to,swstr_pct_to,c_plus_swstr_to,zone_pct_to,z_swing_pct_to,o_swing_pct_to,avg_velo_to,xwoba_per_pa_to,xwoba_x_swstr_to,fp_per_start_to,gs_to,split_day
1,694819,"Misiorowski, Jacob",6,16.299999999999997,15.832193230507583,0.3722627737226277,0.0948905109489051,0.1873873873873874,0.3531531531531531,0.4792792792792792,0.6578947368421053,0.3044982698961938,96.26021699819168,0.2763722627737226,0.0517886762675083,16.299999999999997,6,30
2,693645,"Schlittler, Cam",6,18.933333333333334,15.038188854081369,0.3082706766917293,0.0300751879699248,0.1735700197238658,0.2998027613412228,0.5108481262327417,0.7451737451737451,0.407258064516129,94.98217821782178,0.2453560606060606,0.0425864562787639,18.933333333333334,6,30
3,656302,"Cease, Dylan",5,15.5,14.808164106803819,0.3873873873873873,0.1261261261261261,0.1838383838383838,0.3333333333333333,0.4080808080808081,0.6485148514851485,0.3276450511945392,91.91010101010102,0.2701181818181818,0.0496580899908172,15.5,5,30
4,571510,"Boyd, Matthew",3,12.0,14.79175072001539,0.3928571428571428,0.0535714285714285,0.2122448979591836,0.3469387755102041,0.4489795918367347,0.7181818181818181,0.3925925925925926,86.96979591836734,0.306125,0.0649734693877551,12.0,3,30
5,663567,"Lambert, Peter",2,12.55,14.645552662672713,0.3125,0.0833333333333333,0.2096774193548387,0.3655913978494624,0.4623655913978494,0.6744186046511628,0.36,90.39784946236558,0.2724375,0.0571239919354838,12.55,2,30
6,667755,"Soriano, José",6,22.366666666666664,14.643385258433293,0.3071428571428571,0.0857142857142857,0.1506129597197898,0.3362521891418564,0.4378283712784588,0.572,0.3551401869158878,93.05079365079364,0.2686204379562044,0.0404577192018101,22.366666666666664,6,30
7,594798,"deGrom, Jacob",5,15.46,14.356394366241517,0.3365384615384615,0.0576923076923076,0.1697674418604651,0.313953488372093,0.5232558139534884,0.7066666666666667,0.3317073170731707,93.4049180327869,0.2803,0.0475858139534883,15.46,5,30
8,660271,"Ohtani, Shohei",4,20.3,13.784061216704355,0.2717391304347826,0.0652173913043478,0.1598915989159891,0.3197831978319783,0.4769647696476964,0.6590909090909091,0.3419689119170984,90.44579945799458,0.2262065217391304,0.036168522446094,20.3,4,30
9,607192,"Glasnow, Tyler",5,21.18,13.68291909998119,0.3166666666666666,0.0583333333333333,0.130879345603272,0.3292433537832311,0.476482617586912,0.6008583690987125,0.296875,90.45184426229508,0.2351083333333333,0.0307708248125426,21.18,5,30
10,669373,"Skubal, Tarik",6,16.48333333333333,13.401807987752388,0.2676056338028169,0.0422535211267605,0.1511194029850746,0.3059701492537313,0.4832089552238806,0.6795366795366795,0.371841155234657,92.567476635514,0.2778098591549295,0.0419824600588606,16.48333333333333,6,30
11,690997,"McLean, Nolan",5,20.02,13.387826765801494,0.3333333333333333,0.0701754385964912,0.1125265392781316,0.3333333333333333,0.5074309978768577,0.5732217573221757,0.2456896551724137,91.12377919320596,0.2231228070175438,0.0251072373077066,20.02,5,30
12,695505,"Burns, Chase",5,15.06,13.282002940531648,0.2702702702702703,0.0990990990990991,0.1564625850340136,0.3083900226757369,0.473922902494331,0.6746411483253588,0.3060344827586206,94.73333333333332,0.2947064220183486,0.0461105286151157,15.06,5,30
