rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,data_quality_tag,marcel_baseline,data_driven_estimate,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_sigma_raw,sigma_calibration_method,xfp_rp3_p25,xfp_rp3_p75,xfp_rp3_decision_p25,xfp_rp3_decision_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,arche_overall_prior,slope_3yr_prior,traj_career_low_prior,shadow_velo_pct_prior,shadow_bb_pct_prior,high_k_z_year_prior
1,694819,"Misiorowski, Jacob",20,2.0,21.6,18.35,-3.25,10.877801342680364,rp3_model,data_driven_full,10.878,20.5315941060152,0,20.5315941060152,9.056225394807583,3.757769873364142,global_alpha_v1,14.423170077217485,26.640018134812912,17.996978326431083,23.066209885599317,LAA,0.9767,0.9767,1.0385015428120228,21.32,12.555,7.976,add,100.0,8.0,60.0,0.8965,0.0746,61.0,0.0,True,99.23664122137404,45.80152671755725,1.680112420976408
2,669373,"Skubal, Tarik",16,4.0,17.86875,22.45,4.581,18.36363252492713,rp3_model,data_driven_full,18.364,17.51798342152258,0,17.51798342152258,9.056225394807583,3.757769873364142,global_alpha_v1,11.409559392724866,23.626407450320293,14.983367641938466,20.05259920110669,,,,1.0,17.52,12.555,4.963,add,50.8,65.0,73.8,0.8176,0.127,78.0,-1.0,False,95.80152671755725,87.02290076335878,1.4136018888158661
3,694973,"Skenes, Paul",22,4.0,14.2,10.749999999999998,-3.45,17.49780194825302,rp3_model,data_driven_full,17.498,15.69531650243634,0,15.69531650243634,9.056225394807583,3.757769873364142,global_alpha_v1,9.586892473638628,21.80374053123405,13.160700722852228,18.229932282020457,,,,1.0,15.7,12.555,3.14,add,14.3,7.0,100.0,1.0316,0.1609,70.0,-3.0,False,97.70992366412213,83.20610687022901,0.6753001830395088
4,669302,"Gilbert, Logan",22,3.0,15.559090909090909,14.833333333333334,-0.726,15.300656705868787,rp3_model,data_driven_full,15.301,15.572040474893338,0,15.572040474893338,9.056225394807583,3.757769873364142,global_alpha_v1,9.463616446095624,21.68046450369105,13.037424695309223,18.106656254477453,MIN,0.9735,0.9735,1.1174538095639452,17.4,12.555,3.017,add,18.6,26.0,100.0,0.8504,0.2833,68.0,6.0,False,82.44274809160305,82.06106870229007,1.7071606681936105
5,668909,"Williams, Gavin",22,3.0,15.55,25.0,9.45,11.526250375750102,rp3_model,data_driven_full,11.526,15.343225336124789,0,15.343225336124789,9.056225394807583,3.757769873364142,global_alpha_v1,9.234801307327077,21.451649364922503,12.808609556540675,17.877841115708904,AZ,0.9936,0.9936,1.033731340192809,15.86,12.555,2.788,add,96.5,55.0,70.4,0.7266,0.0753,48.0,-3.5,False,80.1526717557252,19.46564885496183,0.7595393754399822
6,808967,"Yamamoto, Yoshinobu",20,3.0,18.03,20.633333333333333,2.603,16.304390144136278,rp3_model,data_driven_full,16.304,15.192737359612476,0,15.192737359612476,9.056225394807583,3.757769873364142,global_alpha_v1,9.084313330814762,21.30116138841019,12.658121580028364,17.72735313919659,BOS,0.9728,0.9728,1.0802314169947604,16.41,12.555,2.637,add,22.0,9.0,100.0,0.9907,0.2267,66.0,1.0,False,69.08396946564885,25.954198473282442,0.6659179295753811
7,554430,"Wheeler, Zack",17,3.0,18.088235294117645,16.23333333333333,-1.855,16.94967077564764,rp3_model,data_driven_full,16.95,15.085795095852406,0,15.085795095852406,9.056225394807583,3.757769873364142,global_alpha_v1,8.97737106705469,21.19421912465012,12.551179316268293,17.62041087543652,BAL,1.0233,1.0233,0.9508210741690928,14.34,12.555,2.53,hold,,,,,,70.0,1.5,False,83.20610687022901,95.41984732824427,1.5383810286060728
8,693645,"Schlittler, Cam",23,3.0,17.726086956521737,21.46666666666667,3.741,12.864468009347028,rp3_model,data_driven_full,12.864,15.05806655220722,0,15.05806655220722,9.056225394807583,3.757769873364142,global_alpha_v1,8.949642523409505,21.166490581004933,12.523450772623104,17.592682331791334,,,,1.0,15.06,12.555,2.503,hold,100.0,8.0,100.0,1.0435,0.1896,55.0,0.0,True,91.98473282442748,54.961832061068705,0.411122998970977
9,656302,"Cease, Dylan",20,3.0,18.009999999999998,21.03333333333333,3.023,12.474583587628851,rp3_model,data_driven_full,12.475,15.005164918686503,0,15.005164918686503,9.056225394807583,3.757769873364142,global_alpha_v1,8.89674088988879,21.11358894748422,12.470549139102392,17.53978069827062,,,,1.0,15.01,12.555,2.45,hold,59.9,109.0,88.7,0.8023,0.1552,61.0,1.5,False,92.74809160305344,35.11450381679389,1.221097971902449
10,660271,"Ohtani, Shohei",14,0.0,17.971428571428568,17.971428571428568,0.0,12.556493754868242,rp3_model,data_driven_full,12.556,14.904405053676838,0,14.904405053676838,9.056225394807583,3.757769873364142,global_alpha_v1,8.795981024879122,21.012829082474557,12.369789274092724,17.43902083326095,,,,1.0,14.9,12.555,2.349,hold,82.3,79.0,68.9,0.9663,0.0673,80.0,3.64,False,96.18320610687023,67.93893129770993,1.8863717488880134
