mlbam_id,player_name,team,proj_ros_g_per_teamgame,naive_pace,proj_ros_g,team_games_remaining_implied,volume_percentile,g_to,team_games_to,g_per_teamgame_to,g_last21,ip_per_g_to,gf_pct_to,sv_per_g_to,hld_per_g_to,fp_skill_per_g_to,prior1_g_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
676477,Garrett Whitlock,BOS,0.4292,0.3762,26.2,61.0,100.0,38,101.0,0.3762,10.0,0.9649,0.0789,0.0789,0.4737,2.7895,0.3827,5.0,0.0,44.0,1.0,119
671922,Cade Smith,CLE,0.4231,0.4272,25.0,59.0,99.7,44,103.0,0.4272,8.0,1.053,0.7955,0.75,0.0,2.9977,0.4691,2.0,0.0,173.0,0.0,119
683769,Hunter Gaddis,CLE,0.4165,0.3689,24.6,59.0,99.4,38,103.0,0.3689,9.0,0.8684,0.0263,0.0263,0.5263,2.1289,0.4506,2.0,0.0,173.0,0.0,119
687396,Brent Headrick,NYY,0.4069,0.5,24.4,60.0,99.1,51,102.0,0.5,9.0,1.0196,0.0196,0.0196,0.2157,3.1294,0.0,0.0,0.0,173.0,0.0,119
595345,Steven Okert,HOU,0.4053,0.4615,23.5,58.0,98.8,48,104.0,0.4615,9.0,0.9583,0.0208,0.0,0.25,2.6,0.4198,9.0,0.0,173.0,0.0,119
695243,Mason Miller,SD,0.3999,0.3922,24.0,60.0,98.6,40,102.0,0.3922,7.0,1.05,0.775,0.625,0.0,4.215,0.3704,2.0,0.0,173.0,0.0,119
656464,Kevin Ginkel,AZ,0.3963,0.4412,23.8,60.0,98.3,45,102.0,0.4412,10.0,0.8963,0.0222,0.0,0.2222,1.8911,0.179,7.0,0.0,173.0,0.0,119
660853,Enyel De Los Santos,HOU,0.3962,0.4327,23.0,58.0,98.0,45,104.0,0.4327,9.0,1.0519,0.1556,0.1556,0.1556,2.2933,0.4012,5.0,0.0,173.0,0.0,119
669276,Dylan Lee,ATL,0.3946,0.4653,24.1,61.0,97.7,47,101.0,0.4653,7.0,0.9645,0.0,0.0,0.4255,3.183,0.4568,4.0,0.0,173.0,0.0,119
670970,Adrian Morejon,SD,0.3869,0.4608,23.2,60.0,97.4,47,102.0,0.4608,8.0,1.1348,0.0638,0.0213,0.2979,2.4681,0.463,4.0,0.0,173.0,0.0,119
682842,Abner Uribe,MIL,0.3846,0.4118,23.1,60.0,97.1,42,102.0,0.4118,8.0,0.9841,0.2381,0.1429,0.2619,2.5571,0.463,3.0,0.0,173.0,0.0,119
518585,Fernando Cruz,NYY,0.3839,0.4706,23.0,60.0,96.8,48,102.0,0.4706,8.0,0.8819,0.0625,0.0417,0.25,2.2229,0.3025,3.0,0.0,173.0,0.0,119
547973,Aroldis Chapman,BOS,0.3826,0.3366,23.3,61.0,96.5,34,101.0,0.3366,8.0,0.9314,0.7353,0.6471,0.0,2.4265,0.4136,9.0,0.0,173.0,0.0,119
681911,Alex Vesia,LAD,0.378,0.4369,22.3,59.0,96.2,45,103.0,0.4369,7.0,0.7556,0.0889,0.0667,0.3111,2.3378,0.4198,5.0,0.0,173.0,0.0,119
666974,Yennier Cano,BAL,0.3729,0.4369,22.0,59.0,95.9,45,103.0,0.4369,8.0,0.7259,0.0667,0.0222,0.1333,1.6622,0.4012,3.0,0.0,173.0,0.0,119
656271,Brock Burke,CIN,0.3723,0.505,22.7,61.0,95.7,51,101.0,0.505,8.0,0.9281,0.0784,0.0196,0.1569,1.6118,0.4259,4.0,0.0,173.0,0.0,119
669330,Tyler Wells,BAL,0.368,0.3786,21.7,59.0,95.4,39,103.0,0.3786,9.0,1.2222,0.1538,0.0769,0.2051,2.9821,0.0,5.0,0.0,173.0,0.0,119
592773,Ryne Stanek,STL,0.3635,0.4257,22.2,61.0,95.1,43,101.0,0.4257,8.0,0.876,0.0698,0.0233,0.3256,1.3558,0.4012,9.0,0.0,173.0,0.0,119
657612,Tim Hill,NYY,0.3633,0.451,21.8,60.0,94.8,46,102.0,0.451,8.0,0.8188,0.1304,0.0,0.1739,1.3978,0.4321,8.0,0.0,173.0,0.0,119
657514,Brennan Bernardino,COL,0.3607,0.4712,20.9,58.0,94.5,49,104.0,0.4712,8.0,0.8435,0.0408,0.0204,0.0816,1.5388,0.3395,2.0,0.0,173.0,0.0,119
573204,Caleb Thielbar,CHC,0.3604,0.3431,21.6,60.0,94.2,35,102.0,0.3431,8.0,0.8476,0.0571,0.0571,0.1429,2.1114,0.4136,5.0,0.0,65.0,1.0,119
666661,Juan Morillo,AZ,0.3586,0.4314,21.5,60.0,93.9,44,102.0,0.4314,8.0,0.9242,0.1136,0.0227,0.2273,2.2545,0.2593,1.0,0.0,173.0,0.0,119
676879,Aaron Ashby,MIL,0.3571,0.4608,21.4,60.0,93.6,47,102.0,0.4608,8.0,1.2057,0.0851,0.0213,0.1702,2.7234,0.2654,1.0,0.0,173.0,0.0,119
643511,Tyler Rogers,TOR,0.3567,0.4608,21.4,60.0,93.3,47,102.0,0.4608,6.0,0.9574,0.0638,0.0426,0.383,2.0957,0.5,6.0,0.0,173.0,0.0,119
656945,Tanner Scott,LAD,0.3556,0.4175,21.0,59.0,93.0,43,103.0,0.4175,6.0,0.9535,0.4884,0.3488,0.1395,3.0302,0.3765,8.0,0.0,173.0,0.0,119
628452,Raisel Iglesias,ATL,0.355,0.3366,21.7,61.0,92.8,34,101.0,0.3366,7.0,1.0196,0.8235,0.5588,0.0,2.8059,0.4321,9.0,0.0,79.0,1.0,119
805299,Brandyn Garcia,AZ,0.3538,0.3039,21.2,60.0,92.5,31,102.0,0.3039,8.0,0.828,0.0968,0.0323,0.2581,2.8613,0.0,0.0,0.0,173.0,0.0,119
670059,Colin Holderman,CLE,0.3529,0.3689,20.8,59.0,92.2,38,103.0,0.3689,8.0,0.9649,0.0526,0.0263,0.2368,2.8158,0.1481,4.0,0.0,173.0,0.0,119
678606,José A. Ferrer,SEA,0.3518,0.4563,20.8,59.0,91.9,47,103.0,0.4563,7.0,0.8794,0.1064,0.0638,0.1702,1.6894,0.4444,3.0,0.0,173.0,0.0,119
800311,Didier Fuentes,ATL,0.3512,0.3267,21.4,61.0,91.6,33,101.0,0.3267,8.0,1.1515,0.0303,0.0303,0.3333,3.0424,0.0,0.0,0.0,173.0,0.0,119
656848,Michael Petersen,MIA,0.3484,0.3981,20.6,59.0,91.3,41,103.0,0.3981,7.0,1.0244,0.0244,0.0244,0.3659,2.8683,0.0,0.0,0.0,173.0,0.0,119
676617,Riley O'Brien,STL,0.3481,0.4158,21.2,61.0,91.0,42,101.0,0.4158,7.0,0.9762,0.7619,0.6429,0.0476,1.8167,0.2593,1.0,0.0,173.0,0.0,119
542888,Shawn Armstrong,CLE,0.3477,0.3592,20.5,59.0,90.7,37,103.0,0.3592,8.0,0.8559,0.1081,0.027,0.2162,1.7703,0.4383,9.0,0.0,66.0,1.0,119
670329,Rico Garcia,BAL,0.3455,0.4466,20.4,59.0,90.4,46,103.0,0.4466,7.0,0.9203,0.1739,0.1087,0.2174,2.5587,0.179,1.0,0.0,173.0,0.0,119
656546,Jeff Hoffman,TOR,0.3449,0.451,20.7,60.0,90.1,46,102.0,0.451,6.0,0.9203,0.1739,0.1087,0.2174,2.1239,0.4383,4.0,0.0,173.0,0.0,119
642528,Jonathan Loáisiga,AZ,0.3434,0.4216,20.6,60.0,89.9,43,102.0,0.4216,8.0,0.9302,0.093,0.0233,0.1628,2.2326,0.1852,5.0,0.0,173.0,0.0,119
686973,Louis Varland,TOR,0.3429,0.451,20.6,60.0,89.6,46,102.0,0.451,5.0,1.058,0.5217,0.413,0.087,3.2957,0.4568,1.0,0.0,173.0,0.0,119
666171,Ryan Zeferjahn,LAA,0.3427,0.3981,20.2,59.0,89.3,41,103.0,0.3981,7.0,1.1382,0.1707,0.0732,0.0976,3.122,0.3827,1.0,0.0,173.0,0.0,119
661395,Jhoan Duran,PHI,0.3424,0.3495,20.2,59.0,89.0,36,103.0,0.3495,5.0,0.9352,0.8611,0.6944,0.0,3.3083,0.4444,4.0,0.0,79.0,1.0,119
656730,Trevor Megill,MIL,0.3421,0.3922,20.5,60.0,88.7,40,102.0,0.3922,6.0,0.9833,0.475,0.375,0.125,2.945,0.3086,5.0,0.0,173.0,0.0,119
681870,Erik Sabrowski,CLE,0.3409,0.3592,20.1,59.0,88.4,37,103.0,0.3592,7.0,0.7838,0.0,0.0,0.4054,2.127,0.2037,1.0,0.0,34.0,1.0,119
670280,David Bednar,NYY,0.3407,0.3824,20.4,60.0,88.1,39,102.0,0.3824,6.0,1.094,0.8205,0.5641,0.0,2.7385,0.3951,5.0,0.0,173.0,0.0,119
687911,Bryan King,HOU,0.3402,0.4038,19.7,58.0,87.8,42,104.0,0.4038,7.0,1.0635,0.1429,0.1429,0.2857,1.5333,0.4198,2.0,0.0,173.0,0.0,119
689266,Dylan Dodd,ATL,0.3394,0.2475,20.7,61.0,87.5,25,101.0,0.2475,8.0,1.1733,0.12,0.04,0.28,3.792,0.1728,1.0,0.0,65.0,1.0,119
660825,Eduard Bazardo,SEA,0.3392,0.4563,20.0,59.0,87.2,47,103.0,0.4563,6.0,0.9291,0.0,0.0,0.3191,2.0021,0.4506,2.0,0.0,173.0,0.0,119
687330,Kevin Kelly,TB,0.3391,0.4257,20.7,61.0,87.0,43,101.0,0.4257,6.0,1.0698,0.1628,0.0698,0.4419,2.6465,0.2531,3.0,0.0,173.0,0.0,119
623352,Josh Hader,HOU,0.3382,0.1923,19.6,58.0,86.7,20,104.0,0.1923,7.0,0.9167,0.7,0.6,0.0,3.275,0.2963,9.0,0.0,173.0,0.0,119
657097,Jacob Webb,CHC,0.338,0.4314,20.3,60.0,86.4,44,102.0,0.4314,7.0,0.9545,0.2045,0.0909,0.1136,2.0364,0.3395,7.0,0.0,173.0,0.0,119
669711,Greg Weissert,BOS,0.3362,0.4059,20.5,61.0,86.1,41,101.0,0.4059,7.0,0.935,0.0732,0.0,0.1707,1.5244,0.4444,2.0,0.0,173.0,0.0,119
641329,Bryan Baker,TB,0.3357,0.396,20.5,61.0,85.8,40,101.0,0.396,5.0,0.9583,0.725,0.575,0.05,3.0375,0.4506,4.0,0.0,173.0,0.0,119
592155,Cam Booser,TB,0.3357,0.1881,20.5,61.0,85.5,19,101.0,0.1881,8.0,1.0702,0.0,0.0,0.2105,3.7421,0.2407,2.0,0.0,173.0,0.0,119
623149,Paul Sewald,AZ,0.3353,0.3922,20.1,60.0,85.2,40,102.0,0.3922,7.0,0.9083,0.675,0.575,0.0,2.1225,0.1358,9.0,0.0,173.0,0.0,119
689147,Orion Kerkering,PHI,0.3339,0.4078,19.7,59.0,84.9,42,103.0,0.4078,6.0,0.9365,0.0952,0.0238,0.2619,2.1619,0.4259,2.0,0.0,173.0,0.0,119
666277,George Soriano,STL,0.3321,0.4455,20.3,61.0,84.6,45,101.0,0.4455,7.0,0.9778,0.0667,0.0444,0.2667,2.1822,0.1481,3.0,0.0,173.0,0.0,119
