rank,pitcher,name,team_abbr,role,fp,xfp_rps1_total
1,547973,Aroldis Chapman,,closer,396.4,310.9
2,695243,Mason Miller,,closer,344.5,298.0
3,623352,Josh Hader,,closer,318.8,295.2
4,621242,Edwin Díaz,,closer,366.9,293.2
5,671922,Cade Smith,,closer,339.1,268.6
6,661395,Jhoan Duran,,closer,361.0,266.6
7,656730,Trevor Megill,,closer,286.1,265.1
8,662253,Andrés Muñoz,,closer,386.7,264.9
9,628452,Raisel Iglesias,,closer,327.2,264.6
10,670280,David Bednar,,closer,337.8,264.1
11,663158,Robert Suarez,,closer,393.9,263.9
12,661403,Emmanuel Clase,,closer,229.2,259.4
13,641941,Emilio Pagán,,closer,362.6,247.5
14,656546,Jeff Hoffman,,closer,322.4,247.0
15,694037,Daniel Palencia,,closer,260.8,245.7
16,664126,Pete Fairbanks,,closer,291.1,238.1
17,445276,Kenley Jansen,,closer,305.7,235.7
18,642207,Devin Williams,,closer,274.6,234.6
19,656945,Tanner Scott,,closer,243.1,232.5
20,676684,Will Vest,,closer,292.6,230.4
21,642701,Dennis Santana,,closer,300.1,227.6
22,640448,Kyle Finnegan,,closer,261.1,226.6
23,680736,Justin Wrobleski,,long_low,171.0,226.5
24,608032,Carlos Estévez,,closer,371.8,221.8
25,642585,Félix Bautista,,closer,200.4,221.4
26,664854,Ryan Helsley,,closer,211.8,218.8
27,682842,Abner Uribe,,setup,335.6,217.7
28,678606,José A. Ferrer,,closer,239.9,215.6
29,650556,Bryan Abreu,,setup,302.3,215.4
30,664076,Garrett Cleavinger,,setup,239.4,215.3
31,678495,Randy Rodríguez,,middle,211.2,215.1
32,596133,Luke Weaver,,closer,248.4,213.7
33,691799,Grant Taylor,,middle,131.0,210.7
34,669093,Jeremiah Estrada,,setup,279.9,210.7
35,571946,Shelby Miller,,closer,193.8,209.8
36,542888,Shawn Armstrong,,closer,283.2,207.7
37,642100,Gabe Speier,,setup,239.6,206.2
38,643377,Griffin Jax,,setup,224.8,206.1
39,676395,Robert Garcia,,closer,231.2,206.1
40,656986,Bennett Sousa,,middle,176.2,205.2
41,666808,Camilo Doval,,closer,246.6,201.8
42,676477,Garrett Whitlock,,setup,262.6,199.3
43,678692,Ronny Henriquez,,setup,305.9,199.2
44,676254,Ryan Walker,,closer,223.4,199.0
45,552640,Andrew Kittredge,,setup,201.9,196.7
46,664208,Phil Maton,,setup,242.4,193.3
47,669276,Dylan Lee,,setup,232.5,189.7
48,670970,Adrian Morejon,,setup,268.1,188.7
49,670955,Edwin Uceta,,setup,239.8,187.3
50,595345,Steven Okert,,middle,231.5,186.0
51,681911,Alex Vesia,,setup,249.9,185.7
52,682254,Mason Montgomery,,middle,104.8,185.1
53,687911,Bryan King,,setup,240.4,184.0
54,641329,Bryan Baker,,setup,224.6,183.8
55,670329,Rico Garcia,,long_low,106.3,183.8
56,672282,Reid Detmers,,middle,190.1,182.0
57,678020,Seth Halvorsen,,closer,123.9,180.1
58,676879,Aaron Ashby,,middle,209.0,179.4
59,694335,Matt Svanson,,middle,194.1,178.3
