mlbam_id,player_name,team,proj_ros_gs_per_teamgame,naive_pace,proj_ros_starts,team_games_remaining_implied,volume_percentile,gs_to,team_games_to,gs_per_teamgame_to,gs_last21,fp_per_start_to,prior1_gs_per_g,career_stage,is_on_il_at_split,days_since_il_return_imp,il_stints_to,split_day
656302,"Cease, Dylan",TOR,0.2046,0.1783,6.8,33.0,100.0,23,129.0,0.1783,4.0,18.3783,0.1975,7.0,0.0,73.0,1.0,148
650911,"Sánchez, Cristopher",PHI,0.1985,0.2031,6.7,34.0,99.7,26,128.0,0.2031,4.0,16.1846,0.1975,3.0,0.0,170.0,0.0,148
669302,"Gilbert, Logan",SEA,0.1937,0.1953,6.6,34.0,99.3,25,128.0,0.1953,4.0,15.496,0.1543,5.0,0.0,170.0,0.0,148
668909,"Williams, Gavin",CLE,0.1912,0.2031,6.5,34.0,99.0,26,128.0,0.2031,4.0,15.5577,0.1914,3.0,0.0,170.0,0.0,148
554430,"Wheeler, Zack",PHI,0.1906,0.1641,6.5,34.0,98.6,21,128.0,0.1641,4.0,16.0762,0.1481,9.0,0.0,170.0,0.0,148
669373,"Skubal, Tarik",DET,0.1877,0.1496,6.6,35.0,98.3,19,127.0,0.1496,3.0,17.1053,0.1914,6.0,0.0,69.0,1.0,148
694973,"Skenes, Paul",PIT,0.1871,0.1938,6.2,33.0,97.9,25,129.0,0.1938,4.0,13.588,0.1975,2.0,0.0,170.0,0.0,148
671737,"Bradley, Taj",MIN,0.1865,0.1953,6.3,34.0,97.6,25,128.0,0.1953,4.0,13.0,0.1667,3.0,0.0,90.0,1.0,148
684007,"Imanaga, Shota",CHC,0.186,0.1953,6.3,34.0,97.2,25,128.0,0.1953,4.0,13.424,0.1481,2.0,0.0,170.0,0.0,148
608379,"Wacha, Michael",KC,0.1854,0.1938,6.1,33.0,96.9,25,129.0,0.1938,4.0,12.428,0.1914,11.0,0.0,170.0,0.0,148
676440,"Bibee, Tanner",CLE,0.1846,0.2031,6.3,34.0,96.5,26,128.0,0.2031,4.0,11.5462,0.1914,3.0,0.0,170.0,0.0,148
592332,"Gausman, Kevin",TOR,0.183,0.2016,6.0,33.0,96.2,26,129.0,0.2016,4.0,10.9154,0.1975,11.0,0.0,170.0,0.0,148
694819,"Misiorowski, Jacob",MIL,0.1824,0.1797,6.2,34.0,95.8,23,128.0,0.1797,3.0,21.4652,0.0864,1.0,0.0,170.0,0.0,148
650633,"King, Michael",SD,0.1824,0.2031,6.2,34.0,95.5,26,128.0,0.2031,4.0,12.8,0.0926,2.0,0.0,170.0,0.0,148
656876,"Rasmussen, Drew",TB,0.182,0.189,6.4,35.0,95.1,24,127.0,0.189,4.0,14.6583,0.1914,5.0,0.0,170.0,0.0,148
808967,"Yamamoto, Yoshinobu",LAD,0.1818,0.1719,6.2,34.0,94.8,22,128.0,0.1719,3.0,18.0909,0.1728,2.0,0.0,170.0,0.0,148
686613,"Brown, Hunter",HOU,0.1802,0.1016,6.1,34.0,94.4,13,128.0,0.1016,4.0,11.0692,0.1914,3.0,0.0,66.0,1.0,148
624133,"Suarez, Ranger",BOS,0.1796,0.1732,6.3,35.0,94.1,22,127.0,0.1732,4.0,11.7455,0.1605,5.0,0.0,39.0,1.0,148
657277,"Webb, Logan",SF,0.179,0.1732,6.3,35.0,93.7,22,127.0,0.1732,3.0,13.5591,0.2099,6.0,0.0,84.0,1.0,148
645261,"Alcantara, Sandy",MIA,0.179,0.2109,6.1,34.0,93.4,27,128.0,0.2109,4.0,12.6519,0.1914,7.0,0.0,170.0,0.0,148
594798,"deGrom, Jacob",TEX,0.1788,0.1875,6.1,34.0,93.0,24,128.0,0.1875,4.0,13.7292,0.1852,11.0,0.0,170.0,0.0,148
607259,"Martinez, Nick",TB,0.1782,0.189,6.2,35.0,92.7,24,127.0,0.189,4.0,12.0792,0.1605,11.0,0.0,170.0,0.0,148
694297,"Pfaadt, Brandon",AZ,0.1779,0.1016,6.0,34.0,92.3,13,128.0,0.1016,4.0,13.6231,0.1975,3.0,0.0,170.0,0.0,148
664285,"Valdez, Framber",DET,0.1777,0.189,6.2,35.0,92.0,24,127.0,0.189,4.0,10.1417,0.1914,6.0,0.0,170.0,0.0,148
543243,"Gray, Sonny",BOS,0.1765,0.1811,6.2,35.0,91.6,23,127.0,0.1811,3.0,13.4348,0.1975,11.0,0.0,107.0,1.0,148
669923,"Kirby, George",SEA,0.1765,0.1875,6.0,34.0,91.3,24,128.0,0.1875,4.0,10.2167,0.142,4.0,0.0,170.0,0.0,148
666200,"Luzardo, Jesús",PHI,0.1765,0.1953,6.0,34.0,90.9,25,128.0,0.1953,3.0,15.24,0.1975,6.0,0.0,170.0,0.0,148
669358,"Baz, Shane",BAL,0.176,0.1953,6.0,34.0,90.6,25,128.0,0.1953,4.0,10.812,0.1914,2.0,0.0,170.0,0.0,148
800048,"Messick, Parker",CLE,0.1757,0.1953,6.0,34.0,90.2,25,128.0,0.1953,4.0,16.128,0.0,0.0,0.0,170.0,0.0,148
607625,"Lugo, Seth",KC,0.1754,0.2016,5.8,33.0,89.9,26,129.0,0.2016,4.0,8.4077,0.1605,9.0,0.0,63.0,1.0,148
671096,"Abbott, Andrew",CIN,0.1753,0.2031,6.0,34.0,89.5,26,128.0,0.2031,4.0,9.2692,0.179,3.0,0.0,170.0,0.0,148
605400,"Nola, Aaron",PHI,0.1745,0.2031,5.9,34.0,89.2,26,128.0,0.2031,4.0,9.5154,0.1049,11.0,0.0,170.0,0.0,148
682243,"Miller, Bryce",SEA,0.174,0.1172,5.9,34.0,88.8,15,128.0,0.1172,4.0,13.3333,0.1111,3.0,0.0,170.0,0.0,148
693645,"Schlittler, Cam",NYY,0.1737,0.2047,6.1,35.0,88.5,26,127.0,0.2047,3.0,17.3577,0.0864,1.0,0.0,170.0,0.0,148
