mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
695578,James Wood,WSH,4.1231,4.7129,100.0,476,101.0,4.7129,1.0,1.0,4.7129,74.0,4.2531,0,0.0,2,117
668930,Brice Turang,MIL,3.9287,4.33,99.8,433,100.0,4.33,1.0,2.2553,4.6064,76.0,4.0679,0,0.0,3,117
694192,Jackson Chourio,MIL,3.9058,3.02,99.6,302,100.0,3.02,0.9394,1.6452,4.7581,77.0,3.6358,0,0.0,2,117
683002,Gunnar Henderson,BAL,3.8601,4.5446,99.4,459,101.0,4.5446,1.0,1.67,4.59,70.0,4.0185,0,0.0,4,117
691406,Junior Caminero,TB,3.8587,4.4141,99.2,437,99.0,4.4141,1.0,2.8788,4.4141,79.0,4.0309,0,0.0,3,117
682829,Elly De La Cruz,CIN,3.8524,3.6263,99.0,359,99.0,3.6263,1.0,2.2875,4.4875,73.0,4.3148,0,0.0,3,117
802139,JJ Wetherholt,STL,3.8504,4.3232,98.8,428,99.0,4.3232,0.9892,1.0,4.6304,77.0,0.0,0,0.0,0,117
665487,Fernando Tatis Jr.,SD,3.7626,4.34,98.6,434,100.0,4.34,0.9798,1.5052,4.4536,76.0,4.2654,0,0.0,7,117
686948,Drake Baldwin,ATL,3.7183,3.4141,98.4,338,99.0,3.4141,0.9868,2.04,4.48,77.0,2.7531,1,0.0,1,117
687263,Zach Neto,LAA,3.7126,4.3564,98.2,440,101.0,4.3564,0.9898,1.1237,4.5258,65.0,3.4198,0,0.0,3,117
660271,Shohei Ohtani,LAD,3.7078,4.2079,98.1,425,101.0,4.2079,0.9891,1.0,4.6593,66.0,4.4877,0,0.0,8,117
671056,Iván Herrera,STL,3.7055,4.4747,97.9,443,99.0,4.4747,1.0,2.0,4.4747,78.0,2.7901,1,0.0,4,117
621493,Taylor Ward,BAL,3.695,4.5446,97.7,459,101.0,4.5446,1.0,1.46,4.59,67.0,4.0926,0,0.0,8,117
683737,Michael Busch,CHC,3.6609,4.44,97.5,444,100.0,4.44,0.9899,3.6327,4.5204,68.0,3.6543,0,0.0,3,117
805808,Kevin McGonigle,DET,3.6452,4.34,97.3,434,100.0,4.34,0.9897,1.6354,4.5104,69.0,0.0,0,0.0,0,117
678246,Miguel Vargas,CWS,3.6374,4.3131,97.1,427,99.0,4.3131,0.9592,2.5532,4.4787,71.0,3.5123,0,0.0,4,117
650333,Luis Arraez,SF,3.6368,4.2,96.9,420,100.0,4.2,0.9895,2.1064,4.4574,71.0,4.1667,0,0.0,7,117
650490,Yandy Díaz,TB,3.6187,4.2121,96.7,417,99.0,4.2121,1.0,1.9789,4.3895,76.0,4.0185,0,0.0,9,117
677951,Bobby Witt Jr.,KC,3.6164,4.099,96.5,414,101.0,4.099,1.0,2.0,4.4043,64.0,4.2407,0,0.0,4,117
