pick_no,player_name,team_abbr,position,round,fantasy_team
1,Shohei Ohtani,LAD,DH,1,U Just Lost To Yainer Diaz
2,Juan Soto,NYM,RF,1,The Polar Pasquatch
3,Jose Ramirez,Cle,3B,1,Big Dumpers
4,Bobby Witt Jr.,KC,SS,1,New York Ligers
5,Aaron Judge,NYY,CF,1,Team Solomon
6,Tarik Skubal,Det,SP,1,A Whole Ass Meal
7,Paul Skenes,Pit,SP,1,A Whole Ass Meal
8,Mookie Betts,LAD,SS,2,Team Solomon
9,Vladimir Guerrero Jr.,Tor,1B,2,New York Ligers
10,Francisco Lindor,NYM,SS,2,Big Dumpers
11,Zack Wheeler,Phi,SP,2,The Polar Pasquatch
12,Yordan Alvarez,Hou,LF,2,U Just Lost To Yainer Diaz
13,Logan Gilbert,Sea,SP,2,U Just Lost To Yainer Diaz
14,Dylan Cease,Tor,SP,3,The Polar Pasquatch
15,Kyle Tucker,FA,RF,3,Big Dumpers
16,Gunnar Henderson,Bal,SS,2,New York Ligers
17,Corbin Carroll,Ari,CF,3,Team Solomon
18,Ketel Marte,Ari,2B,3,A Whole Ass Meal
19,Freddie Freeman,LAD,1B,3,A Whole Ass Meal
20,Fernando Tatis Jr.,SD,RF,4,Team Solomon
21,Rafael Devers,SF,3B,3,New York Ligers
22,Garrett Crochet,Bos,SP,4,Big Dumpers
23,William Contreras,Mil,C,4,The Polar Pasquatch
24,Chris Sale,Atl,SP,4,U Just Lost To Yainer Diaz
25,Corbin Burnes,Ari,SP,5,U Just Lost To Yainer Diaz
26,Marcus Semien,NYM,2B,5,The Polar Pasquatch
27,Adley Rutschman,Bal,C,5,Big Dumpers
28,Cole Ragans,KC,SP,4,New York Ligers
29,Emmanuel Clase,Cle,RP,5,Team Solomon
30,Bryce Harper,Phi,1B,4,A Whole Ass Meal
31,Ronald Acuna Jr.,Atl,RF,4,A Whole Ass Meal
32,Devin Williams,NYM,RP,6,Team Solomon
33,Josh Hader,Hou,RP,5,New York Ligers
34,Corey Seager,Tex,SS,6,Big Dumpers
35,Manny Machado,SD,3B,6,The Polar Pasquatch
36,Steven Kwan,Cle,LF,6,U Just Lost To Yainer Diaz
37,Alex Bregman,ChC,3B,7,U Just Lost To Yainer Diaz
38,Framber Valdez,FA,SP,7,The Polar Pasquatch
39,Blake Snell,LAD,SP,7,Big Dumpers
40,Edwin Diaz,LAD,RP,6,New York Ligers
41,Anthony Santander,Tor,RF,7,Team Solomon
42,Jackson Chourio,Mil,LF,6,A Whole Ass Meal
43,Trea Turner,Phi,SS,6,A Whole Ass Meal
44,Ryan Helsley,Bal,RP,8,Team Solomon
45,Luis Arraez,FA,1B,7,New York Ligers
46,Jarren Duran,Bos,CF,8,Big Dumpers
47,Mason Miller,SD,RP,8,The Polar Pasquatch
48,Matt Olson,Atl,1B,8,U Just Lost To Yainer Diaz
49,Raisel Iglesias,Atl,RP,9,U Just Lost To Yainer Diaz
50,Pete Alonso,Bal,1B,9,The Polar Pasquatch
51,Jose Altuve,Hou,2B,9,Big Dumpers
52,Jackson Merrill,SD,CF,8,New York Ligers
53,Will Smith,LAD,C,9,Team Solomon
54,Pablo Lopez,Min,SP,8,A Whole Ass Meal
55,Andres Munoz,Sea,RP,8,A Whole Ass Meal
56,Aaron Nola,Phi,SP,10,Team Solomon
57,Julio Rodriguez,Sea,CF,9,New York Ligers
58,Ryan Walker,SF,RP,10,Big Dumpers
59,Luis Castillo,Sea,SP,10,The Polar Pasquatch
60,Yainer Diaz,Hou,C,10,U Just Lost To Yainer Diaz
61,Michael King,SD,SP,11,U Just Lost To Yainer Diaz
62,Elly De La Cruz,Cin,SS,11,The Polar Pasquatch
63,Austin Riley,Atl,3B,11,Big Dumpers
64,Josh Naylor,Sea,1B,10,New York Ligers
65,Sonny Gray,Bos,SP,11,Team Solomon
66,Robert Suarez,Atl,RP,10,A Whole Ass Meal
67,Felix Bautista,Bal,RP,10,A Whole Ass Meal
68,Max Fried,NYY,SP,12,Team Solomon
69,Wyatt Langford,Tex,LF,11,New York Ligers
70,Cody Bellinger,FA,RF,12,Big Dumpers
71,Shota Imanaga,FA,SP,12,The Polar Pasquatch
72,Jhoan Duran,Phi,RP,12,U Just Lost To Yainer Diaz
73,Brendan Donovan,StL,LF,13,U Just Lost To Yainer Diaz
74,Logan Webb,SF,SP,13,The Polar Pasquatch
75,Ozzie Albies,Atl,2B,13,Big Dumpers
76,Michael Harris II,Atl,CF,12,New York Ligers
77,George Kirby,Sea,SP,13,Team Solomon
78,Marcell Ozuna,FA,DH,12,A Whole Ass Meal
79,Salvador Perez,KC,C,12,A Whole Ass Meal
80,Gerrit Cole,NYY,SP,14,Team Solomon
81,Yoshinobu Yamamoto,LAD,SP,13,New York Ligers
