Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Pete Fairbanks,664126,347,5.478126801152738,1.6269532780979823,1.27802390625,8.161797571428572,2.2022872041984733,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Brusdar Graterol,660813,671,5.327481371087928,1.9890830514408029,4.010523152095048,1.6171592322802424,2.117448385067114,8.161797571428572,8.161797571428572,1.700086340756559,8.161797571428572
Wade Miley,489119,553,5.403797468354431,2.0031429899809394,3.283121616348056,8.161797571428572,2.765904324324324,0.9667749289967936,3.790318432432432,1.92378952016632,8.161797571428572
Emmanuel Clase,661403,921,5.252779587404994,2.01794321559633,2.791444883702104,8.161797571428572,1.7249264057868736,8.161797571428572,8.161797571428572,2.180148228047182,8.161797571428572
Paul Sewald,623149,970,5.324463917525773,2.0959616250000006,1.9650280919894365,8.161797571428572,2.2335387199392183,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Aaron Nola,605400,3039,5.313435340572556,2.1073324829268296,1.93867879954329,2.052081043902439,8.161797571428572,3.084768011418572,1.681443073642801,2.6487019048416456,8.161797571428572
Hyun Jin Ryu,547943,395,5.310658227848101,2.1601763333333337,2.9298167791411043,8.161797571428572,8.161797571428572,1.377008807017544,1.3327363453815262,2.486603024691358,8.161797571428572
Jacob deGrom,594798,939,5.275825346112886,2.162357533678757,1.6946600481888523,8.161797571428572,2.353215684189889,4.4424045828333805,1.4111232167346486,8.161797571428572,8.161797571428572
Keegan Akin,669211,1229,5.326753458096013,2.170671821803025,1.5088837404438216,8.161797571428572,2.2528676668311283,3.93088107430758,8.161797571428572,8.161797571428572,8.161797571428572
Phil Bickford,641360,990,5.3221717171717176,2.2898784098360654,2.254152849637593,8.161797571428572,2.366077864183441,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Joe Mantiply,573009,836,5.227332535885168,2.2914895525119614,8.161797571428572,2.142867815782123,8.161797571428572,2.1402737389140274,2.62855288540856,8.161797571428572,8.161797571428572
Scott Effross,664123,814,5.235896805896807,2.304197470588236,3.797126693861893,2.233803261636829,1.94761342123386,2.296052397008973,8.161797571428572,8.161797571428572,8.161797571428572
Trent Thornton,663423,663,5.2373001508295625,2.3056990434782607,2.518900948369565,4.194306152173913,1.6181770497642745,8.161797571428572,2.871157465258025,8.161797571428572,8.161797571428572
Adrian Morejon,670970,540,5.313648148148148,2.3064514411764705,2.111155335120644,8.161797571428572,1.931057326203208,4.647024144385026,3.045542543252595,8.161797571428572,8.161797571428572
