Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
Yennier Cano,666974,1014,5.359861932938856,1.973868440366972,3.839839852293577,1.939085541105154,2.562236384001056,11.202328847402596,1.5547921487409715,11.202328847402596,11.202328847402596,11.202328847402596
Griffin Jax,643377,1047,5.443457497612226,2.0519378724489794,2.258565780084448,3.1893437761709,1.345884992115028,1.4022045296703296,3.4159476107636606,11.202328847402596,2.9943072872448977,11.202328847402596
Trent Thornton,663423,458,5.384454148471615,2.057036361702128,2.700921991434098,3.950788393617022,2.769813578820116,0.7266190661190414,11.202328847402596,1.5866767460106386,11.202328847402596,11.202328847402596
John Means,607644,339,5.311592920353982,2.119995507042254,2.980791291013688,11.202328847402596,2.7204859536039767,11.202328847402596,0.4477885352112676,3.2139765288092192,11.202328847402596,11.202328847402596
Jacob deGrom,594798,442,5.3392986425339375,2.166009532618965,2.212070915969137,11.202328847402596,1.872446320523788,11.202328847402596,3.1210253159340664,11.202328847402596,11.202328847402596,11.202328847402596
Drew Rasmussen,656876,674,5.348011869436202,2.196276313432836,2.0216827402685067,3.080967110302148,11.202328847402596,2.163299898595259,11.202328847402596,3.766309741699666,1.7360756194029852,11.202328847402596
James McArthur,663704,334,5.327754491017964,2.217726870744226,11.202328847402596,3.109128740816327,1.9366425325301204,11.202328847402596,11.202328847402596,1.590857003571429,11.202328847402596,11.202328847402596
Alex Vesia,681911,842,5.437980997624704,2.220802067401043,1.413953892894209,11.202328847402596,4.026900673412494,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
DL Hall,669084,371,5.490592991913747,2.238789724137931,1.954957885201872,11.202328847402596,1.6103316966594827,11.202328847402596,4.786520675240248,-0.3343490379310345,11.202328847402596,11.202328847402596
Tanner Scott,656945,1208,5.349362582781457,2.243627307692308,2.238020791823561,11.202328847402596,2.24866964586357,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Evan Phillips,623465,910,5.300692307692308,2.275744597826087,2.5553931632277083,2.4396891991687983,11.202328847402596,2.100850663281498,11.202328847402596,11.202328847402596,2.30147760548419,11.202328847402596
Brusdar Graterol,660813,915,5.234459016393443,2.2794127128712875,4.102925680693068,1.105802133825473,2.620790569969943,11.202328847402596,11.202328847402596,11.202328847402596,3.376895717086561,11.202328847402596
Craig Kimbrel,518886,1122,5.377736185383244,2.2795745217391303,2.022103246569023,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,2.8071107757561435,11.202328847402596,11.202328847402596
Gabe Speier,642100,769,5.236228868660598,2.388336170176663,2.4690012886178865,2.2400777323886087,2.5490139675286514,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Ryan Borucki,621366,528,5.1554734848484856,2.403239429752066,11.202328847402596,2.5616898963466443,2.3587074489222117,2.0404532650448144,2.772094077041603,11.202328847402596,11.202328847402596,11.202328847402596
Logan Webb,657277,3180,5.23714465408805,2.438299,3.943310982905983,2.5059890314258912,2.552885375185736,11.202328847402596,2.1925583610271904,11.202328847402596,11.202328847402596,11.202328847402596
Tyler Alexander,641302,677,5.282629246676514,2.4398715681818177,2.346472342601547,2.8707058718181817,2.2110873852272723,11.202328847402596,2.917846184584981,11.202328847402596,2.205588939425637,11.202328847402596
Emmanuel Clase,661403,1112,5.26273381294964,2.481832301498251,11.202328847402596,11.202328847402596,2.2985853946881507,11.202328847402596,11.202328847402596,11.202328847402596,2.568480176638921,11.202328847402596
Cristopher Sánchez,650911,1460,5.2265205479452055,2.4876993624161075,11.202328847402596,2.3665316375838925,2.853208897193411,11.202328847402596,2.4231527744713186,11.202328847402596,11.202328847402596,11.202328847402596
Tyler Rogers,643511,1119,5.246371760500447,2.5000009539888417,11.202328847402596,2.447406629871977,2.5546070828533454,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Chris Martin,455119,716,5.193896648044692,2.503638725622143,2.990486662963542,2.0773522305194807,2.994592175914994,11.202328847402596,11.202328847402596,11.202328847402596,2.1976854179314658,2.3061674896272564
Matt Strahm,621381,1360,5.263183823529412,2.556141305887944,2.4381877743321314,1.96302481972452,2.774923344806884,11.202328847402596,11.202328847402596,11.202328847402596,3.592464444316245,11.202328847402596
Devin Williams,642207,948,5.2714662447257385,2.569443340909091,3.507877782467532,11.202328847402596,11.202328847402596,11.202328847402596,1.962621989195231,11.202328847402596,2.0332199220779223,11.202328847402596
Zack Wheeler,554430,3143,5.286999681832644,2.577820596538936,2.220451001824818,2.9666797322989504,3.4656781494140625,2.23784579899641,11.202328847402596,3.3090095996093747,2.826036051386444,11.202328847402596
Tyler Mahle,641816,412,5.272548543689321,2.5876235233261884,2.000915687954248,11.202328847402596,3.5576316107406107,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,2.831375455953685
Gerrit Cole,543037,3280,5.245393292682927,2.59484266507177,2.3271741460609543,11.202328847402596,2.542574121207451,11.202328847402596,4.033119468734532,2.8604581818181813,2.8657600865404613,11.202328847402596
Paul Sewald,623149,1037,5.306673095467696,2.624342142857143,1.8667401774641883,11.202328847402596,11.202328847402596,3.636184407447282,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Kyle Nelson,669459,878,5.24129840546697,2.629127571428572,2.50328775,11.202328847402596,2.598537151854396,11.202328847402596,11.202328847402596,11.202328847402596,3.305362411184211,11.202328847402596
Ryan Pressly,519151,1021,5.234828599412341,2.631230129619821,3.505899731005656,11.202328847402596,1.6722506048475627,11.202328847402596,3.5544646614711826,2.963640249062125,11.202328847402596,11.202328847402596
Caleb Thielbar,573204,481,5.2288981288981295,2.633933054347826,2.62191512774987,11.202328847402596,5.571670035326086,1.4738175522372308,11.202328847402596,3.040516497035573,11.202328847402596,11.202328847402596
Pablo López,641154,3023,5.224005954349983,2.6404392989690724,2.6961694356139607,3.153321101481959,11.202328847402596,2.26399094363462,2.4828119645881137,2.961730331332549,11.202328847402596,11.202328847402596
Bryce Miller,682243,2095,5.255775656324582,2.640621654822336,2.084987657950896,4.311646487388959,3.051391688840159,2.919503930659328,3.9785166624365473,5.087133236040609,11.202328847402596,11.202328847402596
John King,667463,524,5.136488549618321,2.6487584230166306,11.202328847402596,2.728337565434565,3.222341203903655,11.202328847402596,2.405559990659341,11.202328847402596,11.202328847402596,11.202328847402596
Richard Bleier,542947,456,5.171776315789473,2.649076532608695,2.913445956521739,2.305464039608468,3.511660525519849,11.202328847402596,11.202328847402596,11.202328847402596,2.594425105379513,3.9351505108695655
Zac Gallen,668678,3235,5.2063771251932,2.660268218419077,2.584966821723214,11.202328847402596,1.529303150965251,11.202328847402596,2.068883340964996,2.948243567711962,3.5653459929214923,11.202328847402596
Justin Topa,623437,1046,5.182667304015296,2.662618695652174,11.202328847402596,2.269227127083139,2.3726769080587093,11.202328847402596,3.604007412124924,11.202328847402596,3.734355731510533,11.202328847402596
Andrew Nardi,677053,949,5.26131717597471,2.6698528399171706,2.925326649974248,11.202328847402596,2.2555900595207503,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Gregory Santos,666619,1046,5.228900573613767,2.673801587939699,4.094244933302878,3.8807635796630215,1.49628206088625,11.202328847402596,6.833163726633167,11.202328847402596,11.202328847402596,11.202328847402596
George Kirby,669923,2824,5.182737252124646,2.6754025906193664,3.031903549131848,3.013569309569741,1.8063942490976763,11.202328847402596,3.032699961435623,2.064784177643009,11.202328847402596,3.0296527064868277
Jason Foley,671345,1047,5.189159503342885,2.681839565217391,11.202328847402596,2.303614441250449,3.3864519667940765,11.202328847402596,3.7347315286205816,11.202328847402596,11.202328847402596,11.202328847402596
Shane McClanahan,663556,1821,5.228511806699615,2.693883286956521,2.537376564476608,11.202328847402596,2.3871879761570827,11.202328847402596,3.041859043848289,2.827973951118615,11.202328847402596,11.202328847402596
Sandy Alcantara,645261,2719,5.147881574108128,2.7022748231046934,3.427861802687941,2.258427148968443,2.5859225791852225,11.202328847402596,2.636828694506124,3.410082438628159,11.202328847402596,11.202328847402596
Zack Littell,641793,1330,5.1687067669172935,2.7061039,2.7714883636363634,3.684786651162791,1.864233781395349,4.114673928571428,11.202328847402596,11.202328847402596,11.202328847402596,2.982117654901961
Tarik Skubal,669373,1218,5.187873563218391,2.70707646473029,2.492647454044222,2.701218680441853,2.4094954775421136,11.202328847402596,2.882764835389457,4.118215646453032,11.202328847402596,11.202328847402596
Tim Mayza,641835,809,5.170271940667491,2.70804886875,11.202328847402596,2.94621048210824,1.932143402072368,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Steven Wilson,621051,918,5.29764705882353,2.712987151313356,4.1195633420018805,11.202328847402596,11.202328847402596,1.7575436810734368,4.145823724528301,11.202328847402596,11.202328847402596,11.202328847402596
Zach Eflin,621107,2576,5.138691770186336,2.714897465290807,4.471902989557153,3.07137628988921,1.7298450168855537,1.904087902681111,3.452249773742177,2.6260426665934147,1.9453607560975603,11.202328847402596
Tyler Holton,663947,1195,5.089104602510461,2.72644681640625,3.217600936856755,1.7172624418048468,2.456137009662829,11.202328847402596,2.617534201977811,4.171828154978198,2.716376251521916,11.202328847402596
Tyler Glasnow,607192,1793,5.1657947573898495,2.728405158588957,2.5716742579048844,11.202328847402596,2.354360277142857,11.202328847402596,11.202328847402596,3.657197148311688,11.202328847402596,11.202328847402596
Wade Miley,489119,1870,5.197256684491978,2.7308798476454297,3.786915989467596,4.860829367712428,2.903815254847645,11.202328847402596,2.4393042819462845,2.638890440636476,2.1927218110381284,11.202328847402596
Hoby Milner,571948,1027,5.196650438169425,2.75301289119171,4.200855621988028,2.42570830108244,11.202328847402596,11.202328847402596,2.9868057387203826,2.045079248247485,11.202328847402596,11.202328847402596
Joe Jiménez,641729,936,5.250438034188034,2.753433159763314,2.371872886660509,11.202328847402596,3.136154482980434,11.202328847402596,4.459624363636364,11.202328847402596,11.202328847402596,11.202328847402596
Emilio Pagán,641941,1060,5.169066037735849,2.7625406971153845,1.9851018356643355,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,3.9720799038461543,3.2584201265975405,4.765622831767469
Dustin May,669160,735,5.177959183673469,2.767765875,3.30309,2.25922275,11.202328847402596,11.202328847402596,5.061323408203124,2.94905338716443,2.0307677533783783,11.202328847402596
Marco Gonzales,594835,811,5.207003699136868,2.77522542,3.6586474290301,11.202328847402596,11.202328847402596,11.202328847402596,2.00797515844898,2.0944860345918364,3.581676869577465,11.202328847402596
Joe Mantiply,573009,571,5.11954465849387,2.780840076923077,6.51737203846154,2.4283260195567147,11.202328847402596,11.202328847402596,2.463526028428094,2.686465496371553,11.202328847402596,11.202328847402596
A.J. Minter,621345,1061,5.231894439208294,2.7829701649484533,2.9564610662783504,11.202328847402596,11.202328847402596,11.202328847402596,3.782061508115073,11.202328847402596,2.2149048636079978,11.202328847402596
Justin Steele,657006,2677,5.175621964886067,2.789157219230769,2.9766114535763486,4.883596079927884,2.247183287349627,11.202328847402596,4.3414262208791214,4.685262233653846,11.202328847402596,11.202328847402596
Joe Ryan,657746,2683,5.225322400298174,2.7975302350515467,2.0081342879328754,11.202328847402596,3.3411324236398903,4.360512060371134,11.202328847402596,11.202328847402596,11.202328847402596,3.6754307836518256
