player,date,fpg,fp,g,grp
Louis Varland,2026-04-19,7.0,188.3,27,RP
Jose Soriano,2026-04-07,11.4,147.6,13,SP
Parker Messick,2026-04-19,13.2,145.3,11,SP
Michael Soroka,2026-04-22,12.5,137.8,11,SP
Jordan Walker,2026-04-28,2.9,135.0,46,OF
Bubba Chandler,2026-03-26,8.7,131.2,15,SP
Tanner Scott,2026-04-20,5.2,119.7,23,RP
Will Warren,2026-04-23,10.5,104.9,10,SP
Robert Suarez,2026-04-21,4.7,98.7,21,RP
Kyle Stowers,2026-04-19,1.8,93.0,53,OF
Kyle Bradish,2026-05-08,12.9,90.0,7,SP
Carlos Rodon,2026-03-26,12.3,85.8,7,SP
Alex Vesia,2026-04-18,2.6,65.1,25,RP
Eury Perez,2026-05-01,12.0,59.9,5,SP
Max Muncy,2026-05-19,2.3,58.0,25,1B/3B
Jeffrey Springs,2026-04-14,4.5,54.4,12,SP
Jacob Latz,2026-06-08,9.2,46.0,5,RP
Daniel Palencia,2026-05-02,2.5,34.5,14,RP
Logan Henderson,2026-05-15,16.5,33.0,2,SP
Hunter Goodman,2026-06-08,2.4,29.0,12,C
Reid Detmers,2026-06-11,13.0,25.9,2,SP
Cade Horton,2026-03-26,9.1,18.2,2,SP
Dominic Canzone,2026-06-16,2.8,14.0,5,OF
Lucas Erceg,2026-05-06,0.8,11.0,14,RP
Spencer Steer,2026-06-11,1.4,11.0,8,1B/3B
Roki Sasaki,2026-06-06,4.0,8.0,2,SP
Merrill Kelly,2026-05-31,1.6,4.9,3,SP
Bryce Eldridge,2026-06-19,0.0,0.0,2,DH
Hunter Greene,2026-03-26,0.0,0.0,0,H?
Kris Bubic,2026-05-08,-0.8,-0.8,1,SP
Jack Leiter,2026-06-06,-0.6,-1.3,2,SP
Dustin May,2026-06-15,-10.4,-10.4,1,SP
