player,team,date,fpg,fp,g,grp
Blaze Jordan,U Just Lost To Edwin Diaz,2026-06-21,0.0,0.0,0,1B/3B
Justin Wrobleski,Late Night Bettsing,2026-06-21,0.0,0.0,0,H?
Peter Lambert,2015 Draft First Round,2026-06-21,0.0,0.0,0,H?
Spencer Steer,Late Night Bettsing,2026-06-17,1.7,5.0,3,1B/3B
Brayan Rocchio,Boone's Bad Bullpen,2026-06-16,2.0,10.0,5,2B/SS
Garrett Crochet,Team Solomon,2026-06-16,0.0,0.0,0,H?
Royce Lewis,Frendy's Fantastic Team,2026-06-14,1.7,10.0,6,1B/3B
Ceddanne Rafaela,U Just Lost To Edwin Diaz,2026-06-14,1.6,8.0,5,OF
Matt Chapman,Late Night Bettsing,2026-06-13,1.0,6.0,6,1B/3B
Spencer Arrighetti,Late Night Bettsing,2026-06-13,9.3,18.6,2,SP
Framber Valdez,Frendy's Fantastic Team,2026-06-13,16.8,16.8,1,SP
Shane McClanahan,Frendy's Fantastic Team,2026-06-12,3.1,3.1,1,SP
Keibert Ruiz,2015 Draft First Round,2026-06-11,2.3,14.0,6,C
Jung Hoo Lee,2015 Draft First Round,2026-06-10,2.6,21.0,8,OF
Grant Taylor,Frendy's Fantastic Team,2026-06-09,2.0,3.9,2,RP
Nick Pivetta,Team Solomon,2026-06-08,0.0,0.0,0,H?
Teoscar Hernandez,Team Solomon,2026-06-08,0.0,0.0,0,OF
Bryan Abreu,Boone's Bad Bullpen,2026-06-08,2.7,10.9,4,RP
Cade Cavalli,U Just Lost To Edwin Diaz,2026-06-07,3.6,7.3,2,SP
Noah Cameron,Late Night Bettsing,2026-06-06,9.9,29.6,3,SP
Michael Soroka,Late Night Bettsing,2026-06-06,16.2,48.5,3,SP
Emmet Sheehan,Frendy's Fantastic Team,2026-06-06,0.6,1.9,3,SP
Eduardo Rodriguez,Late Night Bettsing,2026-06-04,10.3,30.8,3,SP
Ben Brown,Late Night Bettsing,2026-06-04,14.3,42.9,3,SP
Jared Jones,Frendy's Fantastic Team,2026-06-02,7.4,29.8,4,SP
Casey Schmitt,Team Solomon,2026-06-01,2.6,44.0,17,2B/SS
Zebby Matthews,U Just Lost To Edwin Diaz,2026-05-31,9.0,27.0,3,SP
Abner Uribe,Team Solomon,2026-05-29,3.9,27.1,7,RP
Jarren Duran,Team Solomon,2026-05-29,1.2,22.0,19,OF
Robert Suarez,Boone's Bad Bullpen,2026-05-28,4.6,36.6,8,RP
Max Meyer,Late Night Bettsing,2026-05-25,13.4,66.8,5,SP
J.T. Ginn,Frendy's Fantastic Team,2026-05-25,12.1,60.7,5,SP
JJ Bleday,U Just Lost To Edwin Diaz,2026-05-24,2.9,70.0,24,OF
Jake Bauers,U Just Lost To Edwin Diaz,2026-05-23,2.8,65.0,23,1B/3B
Kyle Harrison,Treasure Island Mashers,2026-05-21,13.0,64.9,5,SP
Xander Bogaerts,Treasure Island Mashers,2026-05-21,1.3,31.0,24,2B/SS
Michael Wacha,Frendy's Fantastic Team,2026-05-21,6.8,34.2,5,SP
Ivan Herrera,Frendy's Fantastic Team,2026-05-19,3.5,99.0,28,DH
Logan Webb,Team Solomon,2026-05-19,21.9,109.6,5,SP
Dillon Dingler,Boone's Bad Bullpen,2026-05-19,3.9,106.0,27,C
Dylan Lee,U Just Lost To Edwin Diaz,2026-05-19,4.3,51.2,12,RP
Rico Garcia,U Just Lost To Edwin Diaz,2026-05-19,3.1,37.3,12,RP
Angel Martinez,Boone's Bad Bullpen,2026-05-18,1.0,21.0,21,OF
Jeffrey Springs,Boone's Bad Bullpen,2026-05-17,2.7,16.3,6,SP
Brandon Marsh,U Just Lost To Edwin Diaz,2026-05-16,1.7,52.0,30,OF
Jameson Taillon,U Just Lost To Edwin Diaz,2026-05-16,6.0,24.1,4,SP
Kris Bubic,Frendy's Fantastic Team,2026-05-12,-0.8,-0.8,1,SP
Brayan Rocchio,Late Night Bettsing,2026-05-11,1.9,66.0,34,2B/SS
Jose Altuve,Team Solomon,2026-05-10,1.7,33.0,19,2B/SS
Foster Griffin,2015 Draft First Round,2026-05-09,10.2,71.2,7,SP
Nick Martinez,Boone's Bad Bullpen,2026-05-07,10.3,82.1,8,SP
Shane McClanahan,Team Solomon,2026-05-06,9.4,65.9,7,SP
Xander Bogaerts,Late Night Bettsing,2026-05-06,1.0,38.0,37,2B/SS
Jonathan Aranda,Late Night Bettsing,2026-05-06,2.3,85.0,37,1B/3B
Davis Martin,Team Solomon,2026-05-05,10.0,80.1,8,SP
Austin Riley,Team Solomon,2026-05-05,1.1,41.0,39,1B/3B
Ryan Weathers,Late Night Bettsing,2026-05-04,12.7,88.6,7,SP
Braxton Ashcraft,Late Night Bettsing,2026-05-04,14.7,117.7,8,SP
Clay Holmes,Late Night Bettsing,2026-05-04,9.5,19.0,2,SP
Mickey Moniak,U Just Lost To Edwin Diaz,2026-05-04,1.1,16.0,15,OF
Josh Jung,2015 Draft First Round,2026-05-01,2.1,92.0,43,1B/3B
Bryce Elder,2015 Draft First Round,2026-05-01,9.3,83.5,9,SP
Bryan Baker,2015 Draft First Round,2026-05-01,6.2,117.4,19,RP
Trey Yesavage,U Just Lost To Edwin Diaz,2026-04-29,11.9,106.9,9,SP
Jason Adam,Boone's Bad Bullpen,2026-04-29,2.7,62.1,23,RP
Garrett Whitlock,Boone's Bad Bullpen,2026-04-29,4.0,47.5,12,RP
