player_name,category,fp,pos
Michael Soroka,FA-SP,199.6,SP
TJ Rumfield,FA-H,194.0,3B
Michael Wacha,FA-SP,192.2,SP
Ryan Weathers,FA-SP,189.2,SP
Spencer Horwitz,FA-H,187.0,1B
Tanner Bibee,FA-SP,186.8,SP
J.T. Ginn,FA-SP,183.8,SP
Brooks Lee,FA-H,175.0,SS
Sean Burke,FA-SP,174.3,SP
Landen Roupp,FA-SP,174.1,SP
Keider Montero,FA-SP,170.2,SP
Michael McGreevy,FA-SP,170.0,SP
Michael Busch,FA-H,169.0,1B
Trent Grisham,FA-H,168.0,CF
Isaac Paredes,FA-H,167.0,3B
Martin Perez,FA-SP,163.4,SP
Walbert Urena,FA-SP,160.2,SP
Robbie Ray,FA-SP,158.9,SP
Colson Montgomery,FA-H,158.0,SS
Kyle Bradish,FA-SP,157.3,SP
Josh Bell,FA-H,157.0,DH
Chad Patrick,FA-SP,156.0,SP
Luis Garcia Jr.,FA-H,156.0,2B
Joey Cantillo,FA-RP,155.0,RP
Andre Pallante,FA-SP,154.0,SP
Brad Lord,FA-RP,153.3,RP
Andrew Abbott,FA-SP,151.4,SP
Troy Johnston,FA-H,150.0,RF
Curtis Mead,FA-H,149.0,1B
Nick Gonzales,FA-H,149.0,2B
Kevin Kelly,FA-RP,148.4,RP
Jake Burger,FA-H,148.0,1B
Bryson Stott,FA-H,147.0,2B
Zack Gelof,FA-H,145.0,2B
Jo Adell,FA-H,144.0,CF
Cole Young,FA-H,144.0,2B
Alec Bohm,FA-H,144.0,3B
Paul Goldschmidt,FA-H,143.0,1B
Sam Antonacci,FA-H,142.0,2B
Kody Clemens,FA-H,142.0,1B
Walker Buehler,FA-SP,141.8,SP
Adrian Morejon,FA-RP,141.7,RP
Tyler Rogers,FA-RP,141.7,RP
Slade Cecconi,FA-SP,139.3,SP
Brandon Young,FA-SP,139.2,SP
Sean Newcomb,FA-RP,138.6,RP
Drew Anderson,FA-SP,138.3,SP
Trea Turner,FA-H,138.0,SS
Ryne Nelson,FA-SP,137.0,SP
Gavin Sheets,FA-H,136.0,LF
Vinnie Pasquantino,FA-H,135.0,1B
Trevor Larnach,FA-H,135.0,DH
Jack Leiter,FA-SP,134.0,SP
Jakob Marsee,FA-H,133.0,CF
J.P. Crawford,FA-H,133.0,SS
Carter Jensen,FA-H,133.0,C
Kai-Wei Teng,FA-SP,132.1,SP
Sal Frelick,FA-H,132.0,RF
Jake McCarthy,FA-H,132.0,LF
Clay Holmes,FA-SP,131.8,SP
Randy Vasquez,FA-SP,131.3,SP
Bubba Chandler,FA-SP,131.2,SP
Eury Perez,FA-SP,130.8,SP
Hogan Harris,FA-RP,130.8,RP
Seranthony Dominguez,FA-RP,129.4,RP
Carmen Mlodzinski,FA-RP,129.3,RP
Yoendrys Gomez,FA-RP,129.1,RP
Chase Meidroth,FA-H,129.0,SS
Jeffrey Springs,FA-SP,128.8,SP
Fernando Cruz,FA-RP,128.8,RP
Eduard Bazardo,FA-RP,128.3,RP
Ezequiel Duran,FA-H,128.0,SS
Chandler Simpson,FA-H,128.0,CF
Masyn Winn,FA-H,128.0,SS
Jose Caballero,FA-H,128.0,RF
Tomoyuki Sugano,FA-SP,127.8,SP
Erik Sabrowski,FA-RP,127.4,RP
Steven Okert,FA-RP,126.9,RP
Travis Bazzana,FA-H,126.0,2B
Jacob Young,FA-H,125.0,CF
Willy Adames,FA-H,125.0,SS
Mitch Keller,FA-SP,124.7,SP
Alex Vesia,FA-RP,124.6,RP
Aaron Ashby,FA-RP,124.6,RP
Nolan Schanuel,FA-H,124.0,1B
Grant Holmes,FA-SP,123.6,SP
Antonio Senzatela,FA-SP,123.1,SP
Caleb Durbin,FA-H,123.0,3B
Willi Castro,FA-H,123.0,RF
Braydon Fisher,FA-RP,122.9,RP
Shane Drohan,FA-SP,122.3,SP
Colin Rea,FA-SP,121.8,SP
Jeff Hoffman,FA-RP,121.0,RP
Ian Seymour,FA-RP,121.0,RP
JoJo Romero,FA-RP,120.9,RP
Kumar Rocker,FA-SP,120.7,SP
Michael Petersen,FA-RP,120.7,RP
Luke Weaver,FA-RP,120.6,RP
Spencer Miles,FA-SP,120.1,SP
Daulton Varsho,FA-H,120.0,CF
Carlos Cortes,FA-H,120.0,RF
Marcus Semien,FA-H,120.0,2B
Gabriel Moreno,FA-H,120.0,C
Ryan Jeffers,FA-H,120.0,C
Brent Headrick,FA-RP,119.9,RP
Luis Severino,FA-SP,119.8,SP
Bryan King,FA-RP,119.7,RP
Justin Sterner,FA-RP,119.6,RP
Lake Bachar,FA-RP,119.5,RP
Huascar Brazoban,FA-RP,119.3,RP
Luis Castillo,FA-SP,119.2,SP
Joc Pederson,FA-H,119.0,DH
Aaron Nola,FA-SP,118.7,SP
Tyler Phillips,FA-RP,118.7,RP
Matt McLain,FA-H,118.0,2B
Anthony Bender,FA-RP,117.4,RP
Abner Uribe,FA-RP,117.2,RP
Nasim Nunez,FA-H,117.0,SS
Andres Gimenez,FA-H,117.0,2B
Daniel Lynch IV,FA-RP,116.6,RP
Andrew Benintendi,FA-H,116.0,LF
Sam Bachman,FA-RP,115.4,RP
Kyle Karros,FA-H,115.0,3B
Tristan Peters,FA-H,115.0,CF
Bailey Ober,FA-SP,115.0,SP
Caleb Kilian,FA-RP,114.7,RP
Jameson Taillon,FA-SP,114.3,SP
Brad Keller,FA-RP,114.1,RP
Dominic Smith,FA-H,114.0,1B
Salvador Perez,FA-H,114.0,C
Bryan Hudson,FA-RP,113.7,RP
Jason Adam,FA-RP,113.5,RP
Samuel Basallo,FA-H,113.0,C
AJ Blubaugh,FA-RP,112.3,RP
Keaton Winn,FA-RP,112.2,RP
Taylor Clarke,FA-RP,111.5,RP
Tyler Wells,FA-SP,111.4,SP
Leody Taveras,FA-H,111.0,CF
Juan Morillo,FA-RP,111.0,RP
George Soriano,FA-RP,110.7,RP
Erick Fedde,FA-SP,110.2,SP
Edward Cabrera,FA-SP,110.2,SP
Cam Smith,FA-H,110.0,RF
Jesus Sanchez,FA-H,110.0,RF
Jeremy Pena,FA-H,110.0,SS
Griffin Jax,FA-RP,109.7,RP
Will Klein,FA-RP,109.1,RP
Austin Martin,FA-H,109.0,LF
Austin Riley,FA-H,109.0,3B
Tony Santillan,FA-RP,109.0,RP
Trevor Rogers,FA-SP,108.9,SP
Matthew Liberatore,FA-SP,108.7,SP
Jack Flaherty,FA-SP,108.7,SP
Kris Bubic,FA-SP,108.1,SP
Carson Kelly,FA-H,108.0,C
Evan Sisk,FA-RP,107.2,RP
Tyler Freeman,FA-H,107.0,RF
Enyel De Los Santos,FA-RP,106.6,RP
Yohan Ramirez,FA-RP,106.1,RP
John King,FA-RP,106.1,RP
Colin Holderman,FA-RP,105.3,RP
Michael Massey,FA-H,105.0,2B
Luke Raley,FA-H,105.0,RF
Nathaniel Lowe,FA-H,104.0,1B
Kyle Leahy,FA-RP,104.0,RP
Pete Fairbanks,FA-RP,103.6,RP
Brooks Raley,FA-RP,103.4,RP
Graham Ashcraft,FA-RP,103.1,RP
Cedric Mullins,FA-H,103.0,CF
Jose Ferrer,FA-RP,102.6,RP
Miles Mikolas,FA-SP,102.2,SP
Andrew Morris,FA-SP,102.1,SP
Blaze Alexander,FA-H,102.0,3B
Garrett Mitchell,FA-H,102.0,CF
Brock Burke,FA-RP,101.8,RP
Didier Fuentes,FA-SP,101.8,SP
Sean Manaea,FA-SP,101.3,SP
Anthony Kay,FA-SP,101.1,SP
Kyle Finnegan,FA-RP,100.7,RP
Bradgley Rodriguez,FA-RP,100.3,RP
Mason Fluharty,FA-RP,99.9,RP
Yennier Cano,FA-RP,99.8,RP
Isaac Collins,FA-H,99.0,LF
Oswald Peraza,FA-H,99.0,3B
Jeff McNeil,FA-H,99.0,2B
Ryan Zeferjahn,FA-RP,98.7,RP
Jacob Webb,FA-RP,98.7,RP
Javier Sanoja,FA-H,98.6,LF
Calvin Faucher,FA-RP,98.5,RP
Anthony Nunez,FA-RP,98.3,RP
Ryne Stanek,FA-RP,98.1,RP
Janson Junk,FA-SP,98.0,SP
Victor Caratini,FA-H,98.0,C
Jeremiah Jackson,FA-H,98.0,RF
Mike Burrows,FA-SP,97.8,SP
Orion Kerkering,FA-RP,97.6,RP
Mark Vientos,FA-H,97.0,3B
Vaughn Grissom,FA-H,97.0,2B
Jorge Soler,FA-H,97.0,RF
Evan Carter,FA-H,97.0,CF
Jack Perkins,FA-RP,96.8,RP
Lucas Erceg,FA-RP,96.6,RP
Tyler Kinley,FA-RP,96.5,RP
Brent Suter,FA-RP,96.1,RP
Kyle Stowers,FA-H,96.0,LF
Colt Keith,FA-H,96.0,DH
Anthony Banda,FA-RP,95.6,RP
Gary Sanchez,FA-H,95.0,C
Matt Festa,FA-RP,94.6,RP
Chase Dollander,FA-SP,94.2,SP
Andrew Vaughn,FA-H,94.0,1B
Stephen Kolek,FA-SP,93.6,SP
Kenley Jansen,FA-RP,93.4,RP
Alex Lange,FA-RP,93.2,RP
Christian Scott,FA-SP,93.2,SP
Lane Thomas,FA-H,93.0,CF
David Hamilton,FA-H,93.0,2B
Kevin Ginkel,FA-RP,92.9,RP
Connor Prielipp,FA-SP,92.7,SP
Jake Irvin,FA-SP,92.5,SP
Matt Vierling,FA-H,92.0,CF
Miguel Andujar,FA-H,92.0,3B
Jovani Moran,FA-RP,91.9,RP
JT Brubaker,FA-RP,91.8,RP
Reynaldo Lopez,FA-SP,91.1,SP
Brandon Sproat,FA-SP,91.1,SP
Colton Cowser,FA-H,91.0,CF
Nathan Church,FA-H,91.0,CF
Jake Mangum,FA-H,91.0,LF
Gordon Graceffo,FA-RP,90.9,RP
Mark Leiter Jr.,FA-RP,90.9,RP
Edgardo Henriquez,FA-RP,90.9,RP
DL Hall,FA-RP,90.3,RP
Tim Mayza,FA-RP,90.0,RP
Kyle Manzardo,FA-H,90.0,DH
Gus Varland,FA-RP,89.9,RP
Tyler Holton,FA-RP,89.5,RP
Chase Silseth,FA-RP,89.5,RP
Zack Littell,FA-SP,89.3,SP
Jack Dreyer,FA-RP,89.2,RP
David Peterson,FA-SP,88.4,SP
Patrick Corbin,FA-SP,88.4,SP
Tim Herrin,FA-RP,87.6,RP
Grant Anderson,FA-RP,87.3,RP
Javier Assad,FA-SP,87.2,SP
Justin Crawford,FA-H,87.0,CF
Nick Loftin,FA-H,87.0,LF
Garrett Cleavinger,FA-RP,86.8,RP
Wandy Peralta,FA-RP,86.3,RP
Kyle Hurt,FA-RP,86.3,RP
John Schreiber,FA-RP,86.2,RP
Mike Yastrzemski,FA-H,86.0,RF
Dalton Rushing,FA-H,86.0,C
Andrew Alvarez,FA-SP,85.7,SP
Eric Lauer,FA-SP,85.6,SP
Sam Moll,FA-RP,85.3,RP
Rhys Hoskins,FA-H,85.0,1B
Richie Palacios,FA-H,85.0,LF
Richard Lovelady,FA-RP,84.6,RP
Tyler Alexander,FA-RP,84.1,RP
Luis Rengifo,FA-H,84.0,3B
Clayton Beeter,FA-RP,83.7,RP
Ryan Vilade,FA-H,83.0,RF
Jonny DeLuca,FA-H,83.0,CF
Wenceel Perez,FA-H,83.0,RF
Eric Orze,FA-RP,82.8,RP
Hoby Milner,FA-RP,82.1,RP
Jaden Hill,FA-RP,82.0,RP
Carlos Correa,FA-H,82.0,SS
Ben Williamson,FA-H,82.0,3B
Ty France,FA-H,82.0,1B
Joel Kuhnel,FA-RP,81.0,RP
Tyler Mahle,FA-SP,81.0,SP
Heriberto Hernandez,FA-H,81.0,LF
Moises Ballesteros,FA-H,81.0,DH
Kerry Carpenter,FA-H,81.0,RF
Brady Singer,FA-SP,80.8,SP
Rhett Lowder,FA-SP,80.7,SP
Mason Montgomery,FA-RP,80.6,RP
Jonathan Loaisiga,FA-RP,80.5,RP
Brandon Valenzuela,FA-H,80.0,C
Marcelo Mayer,FA-H,80.0,3B
Gabe Speier,FA-RP,79.6,RP
Luis Medina,FA-SP,79.3,SP
Scott Barlow,FA-RP,79.0,RP
J.T. Realmuto,FA-H,79.0,C
Taylor Walls,FA-H,79.0,SS
Ron Marinaccio,FA-RP,78.6,RP
Hunter Gaddis,FA-RP,78.4,RP
Ryan Rolison,FA-RP,78.3,RP
Gage Jump,FA-SP,78.1,SP
Zebby Matthews,FA-SP,78.0,SP
Greg Weissert,FA-RP,78.0,RP
Owen Caissie,FA-H,78.0,RF
PJ Poulin,FA-RP,77.8,RP
Steven Matz,FA-RP,77.3,RP
Cooper Criswell,FA-SP,77.2,SP
Ryan Watson,FA-RP,77.1,RP
Brent Rooker,FA-H,77.0,DH
Aaron Civale,FA-SP,76.6,SP
Daniel Schneemann,FA-H,76.0,2B
Ramon Laureano,FA-H,76.0,LF
Isiah Kiner-Falefa,FA-H,76.0,SS
Matt Shaw,FA-H,76.0,3B
Brady House,FA-H,76.0,3B
Yuki Matsui,FA-RP,75.4,RP
Jeremiah Estrada,FA-RP,75.2,RP
Nick Fortes,FA-H,75.0,C
Brett Baty,FA-H,75.0,3B
Drew Gilbert,FA-H,75.0,RF
Merrill Kelly,FA-SP,74.9,SP
Spencer Strider,FA-SP,74.7,SP
Lawrence Butler,FA-H,74.0,RF
Royce Lewis,FA-H,74.0,3B
Blake Treinen,FA-RP,73.9,RP
Peyton Gray,FA-RP,73.9,RP
Adrian Houser,FA-SP,73.8,SP
Troy Melton,FA-RP,73.5,RP
Logan O'Hoppe,FA-H,73.0,C
Jonah Heim,FA-H,73.0,C
Ezequiel Tovar,FA-H,73.0,SS
Masataka Yoshida,FA-H,73.0,DH
Coby Mayo,FA-H,73.0,1B
Erik Miller,FA-RP,73.0,RP
Trevor McDonald,FA-SP,72.7,SP
Jesse Scholtens,FA-SP,72.3,SP
Nathan Lukes,FA-H,72.0,RF
Christian Vazquez,FA-H,72.0,C
Heliot Ramos,FA-H,72.0,LF
Ryan Thompson,FA-RP,71.9,RP
Bryan Abreu,FA-RP,71.6,RP
Orlando Ribalta,FA-RP,71.4,RP
Amed Rosario,FA-H,71.0,3B
Randal Grichuk,FA-H,71.0,RF
Jose Fernandez,FA-H,71.0,SS
Taylor Rogers,FA-RP,70.3,RP
Tobias Myers,FA-RP,70.1,RP
Ryan Kreidler,FA-H,70.0,CF
Mitchell Parker,FA-SP,69.9,SP
Austin Warren,FA-RP,69.8,RP
Tim Hill,FA-RP,69.7,RP
Brandyn Garcia,FA-RP,69.3,RP
Esteury Ruiz,FA-H,69.0,LF
Connor Norby,FA-H,69.0,3B
Matt Brash,FA-RP,69.0,RP
Edouard Julien,FA-H,69.0,1B
Camilo Doval,FA-RP,68.8,RP
Grant Wolfram,FA-RP,68.5,RP
Ryan Feltner,FA-SP,68.3,SP
Brennan Bernardino,FA-RP,68.1,RP
Tyler Stephenson,FA-H,68.0,C
Logan Henderson,FA-SP,67.9,SP
Shawn Armstrong,FA-RP,67.2,RP
Paul Blackburn,FA-RP,67.2,RP
Myles Straw,FA-H,67.0,CF
Joey Ortiz,FA-H,67.0,SS
Jorbit Vivas,FA-H,67.0,2B
Jalen Beeks,FA-RP,66.8,RP
Andrew Nardi,FA-RP,66.8,RP
Pierce Johnson,FA-RP,66.6,RP
Dennis Santana,FA-RP,66.3,RP
Jake Bird,FA-RP,66.2,RP
Caleb Thielbar,FA-RP,66.0,RP
Casey Legumina,FA-RP,65.4,RP
Jose Alvarado,FA-RP,65.1,RP
Cole Winn,FA-RP,65.0,RP
Ryan McMahon,FA-H,65.0,3B
Elvis Alvarado,FA-RP,64.9,RP
Tatsuya Imai,FA-SP,64.3,SP
Jack Kochanowicz,FA-SP,64.2,SP
Juan Mejia,FA-RP,64.1,RP
Blake Dunn,FA-H,64.0,RF
Jonathan Bowlan,FA-RP,63.9,RP
Ryan Yarbrough,FA-RP,63.2,RP
Jorge Mateo,FA-H,63.0,SS
Cole Sulser,FA-RP,62.9,RP
Jose Suarez,FA-SP,62.8,SP
Kyle Isbel,FA-H,62.0,CF
Dane Myers,FA-H,62.0,CF
Adolis Garcia,FA-H,62.0,RF
Anthony Volpe,FA-H,62.0,SS
Yohendrick Pinango,FA-H,62.0,LF
Justin Bruihl,FA-RP,61.8,RP
Matt Gage,FA-RP,61.5,RP
Will Vest,FA-RP,61.3,RP
Dylan Dodd,FA-RP,61.2,RP
Edmundo Sosa,FA-H,61.0,2B
Tejay Antone,FA-RP,60.9,RP
Kyle Hart,FA-RP,60.6,RP
Brant Hurter,FA-RP,60.6,RP
Francisco Alvarez,FA-H,60.0,C
Miguel Rojas,FA-H,60.0,2B
Marcell Ozuna,FA-H,60.0,DH
Nolan Gorman,FA-H,60.0,3B
Mitch Farris,FA-SP,59.8,SP
JR Ritchie,FA-SP,59.7,SP
Miguel Amaya,FA-H,59.0,C
Robert Gasser,FA-SP,59.0,SP
Alex Call,FA-H,59.0,RF
Tommy Nance,FA-RP,58.8,RP
Isaac Mattson,FA-RP,58.6,RP
Chase Shugart,FA-RP,58.4,RP
Alejandro Osuna,FA-H,58.0,LF
Kyle Freeland,FA-SP,57.8,SP
Brendan Donovan,FA-H,57.0,2B
Chris Bassitt,FA-SP,56.9,SP
Brayan Bello,FA-SP,56.3,SP
Enmanuel De Jesus,FA-SP,56.2,SP
A.J. Ewing,FA-H,56.0,CF
Daniel Palencia,FA-RP,56.0,RP
Tristan Gray,FA-H,56.0,2B
Alex Freeland,FA-H,56.0,3B
Trevor Richards,FA-RP,55.8,RP
Eugenio Suarez,FA-H,55.0,3B
Jose Fermin,FA-H,55.0,2B
Jose Siri,FA-H,55.0,CF
Dylan Beavers,FA-H,55.0,LF
Henry Bolte,FA-H,55.0,RF
Henry Davis,FA-H,55.0,C
Noah Schultz,FA-SP,54.6,SP
Andrew Painter,FA-SP,54.5,SP
Jimmy Herget,FA-RP,54.5,RP
Max Muncy,FA-H,54.0,3B
Donovan Walton,FA-H,54.0,2B
Michael Lorenzen,FA-SP,53.8,SP
Connor Phillips,FA-RP,53.3,RP
Matt Strahm,FA-RP,53.1,RP
Paxton Schultz,FA-RP,53.1,RP
Ty Madden,FA-SP,53.0,SP
Dylan Crews,FA-H,53.0,RF
Brandon Pfaadt,FA-SP,52.4,SP
Colt Emerson,FA-H,52.0,SS
Joe Mack,FA-H,52.0,C
Kyle Higashioka,FA-H,52.0,C
Luisangel Acuna,FA-H,52.0,2B
Griffin Canning,FA-SP,51.6,SP
Albert Suarez,FA-RP,51.2,RP
Wade Meckler,FA-H,51.0,CF
Hyeseong Kim,FA-H,51.0,2B
Victor Scott II,FA-H,51.0,CF
Brice Matthews,FA-H,51.0,2B
Lance McCullers Jr.,FA-SP,50.8,SP
Cal Quantrill,FA-SP,50.8,SP
Kody Funderburk,FA-RP,50.5,RP
Luis Torrens,FA-H,50.0,C
Eli White,FA-H,50.0,RF
