player_name,bucket,pl_rank,pl_rank_raw,model_rank,model_proj,blended_xfp,blend_confidence,headline_proj,headline_source,model_signal,model_rep_delta,model_recform,schedule_idx,arche_have,arche_overall,arche_label,arche_cell,arche_traj,arche_domains,arche_slope_3yr,arche_career_pct,arche_t1_fp,arche_age,arche_age_tier,arche_velo,arche_velo_tier,verdict,verdict_top,reason_tag,confidence,confidence_n_aligned,confidence_n_available,watch_list,rationale,override_tag,decline_tier,velo_severity,velo_yoy,velo_in,velo_2y,split_rate_vs_L,split_rate_vs_R,split_lift_vs_L_pct,split_lift_vs_R_pct,split_pa_vs_L,split_pa_vs_R,split_dominant,xstat_xwoba,xstat_woba,xstat_gap,xstat_regression,xstat_vs_L_xwoba,xstat_vs_L_woba,xstat_vs_L_reg,xstat_vs_L_pa,xstat_vs_R_xwoba,xstat_vs_R_woba,xstat_vs_R_reg,xstat_vs_R_pa,ha_rate_home,ha_rate_away,ha_lift_home_pct,ha_lift_away_pct,ha_dominant,tto_tier,tto_penalty,tto1_rate,tto3_rate,bb_window,bb_n,bb_mean,bb_std,bb_boom_pct,bb_bust_pct,bb_min,bb_max,bb_l3_mean,bb_trend,bb_last,traj_n,traj_cadence,traj_first_label,traj_last_label,traj_ovr_first,traj_ovr_last,traj_ovr_delta,traj_last_archetype,traj_dom_last,traj_dom_deltas,stuff_plus,stuff_proj_ros_fp,stuff_breakout_gap,floor_bust_prob,floor_tier,trend_tag,shadow_grade,shadow_verdict,category,resolved,within_bucket_rank,group
Aaron Judge,H,,UR,,,3.7171536358424655,high,3.7171536358424655,blended_xfp,—,,,,True,74.0,GOAT_TIER,PLUS/PLUS/PLUS,TRENDING_DOWN,CONTACT=65;POWER=74;DISCIPLINE=61,-3.0,0.333,0.569,34.0,POST_PEAK,,,🏥 ON IL (TEN_DAY_DL) — talent read only: MIXED — see profile,MIXED,unknown,0.5,2.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #None); archetype OVERALL changes by >10 (currently 74); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,1.6,2.9,0.0,62.0,-4.0,8.0,2.3,FLAT,0.0 8.0 1.0 6.0 0.0 4.0 2.0 1.0,6.0,weekly,04-25,05-30,62.0,62.0,0.0,POWER_EYE,CONTACT=56;POWER=72;DISCIPLINE=62,CONTACT:+2;POWER:-3;DISCIPLINE:-2,,,,,,,,,MINE,,12,OF
Vladimir Guerrero Jr.,H,49.0,49,,,3.3407423400015555,high,3.3407423400015555,blended_xfp,—,,,,True,59.0,PURE_HITTER,PLUS/AVG/AVG,TRENDING_DOWN,CONTACT=66;POWER=42;DISCIPLINE=55,-9.0,0.143,0.618,27.0,PEAK,,,CAUTION,CAUTION,process_red_flag,0.5,2.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently 49),WARN Archetype TRENDING_DOWN (slope -9.0) while PL still has him #49 — sell-high candidate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,2.4,2.6,0.0,48.0,-2.0,7.0,3.7,UP,1.0 4.0 3.0 -1.0 4.0 6.0 0.0 5.0,6.0,weekly,04-25,06-13,56.0,53.0,-3.0,AVERAGE_HITTER,CONTACT=56;POWER=48;DISCIPLINE=54,CONTACT:-2;POWER:-5;DISCIPLINE:-2,,,,,,,,,MINE,,12,1B/3B
Corbin Carroll,H,11.0,11,5.0,2.35,3.0975539363084605,high,3.0975539363084605,blended_xfp,add,0.197,-0.0166,,True,61.0,POWER_HITTER,AVG/PLUS/AVG,STABLE,CONTACT=57;POWER=62;DISCIPLINE=53,2.5,0.6,0.608,26.0,PEAK,,,STRONG HOLD/BUY,BUY,strong_hold,0.75,3.0,4.0,archetype trajectory flips to TRENDING_DOWN; model rank slips past #80; PL rank drops more than 30 ranks; archetype OVERALL drops below 55,"All 3 lenses agree — PL #11, model #5, archetype OVERALL 61 (POWER_HITTER). High conviction.",,,,,,,0.275,0.357,-17.3,7.2,614.0,1472.0,R,0.377,0.405,0.028,OVERPERFORMING,0.393,0.506,OVERPERFORMING,101.0,0.369,0.355,ALIGNED,208.0,0.383,0.369,1.7,-1.9,HOME,,,,,L21 games,21.0,3.0,3.9,5.0,43.0,-2.0,12.0,4.3,UP,6.0 0.0 3.0 0.0 8.0 12.0 0.0 1.0,6.0,weekly,04-25,06-20,56.0,57.0,1.0,POWER_HITTER,CONTACT=54;POWER=62;DISCIPLINE=54,CONTACT:+0;POWER:+4;DISCIPLINE:-1,,,,,,"🔺 breakout watch (phys +1.1σ) — bat speed +1.3mph, intent +1.7σ; contact diverging (tool moved, contact hasn't)",,,MINE,,1,OF
Max Fried,SP,,UR,31.0,12.22,13.822396429568164,high,13.822396429568164,blended_xfp,il,0.651,0.0,,True,60.0,PURE_MOVEMENT,AVG/PLUS/AVG,STABLE,STUFF=48;MOVEMENT=73;CONTROL=52,0.5,0.286,10.85,32.0,POST_PEAK,87.99689349112427,BALANCED,🏥 ON IL (FIFTEEN_DAY_DL) — talent read only: CAUTION — decline veto,MIXED,unknown,0.75,3.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #31); archetype OVERALL changes by >10 (currently 60); traj_flag flips direction,"Decline VETO (consistency mandate): original 'BUY — under-the-radar' downgraded — sp-decline DECLINE-RISK (whiff/K level propped, gap +42) contradict the buy. The buy leans on a marcel_il rp3 (suppressed rank gap). The bullish read is a LEVEL/outcome signal blind to TRAJECTORY; the velo/decline lens is the trajectory veto (Framber 2026). Headline the decline. rp3 point estimate unchanged (#13).",DECLINE_VETO,DECLINE-RISK,,-0.3843747458404465,-0.3229870129870136,0.8838582108841138,0.226,0.253,-8.7,2.5,48.0,169.0,R,0.249,0.261,0.012,ALIGNED,0.226,0.16,OVERPERFORMING,48.0,0.256,0.29,UNDERPERFORMING,168.0,0.249,0.25,-0.2,0.1,AWAY,AVERAGE,-0.016,-0.137,-0.153,L8 starts,8.0,12.6,10.0,25.0,25.0,-0.1,30.4,4.8,DOWN,12.0 20.4 4.6 30.4 18.8 8.6 5.8 -0.1,6.0,per_start,#3,#9,58.0,55.0,-3.0,PURE_MOVEMENT,STUFF=48;MOVEMENT=69;CONTROL=47,STUFF:+1;MOVEMENT:-1;CONTROL:-17,105.8,12.85,-3.0,28.0,MODERATE,• FB velo -1.0 mph (-1.3σ) — stable,49.0,BELOW_AVG,MINE,,3,SP
Elly De La Cruz,H,,UR,,,3.089383701628288,high,3.089383701628288,blended_xfp,—,,,,True,59.0,POWER_HITTER,AVG/PLUS/AVG,TRENDING_UP,CONTACT=55;POWER=63;DISCIPLINE=44,3.0,0.75,0.524,24.0,PRE_PEAK,,,🏥 ON IL (TEN_DAY_DL) — talent read only: MIXED — see profile,MIXED,unknown,0.5,2.0,4.0,PL rank changes by >20 (currently UR); model rank changes by >20 (currently #None); archetype OVERALL changes by >10 (currently 59); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L21 games,21.0,2.1,3.1,0.0,38.0,-4.0,8.0,1.7,FLAT,0.0 8.0 -4.0 3.0 1.0 -3.0 2.0 6.0,6.0,weekly,04-25,05-30,61.0,58.0,-3.0,POWER_HITTER,CONTACT=55;POWER=63;DISCIPLINE=52,CONTACT:-1;POWER:-7;DISCIPLINE:-4,,,,,,,,,MINE,,12,2B/SS
Freddy Peralta,SP,43.0,43,48.0,11.41520250194622,13.537715170193405,high,13.537715170193405,blended_xfp,hold,-0.154,-4.779,0.5171255876427129,True,58.0,AVERAGE_4_5,AVG/AVG/AVG,STABLE,STUFF=58;MOVEMENT=57;CONTROL=44,1.5,0.286,11.8,30.0,PEAK,88.95345622119815,BALANCED,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 43); model rank changes by >20 (currently #48); archetype OVERALL changes by >10 (currently 58); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,STABLE,,-0.63864926346956,,0.1018155666699272,0.31,0.297,1.5,-2.9,247.0,129.0,L,0.307,0.336,0.029,UNDERPERFORMING,0.312,0.359,UNDERPERFORMING,246.0,0.297,0.293,ALIGNED,129.0,0.313,0.296,2.1,-3.6,HOME,DECAY,-0.086,-0.114,-0.2,L8 starts,8.0,6.1,11.8,0.0,38.0,-20.2,15.8,-2.0,DOWN,14.8 6.5 14.1 3.4 15.8 2.8 11.5 -20.2,6.0,per_start,#3,#16,64.0,50.0,-14.0,PURE_MOVEMENT,STUFF=44;MOVEMENT=62;CONTROL=44,STUFF:-25;MOVEMENT:-2;CONTROL:-5,96.0,11.55,-23.0,25.0,MODERATE,• FB velo -0.9 mph (-1.1σ) — stable,49.0,BELOW_AVG,MINE,,6,SP
Jhoan Duran,RP,3.0,3,3.0,163.0,4.136567735981263,high,4.136567735981263,blended_xfp,add,129.3,,,True,80.0,LATE_INNING_STUFF_CTRL,PLUS/PLUS/AVG,TRENDING_UP,STUFF=80;CONTROL=61;BATTED_BALL=58,5.5,0.8,4.84,28.0,PEAK,95.63558897243108,POWER,STRONG HOLD/BUY,BUY,strong_hold,1.0,4.0,4.0,archetype trajectory flips to TRENDING_DOWN; model rank slips past #80; PL rank drops more than 30 ranks; archetype OVERALL drops below 55,"All 3 lenses agree — PL #3, model #3, archetype OVERALL 80 (LATE_INNING_STUFF_CTRL). High conviction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L15 app,15.0,6.9,4.8,73.0,7.0,-7.0,11.3,6.3,FLAT,10.3 10.3 7.3 -7.0 7.3 9.3 4.3 5.3,6.0,weekly,04-25,06-20,66.0,68.0,2.0,LATE_INNING_STUFF_CTRL,STUFF=73;CONTROL=66;BATTED_BALL=57,STUFF:+10;CONTROL:-8;BATTED_BALL:-2,,,,,,• FB velo -0.2 mph (-0.2σ) — stable,,,MINE,,1,RP
Pete Alonso,H,22.0,22,25.0,2.11,3.0090739905529857,high,3.0090739905529857,blended_xfp,hold,0.0324,-0.0007,,True,64.0,POWER_HITTER,AVG/PLUS/AVG,STABLE,CONTACT=59;POWER=63;DISCIPLINE=55,1.5,0.143,0.505,32.0,POST_PEAK,,,STRONG HOLD/BUY,BUY,strong_hold,0.75,3.0,4.0,archetype trajectory flips to TRENDING_DOWN; model rank slips past #80; PL rank drops more than 30 ranks; archetype OVERALL drops below 55,"All 3 lenses agree — PL #22, model #25, archetype OVERALL 64 (POWER_HITTER). High conviction.",,,,,,,0.322,0.354,-6.7,2.5,1117.0,2952.0,R,0.381,0.352,-0.029,UNDERPERFORMING,0.352,0.294,UNDERPERFORMING,87.0,0.391,0.373,ALIGNED,251.0,0.363,0.4,-4.7,5.0,AWAY,,,,,L21 games,21.0,3.4,3.7,5.0,33.0,-2.0,12.0,5.3,UP,9.0 2.0 0.0 0.0 -2.0 5.0 -1.0 12.0,6.0,weekly,04-25,06-20,52.0,57.0,5.0,POWER_HITTER,CONTACT=54;POWER=62;DISCIPLINE=56,CONTACT:+4;POWER:+8;DISCIPLINE:-2,,,,,,• stable (phys -0.3σ) — bat speed -0.6mph,,,MINE,,3,1B/3B
Wyatt Langford,H,90.0,90,80.0,1.84,2.6868005293602506,high,2.6868005293602506,blended_xfp,hold,0.0507,0.0042,,True,51.0,AVERAGE_HITTER,AVG/AVG/AVG,CAREER_LOW,CONTACT=50;POWER=55;DISCIPLINE=42,-2.5,0.0,0.524,25.0,PRE_PEAK,,,CAUTION,CAUTION,process_red_flag,0.75,3.0,4.0,career_pct drops below current floor; L21d xwOBACON drops more than 0.020 from season; archetype OVERALL drops below 45; PL rank deteriorates past #100 (currently 90),WARN Career-low season (0% career-percentile).,,,,,,,0.327,0.229,29.3,-9.6,278.0,852.0,L,0.302,0.342,0.04,OVERPERFORMING,0.271,0.299,OVERPERFORMING,42.0,0.313,0.359,OVERPERFORMING,107.0,0.346,0.27,14.8,-10.5,HOME,,,,,L21 games,21.0,3.2,2.8,5.0,38.0,-1.0,10.0,7.7,UP,3.0 7.0 1.0 1.0 6.0 10.0 5.0 8.0,6.0,weekly,04-25,06-20,50.0,53.0,3.0,AVERAGE_HITTER,CONTACT=53;POWER=53;DISCIPLINE=49,CONTACT:+1;POWER:+6;DISCIPLINE:+2,,,,,,🔻 decline watch (phys -1.1σ) — swing-path off-band -2.6σ; contact confirming,,,MINE,,11,OF
Luis Arraez,H,59.0,59,47.0,1.95,2.2504436275226443,high,2.2504436275226443,blended_xfp,hold,0.0408,-0.0115,,True,58.0,AGGRESSIVE_SLAP,PLUS/MINUS/MINUS,STABLE,CONTACT=70;POWER=38;DISCIPLINE=39,-1.0,0.429,0.55,29.0,PEAK,,,MIXED — see profile,MIXED,no_convergence,1.0,4.0,4.0,PL rank changes by >20 (currently 59); model rank changes by >20 (currently #47); archetype OVERALL changes by >10 (currently 58); traj_flag flips direction,Signals don't converge to a single verdict; weigh the rate metrics against the trajectory before acting.,,,,,,,0.298,0.424,-23.9,8.4,887.0,2524.0,R,0.316,0.359,0.043,OVERPERFORMING,0.252,0.366,OVERPERFORMING,94.0,0.343,0.356,ALIGNED,216.0,0.315,0.316,-0.2,0.1,AWAY,,,,,L21 games,21.0,3.3,3.2,5.0,38.0,0.0,13.0,2.0,DOWN,1.0 4.0 0.0 6.0 13.0 0.0 3.0 3.0,6.0,weekly,04-25,06-20,50.0,51.0,1.0,AVERAGE_HITTER,CONTACT=58;POWER=42;DISCIPLINE=45,CONTACT:-1;POWER:+5;DISCIPLINE:-2,,,,,,• stable (phys +1.0σ) — bat speed +1.1mph,,,MINE,,7,1B/3B
