player_name,category
Aaron Judge,MINE
Vladimir Guerrero Jr.,MINE
Corbin Carroll,MINE
Max Fried,MINE
Elly De La Cruz,MINE
Freddy Peralta,MINE
Jhoan Duran,MINE
Pete Alonso,MINE
Wyatt Langford,MINE
Luis Arraez,MINE
Bo Bichette,MINE
Tyler Glasnow,MINE
Michael Harris II,MINE
Ryan Helsley,MINE
Carlos Rodon,MINE
Hunter Greene,MINE
Jose Soriano,MINE
Parker Messick,MINE
Tanner Scott,MINE
Will Warren,MINE
Jordan Walker,MINE
Max Muncy,MINE
Roki Sasaki,MINE
Jacob Latz,MINE
Hunter Goodman,MINE
Reid Detmers,MINE
Dustin May,MINE
Dominic Canzone,MINE
Bryce Eldridge,MINE
Trea Turner,FA-H
Austin Riley,FA-H
Kyle Bradish,FA-SP
Salvador Perez,FA-H
Brent Rooker,FA-H
Spencer Strider,FA-SP
Tanner Bibee,FA-SP
Jeremy Pena,FA-H
Eury Perez,FA-SP
Michael Soroka,FA-SP
Michael Wacha,FA-SP
Willy Adames,FA-H
Luis Castillo,FA-SP
Robbie Ray,FA-SP
Vinnie Pasquantino,FA-H
Eugenio Suarez,FA-H
Abner Uribe,FA-RP
Colson Montgomery,FA-H
TJ Rumfield,FA-H
Andrew Abbott,FA-SP
Zack Gelof,FA-H
Michael Busch,FA-H
Marcus Semien,FA-H
Brendan Donovan,FA-H
Pete Fairbanks,FA-RP
Jeff Hoffman,FA-RP
Gabriel Moreno,FA-H
Kenley Jansen,FA-RP
Bryson Stott,FA-H
Jo Adell,FA-H
Aaron Nola,FA-SP
Chandler Simpson,FA-H
Daniel Palencia,FA-RP
Jose Caballero,FA-H
Ryan Weathers,FA-SP
Samuel Basallo,FA-H
Isaac Paredes,FA-H
Bryan Abreu,FA-RP
Kris Bubic,FA-SP
Jakob Marsee,FA-H
Brooks Lee,FA-H
Griffin Jax,FA-RP
Jack Flaherty,FA-SP
Carter Jensen,FA-H
Trevor Rogers,FA-SP
Luis Garcia Jr.,FA-H
Sal Frelick,FA-H
Travis Bazzana,FA-H
J.T. Ginn,FA-SP
