player,team_side,pos,units,fp_off,fp_on,delta_fp,recent_factor,lineup_factor,park_factor,platoon_factor,il_factor
Freddy Peralta,my,SP,1.0,13.54,12.21,-1.33,0.922,1.0,0.978,1.0,1.0
Pete Fairbanks,my,RP,2.8,12.97,12.97,0.0,1.0,1.0,1.0,1.0,1.0
Aaron Judge,my,RF,5.0,12.38,13.24,0.85,1.058,1.02,0.991,1.0,1.0
Jose Soriano,my,SP,1.0,12.37,10.54,-1.83,0.85,1.0,1.003,1.0,1.0
Michael Harris II,my,CF,5.0,11.85,10.34,-1.5,0.85,1.03,1.022,1.0,1.0
Carlos Rodon,my,SP,1.0,11.5,11.61,0.11,1.0,1.0,1.009,1.0,1.0
Corbin Carroll,my,RF,5.0,11.12,10.0,-1.11,0.882,1.02,1.0,1.0,1.0
Framber Valdez,my,SP,1.0,11.07,9.31,-1.75,0.85,1.0,0.99,1.0,1.0
Jordan Walker,my,RF,5.0,10.63,12.72,2.09,1.15,1.03,1.029,1.0,1.0
Jhoan Duran,my,RP,2.2,10.18,10.18,0.0,1.0,1.0,1.0,1.0,1.0
Bo Bichette,my,SS,5.0,10.05,12.25,2.2,1.15,1.03,1.036,1.0,1.0
Logan Henderson,my,SP,1.0,9.6,11.4,1.8,1.15,1.0,1.032,1.0,1.0
Ryan Helsley,my,RP,2.2,9.47,9.47,0.0,1.0,1.0,1.0,1.0,1.0
Vladimir Guerrero Jr.,my,1B,5.0,9.36,8.03,-1.33,0.85,1.02,0.991,1.0,1.0
Elly De La Cruz,my,SS,4.0,9.09,8.68,-0.41,0.944,1.02,0.968,1.0,1.0
Max Muncy,my,3B,4.0,8.33,8.37,0.04,1.033,1.0,0.982,1.0,1.0
Luis Arraez,my,1B,4.0,8.21,9.38,1.17,1.12,1.03,1.015,1.0,1.0
Trea Turner,my,SS,4.0,7.59,6.44,-1.16,0.85,1.03,0.968,1.0,1.0
Pete Alonso,my,1B,4.0,7.45,8.82,1.37,1.15,1.03,0.968,1.0,1.0
Tanner Scott,my,RP,2.2,7.43,7.43,0.0,1.0,1.0,1.0,1.0,1.0
Wyatt Langford,my,LF,4.0,7.33,7.51,0.18,1.0,1.0,1.089,1.0,1.0
Daniel Palencia,my,RP,2.2,7.12,7.12,0.0,1.0,1.0,1.0,1.0,1.0
Salvador Perez,my,C,4.0,6.5,8.14,1.64,1.15,1.03,1.056,1.0,1.0
Max Fried,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Tyler Glasnow,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Hunter Greene,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Parker Messick,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Will Warren,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Kyle Bradish,my,SP,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Chris Sale,opp,SP,1.0,15.69,17.66,1.97,1.15,1.0,0.978,1.0,1.0
Cristopher Sanchez,opp,SP,1.0,15.07,17.91,2.84,1.15,1.0,1.033,1.0,1.0
Zack Wheeler,opp,SP,1.0,13.74,14.2,0.46,1.0,1.0,1.033,1.0,1.0
Nathan Eovaldi,opp,SP,1.0,13.13,15.14,2.01,1.15,1.0,1.003,1.0,1.0
Davis Martin,opp,SP,1.0,12.59,14.78,2.19,1.15,1.0,1.021,1.0,1.0
Matt Olson,opp,1B,5.0,12.41,13.87,1.46,1.088,1.03,1.022,1.0,1.0
George Kirby,opp,SP,1.0,12.07,10.7,-1.36,0.937,1.0,0.947,1.0,1.0
Kenley Jansen,opp,RP,2.8,10.85,10.85,0.0,1.0,1.0,1.0,1.0,1.0
Shane McClanahan,opp,SP,1.0,10.52,12.21,1.69,1.15,1.0,1.009,1.0,1.0
JJ Wetherholt,opp,SS,5.0,10.4,12.45,2.05,1.15,1.03,1.029,1.0,1.0
Mike Trout,opp,DH,5.0,10.3,8.99,-1.3,0.85,1.03,0.998,1.0,1.0
Sonny Gray,opp,SP,1.0,9.8,11.15,1.35,1.15,1.0,0.989,1.0,1.0
Bryce Harper,opp,1B,4.0,9.43,9.97,0.54,1.071,1.02,0.968,1.0,1.0
James Wood,opp,LF,5.0,9.27,8.14,-1.13,0.85,1.03,1.036,1.0,1.0
Brent Rooker,opp,DH,5.0,8.79,10.29,1.49,1.15,1.03,0.998,1.0,1.0
