age,mean_delta,n,cum_curve,era
20,0.03378547394266184,62.0,0.0,ALL
21,0.0312813094812915,188.0,0.03378547394266184,ALL
22,0.017499240124926388,431.0,0.06506678342395333,ALL
23,0.009222969799408044,779.0,0.08256602354887972,ALL
24,0.015746443016434825,1135.0,0.09178899334828777,ALL
25,0.0047736692814668415,1386.0,0.1075354363647226,ALL
26,-0.006077830662497424,1507.0,0.11230910564618944,ALL
27,-0.009935470163308039,1514.0,0.10623127498369202,ALL
28,-0.009160066098112768,1431.0,0.09629580482038398,ALL
29,-0.012571797866384437,1305.0,0.08713573872227122,ALL
30,-0.019077371125798142,1180.0,0.07456394085588679,ALL
31,-0.0188162144502675,1019.0,0.05548656973008864,ALL
32,-0.024975797804758865,839.0,0.03667035527982114,ALL
33,-0.020984823817209564,651.0,0.011694557475062275,ALL
34,-0.023539744770417533,483.0,-0.009290266342147288,ALL
35,-0.033020629463912564,329.0,-0.032830011112564825,ALL
36,-0.031236263289285943,235.0,-0.06585064057647738,ALL
37,-0.04836319399789368,150.0,-0.09708690386576332,ALL
38,-0.019362220307824998,98.0,-0.145450097863657,ALL
39,-0.04065095421471941,56.0,-0.164812318171482,ALL
20,0.05259143222463823,17.0,0.0,1970s
21,0.04032082683068103,49.0,0.05259143222463823,1970s
22,0.0001543542792164236,100.0,0.09291225905531926,1970s
23,0.019202661915683157,163.0,0.09306661333453568,1970s
24,0.0139633813017989,204.0,0.11226927525021885,1970s
25,0.011749544421953764,224.0,0.12623265655201774,1970s
26,9.724546204036886e-05,230.0,0.1379822009739715,1970s
27,-0.00407269462546517,229.0,0.1380794464360119,1970s
28,-0.010927530831425692,208.0,0.13400675181054672,1970s
29,-0.001173552262185788,183.0,0.12307922097912102,1970s
30,-0.007571018280319816,145.0,0.12190566871693524,1970s
31,-0.0012696888462239463,110.0,0.11433465043661542,1970s
32,-0.02573502552334304,95.0,0.11306496159039148,1970s
33,-0.020741946338743742,68.0,0.08732993606704843,1970s
34,-0.05487555377184514,49.0,0.0665879897283047,1970s
35,-0.012497567256009283,32.0,0.011712435956459558,1970s
36,-0.014070575586281485,21.0,-0.000785131299549725,1970s
37,-0.04959955303680434,16.0,-0.01485570688583121,1970s
38,-0.010872356477269422,13.0,-0.06445525992263555,1970s
39,-0.04405001993508366,4.0,-0.07532761639990497,1970s
20,0.06839779548968362,4.0,0.0,1980s
21,0.006142348324967774,23.0,0.06839779548968362,1980s
22,0.03289571046932621,62.0,0.0745401438146514,1980s
23,0.004665455131100871,123.0,0.10743585428397762,1980s
24,-0.002115748212502403,182.0,0.11210130941507848,1980s
25,0.003748731387752367,218.0,0.10998556120257608,1980s
26,-0.011996761364551151,245.0,0.11373429259032844,1980s
27,-0.025165889220620886,235.0,0.10173753122577729,1980s
28,-0.014115619473037449,220.0,0.0765716420051564,1980s
29,-0.005498333818408625,189.0,0.062456022532118946,1980s
30,-0.029340629959450155,171.0,0.05695768871371032,1980s
31,-0.0217155085385966,160.0,0.027617058754260165,1980s
32,-0.022282555322332795,131.0,0.005901550215663565,1980s
33,-0.03251935288086544,105.0,-0.01638100510666923,1980s
34,-0.0026598745852731056,83.0,-0.04890035798753467,1980s
35,-0.015737998866405076,62.0,-0.05156023257280778,1980s
36,-0.07095974436944148,44.0,-0.06729823143921285,1980s
37,-0.027426315454057975,28.0,-0.13825797580865434,1980s
38,0.000141643575530149,18.0,-0.1656842912627123,1980s
39,0.0005170304501650123,13.0,-0.16554264768718216,1980s
20,0.028903212313738318,7.0,0.0,1990s
21,0.004544947981948384,23.0,0.028903212313738318,1990s
22,0.0517602714208176,45.0,0.0334481602956867,1990s
23,0.038399012440790775,95.0,0.0852084317165043,1990s
24,0.03312102397404561,170.0,0.12360744415729508,1990s
25,0.014307591333459466,214.0,0.15672846813134067,1990s
26,0.0002183207349501532,248.0,0.17103605946480013,1990s
27,0.012785170249720862,259.0,0.17125438019975028,1990s
28,0.0009129477649168656,244.0,0.18403955044947115,1990s
29,-0.007467491977215042,228.0,0.18495249821438803,1990s
30,0.008719417701057212,214.0,0.17748500623717298,1990s
31,-0.01865029851942617,182.0,0.1862044239382302,1990s
32,-0.014266002082056249,144.0,0.16755412541880402,1990s
33,0.010961563082718697,114.0,0.15328812333674777,1990s
34,-0.024482744355990745,79.0,0.16424968641946647,1990s
35,-0.00043752310596204913,43.0,0.13976694206347573,1990s
36,-0.025054663943652588,38.0,0.1393294189575137,1990s
37,-0.06847799022123079,29.0,0.1142747550138611,1990s
38,-0.0009968127914777457,21.0,0.04579676479263031,1990s
39,-0.021482455923475977,13.0,0.04479995200115257,1990s
20,0.08113819556713332,6.0,0.0,2000s
21,0.04483300270134674,21.0,0.08113819556713332,2000s
22,0.024742072690508207,61.0,0.12597119826848008,2000s
23,0.005070774095260743,107.0,0.1507132709589883,2000s
24,0.020864837037947205,168.0,0.15578404505424903,2000s
25,-0.0015977306715802464,217.0,0.17664888209219623,2000s
26,-0.017336454396101982,231.0,0.17505115142061597,2000s
27,-0.006326264709933169,251.0,0.157714697024514,2000s
28,-0.01291968356100596,259.0,0.15138843231458082,2000s
29,-0.023891099444367743,240.0,0.13846874875357487,2000s
30,-0.02049501569498444,230.0,0.11457764930920714,2000s
31,-0.02345390620770036,203.0,0.0940826336142227,2000s
32,-0.03384655731647375,178.0,0.07062872740652235,2000s
33,-0.023186855420873082,133.0,0.036782170090048597,2000s
34,-0.027728047033592017,118.0,0.013595314669175514,2000s
35,-0.03249633638258996,91.0,-0.014132732364416502,2000s
36,-0.01446461549185542,72.0,-0.046629068747006466,2000s
37,-0.059018881335837305,40.0,-0.061093684238861884,2000s
38,-0.019966826196132506,21.0,-0.12011256557469918,2000s
39,-0.08565207910296398,17.0,-0.14007939177083167,2000s
20,-0.031268388846646095,13.0,0.0,2010s
21,0.06843322185308787,29.0,-0.031268388846646095,2010s
22,-0.019059228849703683,68.0,0.03716483300644177,2010s
23,0.011667191829153118,138.0,0.01810560415673809,2010s
24,0.010056971038882628,192.0,0.029772795985891207,2010s
25,0.0020174124834432482,257.0,0.03982976702477384,2010s
26,-0.0020716327003406482,277.0,0.041847179508217085,2010s
27,-0.016477795110677724,266.0,0.039775546807876434,2010s
28,-0.0011409100577676578,257.0,0.02329775169719871,2010s
29,-0.013658685675136959,233.0,0.022156841639431053,2010s
30,-0.04088425172944401,221.0,0.008498155964294095,2010s
31,-0.024870979342049588,201.0,-0.03238609576514991,2010s
