age,mean_delta,n,cum_curve,era
20,0.16699920463718662,28.0,0.0,ALL
21,-0.520050764570282,108.0,0.16699920463718662,ALL
22,0.17589272563116443,258.0,-0.35305155993309534,ALL
23,-0.18850755415447926,429.0,-0.1771588343019309,ALL
24,-0.03438205237365674,554.0,-0.3656663884564102,ALL
25,-0.2904132002632536,646.0,-0.40004844083006696,ALL
26,-0.8374750828408526,630.0,-0.6904616410933206,ALL
27,-0.4296895611907673,587.0,-1.5279367239341732,ALL
28,-0.6999952579764043,558.0,-1.9576262851249404,ALL
29,-0.5742220899399681,468.0,-2.6576215431013446,ALL
30,-0.68000802969201,393.0,-3.2318436330413127,ALL
31,-0.8903806749049307,343.0,-3.911851662733323,ALL
32,-0.6577923474523701,283.0,-4.802232337638253,ALL
33,-0.8491292350507288,236.0,-5.460024685090623,ALL
34,-0.7123511687981494,187.0,-6.309153920141352,ALL
35,-0.6618606566864614,136.0,-7.021505088939501,ALL
36,-1.30745881277075,89.0,-7.683365745625963,ALL
37,-1.0595730370019067,67.0,-8.990824558396714,ALL
38,-0.6826137117033477,52.0,-10.050397595398621,ALL
39,-0.9515856576246834,34.0,-10.733011307101968,ALL
20,1.5276049763642106,7.0,0.0,1970s
21,-1.8728138667351677,33.0,1.5276049763642106,1970s
22,-0.6596960505874564,52.0,-0.34520889037095714,1970s
23,-0.1501392592320665,77.0,-1.0049049409584137,1970s
24,-1.2424025791590991,91.0,-1.1550442001904802,1970s
25,-0.07760298293349707,107.0,-2.397446779349579,1970s
26,-1.0788592214984793,96.0,-2.475049762283076,1970s
27,-0.909845575390415,90.0,-3.5539089837815556,1970s
28,-0.9381607985944979,79.0,-4.463754559171971,1970s
29,-0.38816494167683324,62.0,-5.401915357766469,1970s
30,-1.1571093587304901,50.0,-5.790080299443302,1970s
31,-0.5301432729628731,49.0,-6.947189658173792,1970s
32,-0.784502164874551,43.0,-7.477332931136665,1970s
33,-1.4346785096184551,33.0,-8.261835096011216,1970s
34,-0.5120102711502906,21.0,-9.696513605629672,1970s
35,-1.3647358734986117,17.0,-10.208523876779962,1970s
36,-0.8954289770153208,9.0,-11.573259750278574,1970s
37,-1.5769364418030714,9.0,-12.468688727293895,1970s
38,-0.9812357543054285,7.0,-14.045625169096965,1970s
39,-1.7652387762933024,2.0,-15.026860923402394,1970s
20,-3.0679389290862553,7.0,0.0,1980s
21,-0.3186555985280731,24.0,-3.0679389290862553,1980s
22,0.18813041079462134,50.0,-3.3865945276143283,1980s
23,-0.07498876989579048,76.0,-3.198464116819707,1980s
24,-0.011986795139826006,97.0,-3.2734528867154977,1980s
25,-0.6081368778479462,112.0,-3.2854396818553235,1980s
26,-1.2649300200747182,105.0,-3.89357655970327,1980s
27,-0.10164956428918906,106.0,-5.158506579777988,1980s
28,-0.5207060711546163,99.0,-5.260156144067177,1980s
29,-0.15601933427223602,81.0,-5.780862215221793,1980s
30,-0.8098256538094254,65.0,-5.9368815494940295,1980s
31,-0.8914344175846024,57.0,-6.746707203303455,1980s
32,-1.0225912675661246,47.0,-7.6381416208880575,1980s
33,-0.28320521683861494,35.0,-8.660732888454183,1980s
34,-1.1062778701713847,31.0,-8.943938105292798,1980s
35,0.7301534218680227,26.0,-10.050215975464182,1980s
36,-2.1983692750609887,19.0,-9.32006255359616,1980s
37,0.011026621973173974,16.0,-11.518431828657148,1980s
38,-0.23195488109279438,13.0,-11.507405206683973,1980s
39,-1.337261757752426,11.0,-11.739360087776769,1980s
20,2.7630765926644743,3.0,0.0,1990s
21,-0.6349396909897362,16.0,2.7630765926644743,1990s
22,0.08912602417278497,49.0,2.128136901674738,1990s
23,-0.9985313835403319,73.0,2.217262925847523,1990s
24,0.2696715585433737,96.0,1.2187315423071912,1990s
25,-0.5062204547263772,107.0,1.488403100850565,1990s
26,-1.1705198402339465,115.0,0.9821826461241877,1990s
27,-0.8564871828362852,99.0,-0.1883371941097588,1990s
28,-0.6047853984200698,96.0,-1.044824376946044,1990s
29,-1.0146928612525306,96.0,-1.6496097753661139,1990s
30,-0.9371517187788764,74.0,-2.664302636618644,1990s
31,-1.1355930806944616,69.0,-3.6014543553975207,1990s
32,-0.5344966952410918,62.0,-4.7370474360919825,1990s
33,-1.999393944751056,51.0,-5.271544131333075,1990s
34,0.12185618797831886,37.0,-7.27093807608413,1990s
35,-1.6156835542104377,29.0,-7.149081888105812,1990s
36,-1.9542459977217472,15.0,-8.76476544231625,1990s
37,-3.7300464155126565,10.0,-10.719011440037997,1990s
38,-0.325863403557861,8.0,-14.449057855550654,1990s
39,-0.45794754216702754,4.0,-14.774921259108515,1990s
20,0.8023558579888743,8.0,0.0,2000s
21,0.8219112065775405,20.0,0.8023558579888743,2000s
22,0.5611514123253345,51.0,1.6242670645664148,2000s
23,0.19181800266859625,86.0,2.1854184768917495,2000s
24,0.1496440421461297,124.0,2.3772364795603456,2000s
25,-0.16517187306634543,119.0,2.526880521706475,2000s
26,-0.57746846963481,120.0,2.3617086486401297,2000s
27,0.030367351422482744,121.0,1.7842401790053197,2000s
28,-1.1103013921680758,111.0,1.8146075304278024,2000s
29,-0.6089787009519069,97.0,0.7043061382597267,2000s
30,0.00589697610147215,82.0,0.09532743730781978,2000s
31,-1.2550058075631088,65.0,0.10122441340929193,2000s
32,0.3637335576115431,48.0,-1.1537813941538169,2000s
33,0.21214626894078903,42.0,-0.7900478365422738,2000s
34,-1.3311865721753027,31.0,-0.5779015676014848,2000s
35,-0.7859799859143909,26.0,-1.9090881397767876,2000s
36,-1.1459809110045798,29.0,-2.6950681256911784,2000s
37,0.3441538947697401,18.0,-3.8410490366957584,2000s
38,-1.0017041846018107,16.0,-3.4968951419260184,2000s
39,-0.10143200757243602,12.0,-4.498599326527829,2000s
20,-0.045062827637006454,3.0,0.0,2010s
21,0.7120930473101236,15.0,-0.045062827637006454,2010s
22,0.8417129475598232,50.0,0.6670302196731172,2010s
23,-0.12175602949993973,91.0,1.5087431672329403,2010s
24,0.3609192219993632,110.0,1.3869871377330005,2010s
25,-0.1490719098902181,152.0,1.7479063597323639,2010s
26,-0.513127338433741,140.0,1.5988344498421458,2010s
27,-0.6445010747198102,121.0,1.085707111408405,2010s
28,-0.40144519923564914,119.0,0.4412060366885947,2010s
29,-0.7212004116288568,96.0,0.03976083745294556,2010s
30,-0.518636530862499,88.0,-0.6814395741759113,2010s
31,-0.9541680762347029,68.0,-1.2000761050384101,2010s
32,-1.0509585810913415,57.0,-2.1542441812731132,2010s
33,-0.42854636869261176,50.0,-3.205202762364455,2010s
34,-1.0684098948269358,47.0,-3.633749131057067,2010s
35,-0.00907755650053515,26.0,-4.7021590258840025,2010s
36,-0.4403997703186594,12.0,-4.7112365823845375,2010s
37,-1.6392711551563164,10.0,-5.151636352703197,2010s
38,-0.9957049893839756,6.0,-6.790907507859513,2010s
39,0.08078068144227726,2.0,-7.786612497243489,2010s
22,-0.18328061079688895,6.0,0.0,2020s
23,0.11752689183770301,26.0,-0.18328061079688895,2020s
24,0.592163068399284,36.0,-0.06575371895918594,2020s
25,-0.3181484382285086,49.0,0.5264093494400981,2020s
26,-0.24474386874891235,54.0,0.20826091121158952,2020s
27,0.05676775920768279,50.0,-0.036482957537322835,2020s
28,-0.604857619794573,54.0,0.020284801670359953,2020s
29,-0.17300519686014196,36.0,-0.584572818124213,2020s
30,-1.24100522557998,34.0,-0.757578014984355,2020s
31,-0.05844545128160095,35.0,-1.998583240564335,2020s
32,-1.0959839463263885,26.0,-2.057028691845936,2020s
