name,pos,src,own,inj,pa26,xw26,xc26,d_xw,d_xc,shrunk_gap,ci_lo,distinguish,pow_axes,proc_axes,career_best,peak_xc,peak_yr,mlb_yrs
Jordan Walker,RF,ROSTER,100.0,False,205,0.38,0.482,0.101,0.112,0.058,0.326,True,3,2,True,0.391,2023,4
Spencer Steer,1B,FA,28.5,False,191,0.382,0.449,0.087,0.116,0.049,0.327,True,3,2,True,0.371,2023,5
Oswald Peraza,3B,FA,2.2,False,144,0.345,0.388,0.094,0.07,0.046,0.281,True,1,2,True,0.318,2025,5
Zack Gelof,2B,FA,8.6,False,116,0.325,0.394,0.104,0.031,0.045,0.254,True,2,3,False,0.421,2023,4
Leody Taveras,CF,FA,1.1,False,135,0.326,0.345,0.09,0.036,0.043,0.26,True,1,3,False,0.38,2023,7
Curtis Mead,1B,FA,2.6,False,129,0.379,0.382,0.084,0.044,0.039,0.312,True,3,3,True,0.338,2025,4
Sam Antonacci,2B,FA,8.8,False,126,0.401,0.408,,,0.038,0.333,False,0,0,True,0.408,2026,1
Ezequiel Duran,SS,FA,19.6,False,148,0.321,0.381,0.074,0.08,0.037,0.258,True,3,2,False,0.415,2023,5
Luke Raley,RF,FA,12.1,False,137,0.392,0.588,0.075,0.214,0.036,0.326,True,3,0,True,0.434,2023,6
Michael Harris II,CF,ROSTER,100.0,False,182,0.385,0.47,0.066,0.087,0.036,0.328,True,3,0,True,0.427,2022,5
Carlos Cortes,RF,FA,16.7,False,133,0.388,0.392,0.074,0.01,0.035,0.321,True,1,3,True,0.392,2026,2
Nathaniel Lowe,1B,FA,2.8,False,116,0.379,0.471,0.074,0.105,0.032,0.308,True,3,2,True,0.422,2022,8
Dominic Smith,1B,FA,4.0,False,115,0.378,0.429,0.072,0.085,0.031,0.307,True,3,2,True,0.389,2021,10
Kyle Karros,3B,FA,0.2,False,166,0.318,0.356,0.06,0.066,0.031,0.259,True,3,2,True,0.356,2026,2
Nick Gonzales,2B,FA,5.0,False,181,0.344,0.376,0.052,0.046,0.029,0.287,False,2,2,True,0.376,2024,4
Owen Caissie,RF,FA,2.8,False,137,0.296,0.46,0.062,0.084,0.029,0.231,False,3,3,True,0.46,2026,2
David Fry,DH,FA,0.2,False,83,0.284,0.308,0.081,0.034,0.029,0.2,False,1,3,False,0.371,2024,4
Paul Goldschmidt,1B,FA,2.3,False,95,0.412,0.484,0.072,0.103,0.028,0.333,False,2,0,True,0.487,2015,12
Samuel Basallo,C,FA,35.6,False,154,0.341,0.441,0.054,0.093,0.028,0.279,False,3,0,True,0.441,2026,2
Dalton Rushing,C,FA,12.8,False,87,0.355,0.451,0.072,0.03,0.026,0.274,False,1,2,True,0.451,2026,2
