team,year,mid_pitcher,mid_sv,late_pitcher,late_sv,same_closer
ATH,2018,544727,13,595014,28,False
ATH,2019,595014,7,595014,16,True
ATH,2021,642152,8,642152,18,True
ATH,2022,666204,10,666204,11,True
ATH,2024,695243,10,695243,16,True
ATL,2018,527055,9,527055,15,True
ATL,2019,572888,15,572888,22,True
ATL,2021,519293,11,519293,23,True
ATL,2022,445276,16,445276,27,True
ATL,2023,572955,11,628452,20,False
ATL,2024,628452,12,628452,21,True
ATL,2025,628452,9,628452,12,True
AZ,2018,502202,12,502202,23,True
AZ,2019,518813,8,518813,14,True
AZ,2021,592233,4,592233,4,True
AZ,2022,453343,11,453343,15,True
AZ,2023,623149,13,623149,22,True
AZ,2024,656464,5,623149,17,False
AZ,2025,640462,4,679885,5,False
BAL,2019,571710,4,571710,7,True
BAL,2021,491624,8,491624,8,True
BAL,2023,642585,15,642585,32,True
BAL,2024,518886,12,518886,23,True
BAL,2025,642585,8,642585,19,True
BOS,2018,518886,17,518886,33,True
BOS,2019,518489,6,518489,7,True
BOS,2021,598264,13,598264,23,True
BOS,2023,445276,11,445276,22,True
BOS,2024,445276,9,445276,18,True
BOS,2025,547973,7,547973,15,True
CHC,2018,453344,9,453344,18,True
CHC,2019,518553,4,467008,7,False
CHC,2022,592858,4,592858,5,True
CHC,2024,640470,5,640470,5,True
CHC,2025,519151,5,694037,14,False
CIN,2018,628452,6,628452,18,True
CIN,2019,628452,10,628452,18,True
CIN,2022,663574,4,519326,7,False
CIN,2023,664747,11,664747,30,True
CIN,2024,664747,11,664747,23,True
CIN,2025,641941,14,641941,21,True
CLE,2018,543272,14,543272,22,True
CLE,2019,543272,12,543272,25,True
CLE,2021,661403,9,661403,12,True
CLE,2022,661403,10,661403,24,True
CLE,2023,661403,17,661403,28,True
CLE,2024,661403,17,661403,33,True
CLE,2025,661403,13,661403,27,True
COL,2018,451584,19,451584,30,True
COL,2019,451584,7,451584,15,True
COL,2021,453268,6,453268,16,True
COL,2022,453268,12,453268,24,True
CWS,2018,518858,4,518858,4,True
CWS,2019,517008,9,517008,21,True
CWS,2021,518886,13,521230,24,False
CWS,2022,521230,16,521230,23,True
DET,2018,572888,14,572888,22,True
DET,2021,642397,5,642397,13,True
DET,2022,642397,10,642397,20,True
DET,2023,656638,9,656638,19,True
DET,2024,671345,10,671345,15,True
DET,2025,640448,14,640448,20,True
