Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid,Name
DET,Tigers,13,5,30,30,0,0,,184.3,719,141,56,52,16,227,33,0,6,2.53934,0.944113,11.0852,1.6115,6.87879,0.781335,0.315716,0.0458971,0.269819188863039,,0.207353,0.286041,0.778364,2.43519,1137.4200225830077,6.171568115837637,1050.500015258789,5.69994572905011,6.37918,6.2487,7.019999980926514,6.0,AL,Tarik Skubal,669373,22267,22267,Tarik Skubal
BOS,Red Sox,14,6,29,29,0,0,,174.7,712,145,59,55,17,215,46,1,4,2.83343,1.0933,11.0761,2.36978,4.67391,0.875787,0.301966,0.0646067,0.23735953867435455,,0.219033,0.297674,0.789474,2.79741,986.6799774169924,5.647853432472085,932.4999847412109,5.337721814714626,5.14301,5.46218,12.239999771118164,3.0,AL,Garrett Crochet,676979,27463,27463,Garrett Crochet
SFG,Giants,15,9,32,32,0,0,,200.0,817,183,74,68,15,190,41,1,5,3.06,1.12,8.55,1.845,4.63415,0.675,0.232558,0.0501836,0.18237454816699028,,0.237354,0.29682,0.738916,2.90014,1061.7,5.3085,1047.0,5.235,5.03434,5.19981,57.189998626708984,30.0,NL,Logan Webb,657277,17995,17995,Logan Webb
PIT,Pirates,12,7,32,32,0,0,,180.3,721,143,61,56,16,205,47,0,6,2.79534,1.0538,10.2329,2.34609,4.3617,0.798669,0.284327,0.0651872,0.21914009004831314,,0.214072,0.284116,0.76969,2.89664,1016.620022583008,5.638491433032156,944.5000152587891,5.238491399180155,4.97093,5.65957,9.649999618530273,27.0,NL,Paul Skenes,694973,33677,33677,Paul Skenes
PHI,Phillies,10,6,29,29,0,0,,178.7,732,161,69,64,16,175,42,0,6,3.22328,1.13598,8.81365,2.11528,4.16667,0.80582,0.239071,0.057377,0.18169399350881577,,0.23538,0.294118,0.741971,3.14633,912.9799774169923,5.109009474026031,891.4999847412109,4.988808058006966,4.33882,4.62672,24.75,26.0,NL,Cristopher Sánchez,650911,20778,20778,Cristopher Sánchez
LAD,Dodgers,13,7,28,28,0,0,,169.0,666,130,68,63,18,182,43,0,5,3.35503,1.02367,9.69231,2.28994,4.23256,0.95858,0.273273,0.0645646,0.20870869606733322,,0.210356,0.267943,0.710419,3.21798,911.2,5.391715976331361,831.0,4.9171597633136095,4.16235,3.90373,26.639999389648438,22.0,NL,Yoshinobu Yamamoto,808967,33825,33825,Yoshinobu Yamamoto
HOU,Astros,13,6,28,30,0,0,,166.7,685,135,61,56,15,180,55,0,6,3.0234,1.13977,9.71806,2.96941,3.27273,0.809838,0.262774,0.080292,0.18248175084590912,,0.216346,0.27972,0.763314,3.24311,875.0799774169923,5.249430074606968,815.4999847412109,4.892021593704116,3.79935,4.30483,36.189998626708984,21.0,AL,Hunter Brown,686613,25880,25880,Hunter Brown
NYY,Yankees,13,8,28,28,0,0,,172.0,705,149,70,65,15,156,49,1,6,3.40116,1.15116,8.16279,2.56395,3.18367,0.784884,0.221277,0.0695035,0.15177305042743683,,0.229231,0.279749,0.723164,3.41421,847.9,4.929651162790697,812.0,4.72093023255814,3.67316,3.62279,50.04999923706055,9.0,AL,Max Fried,608331,13743,13743,Max Fried
TOR,Blue Jays,11,8,30,30,0,0,,164.7,688,136,71,66,19,192,63,2,4,3.60656,1.20826,10.4918,3.44262,3.04762,1.03825,0.27907,0.0915698,0.1875000149011612,,0.219002,0.285366,0.742459,3.52372,814.4799774169923,4.945233712863678,759.4999847412109,4.6114146861817344,3.60145,3.06262,74.7699966430664,14.0,AL,Dylan Cease,656302,18525,18525,Dylan Cease
CIN,Reds,9,7,30,30,0,0,,165.3,693,158,78,72,20,149,48,0,4,3.92015,1.24622,8.11252,2.61343,3.10417,1.08893,0.215007,0.0692641,0.14574314653873444,,0.24649,0.292373,0.719101,3.84899,708.420022583008,4.285662489438621,708.5000152587891,4.2861464136630865,3.44324,2.99461,221.92999267578125,18.0,NL,Andrew Abbott,671096,29911,29911,Andrew Abbott
SEA,Mariners,11,8,27,28,0,0,,161.3,640,132,65,60,19,165,33,1,8,3.3478,1.02294,9.20645,1.84129,5.0,1.06014,0.257812,0.0515625,0.20625000074505806,,0.220367,0.272289,0.722543,3.38312,823.7200225830077,5.1067576379319295,766.5000152587891,4.752014883799073,3.37883,3.0357,34.77000045776367,11.0,AL,Bryan Woo,693433,30279,30279,Bryan Woo
PHI,Phillies,11,9,28,28,0,0,,161.0,669,143,76,70,21,180,49,0,4,3.91304,1.19255,10.0621,2.73913,3.67347,1.17391,0.269058,0.0732436,0.19581463932991028,,0.232143,0.293976,0.713407,3.58234,762.3000000000002,4.734782608695653,733.0,4.552795031055901,3.22063,2.66551,70.58999633789062,26.0,NL,Jesús Luzardo,666200,19959,19959,Jesús Luzardo
