name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,n_neg_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Ivan Herrera,ivanherrera,DH,StL,53.39,"['DH', 'UTIL', 'BE', 'IL', 'C']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-hard_hit_pct']",0,4,0.5570667688152906,256.3,hold,0.0276,C
Max Muncy,maxmuncy,3B,LAD,58.9,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-ev_mean', '-ev_p90', '-hard_hit_pct']",0,3,0.6093768561612665,228.5,add,0.1013,3B
Max Muncy,maxmuncy,3B,Oak,5.31,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",DECLINING,"['-ev_mean', '-ev_p90', '-hard_hit_pct']",0,3,0.6093768561612665,228.5,add,0.1013,3B
Colson Montgomery,colsonmontgomery,SS,ChW,25.04,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",5,0,0.5261789698513641,218.9,hold,0.0011,SS
TJ Rumfield,tjrumfield,3B,Col,13.84,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '1B']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-bat_speed_mean']",3,2,0.5011128906530782,208.5,hold,-0.0646,1B
Carlos Correa,carloscorrea,SS,Hou,18.74,"['3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '-ev_mean', '-bat_speed_mean']",1,3,0.5121365413649182,206.9,hold,-0.013,SS
Hunter Goodman,huntergoodman,C,Col,72.4,"['C', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",5,1,0.508140776351737,200.7,hold,-0.0213,C
Daulton Varsho,daultonvarsho,CF,Tor,13.52,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",3,2,0.5429624745223545,198.7,hold,0.0557,OF
Michael Busch,michaelbusch,1B,ChC,43.49,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-whiff_per_swing', '+ev_p90']",1,2,0.4590429913478607,197.8,drop,-0.1067,1B
Trent Grisham,trentgrisham,CF,NYY,23.65,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct']",2,4,0.5440891686544614,197.5,hold,0.0568,OF
Nolan Schanuel,nolanschanuel,1B,LAA,7.04,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct']",1,4,0.4770521026355039,194.2,drop,-0.0887,1B
Jorge Soler,jorgesoler,RF,LAA,22.04,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0,0.4881876548866508,192.8,hold,0.0009,OF
Jake Burger,jakeburger,1B,Tex,7.13,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",4,3,0.4609756085472872,191.8,drop,-0.1047,1B
Josh Bell,joshbell,DH,Min,11.63,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",2,3,0.4772737076805982,190.0,drop,-0.0884,1B
Chandler Simpson,chandlersimpson,CF,TB,52.33,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",stable,"['-k_pct', '+ev_mean', '-ev_p90', '+bat_speed_mean']",2,2,0.447817336268111,189.0,hold,-0.0395,OF
Isaac Paredes,isaacparedes,3B,Hou,34.15,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,1,0.5080282772550816,189.0,hold,0.0,3B
Spencer Steer,spencersteer,1B,Cin,9.35,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'OF', 'LF', 'RF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0,0.5323676772403693,188.5,hold,0.0451,OF
TJ Friedl,tjfriedl,CF,Cin,12.71,"['CF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",7,0,0.4758309637957999,188.0,hold,-0.0114,OF
Marcus Semien,marcussemien,2B,NYM,45.39,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",stable,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",3,3,0.4731675420000329,186.9,hold,-0.0395,2B
Spencer Horwitz,spencerhorwitz,1B,Pit,1.78,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-hard_hit_pct', '+bat_speed_mean']",4,1,0.5397449585282282,184.6,hold,-0.026,1B
Jeff McNeil,jeffmcneil,2B,Oak,8.42,"['2B', '2B/SS', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+bat_speed_mean']",5,0,0.5312354224553021,183.3,hold,0.0186,2B
Alec Bohm,alecbohm,3B,Phi,15.43,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct']",3,1,0.4647799941199821,181.3,hold,-0.0432,3B
Willy Adames,willyadames,SS,SF,53.83,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '-whiff_per_swing', '-ev_mean', '-bat_speed_mean']",1,3,0.4514773790751232,181.0,drop,-0.0736,SS
Ramon Laureano,ramonlaureano,LF,SD,18.44,"['LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",0,7,0.4632045579264055,180.6,hold,-0.0241,OF
Dillon Dingler,dillondingler,C,Det,43.4,"['C', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",2,5,0.5294573433923947,177.9,hold,0.0,C
Trevor Story,trevorstory,SS,Bos,17.7,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90']",3,1,0.4295828637260056,176.1,drop,-0.0955,SS
Brandon Marsh,brandonmarsh,CF,Phi,29.23,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '-ev_mean', '-ev_p90']",1,2,0.5234883086098937,175.9,hold,0.0362,OF
