name,team,pos,own,hr_window,hr_dates,pa26,xw26,xc26,peak_xc,mlb_yrs,coverage_note,d_xw,d_xc,shrunk_gap,pow_axes,proc_axes,career_best,distinguish,score,tier,sub_tag
Lane Thomas,KCR,CF,0.5,3,"2026-06-13,2026-06-16,2026-06-17",174.0,0.318,0.321,0.402,8.0,,0.074,0.03,0.04,2.0,3.0,False,True,4.0,SUSTAINABLE,
Curtis Mead,WSN,1B,8.0,2,"2026-06-10,2026-06-16",209.0,0.377,0.398,0.338,4.0,,0.082,0.06,0.048,3.0,3.0,True,True,5.0,SUSTAINABLE,
Garrett Mitchell,MIL,CF,3.4,2,"2026-06-13,2026-06-16",223.0,0.347,0.48,0.48,5.0,,0.056,0.102,0.033,3.0,1.0,True,True,4.0,SUSTAINABLE,
Owen Caissie,MIA,RF,2.4,2,"2026-06-10,2026-06-17",193.0,0.287,0.45,0.45,2.0,,0.052,0.075,0.029,3.0,2.0,True,False,4.0,SUSTAINABLE,
Zack Gelof,ATH,2B,28.7,3,"2026-06-13,2026-06-16,2026-06-17",208.0,0.293,0.36,0.421,4.0,,0.072,-0.002,0.042,1.0,3.0,False,True,3.0,NARROW,
Dylan Crews,WSN,RF,5.1,2,"2026-06-12,2026-06-15",96.0,0.335,0.392,0.362,3.0,,0.028,0.03,0.011,2.0,2.0,True,False,3.0,NARROW,
Cole Young,SEA,2B,9.1,2,"2026-06-11,2026-06-17",303.0,0.328,0.368,0.368,2.0,,0.028,0.057,0.018,3.0,1.0,True,False,2.0,MIXED,
Andrew Benintendi,CHW,LF,2.8,2,"2026-06-12,2026-06-16",229.0,0.34,0.407,0.398,11.0,,0.017,0.056,0.01,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY]
Jackson Holliday,BAL,2B,31.3,2,"2026-06-10,2026-06-17",85.0,0.317,0.414,0.36,3.0,,0.002,0.053,0.001,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY]
Colt Keith,DET,DH,5.9,4,"2026-06-11,2026-06-15",209.0,0.322,0.38,0.397,3.0,,-0.021,-0.017,-0.012,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY]
Bryce Eldridge,SFG,DH,22.9,3,"2026-06-10,2026-06-12,2026-06-17",121.0,0.408,0.477,0.49,2.0,,0.045,-0.012,0.02,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY]
Daniel Schneemann,CLE,2B,2.9,2,"2026-06-13,2026-06-17",199.0,0.303,0.379,0.369,3.0,,0.004,0.01,0.002,1.0,0.0,True,False,1.0,HOT_STREAK,
Willi Castro,COL,RF,22.0,2,2026-06-14,247.0,0.309,0.35,0.376,8.0,,0.001,-0.006,0.001,2.0,0.0,False,False,1.0,HOT_STREAK,[POWER-ONLY]
Davis Schneider,TOR,LF,0.4,2,"2026-06-14,2026-06-16",99.0,0.304,0.363,0.377,4.0,,-0.02,-0.001,-0.008,2.0,1.0,False,False,1.0,HOT_STREAK,
José Caballero,NYY,RF,33.9,2,"2026-06-14,2026-06-16",212.0,0.283,0.32,0.343,4.0,,-0.02,-0.023,-0.012,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY]
Brice Matthews,HOU,2B,0.5,2,"2026-06-12,2026-06-13",186.0,0.276,0.37,0.512,2.0,,-0.026,-0.142,-0.014,0.0,3.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY]
Alec Bohm,PHI,3B,17.5,2,"2026-06-10,2026-06-16",278.0,0.298,0.31,0.394,7.0,,-0.028,-0.049,-0.018,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY]
Paul Goldschmidt,NYY,1B,16.6,3,"2026-06-13,2026-06-16,2026-06-17",180.0,0.365,0.415,0.487,12.0,,0.026,0.033,0.014,1.0,0.0,False,False,0.0,HOT_STREAK_DEEP,
Colson Montgomery,CHW,SS,38.4,3,"2026-06-14,2026-06-17",285.0,0.328,0.42,0.452,2.0,,-0.016,-0.031,-0.01,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,
Kody Clemens,MIN,1B,15.6,2,"2026-06-12,2026-06-16",238.0,0.343,0.397,0.404,5.0,,0.01,-0.006,0.006,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,
J.T. Realmuto,PHI,C,13.9,2,"2026-06-13,2026-06-15",185.0,0.32,0.357,0.426,12.0,,0.003,-0.024,0.002,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,
