name,team,own,per_start,stuff,src,inj,ret,xfp_ros,xfp_po
Shane McClanahan,TB,66.3,13.45,108.0,Stuff+,,,231.0,48.0
Aaron Nola,Phi,39.9,13.09,107.0,Stuff+,,,225.0,47.0
Christian Scott,NYM,21.9,13.04,108.0,Stuff+,,,224.0,47.0
Trevor McDonald,SF,5.8,13.03,101.0,Stuff+,,,224.0,47.0
Jack Leiter,Tex,19.3,12.74,103.0,Stuff+,,,219.0,46.0
Ryan Weathers,NYY,43.7,12.39,99.0,Stuff+,,,213.0,45.0
Landen Roupp,SF,30.8,12.12,99.0,Stuff+,,,208.0,44.0
Dustin May,StL,11.9,12.14,103.0,Stuff+,,,208.0,44.0
Connor Prielipp,Min,2.7,12.02,103.0,Stuff+,,,206.0,43.0
Walbert Urena,LAA,12.0,11.93,99.0,Stuff+,,,205.0,43.0
Bubba Chandler,Pit,21.3,11.8,105.0,Stuff+,,,203.0,42.0
Jack Flaherty,Det,36.0,11.54,100.0,Stuff+,,,198.0,42.0
Ryne Nelson,Ari,11.5,11.55,106.0,Stuff+,,,198.0,42.0
Sean Burke,ChW,11.4,11.47,98.0,Stuff+,,,197.0,41.0
Luis F. Castillo,FA,0.0,11.49,98.0,Stuff+,,,197.0,41.0
Anthony Kay,ChW,5.2,11.46,104.0,Stuff+,,,197.0,41.0
Luis Castillo,Sea,54.9,11.49,98.0,Stuff+,,,197.0,41.0
Matthew Boyd,ChC,42.1,12.42,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-19,196.0,45.0
Matthew Liberatore,StL,4.7,11.36,99.0,Stuff+,,,195.0,41.0
Spencer Arrighetti,Hou,60.5,11.31,99.0,Stuff+,,,194.0,41.0
Brandon Sproat,Mil,1.5,11.25,99.0,Stuff+,,,193.0,41.0
Logan Henderson,Mil,12.8,14.03,107.0,Stuff+,FIFTEEN_DAY_DL,2026-07-01,193.0,51.0
Randy Vasquez,SD,31.1,11.0,99.0,Stuff+,,,189.0,40.0
Robbie Ray,SF,53.1,11.03,98.0,Stuff+,,,189.0,40.0
Jeffrey Springs,Oak,15.4,11.02,98.0,Stuff+,,,189.0,40.0
Zebby Matthews,Min,13.2,10.95,96.0,Stuff+,,,188.0,39.0
Andre Pallante,StL,5.4,10.94,97.0,Stuff+,,,188.0,39.0
Andrew Painter,Phi,8.2,10.97,100.0,Stuff+,,,188.0,40.0
Edward Cabrera,ChC,31.6,10.87,94.0,Stuff+,,,187.0,39.0
Trevor Rogers,Bal,29.6,10.81,100.0,Stuff+,,,186.0,39.0
Walker Buehler,SD,6.4,10.63,96.0,Stuff+,,,182.0,38.0
Lance McCullers Jr.,Hou,2.7,11.05,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-15,182.0,40.0
Colin Rea,ChC,5.3,10.55,94.0,Stuff+,,,181.0,38.0
Stephen Kolek,KC,15.4,10.47,92.0,Stuff+,,,180.0,38.0
Brandon Young,Bal,6.9,10.48,96.0,Stuff+,,,180.0,38.0
Kumar Rocker,Tex,6.6,10.25,92.0,Stuff+,,,176.0,37.0
Grant Holmes,Atl,13.6,10.27,90.0,Stuff+,,,176.0,37.0
Jake Irvin,Wsh,0.6,11.6,98.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,176.0,42.0
Shane Drohan,Mil,3.3,10.13,,rp3_dd,,,174.0,36.0
Mike Burrows,Hou,3.1,10.11,93.0,Stuff+,,,174.0,36.0
Slade Cecconi,Cle,1.9,10.04,93.0,Stuff+,,,172.0,36.0
Mitch Keller,Pit,33.4,10.01,93.0,Stuff+,,,172.0,36.0
JR Ritchie,Atl,2.2,9.97,94.0,Stuff+,,,171.0,36.0
Ryan Feltner,Col,1.4,9.97,92.0,Stuff+,,,171.0,36.0
Griffin Canning,SD,1.0,9.97,91.0,Stuff+,,,171.0,36.0
Andrew Abbott,Cin,44.2,9.83,95.0,Stuff+,,,169.0,35.0
Patrick Corbin,Tor,1.7,9.71,93.0,Stuff+,,,167.0,35.0
Keider Montero,Det,7.7,9.72,94.0,Stuff+,,,167.0,35.0
Kyle Freeland,Col,0.7,9.67,92.0,Stuff+,,,166.0,35.0
Khal Stephen,Cle,0.0,9.65,,rp3_dd,,,166.0,35.0
Janson Junk,Mia,1.5,10.88,101.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,165.0,39.0
Elmer Rodriguez,NYY,0.6,9.6,90.0,Stuff+,,,165.0,35.0
Tyler Mahle,SF,0.8,9.6,89.0,Stuff+,FIFTEEN_DAY_DL,2026-06-12,163.0,35.0
Noah Schultz,ChW,4.2,10.2,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-19,161.0,37.0
Tatsuya Imai,Hou,20.9,9.38,87.0,Stuff+,,,161.0,34.0
Gage Jump,Oak,15.5,9.27,,rp3_dd,,,159.0,33.0
Brady Singer,Cin,5.3,9.23,91.0,Stuff+,,,158.0,33.0
Chris Bassitt,Bal,3.7,10.01,96.0,Stuff+,FIFTEEN_DAY_DL,2026-06-20,157.0,36.0
Aaron Civale,Oak,3.8,9.5,96.0,Stuff+,FIFTEEN_DAY_DL,2026-06-16,155.0,34.0
