mlb_id,player_name_fg,team,season,ip,g,gs,so,h,er,bb,hbp,k_pct,bb_pct,swstr_pct,siera,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command
694819,Jacob Misiorowski,MIL,,133.0,22.0,22.0,204.0,68.0,26.0,30.0,9.0,0.4055666,0.05964215,0.18168093,2.0337877777301134,128.133305746662,101.71392690082618,129.93452826556484,65.34579765978863,55.88579606945144
650911,Cristopher Sanchez,PHI,,155.2,25.0,25.0,181.0,151.0,44.0,35.0,5.0,0.28018576,0.05417957,0.15194642,2.811934087847458,117.38160676474897,97.05749732746636,114.23548174319292,57.28857806613647,55.22009386354123
693645,Cameron Schlittler,NYY,,146.2,25.0,25.0,182.0,105.0,36.0,31.0,6.0,0.31433506,0.05354059,0.13612565,2.812351781581316,112.63152393138336,104.7516219276749,115.66597935155197,56.27999065276519,55.52510155485041
656302,Dylan Cease,TOR,,131.1,22.0,22.0,191.0,85.0,35.0,56.0,3.0,0.3610586,0.10586011,0.14661319,2.9502555938263395,106.8550835710466,98.55847802413712,105.73907331065686,56.89403493315508,51.51042536096257
666200,Jesus Luzardo,PHI,,143.2,24.0,24.0,176.0,120.0,53.0,44.0,9.0,0.29679595,0.07419899,0.13782739,3.1009097786697355,110.89619221314734,102.68694120810716,111.79078472332725,58.064068338342636,53.50961237011593
519242,Chris Sale,ATL,,123.0,21.0,21.0,151.0,98.0,30.0,28.0,10.0,0.30566802,0.05668016,0.13857868,2.884971334626142,118.43248463017905,109.15707828178338,121.74540051342409,54.53244628934011,60.15015613197969
694973,Paul Skenes,PIT,,134.2,25.0,25.0,166.0,114.0,58.0,37.0,9.0,0.30018083,0.06690778,0.133304,3.1032007398235226,98.47121133940333,107.91198946741179,105.71278601495312,52.25189608886933,56.926847716674004
656876,Drew Rasmussen,TBR,,129.1,23.0,23.0,133.0,95.0,40.0,23.0,7.0,0.26284585,0.04545455,0.11679198,3.229580503810662,108.9159967569587,107.46049276249667,114.50148455125257,54.13759932256384,55.8632065711308
800048,Parker Messick,CLE,,136.2,23.0,23.0,136.0,104.0,39.0,38.0,1.0,0.25092251,0.0701107,0.11111111,3.622572489174555,96.5963765014993,105.20826357476575,104.41443747396896,50.05114606837606,53.720828152896466
695505,Chase Burns,CIN,,124.0,22.0,22.0,143.0,93.0,36.0,46.0,1.0,0.28486056,0.09163347,0.14306712,3.578671104688289,112.21898507862784,101.50471359983288,114.12884334416674,60.52437557079863,52.389435306222424
624133,Ranger Suarez,BOS,,108.0,21.0,21.0,110.0,97.0,39.0,31.0,3.0,0.24719101,0.06966292,0.09947947,3.6463758772207715,94.42653570878451,106.4357606392262,100.97594662428224,45.08192222093697,55.53688478889532
808967,Yoshinobu Yamamoto,LAD,,139.1,21.0,21.0,127.0,92.0,41.0,32.0,4.0,0.23827392,0.06003752,0.11138015,3.606979609697551,102.30769058561168,106.60564290677108,109.82663351729816,53.636074799031476,58.680040150121066
693433,Bryan Woo,SEA,,132.1,23.0,23.0,132.0,118.0,61.0,28.0,6.0,0.24399261,0.05175601,0.11448141,3.575768829206399,108.88370865602083,108.44232934499563,113.59122376564471,53.16113163405088,60.66678355675147
554430,Zack Wheeler,PHI,,115.1,20.0,20.0,137.0,86.0,37.0,29.0,3.0,0.30176211,0.06387665,0.13705309,3.0153869927599892,104.48631247610547,106.5155458003307,112.24962975128871,58.012426208017324,55.533849349945825
695243,Mason Miller,SDP,,51.1,49.0,0.0,93.0,24.0,5.0,19.0,2.0,0.4744898,0.09693878,0.20743405,1.5594956994839957,120.21479419881392,103.19123656861018,120.23993365040222,65.61574688249398,49.40083067146284
680732,Sean Burke,CHW,,135.2,24.0,20.0,152.0,108.0,45.0,39.0,8.0,0.27636364,0.07090909,0.11441648,3.381585954486275,99.40624462011421,101.68680115003426,100.20319365342418,50.49093674184262,54.483654424184266
645261,Sandy Alcantara,MIA,,163.2,25.0,25.0,128.0,150.0,64.0,42.0,7.0,0.18991098,0.06231454,0.09809485,4.2281346844786025,100.34683859973795,102.757267145209,102.49893646279565,52.86606453992704,56.444825330360764
672282,Reid Detmers,LAA,,135.0,24.0,24.0,156.0,106.0,60.0,43.0,4.0,0.28158845,0.07761733,0.12612613,3.4627071085714665,104.22067354119932,107.97023929097331,108.91124547320663,50.496300072072074,57.06518863963965
669373,Tarik Skubal,- - -,,107.2,18.0,18.0,128.0,82.0,35.0,18.0,5.0,0.30548926,0.04295943,0.16004963,2.7694796813273133,117.66347674689827,105.43163938813488,120.81676596081925,57.59493053970224,59.83594717741936
669358,Shane Baz,BAL,,139.1,24.0,24.0,122.0,143.0,62.0,47.0,3.0,0.20401338,0.07859532,0.09530083,4.307474021875013,98.6153254267479,102.82376709848779,102.89482418939926,52.44378140096618,54.1081832586737
660271,Shohei Ohtani,LAD,,85.2,14.0,14.0,95.0,55.0,17.0,26.0,6.0,0.27941176,0.07647059,0.13483146,3.305629852036762,114.34960584505392,97.8587181423288,111.71244139335374,60.26268295131087,52.28679799250937
668909,Gavin Williams,CLE,,144.2,24.0,24.0,185.0,109.0,57.0,41.0,3.0,0.32286213,0.07155323,0.14273128,2.9009382492971927,104.90587449752157,105.00713253115913,109.14587652043132,56.78588503083701,55.38176192951542
594798,Jacob deGrom,TEX,,118.2,22.0,22.0,144.0,104.0,51.0,30.0,0.0,0.2962963,0.0617284,0.15973631,3.1289766884055683,108.71997374130518,108.30513389790295,117.84062767213597,57.51723064401624,59.336353884381325
663554,Casey Mize,- - -,,96.0,18.0,18.0,92.0,81.0,36.0,24.0,1.0,0.2377261,0.0620155,0.11366712,3.8639200899816624,88.62279107796655,107.349360007704,98.51700395506283,48.27149467523681,55.17857598105548
608331,Max Fried,NYY,,81.1,14.0,14.0,75.0,54.0,26.0,25.0,2.0,0.24038462,0.08012821,0.10430464,3.7968187754009226,106.10991010403426,102.08657329975155,110.23414208868017,53.20446325331125,50.910041680463564
657277,Logan Webb,SFG,,133.0,21.0,21.0,103.0,112.0,53.0,32.0,6.0,0.19144981,0.05947955,0.08816121,3.9580028770512614,98.96943180949522,105.27413050701885,105.73155861378427,52.387796806045344,58.54383241309825
592332,Kevin Gausman,- - -,,134.1,24.0,24.0,131.0,132.0,64.0,37.0,1.0,0.23144876,0.06537102,0.12298748,3.8604368168162453,98.23291657061658,107.78450530267554,105.53356691817179,51.67530527728086,59.77878889534884
663436,Davis Martin,CHW,,123.0,23.0,23.0,108.0,125.0,57.0,38.0,7.0,0.20809249,0.07321773,0.1045,4.126276307054475,90.14441014370276,94.38059440657537,85.61173491991157,49.151153875000006,50.591732329999985
801139,Payton Tolle,BOS,,107.0,19.0,19.0,124.0,89.0,38.0,29.0,3.0,0.28505747,0.06666667,0.13810111,3.3091192664760825,114.49067622576138,99.16003976351229,111.22140839407302,56.56573911220715,58.48531033292232
657746,Joe Ryan,MIN,,125.2,23.0,23.0,138.0,116.0,51.0,27.0,5.0,0.26386233,0.05162524,0.11238642,3.401145665768072,106.4076208261823,107.53892146649557,110.67761467980559,51.13461535628886,59.730762577714
669160,Dustin May,- - -,,122.0,23.0,23.0,117.0,112.0,56.0,40.0,8.0,0.23076923,0.07889546,0.09886128,3.9510593548326693,101.3026940627711,101.60374365444599,103.43536947173796,57.14201993271222,50.55631576604555
677952,Braxton Ashcraft,PIT,,132.1,23.0,23.0,145.0,121.0,60.0,32.0,7.0,0.26556777,0.05860806,0.12630015,3.3198624437254183,106.1260993320077,107.16620372143588,109.55969552839868,51.38968993065874,58.39978462109956
690997,Nolan McLean,NYM,,136.2,24.0,24.0,159.0,105.0,52.0,50.0,13.0,0.27992958,0.08802817,0.09880372,3.492950768797926,106.39201721606648,96.6613994636318,106.1212933739373,59.55228719982278,50.31015620735491
669302,Logan Gilbert,SEA,,139.1,23.0,23.0,145.0,107.0,53.0,32.0,5.0,0.26411658,0.0582878,0.13829787,3.4271057439689177,109.17478064862492,104.30377855811295,112.05393366055971,57.12613228029601,57.78247030064755
669432,Trevor Rogers,BAL,,119.2,22.0,22.0,102.0,115.0,56.0,34.0,3.0,0.2027833,0.06759443,0.11145194,4.227225207245995,101.12700796613103,104.45479940366361,102.88166438968479,52.56092951942741,58.59832553680982
669022,MacKenzie Gore,TEX,,134.0,25.0,25.0,149.0,117.0,66.0,49.0,6.0,0.26140351,0.08596491,0.11977103,3.742420977739193,98.92702892668551,100.89121251616578,99.40966408461675,51.85166616908851,53.27355465874064
686973,Louie Varland,TOR,,62.1,56.0,0.0,76.0,45.0,9.0,17.0,0.0,0.3127572,0.06995885,0.13017154,2.443907691463053,115.08121700643744,106.07108803529529,120.24648088221088,64.14384794147327,55.44999473259337
676974,Max Meyer,MIA,,111.0,20.0,20.0,121.0,85.0,33.0,41.0,7.0,0.26190476,0.08874459,0.1228364,3.7495293383047166,97.64333826461336,104.93814161647613,105.18461564970491,59.10892455053044,52.95107820212173
676917,Cade Cavalli,WSN,,128.2,25.0,25.0,141.0,128.0,51.0,39.0,12.0,0.25543478,0.07065217,0.10843373,3.464347677476357,102.11910740007357,97.37908429877808,97.85489720137774,51.92853569508805,51.101500023169606
543243,Sonny Gray,BOS,,125.2,22.0,22.0,110.0,112.0,39.0,33.0,5.0,0.21568627,0.06470588,0.09689711,3.87221483835627,101.127135515919,97.30269002838058,101.88965394169946,52.56717987479587,54.21269203592814
670970,Adrian Morejon,SDP,,65.1,56.0,0.0,80.0,53.0,20.0,18.0,4.0,0.29850746,0.06716418,0.16618076,2.29854728103908,129.03899917342542,106.97162356928607,133.69663271574856,65.9485690281827,59.21474664723032
593958,Eduardo Rodriguez,ARI,,143.1,24.0,24.0,101.0,129.0,43.0,47.0,0.0,0.17118644,0.07966102,0.08743409,4.7096222553091645,91.36373782894628,109.29350417276468,102.8156502389878,44.724416353251314,59.127097851493836
691587,Eury Perez,MIA,,116.2,21.0,21.0,128.0,85.0,44.0,44.0,8.0,0.27176221,0.09341826,0.13720317,3.727364573371884,115.5848960749917,93.62356694739596,106.41211981146924,59.770011525065954,50.88350213720317
