owner,name,team,own,slots,per_game,rank,signal,etfr,src,inj,ret,xfp_ros,xfp_po,buckets
MINE,Corbin Carroll,Ari,,RF|OF|UTIL|BE|IL,2.29,8.0,add,212.0,id,,,208.0,41.0,OF|UTIL
MINE,Michael Harris II,Atl,,CF|OF|UTIL|BE|IL,2.22,14.0,add,187.0,id,,,202.0,40.0,OF|UTIL
FA,Julio Rodriguez,FA,0.1,C|UTIL|BE|IL,2.2,16.0,add,226.0,name,,,200.0,40.0,C|UTIL
FA,Spencer Horwitz,Pit,13.4,1B|1B/3B|IF|UTIL|BE|IL,2.17,17.0,hold,179.0,id,,,197.0,39.0,1B/3B|UTIL
FA,Carlos Cortes,Oak,10.7,RF|OF|UTIL|BE|IL,2.15,21.0,add,135.0,id,,,195.0,39.0,OF|UTIL
MINE,Pete Alonso,Bal,,1B|1B/3B|IF|UTIL|BE|IL,2.07,27.0,hold,208.0,id,,,188.0,37.0,1B/3B|UTIL
MINE,Vladimir Guerrero Jr.,Tor,,1B|1B/3B|IF|DH|UTIL|BE|IL,2.06,30.0,hold,196.0,id,,,187.0,37.0,1B/3B|UTIL
FA,Moises Ballesteros,ChC,3.3,DH|UTIL|BE|IL,2.06,31.0,hold,113.0,name,,,187.0,37.0,UTIL
MINE,Max Muncy,LAD,,3B|1B/3B|IF|UTIL|BE|IL,2.03,38.0,hold,159.0,id,,,185.0,37.0,1B/3B|UTIL
FA,Spencer Steer,Cin,25.9,1B|1B/3B|IF|UTIL|BE|IL|OF|LF|RF|2B|2B/SS,2.02,39.0,add,176.0,id,,,184.0,36.0,1B/3B|2B/SS|OF|UTIL
FA,Luis Garcia Jr.,Wsh,25.1,2B|2B/SS|IF|UTIL|BE|IL|1B|1B/3B,2.01,42.0,hold,146.0,name,,,183.0,36.0,1B/3B|2B/SS|UTIL
MINE,Bo Bichette,NYM,,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.99,46.0,hold,198.0,id,,,181.0,36.0,1B/3B|2B/SS|UTIL
FA,Nathaniel Lowe,Cin,2.0,1B|1B/3B|IF|UTIL|BE|IL|DH,1.98,49.0,hold,108.0,id,,,180.0,36.0,1B/3B|UTIL
FA,Jurickson Profar,Atl,5.0,LF|OF|UTIL|BE|IL,1.93,,stash,,talent_prior,,,175.0,35.0,OF|UTIL
FA,Bryson Stott,Phi,36.9,2B|2B/SS|IF|UTIL|BE|IL,1.92,60.0,hold,148.0,id,,,175.0,35.0,2B/SS|UTIL
FA,Isaac Paredes,Hou,34.7,3B|1B/3B|IF|UTIL|BE|IL,1.92,59.0,hold,170.0,id,,,175.0,35.0,1B/3B|UTIL
FA,Jared Young,NYM,0.4,DH|UTIL|BE|IL|1B|1B/3B|IF,1.92,62.0,hold,41.0,id,,,175.0,35.0,1B/3B|UTIL
MINE,Luis Arraez,SF,,1B|1B/3B|IF|DH|UTIL|BE|IL|2B|2B/SS,1.92,64.0,hold,184.0,id,,,175.0,35.0,1B/3B|2B/SS|UTIL
FA,Paul Goldschmidt,NYY,8.5,1B|1B/3B|IF|UTIL|BE|IL,1.91,68.0,hold,98.0,id,,,174.0,34.0,1B/3B|UTIL
FA,Trent Grisham,NYY,36.1,CF|OF|UTIL|BE|IL,1.9,71.0,hold,160.0,id,,,173.0,34.0,OF|UTIL
FA,Randal Grichuk,ChW,0.2,RF|OF|DH|UTIL|BE|IL|LF,1.89,73.0,hold,58.0,id,,,172.0,34.0,OF|UTIL
FA,Javier Sanoja,Mia,3.9,2B|3B|2B/SS|1B/3B|IF|LF|OF|UTIL|P|RP|BE|IL,1.88,76.0,hold,98.0,id,,,171.0,34.0,1B/3B|2B/SS|OF|UTIL
FA,Gabriel Moreno,Ari,35.9,C|UTIL|BE|IL,1.88,81.0,hold,102.0,id,,,171.0,34.0,C|UTIL
MINE,Hunter Goodman,Col,,C|DH|UTIL|BE|IL,1.88,78.0,hold,167.0,id,,,171.0,34.0,C|UTIL
FA,Masataka Yoshida,Bos,0.8,DH|UTIL|BE|IL,1.88,75.0,hold,93.0,id,,,171.0,34.0,UTIL
MINE,Jordan Walker,StL,,RF|OF|UTIL|BE|IL,1.87,82.0,hold,174.0,id,,,170.0,34.0,OF|UTIL
FA,Colson Montgomery,ChW,37.0,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.87,83.0,hold,177.0,id,,,170.0,34.0,1B/3B|2B/SS|UTIL
FA,Alec Bohm,Phi,17.4,3B|1B/3B|IF|UTIL|BE|IL,1.86,88.0,hold,162.0,id,,,169.0,33.0,1B/3B|UTIL
FA,Marcus Semien,NYM,42.7,2B|2B/SS|IF|UTIL|BE|IL,1.85,92.0,hold,168.0,id,,,168.0,33.0,2B/SS|UTIL
FA,Miguel Andujar,SD,2.7,3B|1B/3B|IF|LF|OF|DH|UTIL|BE|IL,1.84,94.0,hold,127.0,id,,,167.0,33.0,1B/3B|OF|UTIL
FA,Charlie Blackmon,Col,0.0,RF|OF|UTIL|BE|IL,1.83,,stash,,talent_prior,,,166.0,33.0,OF|UTIL
FA,TJ Friedl,Cin,9.9,CF|OF|UTIL|BE|IL|LF,1.83,,stash,,talent_prior,,,166.0,33.0,OF|UTIL
FA,Curtis Mead,Wsh,8.8,1B|3B|1B/3B|IF|UTIL|BE|IL,1.83,95.0,hold,116.0,id,,,166.0,33.0,1B/3B|UTIL
FA,Sal Frelick,Mil,28.9,RF|OF|UTIL|BE|IL,1.81,100.0,hold,145.0,id,,,165.0,33.0,OF|UTIL
FA,Gavin Sheets,SD,14.6,LF|OF|DH|UTIL|BE|IL|1B|1B/3B|IF,1.82,97.0,hold,133.0,id,,,165.0,33.0,1B/3B|OF|UTIL
FA,Michael Busch,ChC,42.4,1B|1B/3B|IF|UTIL|BE|IL,1.81,99.0,hold,183.0,id,,,165.0,33.0,1B/3B|UTIL
FA,Victor Robles,Sea,0.3,RF|OF|UTIL|BE|IL,1.82,,stash,,talent_prior,,,165.0,33.0,OF|UTIL
FA,Joc Pederson,Tex,2.0,DH|UTIL|BE|IL,1.81,101.0,hold,124.0,id,,,165.0,33.0,UTIL
FA,Dominic Canzone,Sea,4.6,RF|OF|UTIL|BE|IL|DH,1.8,103.0,hold,100.0,id,,,164.0,32.0,OF|UTIL
FA,Stone Garrett,Wsh,0,RF|OF|UTIL|BE|IL,1.8,,stash,,talent_prior,,,164.0,32.0,OF|UTIL
FA,Willy Adames,SF,58.8,SS|2B/SS|IF|UTIL|BE|IL,1.79,104.0,hold,173.0,id,,,163.0,32.0,2B/SS|UTIL
FA,Michael Massey,KC,0.8,2B|2B/SS|IF|UTIL|BE|IL,1.79,106.0,hold,92.0,id,,,163.0,32.0,2B/SS|UTIL
MINE,Trea Turner,Phi,,SS|2B/SS|IF|UTIL|BE|IL,1.79,108.0,hold,176.0,id,,,163.0,32.0,2B/SS|UTIL
FA,Jeremy Pena,Hou,61.1,SS|2B/SS|IF|UTIL|BE|IL,1.78,110.0,hold,78.0,name,,,162.0,32.0,2B/SS|UTIL
FA,Wander Franco,TB,0.2,SS|2B/SS|IF|UTIL|BE|IL,2.07,,stash,,talent_prior,OUT,2026-06-25,162.0,37.0,2B/SS|UTIL
FA,Nathan Lukes,Tor,1.2,LF|CF|RF|OF|UTIL|BE|IL,1.78,112.0,hold,66.0,id,,,162.0,32.0,OF|UTIL
FA,Jeff McNeil,Oak,6.2,2B|2B/SS|IF|CF|OF|UTIL|BE|IL,1.78,116.0,hold,140.0,id,,,162.0,32.0,2B/SS|OF|UTIL
FA,Lourdes Gurriel Jr.,Ari,1.0,LF|OF|UTIL|BE|IL,1.86,,stash,,talent_prior,TEN_DAY_DL,2026-06-15,162.0,33.0,OF|UTIL
FA,Jason Heyward,FA,0.0,LF|OF|UTIL|BE|IL,1.78,,stash,,talent_prior,,,162.0,32.0,OF|UTIL
FA,Amed Rosario,NYY,0.8,2B|3B|2B/SS|1B/3B|IF|UTIL|BE|IL,1.77,119.0,hold,65.0,id,,,161.0,32.0,1B/3B|2B/SS|UTIL
