owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets
MINE,Corbin Carroll,Ari,,RF|OF|UTIL|BE|IL,2.35,8.0,add,114.0,id·vol,3.59,,,139.0,43.0,OF|UTIL
MINE,Elly De La Cruz,Cin,,SS|2B/SS|IF|UTIL|BE|IL,2.05,43.0,hold,86.0,id·vol,3.87,,,131.0,41.0,2B/SS|UTIL
MINE,Michael Harris II,Atl,,CF|OF|UTIL|BE|IL,2.18,22.0,add,95.0,id·vol,3.42,,,123.0,38.0,OF|UTIL
MINE,Luis Arraez,SF,,1B|1B/3B|IF|DH|UTIL|BE|IL|2B|2B/SS,2.05,46.0,add,100.0,id·vol,3.62,,,122.0,38.0,1B/3B|2B/SS|UTIL
MINE,Pete Alonso,Bal,,1B|1B/3B|IF|UTIL|BE|IL,2.1,36.0,hold,108.0,id·vol,3.44,,,119.0,37.0,1B/3B|UTIL
FA,Jackson Merrill,SD,76.4,CF|OF|UTIL|BE|IL,2.01,54.0,hold,96.0,id·vol,3.55,,,117.0,37.0,OF|UTIL
MINE,Vladimir Guerrero Jr.,Tor,,1B|1B/3B|IF|DH|UTIL|BE|IL,2.1,38.0,hold,99.0,id·vol,3.35,,,116.0,36.0,1B/3B|UTIL
MINE,Bo Bichette,NYM,,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.98,64.0,hold,100.0,id·vol,3.36,,,110.0,34.0,1B/3B|2B/SS|UTIL
MINE,Hunter Goodman,Col,,C|DH|UTIL|BE|IL,2.01,57.0,hold,92.0,id·vol,3.27,,,108.0,34.0,C|UTIL
MINE,Jordan Walker,StL,,RF|OF|UTIL|BE|IL,1.93,82.0,hold,93.0,id·vol,3.33,,,106.0,33.0,OF|UTIL
MINE,Luis Garcia Jr.,Wsh,,2B|2B/SS|IF|UTIL|BE|IL|1B|1B/3B,2.28,14.0,add,87.0,name·vol,2.79,,,105.0,33.0,1B/3B|2B/SS|UTIL
FA,Julio Rodriguez,FA,0.1,C|UTIL|BE|IL,2.3,12.0,add,105.0,name·vol,2.72,,,103.0,32.0,C|UTIL
FA,Bryson Stott,Phi,40.5,2B|2B/SS|IF|UTIL|BE|IL,2.02,51.0,hold,86.0,id·vol,3.03,,,101.0,31.0,2B/SS|UTIL
FA,Colson Montgomery,ChW,41.2,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.89,99.0,hold,88.0,id·vol,3.26,,,101.0,32.0,1B/3B|2B/SS|UTIL
FA,Caleb Durbin,Bos,35.3,3B|1B/3B|IF|UTIL|BE|IL,2.01,55.0,hold,78.0,id·vol,2.98,,,98.0,31.0,1B/3B|UTIL
FA,Spencer Steer,Cin,21.8,1B|1B/3B|IF|UTIL|BE|IL|OF|LF|RF|2B|2B/SS,1.98,65.0,hold,86.0,id·vol,3.01,,,98.0,31.0,1B/3B|2B/SS|OF|UTIL
FA,Trent Grisham,NYY,27.6,CF|OF|UTIL|BE|IL,2.0,58.0,hold,74.0,id·vol,2.93,,,97.0,30.0,OF|UTIL
FA,Jakob Marsee,Mia,29.0,CF|OF|UTIL|BE|IL,1.87,109.0,hold,88.0,id·vol,3.15,,,97.0,30.0,OF|UTIL
FA,Jose Altuve,Hou,76.3,2B|2B/SS|IF|LF|OF|DH|UTIL|BE|IL,1.84,122.0,hold,71.0,id·vol,3.18,,,96.0,30.0,2B/SS|OF|UTIL
FA,Jarren Duran,Bos,70.7,LF|CF|OF|UTIL|BE|IL,1.69,203.0,hold,78.0,id·vol,3.45,,,96.0,30.0,OF|UTIL
FA,Gabriel Moreno,Ari,40.5,C|UTIL|BE|IL,1.97,70.0,hold,66.0,id·vol,2.91,,,95.0,30.0,C|UTIL
FA,Chandler Simpson,TB,35.3,LF|CF|OF|UTIL|BE|IL,1.82,130.0,hold,78.0,id·vol,3.13,,,94.0,29.0,OF|UTIL
FA,Alec Bohm,Phi,17.5,3B|1B/3B|IF|UTIL|BE|IL,1.84,120.0,hold,84.0,id·vol,3.12,,,94.0,29.0,1B/3B|UTIL
FA,Ceddanne Rafaela,Bos,46.8,2B|2B/SS|IF|CF|OF|UTIL|BE|IL,1.62,241.0,hold,74.0,id·vol,3.51,,,94.0,29.0,2B/SS|OF|UTIL
MINE,Wyatt Langford,Tex,,LF|CF|OF|UTIL|BE|IL,2.02,52.0,hold,47.0,id·vol,2.79,,,93.0,29.0,OF|UTIL
FA,Kody Clemens,Min,27.0,1B|2B|2B/SS|1B/3B|IF|UTIL|BE|IL|OF|LF|RF,1.83,125.0,hold,74.0,id·vol,3.06,,,92.0,29.0,1B/3B|2B/SS|OF|UTIL
FA,Nolan Schanuel,LAA,4.5,1B|1B/3B|IF|UTIL|BE|IL,1.74,170.0,drop,68.0,id·vol,3.2,,,92.0,29.0,1B/3B|UTIL
FA,J.P. Crawford,Sea,6.1,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.66,217.0,hold,68.0,id·vol,3.34,,,91.0,28.0,1B/3B|2B/SS|UTIL
FA,Brooks Lee,Min,44.3,2B|3B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL,1.69,197.0,hold,77.0,id·vol,3.26,,,91.0,28.0,1B/3B|2B/SS|UTIL
FA,Jeremy Pena,Hou,56.6,SS|2B/SS|IF|UTIL|BE|IL,1.88,104.0,hold,50.0,name·vol,2.93,,,91.0,28.0,2B/SS|UTIL
FA,Heliot Ramos,SF,14.4,LF|OF|UTIL|BE|IL,1.68,209.0,hold,48.0,id·vol,3.24,,,89.0,28.0,OF|UTIL
FA,Willy Adames,SF,51.2,SS|2B/SS|IF|UTIL|BE|IL,1.72,181.0,hold,81.0,id·vol,3.13,,,88.0,28.0,2B/SS|UTIL
FA,Daulton Varsho,Tor,10.0,CF|OF|UTIL|BE|IL,1.96,74.0,hold,74.0,id·vol,2.72,,,88.0,27.0,OF|UTIL
FA,Vinnie Pasquantino,KC,45.7,1B|1B/3B|IF|DH|UTIL|BE|IL,2.02,53.0,hold,74.0,id·vol,2.66,,,88.0,28.0,1B/3B|UTIL
FA,Josh Bell,Min,16.9,1B|1B/3B|IF|DH|UTIL|BE|IL,1.75,163.0,hold,80.0,id·vol,2.96,,,85.0,27.0,1B/3B|UTIL
MINE,Curtis Mead,Wsh,,1B|3B|1B/3B|IF|UTIL|BE|IL,1.83,124.0,hold,67.0,id·vol,2.83,,,85.0,27.0,1B/3B|UTIL
FA,Gavin Sheets,SD,12.5,LF|OF|DH|UTIL|BE|IL|1B|1B/3B|IF,1.77,155.0,drop,70.0,id·vol,2.93,,,85.0,27.0,1B/3B|OF|UTIL
