stratum,tier,pos,injury,month,n_stints,n_returned,censor_rate,p25_days,p50_days,p75_days,p90_days,mean_days
tier_x_pos,IL10,H,,,2713,1992,0.266,10.0,16.0,30.0,45.0,21.7
tier_x_pos,IL10,P,,,1675,1084,0.353,10.0,14.0,25.2,41.0,20.2
tier_x_pos,IL15,H,,,342,283,0.173,15.5,26.0,39.5,51.0,30.0
tier_x_pos,IL15,P,,,1757,1357,0.228,15.0,23.0,39.0,53.0,29.4
tier_x_pos,IL60,H,,,296,170,0.426,45.2,61.0,109.5,173.3,84.3
tier_x_pos,IL60,P,,,806,458,0.432,65.2,126.0,214.0,248.6,135.5
tier_x_pos,IL60_via_transfer,H,,,432,317,0.266,70.0,92.0,140.0,182.4,107.5
tier_x_pos,IL60_via_transfer,P,,,1041,701,0.327,77.0,105.0,158.0,212.0,121.4
tier_x_pos,IL7,H,,,159,102,0.358,7.0,8.0,10.0,16.0,12.3
tier_x_pos,IL7,P,,,20,15,0.25,8.0,10.0,16.0,26.0,15.7
tier_x_pos,IL_unspecified,H,,,80,50,0.375,6.0,10.5,15.0,21.1,15.5
tier_x_pos,IL_unspecified,P,,,122,49,0.598,9.0,17.0,36.0,220.0,59.1
tier_x_injury_P,IL10,P,back_neck,,135,97,0.281,9.0,12.0,17.0,27.0,15.5
tier_x_injury_P,IL10,P,concussion,,2,2,0.0,,,,,
tier_x_injury_P,IL10,P,forearm,,88,49,0.443,11.0,17.0,28.0,37.4,23.4
tier_x_injury_P,IL10,P,hamstring,,73,52,0.288,14.0,19.0,25.2,29.9,19.5
tier_x_injury_P,IL10,P,hand_wrist,,106,71,0.33,10.0,14.0,24.0,35.0,18.4
tier_x_injury_P,IL10,P,knee_leg,,220,152,0.309,10.0,12.0,24.0,42.9,19.1
tier_x_injury_P,IL10,P,oblique_core,,88,50,0.432,11.0,17.0,34.0,54.1,27.1
tier_x_injury_P,IL10,P,other_unspecified,,511,340,0.335,7.0,12.0,22.0,36.0,16.1
tier_x_injury_P,IL10,P,shoulder_lat,,308,188,0.39,11.0,19.0,34.0,50.0,25.3
tier_x_injury_P,IL10,P,tommy_john_elbow,,144,83,0.424,14.0,21.0,35.0,54.0,29.2
tier_x_injury_P,IL15,P,back_neck,,165,133,0.194,14.0,20.0,29.0,44.8,25.3
tier_x_injury_P,IL15,P,concussion,,1,1,0.0,,,,,
tier_x_injury_P,IL15,P,forearm,,127,96,0.244,15.0,26.5,41.5,59.5,32.7
tier_x_injury_P,IL15,P,hamstring,,86,73,0.151,15.0,22.0,34.0,49.4,25.6
tier_x_injury_P,IL15,P,hand_wrist,,84,62,0.262,14.0,23.5,35.0,43.8,25.2
tier_x_injury_P,IL15,P,knee_leg,,278,217,0.219,14.0,21.0,34.0,50.0,26.5
tier_x_injury_P,IL15,P,oblique_core,,102,86,0.157,16.0,28.5,41.0,57.0,30.4
tier_x_injury_P,IL15,P,other_unspecified,,291,226,0.223,15.0,22.0,37.0,50.0,26.9
tier_x_injury_P,IL15,P,shoulder_lat,,383,291,0.24,17.0,31.0,43.5,57.0,34.2
tier_x_injury_P,IL15,P,tommy_john_elbow,,240,172,0.283,16.0,25.5,40.0,56.8,31.7
tier_x_injury_P,IL60,P,back_neck,,24,18,0.25,57.5,72.0,123.5,191.9,94.4
tier_x_injury_P,IL60,P,forearm,,47,23,0.511,77.5,98.0,169.0,222.2,122.5
tier_x_injury_P,IL60,P,hamstring,,5,1,0.8,,,,,
tier_x_injury_P,IL60,P,hand_wrist,,17,7,0.588,,,,,
tier_x_injury_P,IL60,P,knee_leg,,52,22,0.577,52.5,73.0,147.5,190.0,99.5
tier_x_injury_P,IL60,P,oblique_core,,23,13,0.435,68.0,90.0,104.0,150.2,92.9
tier_x_injury_P,IL60,P,other_unspecified,,193,108,0.44,60.8,108.5,184.0,239.6,125.4
tier_x_injury_P,IL60,P,shoulder_lat,,155,83,0.465,54.5,94.0,169.5,234.0,115.7
tier_x_injury_P,IL60,P,tommy_john_elbow,,290,183,0.369,109.5,166.0,224.5,261.0,166.6
tier_x_injury_P,IL60_via_transfer,P,back_neck,,34,24,0.294,70.8,98.5,144.2,172.4,108.3
tier_x_injury_P,IL60_via_transfer,P,forearm,,107,78,0.271,89.2,122.5,164.8,215.0,131.1
tier_x_injury_P,IL60_via_transfer,P,hamstring,,7,5,0.286,,,,,
tier_x_injury_P,IL60_via_transfer,P,hand_wrist,,28,21,0.25,67.0,87.0,102.0,120.0,90.1
tier_x_injury_P,IL60_via_transfer,P,knee_leg,,101,67,0.337,70.0,97.0,145.0,189.2,112.0
tier_x_injury_P,IL60_via_transfer,P,oblique_core,,25,18,0.28,66.5,74.5,101.0,127.4,88.4
tier_x_injury_P,IL60_via_transfer,P,other_unspecified,,144,97,0.326,72.0,94.0,119.0,189.4,106.5
tier_x_injury_P,IL60_via_transfer,P,shoulder_lat,,261,175,0.33,76.0,103.0,153.0,213.2,118.6
tier_x_injury_P,IL60_via_transfer,P,tommy_john_elbow,,334,216,0.353,90.0,131.0,188.2,215.0,137.3
tier_x_injury_P,IL7,P,concussion,,11,9,0.182,,,,,
tier_x_injury_P,IL7,P,forearm,,1,0,1.0,,,,,
tier_x_injury_P,IL7,P,other_unspecified,,8,6,0.25,,,,,
tier_x_injury_P,IL_unspecified,P,forearm,,4,0,1.0,,,,,
tier_x_injury_P,IL_unspecified,P,hamstring,,1,1,0.0,,,,,
tier_x_injury_P,IL_unspecified,P,knee_leg,,4,4,0.0,,,,,
tier_x_injury_P,IL_unspecified,P,oblique_core,,3,0,1.0,,,,,
tier_x_injury_P,IL_unspecified,P,other_unspecified,,97,42,0.567,9.0,16.5,49.5,220.0,61.4
tier_x_injury_P,IL_unspecified,P,shoulder_lat,,9,1,0.889,,,,,
tier_x_injury_P,IL_unspecified,P,tommy_john_elbow,,4,1,0.75,,,,,
by_month,,,,1,3,2,0.333,,,,,
by_month,,,,2,174,101,0.42,146.0,226.0,262.0,264.0,201.4
by_month,,,,3,960,636,0.338,29.0,57.0,154.0,221.5,91.2
by_month,,,,4,1624,1078,0.336,13.0,29.0,72.0,193.0,58.3
by_month,,,,5,1456,956,0.343,12.0,23.0,50.0,139.0,44.0
by_month,,,,6,1336,849,0.365,13.0,28.0,62.0,130.0,45.2
by_month,,,,7,1306,931,0.287,13.0,27.0,57.0,103.0,40.1
by_month,,,,8,1524,1184,0.223,12.8,23.0,43.0,75.0,31.5
by_month,,,,9,955,781,0.182,9.0,15.0,27.0,54.0,21.7
by_month,,,,10,80,59,0.262,2.0,3.0,12.5,35.0,9.8
by_month,,,,11,15,1,0.933,,,,,
by_month,,,,12,10,0,1.0,,,,,
