pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2026-05-23,91.3,-1.2,5.51,"Jones, Jared",685382,683003,walk,ball,,,,,13,Andrew Navigato walks. Luke Ritter to 2nd.,R,R,R,TOL,IND,B,,,3,2,2026,-1.27,0.24,-1.6954018173118963,1.5315899349469744,,,682239.0,1,5,Bot,,,,,,,1.559401734674549,-132.93160192800326,-4.423817037216746,-15.406005248110532,29.495944615603523,-28.557891105949043,3.166469816,1.598031496,,,,91.7,1709,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.95,,0.701866,0.7,1.0,0.0,0.0,,42,8,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,226,0.042,0.293,,,,-0.293,,-3,-3,0.203,0.203,24,28,25,28,2,1,6.0,2,,2,2.5,1.27,1.27,43.2,,,,,
CH,2026-05-23,91.3,-1.4,5.53,"Jones, Jared",685382,683003,,ball,,,,,11,,R,R,R,TOL,IND,B,,,2,2,2026,-1.3,0.09,-1.8335458389437704,2.756713125033457,,,682239.0,1,5,Bot,,,,,,,1.7746815841747423,-132.9552083628213,-1.0986616347593094,-15.769621963140104,28.634533303153884,-31.0998797323337,3.166469816,1.598031496,,,,91.6,1620,6.4,815606,676566,804668,665839,682997,673995,682927,695257,694377,54.05,,,,,,,,42,7,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,235,0.011,0.112,,,,-0.112,,-3,-3,0.192,0.192,24,28,25,28,2,1,6.0,2,,2,2.64,1.3,1.3,37.6,,,,,
FF,2026-05-23,96.6,-1.26,5.46,"Jones, Jared",685382,683003,,foul,,,,,1,,R,R,R,TOL,IND,S,,,2,2,2026,-0.9,1.56,-0.3691268885505095,3.238134488181231,,,682239.0,1,5,Bot,,,,,,,4.452532311415224,-140.51535772272547,-3.752439696203486,-12.885046945921264,36.08714414315859,-11.01345860132884,3.166469816,1.598031496,244.0,74.1,36.0,97.0,2490,6.8,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.68,,,,,,,,42,6,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,220,0.0,0.0,,,,0.0,88.0,-3,-3,0.192,0.192,24,28,25,28,2,1,6.0,2,,2,0.91,0.9,0.9,38.8,,,,,
CH,2026-05-23,91.5,-1.33,5.59,"Jones, Jared",685382,683003,,foul,,,,,4,,R,R,R,TOL,IND,S,,,2,2,2026,-0.98,0.3,-0.5078413800282084,2.5141668593717266,,,682239.0,1,5,Bot,,,,,,,4.223181289554664,-133.24483167422957,-2.355953399396656,-12.562686039202768,28.83380391646372,-28.309336028427637,3.166469816,1.598031496,65.0,67.7,79.0,92.1,1461,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.91,,,,,,,,42,5,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,233,0.0,0.0,,,,0.0,88.0,-3,-3,0.192,0.192,24,28,25,28,2,1,6.0,2,,2,2.42,0.98,0.98,40.3,,,,,
SL,2026-05-23,86.0,-1.33,5.73,"Jones, Jared",685382,683003,,ball,,,,,2,,R,R,R,TOL,IND,B,,,1,2,2026,0.45,0.0,0.2671727210495559,3.2767312939189948,,,682239.0,1,5,Bot,,,,,,,2.826690500410885,-125.20846153238374,0.650647588435437,4.108827189093785,26.266086893631662,-32.56173567295245,3.166469816,1.598031496,,,,86.4,2614,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.88,,,,,,,,42,4,Slider,1,4,1,4,4,1,1,4,Standard,Standard,86,0.006,0.04,,,,-0.04,,-3,-3,0.186,0.186,24,28,25,28,2,1,6.0,2,,2,3.09,-0.45,-0.45,44.4,,,,,
CH,2026-05-23,90.1,-1.14,5.6,"Jones, Jared",685382,683003,,foul,,,,,8,,R,R,R,TOL,IND,S,,,1,1,2026,-1.03,0.22,-0.0287538016824758,1.7229135639712254,,,682239.0,1,5,Bot,,,,,,,4.967292936197579,-131.14849829665158,-3.9455929105782097,-12.890552672777108,27.856334491100377,-28.993081463273583,3.166469816,1.598031496,2.0,65.8,-42.0,90.7,1458,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.88,,,,,,,,42,3,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,232,-0.007,-0.076,,,,0.076,88.0,-3,-3,0.193,0.193,24,28,25,28,2,1,6.0,2,,2,2.59,1.03,1.03,37.7,,,,,
SL,2026-05-23,87.3,-1.25,5.65,"Jones, Jared",685382,683003,,ball,,,,,13,,R,R,R,TOL,IND,B,,,0,1,2026,0.17,0.31,-0.428870735069734,1.186842914760088,,,682239.0,1,5,Bot,,,,,,,1.5939441391897993,-127.0563490524859,-5.009388842185608,1.5535209614784655,26.465322168298457,-28.015123332156044,3.166469816,1.598031496,,,,88.0,2522,6.8,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.73,,,,,,,,42,2,Slider,1,4,1,4,4,1,1,4,Standard,Standard,98,0.003,0.033,,,,-0.033,,-3,-3,0.19,0.19,24,28,25,28,2,1,6.0,2,,2,2.69,-0.17,-0.17,43.1,,,,,
FF,2026-05-23,95.4,-1.16,5.54,"Jones, Jared",685382,683003,,foul,,,,,4,,R,R,R,TOL,IND,S,,,0,0,2026,-0.58,1.42,-0.5395846372437736,2.5866504677716677,,,682239.0,1,5,Bot,,,,,,,2.9615506219575423,-138.79925974598848,-5.216870622064251,-8.171818571124508,31.359895829369083,-12.89510873772233,3.166469816,1.598031496,223.0,74.5,28.0,96.3,2470,6.8,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.67,,,,,,,,42,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,215,-0.005,-0.056,,,,0.056,88.0,-3,-3,0.195,0.195,24,28,25,28,2,1,6.0,2,,2,1.09,0.58,0.58,44.7,,,,,
SL,2026-05-23,88.6,-1.15,5.66,"Jones, Jared",682239,683003,single,hit_into_play,,,,,4,Luke Ritter singles on a line drive to left fielder Ronny Simon.,R,R,R,TOL,IND,X,7.0,line_drive,2,2,2026,0.25,0.27,-0.3169759490977569,2.358273377087368,,,,1,5,Bot,73.73,122.53,,,,,1.4810768636589104,-129.00280309606447,-2.318888623309043,2.442998743201145,29.29208761331188,-28.88604138666369,3.189288058,1.609547244,231.0,83.5,19.0,88.8,2660,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.89,0.92,0.861,0.9,1.0,1.0,0.0,4.0,41,6,Slider,1,4,1,4,4,1,1,4,Standard,Standard,118,0.032,0.535,,,1.059,-0.535,88.0,-3,-3,0.163,0.163,24,29,25,29,2,1,6.0,3,,2,2.65,-0.25,-0.25,43.1,,,,,
CH,2026-05-23,92.7,-0.92,5.62,"Jones, Jared",682239,683003,,ball,,,,,14,,R,R,R,TOL,IND,B,,,1,2,2026,-1.01,0.39,1.391426034066801,1.2052606651949545,,,,1,5,Bot,,,,,,,8.121545295441413,-134.5766844158483,-6.071457926071087,-14.125840999190274,30.87853955821274,-26.24150477902713,3.189288058,1.609547244,,,,92.9,1597,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.81,,,,,,,,41,5,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,227,0.002,0.062,,,,-0.062,,-3,-3,0.161,0.161,24,29,25,29,2,1,6.0,3,,2,2.29,1.01,1.01,41.7,,,,,
FF,2026-05-23,98.1,-1.05,5.63,"Jones, Jared",682239,683003,,foul,,,,,5,,R,R,R,TOL,IND,S,,,1,2,2026,-0.71,1.51,0.1651509161829581,2.340260384525457,,,,1,5,Bot,,,,,,,4.94410072317665,-142.70495103016788,-6.778380488785667,-10.841333032512212,34.77762964964465,-10.16828526965973,3.189288058,1.609547244,314.0,91.1,35.0,98.6,2495,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.77,,,,,,,,41,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,215,0.0,0.0,,,,0.0,91.1,-3,-3,0.161,0.161,24,29,25,29,2,1,6.0,3,,2,0.87,0.71,0.71,41.4,,,,,
SL,2026-05-23,86.9,-1.01,5.62,"Jones, Jared",682239,683003,,called_strike,,,,,8,,R,R,R,TOL,IND,S,,,1,1,2026,0.26,-0.14,0.1306830166897864,1.4994399385687127,,,,1,5,Bot,,,,,,,2.1591056883026667,-126.61825530921442,-3.19973160955892,2.3543102784056718,26.262136740184943,-33.19883514181525,3.189288058,1.609547244,,,,87.6,2511,6.7,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.83,,,,,,,,41,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,96,-0.003,-0.09,,,,0.09,,-3,-3,0.164,0.164,24,29,25,29,2,1,6.0,3,,2,3.15,-0.26,-0.26,50.5,,,,,
CU,2026-05-23,82.7,-0.94,5.75,"Jones, Jared",682239,683003,,swinging_strike,,,,,14,,R,R,R,TOL,IND,S,,,1,0,2026,0.61,-1.21,0.7652000884613982,1.362030730942502,,,,1,5,Bot,,,,,,,2.6514771995572946,-120.32197484701008,-0.8034591982853774,5.2847673155713055,25.505026293784773,-43.89612713464554,3.189288058,1.609547244,,,,82.9,2833,6.6,815606,676566,804668,665839,682997,673995,682927,695257,694377,53.87,,,,,,,,41,2,Curveball,1,4,1,4,4,1,1,4,Standard,Standard,30,-0.004,-0.075,,,,0.075,,-3,-3,0.168,0.168,24,29,25,29,2,1,6.0,3,,2,4.57,-0.61,-0.61,49.8,,,,,
