name,pos,source,team,own,inj,pa26,xw26,xc26,d_xw,d_xc,shrunk_gap,pow_axes,proc_axes,career_best,distinguish,score,tier,sub_tag,peak_xc,mlb_yrs
Aaron Judge,RF,MY_ROSTER,Ligers,100.0,True,261,0.425,0.546,-0.058,-0.047,-0.037,0.0,1.0,False,True,1.0,DECLINE,,0.643,11
Vladimir Guerrero Jr.,1B,MY_ROSTER,Ligers,100.0,False,492,0.338,0.347,-0.053,-0.061,-0.041,0.0,2.0,False,True,2.0,DECLINE,[DISCIPLINE-ONLY],0.47,8
Corbin Carroll,RF,MY_ROSTER,Ligers,100.0,False,548,0.355,0.393,-0.023,-0.062,-0.018,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.455,5
Elly De La Cruz,SS,MY_ROSTER,Ligers,100.0,False,498,0.367,0.461,0.038,0.059,0.029,3.0,2.0,True,True,5.0,SUSTAINABLE,,0.461,4
Pete Alonso,1B,MY_ROSTER,Ligers,100.0,False,564,0.397,0.484,0.008,0.013,0.007,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.484,8
Wyatt Langford,LF,MY_ROSTER,Ligers,100.0,False,333,0.309,0.359,-0.041,-0.063,-0.029,0.0,2.0,False,False,1.0,DECLINE,[DISCIPLINE-ONLY],0.421,3
Luis Arraez,1B,MY_ROSTER,Ligers,100.0,False,541,0.319,0.302,0.006,0.012,0.004,2.0,1.0,False,False,1.0,HOT_STREAK,,0.359,8
Michael Harris II,CF,MY_ROSTER,Ligers,100.0,False,500,0.346,0.415,0.028,0.032,0.021,2.0,1.0,False,False,2.0,MIXED,,0.427,5
Jordan Walker,RF,MY_ROSTER,Ligers,100.0,False,544,0.356,0.44,0.077,0.069,0.06,2.0,2.0,True,True,5.0,SUSTAINABLE,,0.44,4
Max Muncy,3B,MY_ROSTER,Ligers,100.0,False,227,0.281,0.37,0.01,0.013,0.006,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.37,2
Hunter Goodman,C,MY_ROSTER,Ligers,100.0,True,460,0.338,0.463,0.013,0.047,0.01,1.0,0.0,True,False,1.0,HOT_STREAK,,0.463,4
Luis Garcia Jr.,2B,MY_ROSTER,Ligers,100.0,False,438,0.351,0.407,0.011,0.022,0.008,2.0,1.0,True,False,2.0,MIXED,,0.407,7
Jackson Merrill,CF,MY_ROSTER,Ligers,100.0,False,533,0.334,0.418,-0.015,-0.003,-0.011,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.437,3
Bryson Stott,2B,MY_ROSTER,Ligers,100.0,False,487,0.333,0.352,0.018,0.02,0.014,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.352,5
Junior Caminero,3B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,567,0.371,0.409,0.025,0.005,0.019,1.0,2.0,True,False,2.0,MIXED,,0.409,4
Gunnar Henderson,SS,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,584,0.321,0.365,-0.026,-0.031,-0.02,0.0,1.0,False,False,0.0,DECLINE,,0.444,5
William Contreras,C,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,517,0.338,0.35,0.006,0.002,0.005,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.439,7
Steven Kwan,LF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,499,0.328,0.294,0.015,-0.011,0.012,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.329,5
Pete Crow-Armstrong,CF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,579,0.363,0.443,0.03,0.04,0.024,2.0,2.0,True,False,4.0,SUSTAINABLE,,0.443,4
Freddie Freeman,1B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,541,0.377,0.412,0.021,0.006,0.016,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.506,12
