team_name,owner,team_id,player_name,player_id,position,pro_team,lineup_slot,injured,injury_status,batter,total_pa,career_mean,career_median,career_min,career_max,current_l150,percentile,form_bucket
Boone's Bad Bullpen,,1,Junior Caminero,4905921,3B,TB,3B,False,ACTIVE,691406,1140,0.34436985112521284,0.3448372579699191,0.2778916489132223,0.42230761751777884,0.38371605999999997,0.7961654894046418,ABOVE_MEDIAN
Boone's Bad Bullpen,,1,Gunnar Henderson,42507,SS,Bal,SS,False,ACTIVE,683002,2417,0.3487439730501311,0.35123887687108296,0.2647618466666667,0.42220605681354245,0.30852536,0.09567901234567901,SLUMPING
Boone's Bad Bullpen,,1,William Contreras,39895,C,Mil,UTIL,False,ACTIVE,661388,2769,0.3377481534250793,0.3345209296402575,0.2720137129296935,0.42736112011968014,0.3254666733333334,0.31068702290076333,BELOW_MEDIAN
Boone's Bad Bullpen,,1,Steven Kwan,41996,LF,Cle,BE,False,ACTIVE,680757,2830,0.31679387582705615,0.3140476181271838,0.24286654666666663,0.3916398437987743,0.30797597333333326,0.40171577769489,TYPICAL
Boone's Bad Bullpen,,1,Pete Crow-Armstrong,4717833,CF,ChC,OF,False,ACTIVE,691718,1327,0.3137706362797009,0.31386520369928406,0.22039405109632318,0.44104482666666667,0.40871132000000004,0.9787775891341256,PEAK
Boone's Bad Bullpen,,1,Freddie Freeman,30193,1B,LAD,1B,False,ACTIVE,518692,6862,0.3946848539126446,0.39268486818508735,0.2637211756102378,0.5144047690884406,0.3521738666666666,0.1103828392670937,SLUMPING
Boone's Bad Bullpen,,1,Tyler Soderstrom,4686066,LF,Oak,OF,False,ACTIVE,691016,1235,0.3367105919925035,0.33528740772784243,0.2794909356018114,0.39376200070276646,0.34340206,0.641804788213628,ABOVE_MEDIAN
Boone's Bad Bullpen,,1,Bryan Reynolds,38980,RF,Pit,OF,False,ACTIVE,668804,4253,0.35244733459864935,0.35249010689129795,0.27161524195977715,0.43524099283094786,0.39420793333333337,0.9037524366471735,PEAK
Boone's Bad Bullpen,,1,Zach Neto,4666100,SS,LAA,2B/SS,False,ACTIVE,687263,1765,0.32705376154750915,0.32929540757512143,0.2549926740506514,0.391741003629845,0.3136354466666666,0.2506188118811881,BELOW_MEDIAN
Boone's Bad Bullpen,,1,Ryan O'Hearn,35183,1B,Pit,1B/3B,False,ACTIVE,656811,2669,0.33249849978037754,0.3325266882394591,0.2348796666666666,0.41705259767454883,0.30811755999999996,0.23214285714285715,BELOW_MEDIAN
Boone's Bad Bullpen,,1,Jac Caglianone,4926296,RF,KC,OF,False,ACTIVE,695506,454,0.32756856722221994,0.3262784177496006,0.29542580932854795,0.3600560733333333,0.3600560733333333,0.9967213114754099,PEAK
Boone's Bad Bullpen,,1,Kazuma Okamoto,5134636,3B,Tor,BE,False,ACTIVE,672960,270,0.3497411532231404,0.35006810666666666,0.3152073133333333,0.38190132666666665,0.3245376199999999,0.03305785123966942,SLUMPING
Boone's Bad Bullpen,,1,Konnor Griffin,5218285,SS,Pit,IL,True,TEN_DAY_DL,804606,207,0.32233273310344823,0.32248906,0.3062306799999999,0.3373870399999999,0.30905068,0.017241379310344827,SLUMPING
Boone's Bad Bullpen,,1,Mauricio Dubon,35304,LF,Atl,2B,False,ACTIVE,643289,2288,0.2885873127110905,0.2870189746044031,0.24101726491499695,0.3473773866666667,0.3197257333333333,0.9266012155212716,PEAK
Boone's Bad Bullpen,,1,Angel Martinez,42497,CF,Cle,OF,False,ACTIVE,682657,876,0.2667487552243099,0.2624927270899471,0.2316503232708855,0.33817101333333327,0.27871858000000005,0.7537826685006878,ABOVE_MEDIAN
Boone's Bad Bullpen,,1,Dillon Dingler,4345620,C,Det,C,False,ACTIVE,693307,798,0.36110051518900294,0.3680108825796107,0.275262520873798,0.43470078382062394,0.38404864666666666,0.7164869029275809,ABOVE_MEDIAN
Team Solomon,,2,Cal Raleigh,41292,C,Sea,IL,True,TEN_DAY_DL,663728,2622,0.34096493357283114,0.3383319922706033,0.21412344842662212,0.4136848359205941,0.31033225999999997,0.16053376465830974,SLUMPING
Team Solomon,,2,Manny Machado,31097,3B,SD,BE,False,ACTIVE,592518,7091,0.3537611163621323,0.35551561333333326,0.261634761667546,0.456782767651573,0.27555476,0.010515701526937482,SLUMPING
Team Solomon,,2,Matt Olson,32767,1B,Atl,1B,False,ACTIVE,621566,5413,0.36749080334119805,0.3712445330235893,0.25032210523642506,0.4573624693634835,0.3695908066666667,0.4867021276595745,TYPICAL
Team Solomon,,2,James Wood,4918256,LF,Wsh,OF,False,ACTIVE,695578,1321,0.37418255990215377,0.37660909498925166,0.2417030738095238,0.47428817333333334,0.4392513466666667,0.9249146757679181,PEAK
Team Solomon,,2,Seiya Suzuki,4142424,DH,ChC,OF,False,ACTIVE,673548,2458,0.3478085257219325,0.34447642251074223,0.2684198329582672,0.435037737879055,0.30302912000000004,0.07059333044608056,SLUMPING
Team Solomon,,2,Corey Seager,32691,SS,Tex,SS,False,ACTIVE,608369,5005,0.38124915134300114,0.379620822883851,0.28134153999999995,0.47519659813904347,0.32561457333333327,0.06857495881383854,SLUMPING
Team Solomon,,2,Bryce Harper,30951,1B,Phi,1B/3B,False,ACTIVE,547180,6277,0.39131181838061785,0.3887618256415242,0.29016701123498073,0.541603415461373,0.43301872,0.8257180156657964,HIGH
Team Solomon,,2,Mike Trout,30836,DH,LAA,OF,False,ACTIVE,545361,5160,0.4167705731450122,0.41881392666666656,0.26598652793650795,0.5208731066666668,0.3521612999999999,0.057673119137896627,SLUMPING
Team Solomon,,2,JJ Wetherholt,4941056,SS,StL,2B,False,ACTIVE,802139,272,0.3669523586449863,0.36723941333333326,0.34902608,0.38420901999999996,0.3523727466666666,0.032520325203252036,SLUMPING
Team Solomon,,2,Jazz Chisholm Jr.,41433,2B,NYY,UTIL,False,ACTIVE,665862,2582,0.31844761485041967,0.3204612829043883,0.2260371392521625,0.41340114189761984,0.3216835866666667,0.5178791615289766,TYPICAL
Team Solomon,,2,Austin Riley,34982,3B,Atl,3B,False,ACTIVE,663586,3741,0.35471065218326225,0.35569233493975383,0.20458927999999998,0.4750936416233116,0.2950178466666667,0.07461024498886415,SLUMPING
Team Solomon,,2,Jose Altuve,31662,2B,Hou,OF,False,ACTIVE,514888,6546,0.3368215855251217,0.33635754666666673,0.24215563333333331,0.44680556000000005,0.2652417933333333,0.025637017351883694,SLUMPING
Team Solomon,,2,Jarren Duran,41610,LF,Bos,OF,False,ACTIVE,680776,2384,0.322213344835642,0.3200355273279417,0.24984381659100743,0.38973739241330396,0.29536594,0.1337807606263982,SLUMPING
Team Solomon,,2,Casey Schmitt,4301949,2B,SF,2B/SS,False,ACTIVE,669477,983,0.3183131873411429,0.32567434619419555,0.23581691953365128,0.3846289933333333,0.3333058733333333,0.6306954436450839,ABOVE_MEDIAN
Team Solomon,,2,Teoscar Hernandez,33377,RF,LAD,IL,True,TEN_DAY_DL,606192,4570,0.3425442027517834,0.34146043226738465,0.2241177,0.45078488,0.34669720666666665,0.5521375254467316,TYPICAL
Late Night Bettsing,,4,Jose Ramirez,32801,3B,Cle,3B,False,ACTIVE,608070,6618,0.348301666385317,0.34822898652702267,0.25094935333333335,0.4511117068907718,0.3408682666666667,0.40794558664399444,TYPICAL
Late Night Bettsing,,4,Kyle Tucker,34967,RF,LAD,OF,False,ACTIVE,663656,3369,0.3735265967579078,0.37411728271348454,0.29474356,0.47167045674209607,0.3383696066666667,0.2,BELOW_MEDIAN
Late Night Bettsing,,4,Yordan Alvarez,36018,DH,Hou,OF,False,ACTIVE,670541,3106,0.42385383972407165,0.4238291914507642,0.30196434287059476,0.529526964338415,0.45420295333333344,0.7554954345620561,ABOVE_MEDIAN
Late Night Bettsing,,4,Mookie Betts,33039,SS,LAD,2B/SS,False,ACTIVE,605141,6774,0.36584428674309927,0.3587776066666667,0.2298870498231732,0.5245426866666666,0.3229341533333333,0.15637735849056603,SLUMPING
Late Night Bettsing,,4,Ben Rice,5016968,1B,NYY,C,False,ACTIVE,700250,957,0.38624376050026693,0.38426407406706276,0.31733367834675924,0.4707211035398841,0.35930773999999993,0.20915841584158415,BELOW_MEDIAN
Late Night Bettsing,,4,Jackson Merrill,4872691,CF,SD,OF,False,ACTIVE,701538,1319,0.3559547684013226,0.34774072818898716,0.29266136000000004,0.45572392749081475,0.31566885999999994,0.1,SLUMPING
Late Night Bettsing,,4,Gleyber Torres,33804,2B,Det,2B,False,ACTIVE,650402,4448,0.33867119733941886,0.3375846797439345,0.25116056890985433,0.42502645941182154,0.32310114666666667,0.32565712956501514,BELOW_MEDIAN
Late Night Bettsing,,4,Alec Burleson,4345070,LF,StL,OF,False,ACTIVE,676475,1797,0.34352619566626286,0.34114992710023406,0.2578549647283648,0.40721234113847843,0.3929122333333333,0.962378640776699,PEAK
Late Night Bettsing,,4,Yandy Diaz,33481,DH,TB,1B,False,ACTIVE,650490,3989,0.35419488143959665,0.3518603415750666,0.2781689514285714,0.44106431333841667,0.39534504000000004,0.9005208333333333,PEAK
Late Night Bettsing,,4,Andy Pages,42468,CF,LAD,OF,False,ACTIVE,681624,1330,0.32472322890928784,0.32314963259311963,0.2674582475461144,0.4023197627655286,0.35113975999999997,0.8230313293818797,HIGH
Late Night Bettsing,,4,CJ Abrams,42402,SS,Wsh,SS,False,ACTIVE,682928,2420,0.31283226782971124,0.31211016898037225,0.22682095669990132,0.39863628663773265,0.3321337466666668,0.6930867459269044,ABOVE_MEDIAN
Late Night Bettsing,,4,Willson Contreras,32532,1B,Bos,UTIL,False,ACTIVE,575929,4486,0.352463006498645,0.35127341333333334,0.25328943333333326,0.44699051776550847,0.4058295066666667,0.9271385750518791,PEAK
Late Night Bettsing,,4,Jonathan Aranda,40810,1B,TB,1B/3B,False,ACTIVE,666018,1018,0.3616460827324781,0.3674240039886875,0.24724995002801123,0.43243199601341087,0.3953686533333333,0.812428078250863,HIGH
Late Night Bettsing,,4,Brayan Rocchio,41217,SS,Cle,BE,False,ACTIVE,677587,1145,0.2895013657548536,0.29205969702743884,0.24412147538461546,0.32475495247247255,0.31421,0.9066265060240963,PEAK
U Just Lost To Edwin Diaz,,5,Ronald Acuna Jr.,36185,RF,Atl,BE,True,TEN_DAY_DL,660670,3868,0.4033362099104481,0.39656079210698914,0.3128709999999999,0.5122996237033554,0.3702993599999999,0.25894057542350096,BELOW_MEDIAN
U Just Lost To Edwin Diaz,,5,Vinnie Pasquantino,4109109,1B,KC,1B,False,ACTIVE,686469,2051,0.33901457460196377,0.33644243216875125,0.2584047752992215,0.4155053643149188,0.33957087999999996,0.5347003154574133,TYPICAL
U Just Lost To Edwin Diaz,,5,Geraldo Perdomo,41355,SS,Ari,2B/SS,False,ACTIVE,672695,2346,0.307290085985457,0.2970592286688815,0.23401521004329004,0.41543788257774683,0.34349462000000003,0.7856167501137915,ABOVE_MEDIAN
