feature,level,min_milb_pa,n,cor,recommendation
avg,AA,80,399,0.148,KEEP
bb_pct,AA,80,399,0.008,DROP
gamesPlayed,AA,80,399,-0.032,DROP
hr_per_pa,AA,80,399,0.047,DROP
iso,AA,80,399,0.085,DROP
k_minus_bb_pct,AA,80,399,-0.201,KEEP
k_pct,AA,80,399,-0.211,KEEP
obp,AA,80,399,0.123,KEEP
ops,AA,80,399,0.146,KEEP
plateAppearances,AA,80,399,-0.029,DROP
sb_attempts_per_pa,AA,80,399,0.072,DROP
slg,AA,80,399,0.136,KEEP
xbh_per_pa,AA,80,399,0.117,KEEP
avg,AAA,80,1141,0.125,KEEP
bb_pct,AAA,80,1141,-0.039,DROP
gamesPlayed,AAA,80,1141,-0.026,DROP
hr_per_pa,AAA,80,1141,0.011,DROP
iso,AAA,80,1141,0.025,DROP
k_minus_bb_pct,AAA,80,1141,-0.155,KEEP
k_pct,AAA,80,1141,-0.198,KEEP
obp,AAA,80,1141,0.068,DROP
ops,AAA,80,1141,0.077,DROP
plateAppearances,AAA,80,1141,-0.017,DROP
sb_attempts_per_pa,AAA,80,1141,0.046,DROP
slg,AAA,80,1141,0.071,DROP
xbh_per_pa,AAA,80,1141,0.053,DROP
avg,BOTH,80,1540,0.131,KEEP
bb_pct,BOTH,80,1540,-0.027,DROP
gamesPlayed,BOTH,80,1540,-0.027,DROP
hr_per_pa,BOTH,80,1540,0.02,DROP
iso,BOTH,80,1540,0.039,DROP
k_minus_bb_pct,BOTH,80,1540,-0.167,KEEP
k_pct,BOTH,80,1540,-0.201,KEEP
obp,BOTH,80,1540,0.082,DROP
ops,BOTH,80,1540,0.094,DROP
plateAppearances,BOTH,80,1540,-0.02,DROP
sb_attempts_per_pa,BOTH,80,1540,0.053,DROP
slg,BOTH,80,1540,0.087,DROP
xbh_per_pa,BOTH,80,1540,0.069,DROP
avg,AA,200,307,0.186,KEEP
bb_pct,AA,200,307,0.045,DROP
gamesPlayed,AA,200,307,-0.12,KEEP
hr_per_pa,AA,200,307,0.071,DROP
iso,AA,200,307,0.104,KEEP
k_minus_bb_pct,AA,200,307,-0.226,KEEP
k_pct,AA,200,307,-0.205,KEEP
obp,AA,200,307,0.174,KEEP
ops,AA,200,307,0.194,KEEP
plateAppearances,AA,200,307,-0.116,KEEP
sb_attempts_per_pa,AA,200,307,0.038,DROP
slg,AA,200,307,0.173,KEEP
xbh_per_pa,AA,200,307,0.108,KEEP
avg,AAA,200,730,0.16,KEEP
bb_pct,AAA,200,730,-0.042,DROP
gamesPlayed,AAA,200,730,-0.03,DROP
hr_per_pa,AAA,200,730,0.023,DROP
iso,AAA,200,730,0.048,DROP
k_minus_bb_pct,AAA,200,730,-0.171,KEEP
k_pct,AAA,200,730,-0.213,KEEP
obp,AAA,200,730,0.082,DROP
ops,AAA,200,730,0.112,KEEP
plateAppearances,AAA,200,730,-0.016,DROP
sb_attempts_per_pa,AAA,200,730,0.041,DROP
slg,AAA,200,730,0.109,KEEP
xbh_per_pa,AAA,200,730,0.087,DROP
avg,BOTH,200,1037,0.168,KEEP
bb_pct,BOTH,200,1037,-0.017,DROP
gamesPlayed,BOTH,200,1037,-0.058,DROP
hr_per_pa,BOTH,200,1037,0.036,DROP
iso,BOTH,200,1037,0.064,DROP
k_minus_bb_pct,BOTH,200,1037,-0.187,KEEP
k_pct,BOTH,200,1037,-0.211,KEEP
obp,BOTH,200,1037,0.109,KEEP
ops,BOTH,200,1037,0.135,KEEP
plateAppearances,BOTH,200,1037,-0.047,DROP
sb_attempts_per_pa,BOTH,200,1037,0.043,DROP
slg,BOTH,200,1037,0.126,KEEP
xbh_per_pa,BOTH,200,1037,0.092,DROP
