pitcher,year,own_stuff_plus,n_pitches
661403,2025,134.5139791533443,760
694819,2025,133.66210471194137,1348
664854,2025,132.8028078010983,995
642207,2025,131.07119016917363,1212
656730,2025,128.36958255309588,841
682254,2025,127.29710308181662,876
643511,2025,126.96931614716473,991
664126,2025,126.66969555496816,997
642585,2025,125.6395620387486,627
592773,2025,125.63924492995642,1087
702056,2025,124.64054674139174,679
594580,2025,123.04184929758992,370
680755,2025,122.64044373129758,965
683618,2025,122.21398085052903,342
695243,2025,122.07095310256149,1027
678495,2025,122.00267945090742,826
623149,2025,121.65906135321515,330
695505,2025,121.2898751055071,778
607192,2025,121.0141637727404,1874
666711,2025,120.48682771123079,323
681911,2025,120.32099758770175,1109
668933,2025,120.27934912267042,1095
668881,2025,119.77249062883313,1897
693312,2025,119.15196839190648,652
664747,2025,118.87231435402632,381
686973,2025,118.51383001819946,1343
608371,2025,118.10917097150559,279
666661,2025,117.50894858301368,640
650556,2025,117.42703009930874,1205
502085,2025,117.19887271422928,319
682274,2025,116.96626815275,314
643377,2025,116.94920984690827,1124
677161,2025,116.87934014948537,588
683175,2025,116.70918182614307,400
621237,2025,116.56471242795394,477
689147,2025,116.48993842086428,1139
592426,2025,116.33612564013933,827
594798,2025,116.04748179350193,2684
801139,2025,116.04521360017989,311
666171,2025,115.87076387109462,1074
669093,2025,115.83918798262175,1291
671922,2025,115.76615414554517,1257
820862,2025,115.57333627016112,656
656945,2025,115.56276580577148,914
671212,2025,115.41379272181587,934
682842,2025,115.30520799943942,1251
445276,2025,115.25251017971128,916
621242,2025,115.12571324212873,1067
660271,2025,115.0702968210377,1086
676617,2025,115.05962245479412,758
687863,2025,114.95997461639455,609
676917,2025,114.92903383926148,788
696149,2025,114.92435702940057,460
571948,2025,114.85946460653875,1183
642152,2025,114.81584138087229,849
689254,2025,114.80143665575284,1009
694037,2025,114.66338322544146,940
691799,2025,114.58193353269994,610
666374,2025,114.55114803599723,980
685801,2025,114.23271474856895,243
669203,2025,114.21690446942057,1009
519151,2025,114.11944672248782,645
663158,2025,113.38996132504975,1140
657612,2025,113.28629223183887,957
657277,2025,113.27152244279544,3282
622554,2025,113.25828114434876,1301
694361,2025,113.20946550510033,391
656629,2025,113.14809911287631,231
660896,2025,113.01017223109127,1098
694335,2025,112.6765899498655,956
676684,2025,112.64857166842626,1268
669622,2025,112.5527207340525,783
678692,2025,112.35883361204759,1158
683004,2025,112.24741823920665,2668
656546,2025,112.24311405121247,1342
681517,2025,112.22041495141761,1368
674444,2025,112.17646101858497,642
669373,2025,112.08552859391092,3152
682171,2025,112.00428745932882,251
661395,2025,111.98284152967265,1177
663878,2025,111.7997618081692,263
682825,2025,111.63484527087095,414
547973,2025,111.61731785600718,972
554430,2025,111.60873049180398,2464
806185,2025,111.3585231600188,1194
691587,2025,111.33096226517961,1673
656848,2025,111.1791830790038,327
552640,2025,111.00117055527934,849
642528,2025,110.80291831941571,467
670912,2025,110.78845014087788,665
656686,2025,110.73931993443564,332
656731,2025,110.73312691781275,1319
670970,2025,110.53550029097397,1090
670036,2025,110.52756598727527,832
656302,2025,110.51046471064498,3187
670059,2025,110.48749881958028,503
655889,2025,110.48185834297837,438
554340,2025,110.46841965524668,379
657585,2025,110.29226639669064,979
650911,2025,110.25887926092031,3083
673929,2025,110.2350104958071,1144
680885,2025,110.19672963396998,1573
640448,2025,110.04696482704414,967
543056,2025,109.81647475600225,743
676879,2025,109.75333576712995,1188
689690,2025,109.68675294680472,625
669160,2025,109.54753145404655,2237
687377,2025,109.53382194676142,521
641329,2025,109.52622817508995,1111
571946,2025,109.46876053769975,711
679358,2025,109.38728097358171,681
681293,2025,109.36109216223204,618
518886,2025,109.33299835841316,230
693645,2025,109.27112510583956,1505
688158,2025,109.1956869444177,786
621345,2025,109.19198486511029,215
669308,2025,109.04955883822564,494
687330,2025,109.03643958744695,602
678020,2025,108.8426256095731,654
660787,2025,108.81332520045468,609
657044,2025,108.80967528795017,666
804636,2025,108.71237391979014,371
686580,2025,108.68136075960773,540
665795,2025,108.63459768250107,2252
678226,2025,108.54047380704293,717
669062,2025,108.5277561670608,504
592094,2025,108.43583878744751,1131
668390,2025,108.39487018168357,619
694973,2025,108.29679073518558,3048
455119,2025,108.24529056756735,651
642397,2025,108.21997607511773,1054
668984,2025,108.18212374325576,882
675512,2025,108.17856746840744,779
680704,2025,108.08863619815153,324
592779,2025,108.05437504592618,610
605280,2025,108.04670860294003,2847
696147,2025,108.03125517474547,335
695549,2025,107.79659281125443,945
686752,2025,107.78188483009139,2734
669330,2025,107.7689739448499,342
690925,2025,107.67197634863975,465
623352,2025,107.65134501470908,876
542888,2025,107.62943827888063,1118
694462,2025,107.62391821181357,851
667297,2025,107.58423543925197,509
690916,2025,107.57930708785548,735
694918,2025,107.4498024586309,309
687075,2025,107.41145024730345,290
548384,2025,107.39141510993383,388
664285,2025,107.36867481927267,2977
677952,2025,107.34800227599627,1102
434378,2025,107.33363982681306,2608
676508,2025,107.3026022634757,1279
543243,2025,107.29359106986291,2799
680880,2025,107.29080527915958,376
676974,2025,107.22572519549287,1104
670280,2025,107.21386785252587,1125
666808,2025,107.17773265258015,1168
670990,2025,107.13369936714305,604
690953,2025,107.07212063143037,720
676534,2025,107.03878623831676,1054
622663,2025,106.81390187272211,2731
800311,2025,106.77241974427358,293
543135,2025,106.74307764130036,1919
690997,2025,106.6656604520171,739
701542,2025,106.44961605854009,2963
679883,2025,106.34841501452874,217
806960,2025,106.3174926876301,821
678022,2025,106.21543871135945,637
656557,2025,106.20415031891727,749
656234,2025,105.936458035276,1012
605483,2025,105.90849014893432,1565
674384,2025,105.86555033481704,249
664875,2025,105.81498478409324,285
640451,2025,105.79240581938365,202
683232,2025,105.77030831491588,882
593974,2025,105.75940261737173,1175
676962,2025,105.74187877802339,1737
641941,2025,105.73143453887972,1092
678906,2025,105.60712073650882,573
679885,2025,105.52417023601674,326
686613,2025,105.4386172639972,2962
680767,2025,105.31926680933303,943
593423,2025,105.25614892411437,708
666974,2025,105.11556883789362,994
676477,2025,104.94403843299011,1227
664199,2025,104.9193536360947,890
669199,2025,104.88292133736469,1177
672578,2025,104.86960471801817,759
662253,2025,104.8680849978313,1164
672841,2025,104.8620246285363,1255
656876,2025,104.81701126566794,2316
694738,2025,104.79686891085203,1851
678606,2025,104.73493178539321,1208
521230,2025,104.69914239214766,235
641745,2025,104.69864490722644,1204
664076,2025,104.65612895112027,895
593576,2025,104.60888202780123,547
805123,2025,104.595909760246,507
663855,2025,104.54627698189111,1262
606965,2025,104.47024019495076,278
676604,2025,104.36477213324179,245
808967,2025,104.24016027969084,3243
672282,2025,104.23733960666691,1084
666215,2025,104.19536421649002,256
668820,2025,104.18475457231784,539
645261,2025,104.07871581188759,2891
663432,2025,104.05906944755684,209
547184,2025,104.0456191767992,658
643338,2025,103.8834660784304,720
669276,2025,103.87883985808662,1102
669704,2025,103.867918889811,406
801403,2025,103.84207612904534,1778
450203,2025,103.7973119263274,2548
656464,2025,103.78753374354115,499
805673,2025,103.76998422097067,1353
669358,2025,103.71447840286557,2718
670329,2025,103.62195348936082,586
669923,2025,103.59661602526651,2385
668678,2025,103.57610612077752,3208
665660,2025,103.51561831020653,765
686751,2025,103.44723877335086,214
668674,2025,103.38059421261906,975
669438,2025,103.35311395206408,724
657240,2025,103.29375782352837,336
605447,2025,103.26981487737703,722
595345,2025,103.23969593569463,1067
676979,2025,103.15573997796523,3267
670174,2025,103.09042809439096,207
641312,2025,103.07209312779267,216
614179,2025,103.01273197204405,334
664208,2025,103.0067549730846,1027
608331,2025,102.93946250764532,3340
621051,2025,102.93166551534132,997
607074,2025,102.92883010856,3441
621121,2025,102.88491025092243,1147
682243,2025,102.70026882107214,1806
681676,2025,102.68400447442126,543
641755,2025,102.57830763308853,1235
621139,2025,102.53403135302787,381
693313,2025,102.48370021832942,621
669194,2025,102.4246676180662,2518
572955,2025,102.35684547616111,968
672391,2025,102.35511167432004,788
608032,2025,102.34695194548382,1097
663947,2025,102.32167606440775,1264
663941,2025,102.29964902018571,817
458677,2025,102.23831741076556,839
681870,2025,102.17364067392622,534
592332,2025,102.15985939667098,3466
681168,2025,102.13168753661331,327
687765,2025,102.08821050597273,1386
681982,2025,102.01682265265046,1190
676760,2025,101.94030712975423,222
676083,2025,101.88176019810697,1677
543101,2025,101.78361785035436,634
671131,2025,101.7478184161244,1361
661563,2025,101.73684083068919,1018
684320,2025,101.73009414677163,1217
687473,2025,101.67860922175485,1780
686218,2025,101.6650686277845,1300
680742,2025,101.57893382977552,727
650633,2025,101.57652665006856,1238
657746,2025,101.52956368896993,2795
519008,2025,101.51803496512977,272
679775,2025,101.48997640417669,443
808963,2025,101.47566172309848,731
669684,2025,101.34729952247952,569
573186,2025,101.20364202284202,774
665625,2025,101.15058690678552,204
701121,2025,101.08459024704193,208
689225,2025,101.0542594544295,429
680684,2025,101.05025377544588,547
690928,2025,100.92986530784967,931
669456,2025,100.90766673998954,955
676702,2025,100.89535640031096,353
686790,2025,100.85384963847991,212
666277,2025,100.81559093227798,741
687396,2025,100.73989052451914,403
690544,2025,100.73453402996014,230
669022,2025,100.56552255331356,2892
681343,2025,100.45880243060009,2418
675848,2025,100.4447303530646,1074
676130,2025,100.3526702933559,1095
681869,2025,100.34437316457445,551
694851,2025,100.31058711598511,256
672456,2025,100.14385516885191,1620
682790,2025,100.11473699310808,368
676661,2025,100.03226632478821,646
669422,2025,99.93351265325846,512
519141,2025,99.92918280529447,903
686930,2025,99.90157106938724,431
606303,2025,99.86745255926438,449
641154,2025,99.86299701956486,1307
596133,2025,99.84088180777259,1091
690990,2025,99.83804284412385,1788
695445,2025,99.79524609043787,600
686993,2025,99.6955044216777,1105
677955,2025,99.64870443424249,514
605130,2025,99.62624959754665,1326
641835,2025,99.60840410227163,312
