config,combo,signals,cv_base_r,cv_full_r,cv_lift,ho_base_r,ho_full_r,ho_lift,sign_consistent,per_year,n,PASS
holdout_A,A,pfxz_delta,0.5648,0.5635,-0.0013,0.589,0.5881,-0.0008,5/5,2018:+0.557 2019:+0.599 2021:+0.570 2022:+0.590 2023:+0.487,2215,False
holdout_A,B,csw_last21,0.5515,0.5537,0.0022,0.5462,0.5434,-0.0027,5/5,2018:+0.540 2019:+0.625 2021:+0.566 2022:+0.545 2023:+0.474,3329,False
holdout_A,C,ext_delta,0.5377,0.5375,-0.0001,0.5429,0.5403,-0.0026,3/5,2019:+0.592 2022:+0.548 2023:+0.477,1739,False
holdout_A,D,new_pitch_flag,0.5414,0.5414,-0.0,0.5442,0.5446,0.0004,3/5,2019:+0.602 2022:+0.551 2023:+0.479,1756,False
holdout_A,AB,pfxz_delta+csw_last21,0.5648,0.567,0.0022,0.589,0.5855,-0.0034,5/5,2018:+0.565 2019:+0.597 2021:+0.572 2022:+0.595 2023:+0.492,2215,False
holdout_A,AC,pfxz_delta+ext_delta,0.538,0.5345,-0.0035,0.5662,0.5655,-0.0007,3/5,2019:+0.598 2022:+0.578 2023:+0.468,1344,False
holdout_A,AD,pfxz_delta+new_pitch_flag,0.538,0.5373,-0.0007,0.5662,0.5665,0.0003,3/5,2019:+0.604 2022:+0.582 2023:+0.474,1344,False
holdout_A,BC,csw_last21+ext_delta,0.5377,0.5404,0.0027,0.5429,0.5375,-0.0053,3/5,2019:+0.592 2022:+0.550 2023:+0.480,1739,False
holdout_A,BD,csw_last21+new_pitch_flag,0.5414,0.544,0.0027,0.5442,0.5417,-0.0025,3/5,2019:+0.602 2022:+0.553 2023:+0.482,1756,False
holdout_A,CD,ext_delta+new_pitch_flag,0.5377,0.5381,0.0005,0.5429,0.5403,-0.0026,3/5,2019:+0.596 2022:+0.552 2023:+0.478,1739,False
holdout_A,ABC,pfxz_delta+csw_last21+ext_delta,0.538,0.538,0.0,0.5662,0.5641,-0.0021,3/5,2019:+0.597 2022:+0.582 2023:+0.471,1344,False
holdout_A,ABD,pfxz_delta+csw_last21+new_pitch_flag,0.538,0.5406,0.0027,0.5662,0.5654,-0.0008,3/5,2019:+0.602 2022:+0.586 2023:+0.477,1344,False
holdout_A,ACD,pfxz_delta+ext_delta+new_pitch_flag,0.538,0.5367,-0.0013,0.5662,0.5653,-0.0009,3/5,2019:+0.602 2022:+0.583 2023:+0.475,1344,False
holdout_A,BCD,csw_last21+ext_delta+new_pitch_flag,0.5377,0.541,0.0033,0.5429,0.5377,-0.0051,3/5,2019:+0.597 2022:+0.553 2023:+0.481,1739,False
holdout_A,ABCD,pfxz_delta+csw_last21+ext_delta+new_pitch_flag,0.538,0.5401,0.0021,0.5662,0.5643,-0.0019,3/5,2019:+0.601 2022:+0.586 2023:+0.478,1344,False
holdout_B,A,pfxz_delta,0.5719,0.5708,-0.0011,0.5537,0.5538,0.0001,6/6,2018:+0.562 2019:+0.608 2021:+0.577 2022:+0.580 2023:+0.493 2024:+0.589,2647,False
holdout_B,B,csw_last21,0.5503,0.5517,0.0015,0.5392,0.5385,-0.0008,6/6,2018:+0.548 2019:+0.625 2021:+0.568 2022:+0.543 2023:+0.478 2024:+0.523,3993,False
holdout_B,C,ext_delta,0.5466,0.5467,0.0001,0.5323,0.5289,-0.0034,4/6,2019:+0.605 2022:+0.544 2023:+0.496 2024:+0.520,2305,False
holdout_B,D,new_pitch_flag,0.5491,0.5506,0.0015,0.535,0.5319,-0.003,4/6,2019:+0.614 2022:+0.547 2023:+0.499 2024:+0.522,2322,False
holdout_B,AB,pfxz_delta+csw_last21,0.5719,0.5731,0.0012,0.5537,0.5534,-0.0003,6/6,2018:+0.569 2019:+0.607 2021:+0.579 2022:+0.585 2023:+0.497 2024:+0.585,2647,False
holdout_B,AC,pfxz_delta+ext_delta,0.5597,0.5578,-0.0019,0.5421,0.5422,0.0001,4/6,2019:+0.610 2022:+0.565 2023:+0.490 2024:+0.571,1776,False
holdout_B,AD,pfxz_delta+new_pitch_flag,0.5597,0.5604,0.0007,0.5421,0.5385,-0.0036,4/6,2019:+0.616 2022:+0.569 2023:+0.496 2024:+0.574,1776,False
holdout_B,BC,csw_last21+ext_delta,0.5466,0.5474,0.0008,0.5323,0.5283,-0.004,4/6,2019:+0.606 2022:+0.546 2023:+0.499 2024:+0.517,2305,False
