year,type,week,url,fetched_date,notes
2025,sp,1,https://pitcherlist.com/top-100-starting-pitchers-for-2025-fantasy-baseball-week-1-3-31/,2026-06-04,early-season
2025,sp,13,https://pitcherlist.com/top-100-starting-pitchers-for-2025-fantasy-baseball-week-13-6-23/,2026-06-04,mid-season
2025,sp,21,https://pitcherlist.com/top-100-starting-pitchers-for-2025-fantasy-baseball-week-21-8-18/,2026-06-04,late-season
2025,h,1,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2025-week-1-3-26/,2026-06-04,early-season
2025,h,13,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2025-week-13-6-26/,2026-06-04,mid-season
2025,h,20,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2025-week-20-8-14/,2026-06-04,late-season
2024,sp,2,https://pitcherlist.com/top-100-starting-pitchers-for-2024-fantasy-baseball-week-2-4-8/,2026-06-04,early-season
2024,sp,13,https://pitcherlist.com/top-100-starting-pitchers-for-2024-fantasy-baseball-week-13-6-24/,2026-06-04,mid-season
2024,sp,21,https://pitcherlist.com/top-100-starting-pitchers-for-2024-fantasy-baseball-week-21-8-19/,2026-06-04,late-season
2024,h,1,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2024-week-1-4-3/,2026-06-04,early-season
2024,h,13,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2024-week-13-6-26/,2026-06-04,mid-season
2024,h,15,https://pitcherlist.com/top-150-hitters-for-fantasy-baseball-2024-week-15-7-11/,2026-06-04,late-ish
2023,sp,2,https://pitcherlist.com/the-list-4-10-top-100-starting-pitchers-week-2-fantasy-baseball-2023/,2026-06-04,early-season
2023,sp,13,https://pitcherlist.com/the-list-6-26-top-100-starting-pitchers-week-13-fantasy-baseball-2023/,2026-06-04,mid-season
2023,sp,21,https://pitcherlist.com/the-list-8-21-top-100-starting-pitchers-week-21-fantasy-baseball-2023/,2026-06-04,late-season
2023,h,3,https://pitcherlist.com/hitter-list-4-19-top-150-hitters-week-3-fantasy-baseball-2023/,2026-06-04,early-season
2023,h,13,https://pitcherlist.com/hitter-list-6-28-top-150-hitters-week-13-fantasy-baseball-2023/,2026-06-04,mid-season
2023,h,21,https://pitcherlist.com/hitter-list-8-23-top-150-hitters-week-21-fantasy-baseball-2023/,2026-06-04,late-season
2022,sp,1,https://pitcherlist.com/the-list-4-11-top-100-starting-pitchers-for-2022-week-1/,2026-06-04,early-season
2022,sp,13,https://pitcherlist.com/the-list-7-5-top-100-starting-pitchers-for-2022-week-13/,2026-06-04,mid-season
2022,sp,21,https://pitcherlist.com/the-list-8-22-top-100-starting-pitchers-for-2022-week-21/,2026-06-04,late-season
2022,h,1,https://pitcherlist.com/hitter-list-4-13-top-150-hitters-for-2022-week-1/,2026-06-04,early-season
2022,h,13,https://pitcherlist.com/hitter-list-7-6-top-150-hitters-for-2022-week-13/,2026-06-04,mid-season
2022,h,21,https://pitcherlist.com/hitter-list-8-31-top-150-hitters-for-2022-week-21/,2026-06-04,late-season
2021,sp,2,https://pitcherlist.com/the-list-4-5-top-100-starting-pitchers-for-2021-week-2/,2026-06-04,early-season
2021,sp,13,https://pitcherlist.com/the-list-6-21-top-100-starting-pitchers-for-2021-week-13/,2026-06-04,mid-season
2021,sp,21,https://pitcherlist.com/the-list-8-16-top-100-starting-pitchers-for-2021-week-21/,2026-06-04,late-season
2021,h,early,https://pitcherlist.com/hitter-list-4-21-ranking-the-top-150-hitters-for-2021/,2026-06-04,early-season-no-week-number
2021,h,mid,https://pitcherlist.com/hitter-list-6-23-ranking-the-top-150-hitters-for-2021/,2026-06-04,mid-season
2021,h,late,https://pitcherlist.com/hitter-list-8-25-ranking-the-top-150-hitters-for-2021/,2026-06-04,late-season
2020,sp,preseason,https://pitcherlist.com/the-top-100-starting-pitchers-for-2020-fantasy-baseball/,2026-06-04,COVID-shortened-60g-no-in-season-week-format
2020,h,preseason,https://pitcherlist.com/hitter-list-ranking-the-top-150-hitters-for-2020/,2026-06-04,COVID-shortened-60g
2020,h,mid,https://pitcherlist.com/hitter-list-8-5-ranking-the-top-150-hitters-for-2020/,2026-06-04,COVID-mid-season
2020,h,late,https://pitcherlist.com/hitter-list-9-16-ranking-the-top-150-hitters-for-2020/,2026-06-04,COVID-late-season
2019,sp,preseason,https://pitcherlist.com/top-100-starting-pitchers-for-2019-for-fantasy-baseball/,2026-06-04,preseason-only-format-in-search
2019,sp,mid,https://www.pitcherlist.com/the-list-3-13-the-top-100-starting-pitchers-for-2019-mid-march-update/,2026-06-04,march-update
2018,sp,preseason,https://pitcherlist.com/top-100-starting-pitchers-in-fantasy-baseball-for-2018/,2026-06-04,preseason
2018,sp,early,https://www.pitcherlist.com/the-list-4-2-ranking-the-top-100-starting-pitchers-every-monday/,2026-06-04,week-1-equivalent
2018,sp,mid,https://www.pitcherlist.com/the-list-7-10-ranking-the-top-100-starting-pitchers-every-month/,2026-06-04,mid-season-format-uncertain
