config,cell,signals,cv_base_r,cv_full_r,cv_lift,ho_base_r,ho_full_r,ho_lift,sign_consistent,per_year,n,PASS
holdout_A,F,fps_pct_to,0.5515,0.5741,0.0226,0.5462,0.568,0.0219,5/5,2018:+0.561 2019:+0.634 2021:+0.589 2022:+0.568 2023:+0.495,3329,True
holdout_A,P,putaway_pct_to,0.5515,0.6089,0.0574,0.5462,0.6272,0.081,5/5,2018:+0.622 2019:+0.654 2021:+0.605 2022:+0.600 2023:+0.555,3329,True
holdout_A,T,ttop_penalty_to,0.5519,0.5516,-0.0003,0.5408,0.5413,0.0004,5/5,2018:+0.529 2019:+0.592 2021:+0.585 2022:+0.560 2023:+0.473,3100,False
holdout_A,O,out_pitch_whiff_delta,0.5378,0.5336,-0.0041,0.5341,0.534,-0.0001,3/5,2019:+0.611 2022:+0.545 2023:+0.449,1608,False
holdout_A,R,velo_recovery_slope,0.3543,0.3631,0.0089,0.326,0.3249,-0.0011,4/5,2019:+0.434 2021:+0.444 2022:+0.289 2023:+0.244,313,False
holdout_A,X,pitch_trim_flag,0.5414,0.5415,0.0001,0.5442,0.5438,-0.0003,3/5,2019:+0.598 2022:+0.549 2023:+0.478,1756,False
holdout_A,FP,fps_pct_to+putaway_pct_to,0.5515,0.625,0.0735,0.5462,0.6407,0.0945,5/5,2018:+0.629 2019:+0.669 2021:+0.626 2022:+0.615 2023:+0.574,3329,True
holdout_A,TOX,ttop_penalty_to+out_pitch_whiff_delta+pitch_trim_flag,0.5427,0.5408,-0.0019,0.5242,0.5255,0.0012,3/5,2019:+0.600 2022:+0.569 2023:+0.462,1525,False
holdout_A,FPT,fps_pct_to+putaway_pct_to+ttop_penalty_to,0.5519,0.6426,0.0907,0.5408,0.6559,0.115,5/5,2018:+0.644 2019:+0.653 2021:+0.666 2022:+0.649 2023:+0.600,3100,True
holdout_A,FPTO,fps_pct_to+putaway_pct_to+ttop_penalty_to+out_pitch_whiff_delta,0.5427,0.6146,0.0719,0.5242,0.6308,0.1066,3/5,2019:+0.658 2022:+0.663 2023:+0.595,1525,False
holdout_A,FPTOX,fps_pct_to+putaway_pct_to+ttop_penalty_to+out_pitch_whiff_delta+pitch_trim_flag,0.5427,0.6146,0.0719,0.5242,0.6308,0.1066,3/5,2019:+0.658 2022:+0.663 2023:+0.595,1525,False
holdout_A,ALL,fps_pct_to+putaway_pct_to+ttop_penalty_to+out_pitch_whiff_delta+velo_recovery_slope+pitch_trim_flag,0.3186,0.3517,0.0331,0.2566,0.446,0.1893,3/5,2019:+0.327 2022:+0.385 2023:+0.442,184,False
holdout_A,R_int,velo_recovery_x_il,0.5515,0.5515,0.0,0.5462,0.5462,0.0,5/5,2018:+0.534 2019:+0.624 2021:+0.565 2022:+0.545 2023:+0.472,3329,False
holdout_B,F,fps_pct_to,0.5503,0.5711,0.0208,0.5392,0.5507,0.0115,6/6,2018:+0.570 2019:+0.634 2021:+0.590 2022:+0.566 2023:+0.497 2024:+0.538,3993,True
holdout_B,P,putaway_pct_to,0.5503,0.6142,0.0639,0.5392,0.6157,0.0765,6/6,2018:+0.633 2019:+0.651 2021:+0.606 2022:+0.596 2023:+0.562 2024:+0.630,3993,True
holdout_B,T,ttop_penalty_to,0.5508,0.5506,-0.0002,0.5235,0.5248,0.0014,6/6,2018:+0.536 2019:+0.595 2021:+0.586 2022:+0.559 2023:+0.477 2024:+0.525,3731,False
holdout_B,O,out_pitch_whiff_delta,0.543,0.5417,-0.0013,0.5281,0.5298,0.0017,4/6,2019:+0.625 2022:+0.537 2023:+0.473 2024:+0.510,2141,False
holdout_B,R,velo_recovery_slope,0.327,0.3286,0.0017,0.4526,0.454,0.0015,5/6,2019:+0.475 2021:+0.455 2022:+0.192 2023:+0.286 2024:+0.157,399,False
holdout_B,X,pitch_trim_flag,0.5491,0.5491,0.0,0.535,0.5347,-0.0002,4/6,2019:+0.611 2022:+0.544 2023:+0.498 2024:+0.519,2322,False
holdout_B,FP,fps_pct_to+putaway_pct_to,0.5503,0.6278,0.0776,0.5392,0.6273,0.088,6/6,2018:+0.639 2019:+0.666 2021:+0.625 2022:+0.609 2023:+0.580 2024:+0.633,3993,True
holdout_B,TOX,ttop_penalty_to+out_pitch_whiff_delta+pitch_trim_flag,0.5426,0.5414,-0.0012,0.5181,0.527,0.0089,4/6,2019:+0.608 2022:+0.558 2023:+0.487 2024:+0.502,2038,False
