config,cell,signals,cv_base_r,cv_full_r,cv_lift,ho_base_r,ho_full_r,ho_lift,sign_consistent,per_year,n,PASS
holdout_A,F_lpa,fps_pct_last100pa,0.5638,0.5643,0.0005,0.5668,0.5679,0.0011,5/5,2018:+0.552 2019:+0.626 2021:+0.567 2022:+0.575 2023:+0.486,2774,False
holdout_A,F_dlpa,fps_pct_delta_l100,0.5638,0.5638,-0.0,0.5668,0.5669,0.0001,5/5,2018:+0.551 2019:+0.627 2021:+0.566 2022:+0.575 2023:+0.485,2774,False
holdout_A,P_lpa,putaway_pct_last50pa,0.5621,0.5619,-0.0003,0.5628,0.5652,0.0024,5/5,2018:+0.542 2019:+0.629 2021:+0.564 2022:+0.572 2023:+0.482,2843,False
holdout_A,P_dlpa,putaway_pct_delta_l50,0.5621,0.5618,-0.0003,0.5628,0.5631,0.0003,5/5,2018:+0.544 2019:+0.627 2021:+0.565 2022:+0.570 2023:+0.483,2843,False
holdout_A,FP_lpa,fps_pct_last100pa+putaway_pct_last50pa,0.5624,0.5627,0.0003,0.5672,0.571,0.0038,5/5,2018:+0.544 2019:+0.631 2021:+0.563 2022:+0.576 2023:+0.485,2731,False
holdout_A,FP_dlpa,fps_pct_delta_l100+putaway_pct_delta_l50,0.5624,0.562,-0.0004,0.5672,0.5678,0.0006,5/5,2018:+0.545 2019:+0.629 2021:+0.562 2022:+0.574 2023:+0.484,2731,False
holdout_A,F_l_d,fps_pct_last100pa+fps_pct_delta_l100,0.5638,0.564,0.0002,0.5668,0.5681,0.0013,5/5,2018:+0.553 2019:+0.626 2021:+0.567 2022:+0.573 2023:+0.486,2774,False
holdout_A,P_l_d,putaway_pct_last50pa+putaway_pct_delta_l50,0.5621,0.5628,0.0006,0.5628,0.5658,0.003,5/5,2018:+0.542 2019:+0.631 2021:+0.565 2022:+0.574 2023:+0.481,2843,False
holdout_A,ALL_lpa,fps_pct_last100pa+putaway_pct_last50pa+fps_pct_delta_l100+putaway_pct_delta_l50,0.5624,0.563,0.0006,0.5672,0.5719,0.0047,5/5,2018:+0.544 2019:+0.632 2021:+0.563 2022:+0.576 2023:+0.483,2731,False
holdout_B,F_lpa,fps_pct_last100pa,0.5664,0.567,0.0006,0.5507,0.5506,-0.0001,6/6,2018:+0.557 2019:+0.627 2021:+0.570 2022:+0.575 2023:+0.492 2024:+0.563,3352,False
holdout_B,F_dlpa,fps_pct_delta_l100,0.5664,0.5665,0.0001,0.5507,0.5502,-0.0005,6/6,2018:+0.556 2019:+0.628 2021:+0.569 2022:+0.575 2023:+0.491 2024:+0.562,3352,False
holdout_B,P_lpa,putaway_pct_last50pa,0.5637,0.5638,0.0001,0.5544,0.5566,0.0022,6/6,2018:+0.547 2019:+0.630 2021:+0.568 2022:+0.572 2023:+0.488 2024:+0.554,3421,False
holdout_B,P_dlpa,putaway_pct_delta_l50,0.5637,0.5635,-0.0002,0.5544,0.5549,0.0005,6/6,2018:+0.549 2019:+0.628 2021:+0.568 2022:+0.570 2023:+0.489 2024:+0.553,3421,False
holdout_B,FP_lpa,fps_pct_last100pa+putaway_pct_last50pa,0.5644,0.5651,0.0007,0.5579,0.5601,0.0023,6/6,2018:+0.548 2019:+0.632 2021:+0.566 2022:+0.576 2023:+0.490 2024:+0.558,3295,False
holdout_B,FP_dlpa,fps_pct_delta_l100+putaway_pct_delta_l50,0.5644,0.5643,-0.0001,0.5579,0.5581,0.0002,6/6,2018:+0.549 2019:+0.631 2021:+0.565 2022:+0.574 2023:+0.489 2024:+0.557,3295,False
holdout_B,F_l_d,fps_pct_last100pa+fps_pct_delta_l100,0.5664,0.5667,0.0003,0.5507,0.5508,0.0001,6/6,2018:+0.557 2019:+0.627 2021:+0.570 2022:+0.573 2023:+0.492 2024:+0.563,3352,False
holdout_B,P_l_d,putaway_pct_last50pa+putaway_pct_delta_l50,0.5637,0.5643,0.0005,0.5544,0.5568,0.0024,6/6,2018:+0.547 2019:+0.631 2021:+0.569 2022:+0.574 2023:+0.487 2024:+0.553,3421,False
holdout_B,ALL_lpa,fps_pct_last100pa+putaway_pct_last50pa+fps_pct_delta_l100+putaway_pct_delta_l50,0.5644,0.5652,0.0007,0.5579,0.5607,0.0028,6/6,2018:+0.548 2019:+0.633 2021:+0.567 2022:+0.576 2023:+0.488 2024:+0.557,3295,False
