date,team,observed_name,source,observed_at,note
2026-07-27,STL,M. Liberatore,scoreboard_app_screenshot,2026-07-27T02:06Z,MLB feed had STL blank at capture
2026-07-28,TEX,C. Quantrill,scoreboard_app_screenshot,2026-07-27T02:06Z,MLB feed had TEX blank at capture
2026-07-28,STL,M. McGreevy,scoreboard_app_screenshot,2026-07-27T02:06Z,MLB feed had STL blank at capture
2026-07-28,SEA,L. Castillo,scoreboard_app_screenshot,2026-07-27T02:07Z,MLB feed had SEA blank at capture
2026-07-28,LAD,E. Lauer,scoreboard_app_screenshot,2026-07-27T02:07Z,MLB feed had LAD blank at capture
2026-07-29,SD,G. Canning,scoreboard_app_screenshot,2026-07-27T02:07Z,MLB feed had SD blank at capture
2026-07-29,TB,I. Seymour,scoreboard_app_screenshot,2026-07-27T02:07Z,MLB feed had TB blank at capture
2026-07-29,TEX,M. Gore,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-29,KC,R. Dobnak,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-29,STL,D. May,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-29,SEA,E. Hancock,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-29,LAD,J. Wrobleski,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,NYY,R. Weathers,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,CHW,S. Burke,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,TEX,N. Eovaldi,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,TB,S. McClanahan,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,KC,N. Cameron,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,MIN,B. Ober,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,CHC,S. Imanaga,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,STL,A. Pallante,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,PIT,P. Skenes,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,CIN,H. Greene,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,MIA,E. Perez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,NYM,N. McLean,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,WAS,F. Griffin,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,ATL,B. Elder,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,BOS,S. Gray,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,SF,R. Ray,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,SD,G. Marquez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,SEA,B. Miller,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-30,LAD,R. Sasaki,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,NYY,W. Warren,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,CHC,J. Taillon,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,PIT,B. Ashcraft,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,CIN,A. Abbott,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,BAL,B. Young,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,STL,K. Leahy,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,TOR,D. Cease,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,ARI,M. Bratt,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,CLE,T. Bibee,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,MIA,J. Junk,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,NYM,F. Peralta,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,CHW,E. Fedde,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,TB,N. Martinez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,WAS,M. Mikolas,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,ATL,R. Lopez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,TEX,J. deGrom,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,HOU,H. Brown,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,KC,M. Wacha,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,COL,T. Sugano,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,MIL,R. Gasser,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,LAA,R. Johnson,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,DET,C. Mize,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,ATH,J. Springs,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,SF,C. Whisenhunt,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,SD,J. Sears,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,MIN,Z. Matthews,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,SEA,B. Woo,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,BOS,R. Suarez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-07-31,LAD,Y. Yamamoto,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,NYY,G. Cole,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,CHC,D. Peterson,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,STL,M. Liberatore,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,TOR,K. Gausman,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,MIN,C. Prielipp,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,SEA,L. Gilbert,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,MIA,T. Phillips,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,NYM,Z. Thornton,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,CHW,N. Schultz,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,TB,D. Rasmussen,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,PIT,M. Keller,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,CIN,C. Burns,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,PHI,C. Sanchez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,BAL,S. Baz,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,TEX,K. Rocker,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,HOU,R. Blanco,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,CLE,P. Messick,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,WAS,A. Alvarez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,ATL,M. Perez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,KC,L. Avila,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,COL,R. Feltner,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,SF,T. Mahle,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,SD,W. Buehler,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,BOS,P. Tolle,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,LAD,E. Sheehan,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,MIL,J. Misiorowski,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,LAA,J. Soriano,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,DET,F. Valdez,scoreboard_app_screenshot,2026-07-27T02:07Z,
2026-08-01,ATH,J. Perkins,scoreboard_app_screenshot,2026-07-27T02:07Z,
