cutoff_w,horizon,n,n_imp,n_dec,gap,r_npos_post,partial_r_pre,imp_delta,dec_delta
4,1,1617,243,243,-0.05405566956776428,-0.03138236636214218,-0.03273972803580105,-0.033343659458751146,0.024995829633101208
4,2,1598,241,241,-0.022288820756886957,-0.016542721566981344,-0.018761897287521874,-0.00940766021448855,0.01584426408712314
4,3,1590,239,240,-0.017040713012608483,-0.020188057998845082,-0.022545451788927914,-0.00013657157498075945,0.020722332224001244
4,4,1582,239,237,-0.011806993012258682,-0.022291947431219,-0.024721448405052804,0.0013633295055651973,0.018940225323576032
4,6,1615,238,242,0.003480950683497519,-0.010666767492385201,-0.014765057222547994,0.010696158768895042,0.013771842489870206
4,12,1704,252,255,0.005965390001692883,-0.02185053486916545,-0.02426593319958931,0.021309336375901128,0.017443045043817662
4,eos,1751,256,261,0.0070458979666107036,-0.013067716063787855,-0.01735002087755118,0.019620464716469,0.016466994380004624
5,1,1758,281,237,-0.01577011702802833,-0.005676413537051436,-0.009005062428879376,-0.006241599458023633,-0.0010123744424233028
5,2,1782,289,239,-0.014253805827172283,0.008007358740784547,0.003194675812871205,0.0006450647443674851,0.0036718317039414194
5,3,1759,282,235,-0.007103530481062104,0.018061466212084827,0.015859794706569504,-0.0004275937613475167,-0.0076960124055385215
5,4,1744,277,232,-0.004547975086308165,0.01878583347312494,0.013506050164300423,-0.003212300404195012,-0.008534614544314256
5,6,1812,286,244,-0.009212371272673825,0.012998715808415858,0.006685957589512324,0.006892101156636743,0.005338849526970169
5,12,1943,308,261,-0.004019425050814651,0.014815491920909406,0.007367431585988832,0.012237395426420161,0.0038770634119235647
5,eos,2003,314,274,-0.00043167998455256873,0.007619431996685959,-0.0017477501044396084,0.014705430762953747,0.005708351042326615
6,1,1859,265,281,-0.005315696162550454,-0.001307088051696803,0.0008999505692635137,-0.012766436583407315,-0.0047104383090760815
6,2,1851,264,286,0.01627989719302647,0.02737459646946085,0.029992249777273824,4.660789207427962e-05,-0.012112170069504213
6,3,1848,264,285,0.007568491876288913,0.0028565157255764457,0.0029927283672270414,-0.007665044484556627,-0.006761898855781073
6,4,1835,263,280,-0.0016482389413321752,-0.009761818743825975,-0.009680182822777245,-0.00802849081605303,0.0034753208346874898
6,6,1920,279,290,-0.0016246558093141183,-0.0207490557335448,-0.021378564349617532,-0.002809836235085572,0.008375133413354552
6,12,2095,300,316,0.003469790863241229,-0.01071702374743846,-0.011515301057011226,0.002826038166738376,0.004706884035988623
6,eos,2155,304,334,0.0030844386448573846,-0.009994544743430114,-0.012612681579193898,0.002875415489410643,0.00704532376257519
7,1,1910,287,252,0.013010694716148963,0.015748323304576716,0.012724340780588577,-0.0009981281732691638,-0.0068914189856282
7,2,1926,291,257,0.02152371815774584,0.016765092510999217,0.012328746425338839,0.0051220720908062845,-0.008771261531287183
7,3,1896,288,248,0.017200209279699785,0.01367383251314609,0.00661066531742033,0.010608480280562549,-0.002014580824334783
7,4,1898,284,248,0.0035860924514807824,0.010496270503715165,0.002928983874012988,0.010168316704293079,0.01292231988198625
7,6,2006,300,263,0.004587630940644238,0.020400267939996726,0.011770060746003893,0.010946833427668723,0.013625371953312704
7,12,2213,322,302,0.0039435045557466575,0.013296786882550293,0.0005262159985154017,0.0075104682467007355,0.01534368452408913
7,eos,2282,329,320,0.006805795381312402,0.024830919018241523,0.011929277389428996,0.008418928482871318,0.015559833471881668
8,1,1959,291,257,0.017706547873404033,-0.005569014472528147,-0.007875858309432819,-0.014660884958549308,-0.02393713532593289
8,2,1932,292,253,0.009434830868311567,-0.002171261692331593,-0.00741270472455119,0.000483389202962925,-0.0006882651203374834
8,3,1929,282,265,0.006702050684504135,0.004843675324780722,-0.004678370845826911,0.003287527466010909,0.009206179789520652
8,4,1932,288,269,0.02142132368394939,0.01806216383326858,0.010871627042508327,0.008363692222869035,-0.0014588879752530093
8,6,2043,294,279,0.018842443762170702,0.016560639511207457,0.004674644945251858,0.010868460534411706,0.005415568623730438
8,12,2285,332,322,0.012028591415842643,0.012667704804404652,-0.0017873166599453622,0.011348602378513595,0.012684963474110439
8,eos,2369,344,338,0.013384935534785897,0.02011410482605804,0.0023762563371856624,0.008584853591806468,0.010583828837959691
