owner,name,team,own,per_start,stuff,src,inj,ret,xfp_ros,xfp_po
FA,Shane McClanahan,TB,66.8,13.45,108.0,Stuff+,,,231.0,48.0
MINE,Carlos Rodon,NYY,,13.35,109.0,Stuff+,,,229.0,48.0
MINE,Will Warren,NYY,,13.24,107.0,Stuff+,,,227.0,48.0
MINE,Roki Sasaki,LAD,,13.22,106.0,Stuff+,,,227.0,48.0
FA,Aaron Nola,Phi,39.9,13.09,107.0,Stuff+,,,225.0,47.0
MINE,Jose Soriano,LAA,,13.04,101.0,Stuff+,,,224.0,47.0
FA,Christian Scott,NYM,19.8,13.04,108.0,Stuff+,,,224.0,47.0
FA,Trevor McDonald,SF,5.8,13.03,101.0,Stuff+,,,224.0,47.0
FA,Jack Leiter,Tex,19.6,12.74,103.0,Stuff+,,,219.0,46.0
FA,Reynaldo Lopez,Atl,3.8,12.6,,talent_prior,,,216.0,45.0
FA,Ryan Weathers,NYY,44.2,12.39,99.0,Stuff+,,,213.0,45.0
FA,Landen Roupp,SF,31.1,12.12,99.0,Stuff+,,,208.0,44.0
FA,Dustin May,StL,11.9,12.14,103.0,Stuff+,,,208.0,44.0
FA,Connor Prielipp,Min,2.7,12.02,103.0,Stuff+,,,206.0,43.0
FA,Walbert Urena,LAA,12.0,11.93,99.0,Stuff+,,,205.0,43.0
MINE,Parker Messick,Cle,,11.96,96.0,Stuff+,,,205.0,43.0
MINE,Kyle Bradish,Bal,,11.86,100.0,Stuff+,,,204.0,43.0
FA,Bubba Chandler,Pit,21.3,11.8,105.0,Stuff+,,,203.0,42.0
MINE,Framber Valdez,Det,,11.8,103.0,Stuff+,,,203.0,42.0
FA,Jack Flaherty,Det,36.2,11.54,100.0,Stuff+,,,198.0,42.0
FA,Ryne Nelson,Ari,11.4,11.55,106.0,Stuff+,,,198.0,42.0
MINE,Freddy Peralta,NYM,,11.55,96.0,Stuff+,,,198.0,42.0
FA,Sean Burke,ChW,11.5,11.47,98.0,Stuff+,,,197.0,41.0
FA,Luis Castillo,Sea,54.9,11.49,98.0,Stuff+,,,197.0,41.0
FA,Luis F. Castillo,FA,0.0,11.49,98.0,Stuff+,,,197.0,41.0
FA,Anthony Kay,ChW,5.2,11.46,104.0,Stuff+,,,197.0,41.0
MINE,Max Fried,NYY,,12.85,106.0,Stuff+,FIFTEEN_DAY_DL,2026-06-22,197.0,46.0
FA,Matthew Boyd,ChC,42.0,12.42,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-19,196.0,45.0
FA,Matthew Liberatore,StL,4.7,11.36,99.0,Stuff+,,,195.0,41.0
FA,Spencer Arrighetti,Hou,60.4,11.31,99.0,Stuff+,,,194.0,41.0
FA,Brandon Sproat,Mil,1.5,11.25,99.0,Stuff+,,,193.0,41.0
FA,Logan Henderson,Mil,12.8,14.03,107.0,Stuff+,FIFTEEN_DAY_DL,2026-07-01,193.0,51.0
FA,Randy Vasquez,SD,31.0,11.0,99.0,Stuff+,,,189.0,40.0
FA,Jeffrey Springs,Oak,15.4,11.02,98.0,Stuff+,,,189.0,40.0
FA,Robbie Ray,SF,53.0,11.03,98.0,Stuff+,,,189.0,40.0
FA,Zebby Matthews,Min,12.0,10.95,96.0,Stuff+,,,188.0,39.0
FA,Andrew Painter,Phi,8.3,10.97,100.0,Stuff+,,,188.0,40.0
FA,Andre Pallante,StL,5.4,10.94,97.0,Stuff+,,,188.0,39.0
FA,Edward Cabrera,ChC,31.3,10.87,94.0,Stuff+,,,187.0,39.0
FA,Trevor Rogers,Bal,29.6,10.81,100.0,Stuff+,,,186.0,39.0
FA,Walker Buehler,SD,6.4,10.63,96.0,Stuff+,,,182.0,38.0
FA,Lance McCullers Jr.,Hou,2.7,11.05,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-15,182.0,40.0
FA,Colin Rea,ChC,5.3,10.55,94.0,Stuff+,,,181.0,38.0
FA,Stephen Kolek,KC,15.4,10.47,92.0,Stuff+,,,180.0,38.0
FA,Brandon Young,Bal,7.0,10.48,96.0,Stuff+,,,180.0,38.0
FA,Tyler Wells,Bal,0.4,10.42,,talent_prior,,,179.0,38.0
FA,Jake Irvin,Wsh,0.6,11.6,98.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,176.0,42.0
FA,Kumar Rocker,Tex,6.2,10.25,92.0,Stuff+,,,176.0,37.0
FA,Grant Holmes,Atl,13.6,10.27,90.0,Stuff+,,,176.0,37.0
FA,Mike Burrows,Hou,3.1,10.11,93.0,Stuff+,,,174.0,36.0
FA,Shane Drohan,Mil,3.3,10.13,,rp3_dd,,,174.0,36.0
FA,Braxton Garrett,Mia,0.6,10.09,,talent_prior,,,173.0,36.0
FA,Slade Cecconi,Cle,1.9,10.04,93.0,Stuff+,,,172.0,36.0
FA,Mitch Keller,Pit,33.3,10.01,93.0,Stuff+,,,172.0,36.0
FA,Luis Gil,NYY,1.2,10.04,,talent_prior,,,172.0,36.0
FA,Griffin Canning,SD,1.1,9.97,91.0,Stuff+,,,171.0,36.0
FA,JR Ritchie,Atl,2.2,9.97,94.0,Stuff+,,,171.0,36.0
FA,Ryan Feltner,Col,1.2,9.97,92.0,Stuff+,,,171.0,36.0
FA,Clayton Kershaw,FA,0.1,9.94,,talent_prior,,,171.0,36.0
FA,Andrew Abbott,Cin,44.2,9.83,95.0,Stuff+,,,169.0,35.0
FA,Keider Montero,Det,7.5,9.72,94.0,Stuff+,,,167.0,35.0
FA,Patrick Corbin,Tor,1.6,9.71,93.0,Stuff+,,,167.0,35.0
FA,Kyle Freeland,Col,0.7,9.67,92.0,Stuff+,,,166.0,35.0
FA,Janson Junk,Mia,1.5,10.88,101.0,Stuff+,FIFTEEN_DAY_DL,2026-06-23,165.0,39.0
FA,Elmer Rodriguez,NYY,0.6,9.6,90.0,Stuff+,,,165.0,35.0
MINE,Hunter Greene,Cin,,12.27,,talent_prior,SIXTY_DAY_DL,2026-07-03,165.0,44.0
FA,Sean Manaea,NYM,2.4,9.56,,talent_prior,,,164.0,34.0
FA,Tyler Mahle,SF,0.8,9.6,89.0,Stuff+,FIFTEEN_DAY_DL,2026-06-12,163.0,35.0
FA,Zack Littell,Wsh,7.8,9.52,,talent_prior,,,163.0,34.0
FA,Tatsuya Imai,Hou,21.4,9.38,87.0,Stuff+,,,161.0,34.0
FA,Julio Urias,FA,0.0,9.4,,talent_prior,,,161.0,34.0
FA,Gage Jump,Oak,16.6,9.27,,rp3_dd,,,159.0,33.0
FA,Brady Singer,Cin,5.3,9.23,91.0,Stuff+,,,158.0,33.0
FA,Chad Patrick,Mil,6.0,9.17,,talent_prior,,,157.0,33.0
FA,Chris Bassitt,Bal,3.7,10.01,96.0,Stuff+,FIFTEEN_DAY_DL,2026-06-20,157.0,36.0
FA,Ryan Bergert,KC,0.0,9.08,,talent_prior,,,156.0,33.0
FA,Noah Schultz,ChW,4.2,10.2,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-22,156.0,37.0
FA,Aaron Civale,Oak,3.8,9.5,96.0,Stuff+,FIFTEEN_DAY_DL,2026-06-16,155.0,34.0
FA,Chris Paddack,Cin,0.2,9.02,89.0,Stuff+,,,155.0,32.0
FA,Shane Smith,ChW,1.9,8.97,,talent_prior,,,154.0,32.0
FA,Kodai Senga,NYM,6.4,10.81,97.0,Stuff+,FIFTEEN_DAY_DL,2026-06-29,152.0,39.0
FA,J.P. France,Hou,0.0,8.81,,talent_prior,,,151.0,32.0
FA,Kyle Gibson,FA,0.0,8.71,,talent_prior,,,150.0,31.0
FA,Michael Lorenzen,Col,0.4,8.71,88.0,Stuff+,,,150.0,31.0
FA,Nestor Cortes,FA,0.1,10.15,,talent_prior,OUT,2026-06-25,150.0,37.0
FA,Kai-Wei Teng,Hou,3.4,8.69,,rp3_dd,,,149.0,31.0
FA,Jacob Lopez,Oak,0.4,8.7,93.0,Stuff+,,,149.0,31.0
FA,David Peterson,NYM,3.3,8.65,,talent_prior,,,149.0,31.0
FA,Brayan Bello,Bos,3.3,8.64,,talent_prior,,,148.0,31.0
FA,Eury Perez,Mia,58.4,15.06,118.0,Stuff+,FIFTEEN_DAY_DL,2026-07-24,148.0,54.0
FA,Adrian Houser,SF,0.8,8.59,89.0,Stuff+,,,147.0,31.0
FA,Merrill Kelly,Ari,27.6,8.5,87.0,Stuff+,,,146.0,31.0
FA,Javier Assad,ChC,0.5,8.42,,talent_prior,,,145.0,30.0
FA,Jason Alexander,Hou,0.0,8.46,,talent_prior,,,145.0,30.0
FA,Blake Snell,LAD,67.8,13.02,,talent_prior,SIXTY_DAY_DL,2026-07-17,144.0,47.0
FA,Robert Gasser,Mil,0.3,8.38,,rp3_dd,,,144.0,30.0
FA,Michael McGreevy,StL,26.1,8.36,81.0,Stuff+,,,144.0,30.0
FA,Ben Lively,Cle,0.0,8.31,,talent_prior,,,143.0,30.0
FA,Luis Severino,Oak,4.6,12.81,108.0,Stuff+,FIFTEEN_DAY_DL,2026-07-17,142.0,46.0
FA,Justin Verlander,Det,2.1,8.68,,talent_prior,SIXTY_DAY_DL,2026-06-16,142.0,31.0
FA,Rhett Lowder,Cin,3.5,8.19,85.0,Stuff+,,,141.0,29.0
FA,Brandon Pfaadt,Ari,1.4,8.24,,talent_prior,,,141.0,30.0
FA,Matt Waldron,SD,0.1,8.84,,talent_prior,FIFTEEN_DAY_DL,2026-06-19,140.0,32.0
FA,Grayson Rodriguez,LAA,3.8,8.1,,rp3_dd,,,139.0,29.0
FA,Eric Lauer,LAD,2.2,8.01,87.0,Stuff+,,,138.0,29.0
FA,Johan Oviedo,Bos,0.3,8.51,,talent_prior,SIXTY_DAY_DL,2026-06-17,137.0,31.0
FA,Lance Lynn,FA,0.0,7.98,,talent_prior,,,137.0,29.0
FA,Brandon Williamson,Cin,0.1,9.56,98.0,Stuff+,SIXTY_DAY_DL,2026-06-29,135.0,34.0
FA,Wade Miley,FA,0.0,9.16,,talent_prior,OUT,2026-06-25,135.0,33.0
FA,JP Sears,SD,0.1,7.8,,talent_prior,,,134.0,28.0
FA,Andrew Heaney,FA,0.0,7.78,,talent_prior,,,134.0,28.0
FA,Tyler Anderson,LAA,0.1,7.79,,talent_prior,,,134.0,28.0
FA,Yu Darvish,SD,0.1,8.96,,talent_prior,OUT,2026-06-25,133.0,32.0
FA,Alex Cobb,FA,0.0,8.94,,talent_prior,OUT,2026-06-25,132.0,32.0
FA,Luis Ortiz,Cle,0.0,8.84,,talent_prior,OUT,2026-06-25,131.0,32.0
FA,Cristian Javier,Hou,0.8,8.78,,talent_prior,SIXTY_DAY_DL,2026-06-25,130.0,32.0
FA,James Paxton,FA,0,7.57,,talent_prior,,,130.0,27.0
FA,Charlie Morton,FA,0.1,7.53,,talent_prior,,,129.0,27.0
FA,Joey Estes,Oak,0.0,7.37,,talent_prior,,,127.0,27.0
FA,Simeon Woods Richardson,Tor,0.4,7.42,87.0,Stuff+,,,127.0,27.0
FA,Tomoyuki Sugano,Col,2.5,7.34,81.0,Stuff+,,,126.0,26.0
