owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
MINE,Eury Perez,Mia,,14.93,116.0,Stuff+·vol,0.149,,,142.0,42.0
MINE,Jose Soriano,LAA,,12.34,99.0,Stuff+·vol,0.162,,,128.0,38.0
FA,Aaron Nola,Phi,37.6,12.44,106.0,Stuff+·vol,0.161,,,128.0,38.0
MINE,Shota Imanaga,ChC,,11.19,93.0,Stuff+·vol,0.175,,,125.0,37.0
FA,Ryan Weathers,NYY,31.0,12.33,101.0,Stuff+·vol,0.158,,,125.0,37.0
FA,Will Warren,NYY,49.4,12.29,105.0,Stuff+·vol,0.158,,,124.0,37.0
FA,Tanner Bibee,Cle,64.1,12.06,105.0,Stuff+·vol,0.161,,,124.0,37.0
MINE,Parker Messick,Cle,,11.66,96.0,Stuff+·vol,0.164,,,122.0,36.0
FA,Michael Wacha,KC,58.3,10.87,98.0,Stuff+·vol,0.176,,,122.0,36.0
FA,Cade Cavalli,Wsh,12.7,12.48,103.0,Stuff+·vol,0.15,,,119.0,36.0
MINE,Freddy Peralta,NYM,,10.87,96.0,Stuff+·vol,0.17,,,118.0,35.0
FA,Sean Manaea,NYM,2.7,13.22,104.0,Stuff+·vol,0.14,,,118.0,35.0
FA,Jack Flaherty,Det,37.6,11.64,100.0,Stuff+·vol,0.156,,,116.0,35.0
FA,Andre Pallante,StL,18.6,11.0,98.0,Stuff+·vol,0.165,,,116.0,35.0
FA,Trevor Rogers,Bal,43.8,11.05,101.0,Stuff+·vol,0.16,,,113.0,34.0
FA,Walbert Urena,LAA,13.2,11.75,99.0,Stuff+·vol,0.149,,,112.0,33.0
FA,Landen Roupp,SF,26.5,11.75,99.0,Stuff+·vol,0.147,,,111.0,33.0
FA,Andrew Abbott,Cin,41.4,10.23,95.0,Stuff+·vol,0.166,,,109.0,32.0
FA,Matthew Boyd,ChC,45.3,11.8,96.0,Stuff+·vol,0.145,,,109.0,33.0
FA,Roki Sasaki,LAD,22.4,13.24,110.0,Stuff+·vol,0.128,,,109.0,32.0
FA,Davis Martin,ChW,70.8,10.34,90.0,Stuff+·vol,0.165,,,109.0,33.0
FA,Emmet Sheehan,LAD,50.4,12.24,100.0,Stuff+·vol,0.138,,,108.0,32.0
FA,J.T. Ginn,Oak,22.1,10.53,92.0,Stuff+·vol,0.159,,,107.0,32.0
FA,Spencer Arrighetti,Hou,26.5,11.08,99.0,Stuff+·vol,0.151,,,107.0,32.0
FA,Walker Buehler,SD,6.9,10.59,95.0,Stuff+·vol,0.156,,,106.0,31.0
FA,Anthony Kay,ChW,5.1,11.64,104.0,Stuff+·vol,0.139,,,104.0,31.0
FA,Kyle Bradish,Bal,71.9,11.89,101.0,Stuff+·vol,0.137,,,104.0,31.0
FA,Jake Bennett,Bos,30.0,10.85,92.0,Stuff+·vol,0.149,,,103.0,31.0
MINE,Hunter Greene,Cin,,13.41,,rp3_dd·vol,0.12,,,103.0,31.0
FA,Luis Castillo,Sea,51.6,11.13,98.0,Stuff+·vol,0.144,,,103.0,31.0
FA,Dustin May,StL,14.7,12.08,103.0,Stuff+·vol,0.133,,,103.0,31.0
FA,Luis F. Castillo,FA,0.0,11.13,98.0,Stuff+·vol,0.144,,,103.0,31.0
FA,Brady Singer,Cin,7.0,9.75,92.0,Stuff+·vol,0.161,,,100.0,30.0
FA,Zebby Matthews,Min,9.7,10.49,95.0,Stuff+·vol,0.148,,,100.0,30.0
FA,Christian Scott,NYM,5.6,13.12,107.0,Stuff+·vol,0.119,,,100.0,30.0
FA,Brandon Young,Bal,18.4,10.51,96.0,Stuff+·vol,0.147,,,99.0,29.0
FA,Mitch Keller,Pit,24.0,9.46,92.0,Stuff+·vol,0.164,,,99.0,30.0
FA,Slade Cecconi,Cle,4.3,9.79,93.0,Stuff+·vol,0.156,,,98.0,29.0
FA,Colin Rea,ChC,3.6,9.95,94.0,Stuff+·vol,0.154,,,98.0,29.0
FA,Brandon Sproat,Mil,10.2,11.76,100.0,Stuff+·vol,0.13,,,97.0,29.0
FA,Logan Henderson,Mil,24.6,13.69,107.0,Stuff+·vol,0.111,,,97.0,29.0
