milb_pitches,outings,last_outing,fb_velo,fb_max,milb_k_pct,milb_bb_pct,milb_swstr,milb_csw,velo_delta,k_delta,bb_delta,swstr_delta,workload_curve,days_gap_max,verdict,name,pos,team,injury,mlbam,prior_year,prior_fb_velo,prior_k,prior_bb,prior_swstr,rehab_window
0.0,0.0,,,,,,,,,,,,,,NO DATA,Casey Mize,SP,Boone's Bad Bullpen,DAY_TO_DAY,663554.0,2025.0,94.65,0.221,0.056,0.115,"filtered to post-2026-07-19 (pre-filter: 55, post-IL: 0)"
0.0,0.0,,,,,,,,,,,,,,NO DATA,Robert Suarez,RP,Boone's Bad Bullpen,FIFTEEN_DAY_DL,663158.0,2025.0,98.58,0.279,0.052,0.127,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Garrett Crochet,SP,Team Solomon,SIXTY_DAY_DL,676979.0,2025.0,96.28,0.312,0.056,0.143,
32.0,1.0,2026-07-18,95.29,96.3,0.667,0.167,0.312,0.438,0.17,0.386,0.069,0.163,07/18:32,,WORKLOAD-ONLY,Blake Snell,SP,Team Solomon,SIXTY_DAY_DL,605483.0,2025.0,95.12,0.281,0.098,0.149,"filtered to post-2026-05-09 (pre-filter: 87, post-IL: 32)"
0.0,0.0,,,,,,,,,,,,,,NO DATA,Max Meyer,SP,Late Night Bettsing,FIFTEEN_DAY_DL,676974.0,2025.0,94.71,0.239,0.07,0.119,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Ben Brown,SP,Late Night Bettsing,FIFTEEN_DAY_DL,676962.0,2025.0,95.85,0.254,0.063,0.116,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Nick Lodolo,SP,2015 Draft First Round,FIFTEEN_DAY_DL,666157.0,2025.0,93.8,0.241,0.047,0.135,"filtered to post-2026-07-11 (pre-filter: 119, post-IL: 0)"
52.0,1.0,2026-07-17,94.0,95.4,0.214,0.0,0.058,0.231,-0.8,-0.022,,-0.062,07/17:52,,WORKLOAD-ONLY,Max Fried,SP,New York Ligers,FIFTEEN_DAY_DL,608331.0,2025.0,94.8,0.236,0.064,0.12,"filtered to post-2026-05-13 (pre-filter: 52, post-IL: 52)"
0.0,0.0,,,,,,,,,,,,,,NO DATA,Tyler Glasnow,SP,New York Ligers,SIXTY_DAY_DL,607192.0,2025.0,95.81,0.29,0.117,0.097,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Brandon Woodruff,SP,Frendy's Fantastic Team,SIXTY_DAY_DL,605540.0,2025.0,92.96,0.323,0.054,0.138,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Connelly Early,SP,Frendy's Fantastic Team,FIFTEEN_DAY_DL,813349.0,2025.0,93.72,0.367,0.051,0.17,
,,,,,,,,,,,,,,,NO MLBAM,Edwin Diaz,RP,Treasure Island Mashers,SIXTY_DAY_DL,,,,,,,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Zac Gallen,SP,Treasure Island Mashers,FIFTEEN_DAY_DL,668678.0,2025.0,93.53,0.215,0.08,0.094,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Ranger Suarez,SP,Treasure Island Mashers,FIFTEEN_DAY_DL,624133.0,2025.0,90.52,0.232,0.058,0.1,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Kyle Harrison,SP,Treasure Island Mashers,FIFTEEN_DAY_DL,690986.0,2025.0,94.59,0.244,0.083,0.127,
0.0,0.0,,,,,,,,,,,,,,NO DATA,Jared Jones,SP,FA (watchlist),IL (FA),683003.0,2024.0,97.33,0.259,0.075,0.15,"filtered to post-2026-07-18 (pre-filter: 171, post-IL: 0)"
