batter,year,prior_career_fp_per_pa,prior_career_pa
116338,2015,,0
120074,2015,,0
120074,2016,0.741042345276873,614
121347,2015,,0
121347,2016,0.5980707395498392,622
133380,2015,,0
134181,2015,,0
134181,2016,0.65,620
134181,2017,0.7055555555555556,1260
134181,2018,0.7142857142857143,1652
136860,2015,,0
136860,2016,0.5856873822975518,531
136860,2017,0.6201067615658363,1124
150029,2015,,0
150029,2016,0.4682539682539682,378
150029,2017,0.49796747967479676,984
150212,2015,,0
150229,2015,,0
150229,2016,0.5756880733944955,436
276519,2015,,0
276519,2016,0.4725663716814159,565
285078,2015,,0
346874,2015,,0
346874,2016,0.4811083123425693,397
400085,2015,,0
400085,2016,0.3800904977375565,442
400085,2017,0.4485749690210657,807
400121,2015,,0
400121,2016,0.5154639175257731,485
400121,2017,0.572992700729927,1096
400121,2018,0.5467015022860875,1531
400284,2015,,0
400284,2016,0.4397163120567376,423
400284,2017,0.4630940343781597,989
400284,2018,0.4836309523809523,1344
405395,2015,,0
405395,2016,0.6928895612708018,661
405395,2017,0.6841704718417048,1314
405395,2018,0.6309584828293183,1951
405395,2019,0.6133115557370356,2449
405395,2020,0.6152304609218436,2994
405395,2021,0.6103896103896104,3157
405395,2022,0.60828025477707,3454
407781,2015,,0
407781,2016,0.4595588235294117,544
407812,2015,,0
407812,2016,0.5451263537906137,277
407812,2017,0.5817923186344239,703
407893,2015,,0
407893,2016,0.7161290322580646,465
408045,2015,,0
408045,2016,0.4767616191904048,667
408045,2017,0.49557522123893805,1243
408045,2018,0.5233695652173913,1840
408047,2015,,0
408047,2016,,183
408234,2015,,0
408234,2016,0.71875,512
408234,2017,0.727120067170445,1191
408234,2018,0.6453488372093024,1720
408234,2019,0.6414491209376665,1877
408234,2020,0.5943163097199341,2428
408234,2021,0.5889432117337345,2659
408234,2022,0.5645211930926216,3185
408234,2023,0.5313622547665101,3619
408236,2015,,0
408236,2016,0.6226708074534162,644
408236,2017,0.586530931871574,1277
408236,2018,0.5546108567691301,1529
408252,2015,,0
408252,2016,0.5730337078651685,623
408252,2017,0.5761589403973509,1208
408299,2015,,0
408299,2016,0.3626373626373626,455
408307,2015,,0
408314,2015,,0
408314,2016,0.5394990366088632,519
408314,2017,0.5569461827284106,799
408314,2018,0.5745775165319618,1361
424325,2015,,0
424325,2016,,182
424825,2015,,0
424825,2016,,140
425509,2015,,0
425509,2016,0.4953271028037383,642
425549,2015,,0
425560,2015,,0
425567,2015,,0
425664,2015,,0
425766,2015,,0
425766,2016,0.4564102564102564,390
425772,2015,,0
425772,2016,,103
425772,2017,0.2936170212765957,235
425772,2018,0.24885844748858446,438
425772,2019,0.2301829268292683,656
425783,2015,,0
425783,2016,0.5807926829268293,656
425783,2017,0.5628604382929643,867
425783,2018,0.5678191489361702,1504
425783,2019,0.5502304147465438,2170
425783,2020,0.547316384180791,2832
425784,2015,,0
425784,2016,0.1625,320
425784,2017,0.2239089184060721,527
425796,2015,,0
425796,2016,0.4577259475218659,343
425834,2015,,0
425834,2016,0.4210526315789473,228
425877,2015,,0
425877,2016,0.4566037735849056,530
425877,2017,0.5107719928186715,1114
425877,2018,0.5416164053075995,1658
425877,2019,0.5566867191115225,2161
425877,2020,0.5539403213465952,2614
425877,2021,0.5472924187725632,2770
425877,2022,0.5371340523882897,3245
425900,2015,,0
425900,2016,,192
425902,2015,,0
425902,2016,0.645021645021645,693
429664,2015,,0
429664,2016,0.562962962962963,675
429664,2017,0.6427030913012222,1391
429664,2018,0.6410004904364884,2039
429664,2019,0.6426778242677824,2390
429664,2020,0.6217561322431567,2813
429664,2022,0.6280467445742904,2995
429665,2015,,0
429665,2016,0.7852564102564102,624
429665,2017,0.746043707611153,1327
429665,2018,0.7264529058116233,1996
429665,2019,0.7031857031857032,2574
429665,2020,0.7059784384188174,3061
429666,2015,,0
429666,2016,0.3242009132420091,438
429666,2017,0.4063926940639269,876
429667,2015,,0
429667,2016,0.4583333333333333,504
429711,2015,,0
429711,2016,,190
429713,2015,,0
430001,2016,,0
430001,2017,0.5463414634146342,205
430203,2015,,0
430321,2015,,0
430404,2015,,0
430605,2015,,0
430605,2016,0.6368159203980099,201
430637,2015,,0
430637,2016,0.4880952380952381,336
430652,2015,,0
430832,2015,,0
430832,2016,0.7957957957957958,666
430832,2017,0.7159763313609467,1183
430832,2018,0.613697164258962,1869
430897,2015,,0
430910,2015,,0
430945,2015,,0
430945,2016,0.5969125214408233,583
430945,2017,0.571656050955414,1256
430945,2018,0.56795346377578,1891
430945,2019,0.5497005988023952,2505
430947,2015,,0
430947,2016,0.45539906103286387,639
430947,2017,0.4207650273224044,1098
430948,2015,,0
431094,2015,,0
431094,2016,0.4645892351274787,353
431145,2015,,0
431145,2016,0.6181102362204725,508
431145,2017,0.5354406130268199,1044
431145,2018,0.5230660042583393,1409
431145,2019,0.49630891538898353,1761
431151,2015,,0
431151,2016,,174
431171,2015,,0
433217,2015,,0
433217,2016,0.5977011494252874,261
433217,2017,0.551063829787234,470
434158,2015,,0
434158,2016,0.5733137829912024,682
434158,2017,0.5679574791192104,1317
434158,2018,0.5671722643553629,1846
434158,2019,0.5544686527345487,2249
434540,2015,,0
434563,2015,,0
434563,2016,0.3625,320
434563,2017,0.4043321299638989,554
434567,2015,,0
434604,2015,,0
434636,2015,,0
434636,2016,0.3862815884476534,554
434658,2015,,0
434658,2016,0.5415549597855228,373
434658,2017,0.5472350230414746,868
434658,2018,0.5194174757281553,1236
434670,2015,,0
434670,2016,0.5638051044083526,431
434670,2017,0.6355851569933396,1051
434670,2018,0.5879052369077306,1604
434778,2015,,0
434778,2016,0.6645865834633385,641
434778,2017,0.6185567010309279,1261
434778,2018,0.5864098448368111,1869
434778,2019,0.573076923076923,2340
435062,2015,,0
435062,2016,0.5262096774193549,496
435062,2017,0.49134615384615377,1040
435062,2018,0.5152838427947598,1374
435062,2019,0.5136897001303781,1534
435062,2020,0.5703781512605042,1904
435063,2015,,0
435063,2016,0.4456289978678038,469
435063,2017,0.4982046678635548,1114
435064,2015,,0
435064,2016,,147
435064,2018,0.28822055137844604,399
435079,2015,,0
435079,2016,0.6029411764705882,680
435079,2017,0.636296840558413,1361
435079,2018,0.6199392712550608,1976
435079,2019,0.6055776892430279,2510
435263,2015,,0
435263,2016,0.6175373134328358,536
435263,2017,0.5679611650485437,1030
435263,2018,0.5836249125262422,1429
435263,2019,0.5637910085054678,1646
435401,2015,,0
435522,2015,,0
435522,2016,0.5230263157894737,608
435522,2017,0.551594746716698,1066
435522,2018,0.560105680317041,1514
435522,2019,0.5358076319916362,1913
435559,2015,,0
435559,2016,0.412863070539419,482
435559,2017,0.4631578947368421,855
435559,2018,0.5352233676975945,1164
435559,2019,0.5567010309278351,1552
435559,2020,0.5857066093498119,1861
435559,2021,0.5844221105527638,1990
435559,2022,0.5587840858292356,2237
435622,2015,,0
435622,2016,0.3572542901716068,641
435622,2017,0.4635811836115326,1318
435622,2018,0.4618568894145476,1691
435622,2019,0.4833549502810203,2313
443558,2015,,0
443558,2016,0.6412213740458015,655
443558,2017,0.6520423600605144,1322
443558,2018,0.6710726995424504,1967
443558,2019,0.6639312231340367,2559
443558,2020,0.6846203763789747,3082
443558,2021,0.6845617227782833,3297
443558,2022,0.67284904688305,3882
443558,2023,0.6413761676919572,4389
444379,2015,,0
444379,2016,0.5576036866359447,217
444379,2017,0.5254237288135594,649
444432,2015,,0
444432,2016,0.4708029197080292,548
444432,2017,0.5539094650205761,1215
444432,2018,0.5137513751375138,1818
444482,2015,,0
444482,2016,0.6358381502890174,519
444482,2017,0.5883190883190883,702
444482,2018,0.584831899921814,1279
444482,2019,0.5974643423137876,1893
444482,2020,0.5893782383419689,2316
444482,2021,0.5820836621941594,2534
444482,2022,0.5696614583333334,3072
444482,2023,0.5508141493542953,3562
444482,2024,0.5440401505646173,3985
444489,2017,,0
444489,2018,0.48753462603878106,361
444489,2019,0.4721030042918455,699
444489,2021,0.45558086560364464,878
444843,2015,,0
444876,2015,,0
444876,2016,0.444947209653092,663
444876,2017,0.4310089020771513,1348
444876,2018,0.4251769464105157,1978
444876,2021,0.4180948585093663,2509
444876,2022,0.4310706787963611,2858
445055,2015,,0
445055,2016,0.3387755102040816,245
445055,2017,0.3903225806451613,620
445055,2018,0.4349477682811016,1053
445055,2019,0.436241610738255,1639
445988,2015,,0
445988,2016,0.5189873417721519,553
445988,2017,0.5511551155115512,1212
445988,2018,0.5349521707137601,1359
445988,2019,0.5092415551306565,1569
446263,2015,,0
