batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
134181,2017,2017-05-29,140,5,5,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-05-30,140,4,3,1,1,1,0,2,0,0,0,0,2
134181,2017,2017-05-31,140,5,4,0,0,2,0,3,1,2,0,0,6
134181,2017,2017-06-02,140,4,3,0,1,2,1,6,1,1,0,0,9
134181,2017,2017-06-03,140,5,4,0,1,2,0,2,0,2,0,0,5
134181,2017,2017-06-04,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2017,2017-06-06,140,4,3,0,1,1,0,1,1,1,0,0,4
134181,2017,2017-06-10,140,4,3,0,1,1,0,1,0,0,1,0,3
134181,2017,2017-06-11,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-06-12,140,4,4,1,0,2,0,3,0,1,0,0,3
134181,2017,2017-06-13,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-06-14,140,3,3,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-06-16,140,5,2,0,2,1,0,1,2,2,0,1,8
134181,2017,2017-06-17,140,4,4,0,0,1,0,1,1,0,0,0,2
134181,2017,2017-06-18,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-06-19,140,5,4,1,1,1,0,2,0,3,0,0,5
134181,2017,2017-06-20,140,4,3,0,1,1,1,4,1,2,0,0,8
134181,2017,2017-06-21,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-06-22,140,5,4,0,0,2,0,3,2,2,0,0,7
134181,2017,2017-06-23,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-06-24,140,5,4,1,1,2,0,3,0,0,0,0,3
134181,2017,2017-06-25,140,4,4,0,0,1,1,4,1,2,0,0,7
134181,2017,2017-06-26,140,4,4,1,0,2,1,6,1,3,0,0,9
134181,2017,2017-06-27,140,4,4,0,0,2,1,5,1,1,0,0,7
134181,2017,2017-06-28,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-06-29,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-06-30,140,5,4,2,1,0,0,0,1,0,0,0,0
134181,2017,2017-07-01,140,5,3,0,2,1,0,1,1,0,0,0,4
134181,2017,2017-07-02,140,5,2,1,3,0,0,0,0,0,0,0,2
134181,2017,2017-07-03,140,5,3,1,2,0,0,0,0,0,0,0,1
134181,2017,2017-07-04,140,5,5,1,0,3,0,4,0,0,0,0,3
134181,2017,2017-07-05,140,4,3,0,0,1,0,2,2,0,0,1,5
134181,2017,2017-07-07,140,4,4,0,0,2,1,5,2,3,0,0,10
134181,2017,2017-07-08,140,4,4,0,0,1,1,4,1,2,0,0,7
134181,2017,2017-07-09,140,4,2,0,2,0,0,0,0,0,0,0,2
134181,2017,2017-07-14,140,4,3,0,1,2,1,5,1,3,0,0,10
134181,2017,2017-07-15,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-07-16,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-07-17,140,4,4,0,0,2,0,2,0,0,0,0,2
134181,2017,2017-07-18,140,3,3,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-07-19,140,4,4,0,0,1,0,2,0,0,0,0,2
134181,2017,2017-07-20,140,4,4,0,0,2,0,2,1,1,0,0,4
134181,2017,2017-07-21,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-07-22,140,4,4,2,0,1,0,1,1,0,0,0,0
134181,2017,2017-07-23,140,5,5,1,0,2,0,4,1,0,0,0,4
134181,2017,2017-07-24,140,4,4,0,0,4,0,4,0,0,0,0,4
134181,2017,2017-07-25,140,5,3,0,1,0,0,0,0,1,0,0,2
134181,2017,2017-07-26,140,4,3,0,1,3,1,8,2,2,0,0,13
134181,2017,2017-07-28,140,4,4,0,0,2,0,2,1,2,0,0,5
134181,2017,2017-07-29,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-07-30,140,5,5,2,0,1,0,2,2,0,0,0,2
134181,2017,2017-07-31,140,4,3,1,1,1,0,1,0,0,0,0,1
134181,2017,2017-08-01,140,5,4,1,0,0,0,0,1,0,0,1,1
134181,2017,2017-08-02,140,4,3,0,0,1,0,1,0,1,0,0,2
134181,2017,2017-08-03,140,5,5,2,0,0,0,0,0,0,0,0,-2
134181,2017,2017-08-04,140,4,4,1,0,1,0,1,0,2,0,0,2
134181,2017,2017-08-05,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2017,2017-08-06,140,4,4,0,0,1,1,4,1,3,0,0,8
134181,2017,2017-08-08,140,4,3,0,1,1,1,4,1,1,0,0,7
134181,2017,2017-08-09,140,5,5,2,0,2,0,2,0,0,0,0,0
134181,2017,2017-08-11,140,4,4,1,0,2,0,3,0,1,0,0,3
134181,2017,2017-08-12,140,4,4,0,0,3,0,4,0,3,0,0,7
134181,2017,2017-08-13,140,4,3,0,1,2,1,5,1,1,0,0,8
134181,2017,2017-08-14,140,4,3,1,0,0,0,0,0,1,0,0,0
134181,2017,2017-08-15,140,4,4,0,0,2,0,3,1,1,0,0,5
134181,2017,2017-08-16,140,5,4,1,1,2,1,5,2,2,0,0,9
134181,2017,2017-08-17,140,5,3,0,2,0,0,0,1,0,0,0,3
134181,2017,2017-08-18,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2017,2017-08-19,140,5,3,0,1,2,0,2,3,1,0,1,8
134181,2017,2017-08-20,140,4,3,1,1,0,0,0,0,0,0,0,0
134181,2017,2017-08-21,140,4,4,2,0,1,1,4,1,4,0,0,7
134181,2017,2017-08-22,140,4,2,1,2,0,0,0,0,0,0,0,1
134181,2017,2017-08-23,140,5,5,0,0,3,2,9,2,2,0,0,13
134181,2017,2017-08-24,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2017,2017-08-25,140,4,4,2,0,1,0,1,0,1,0,0,0
134181,2017,2017-08-26,140,4,4,0,0,1,0,2,0,3,0,0,5
134181,2017,2017-08-27,140,4,4,1,0,2,0,4,1,0,0,0,4
134181,2017,2017-08-29,140,5,5,0,0,3,0,3,0,3,0,0,6
134181,2017,2017-08-30,140,5,2,0,3,1,0,1,1,0,0,0,5
134181,2017,2017-08-31,140,3,2,0,1,0,0,0,0,0,0,0,1
134181,2017,2017-09-13,140,1,1,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-09-14,140,3,3,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-09-15,140,4,3,2,0,0,0,0,0,1,0,0,-1
134181,2017,2017-09-16,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-09-17,140,4,4,0,0,2,0,3,0,2,0,0,5
134181,2017,2017-09-19,140,4,4,1,0,2,0,2,1,0,0,0,2
134181,2017,2017-09-20,140,5,4,1,1,1,0,1,1,0,0,0,2
134181,2017,2017-09-21,140,4,4,1,0,2,1,5,1,1,0,0,6
