batter,pa,woba,est_woba,year,gap
116338,567,0.304,0.29,2015,0.014000000000000012
120074,614,0.379,0.42,2015,-0.04099999999999998
120074,625,0.42,0.431,2016,-0.01100000000000001
121347,620,0.361,0.368,2015,-0.007000000000000006
121347,243,0.258,0.287,2016,-0.02899999999999997
133380,516,0.309,0.304,2015,0.0050000000000000044
134181,619,0.337,0.36,2015,-0.022999999999999965
134181,640,0.371,0.366,2016,0.0050000000000000044
134181,389,0.384,0.358,2017,0.026000000000000023
134181,481,0.327,0.328,2018,-0.0010000000000000009
136860,531,0.346,0.346,2015,0.0
136860,593,0.358,0.32,2016,0.03799999999999998
136860,509,0.283,0.284,2017,-0.0010000000000000009
150029,378,0.3,0.331,2015,-0.031000000000000028
150029,606,0.327,0.337,2016,-0.010000000000000009
150029,289,0.311,0.329,2017,-0.018000000000000016
150212,408,0.306,0.296,2015,0.010000000000000009
150229,436,0.333,0.318,2015,0.015000000000000013
150229,259,0.236,0.269,2016,-0.03300000000000003
217100,72,0.169,0.229,2015,-0.06
276519,563,0.283,0.285,2015,-0.0020000000000000018
276519,166,0.277,0.254,2016,0.02300000000000002
285078,182,0.314,0.317,2015,-0.0030000000000000027
285079,68,0.129,0.139,2017,-0.010000000000000009
346874,396,0.32,0.305,2015,0.015000000000000013
346874,259,0.256,0.323,2016,-0.067
400085,438,0.25,0.256,2015,-0.006000000000000005
400085,365,0.32,0.297,2016,0.02300000000000002
400085,215,0.287,0.262,2017,0.024999999999999967
400121,485,0.286,0.33,2015,-0.04400000000000004
400121,610,0.351,0.364,2016,-0.013000000000000012
400121,435,0.303,0.334,2017,-0.031000000000000028
400121,508,0.281,0.313,2018,-0.03199999999999997
400284,423,0.274,0.306,2015,-0.03199999999999997
400284,565,0.312,0.314,2016,-0.0020000000000000018
400284,353,0.316,0.321,2017,-0.0050000000000000044
400284,187,0.272,0.289,2018,-0.01699999999999996
405395,661,0.333,0.346,2015,-0.012999999999999956
405395,650,0.331,0.367,2016,-0.035999999999999976
405395,636,0.286,0.316,2017,-0.030000000000000027
405395,498,0.299,0.327,2018,-0.028000000000000025
405395,545,0.308,0.319,2019,-0.01100000000000001
405395,163,0.282,0.299,2020,-0.017000000000000015
405395,296,0.302,0.323,2021,-0.02100000000000002
405395,351,0.38,0.367,2022,0.013000000000000012
407781,544,0.317,0.311,2015,0.006000000000000005
407781,129,0.328,0.305,2016,0.02300000000000002
407812,277,0.351,0.341,2015,0.009999999999999953
407812,426,0.335,0.351,2016,-0.01599999999999996
407812,427,0.32,0.333,2017,-0.013000000000000012
407893,462,0.381,0.372,2015,0.009000000000000008
407893,438,0.287,0.309,2016,-0.02200000000000002
408045,666,0.311,0.338,2015,-0.027000000000000024
408045,576,0.327,0.357,2016,-0.02999999999999997
408045,597,0.349,0.368,2017,-0.019000000000000017
408045,543,0.319,0.354,2018,-0.034999999999999976
408047,182,0.353,0.316,2015,0.03699999999999998
408047,218,0.311,0.28,2016,0.030999999999999972
408234,511,0.413,0.432,2015,-0.019000000000000017
408234,679,0.399,0.449,2016,-0.04999999999999999
408234,529,0.313,0.37,2017,-0.056999999999999995
408234,156,0.362,0.376,2018,-0.014000000000000012
408234,549,0.318,0.331,2019,-0.013000000000000012
408234,231,0.323,0.379,2020,-0.055999999999999994
408234,526,0.305,0.313,2021,-0.008000000000000007
408234,433,0.275,0.277,2022,-0.0020000000000000018
408234,370,0.299,0.301,2023,-0.0020000000000000018
408236,642,0.354,0.368,2015,-0.014000000000000012
408236,633,0.334,0.327,2016,0.007000000000000006
408236,251,0.275,0.289,2017,-0.013999999999999957
408236,187,0.288,0.323,2018,-0.03500000000000003
408252,623,0.315,0.316,2015,-0.0010000000000000009
408252,584,0.315,0.289,2016,0.026000000000000023
408252,604,0.316,0.3,2017,0.016000000000000014
408299,455,0.238,0.251,2015,-0.013000000000000012
408299,149,0.26,0.28,2016,-0.020000000000000018
408307,192,0.305,0.346,2015,-0.04099999999999998
408307,87,0.208,0.24,2016,-0.032
408314,519,0.3,0.26,2015,0.03999999999999998
408314,279,0.329,0.297,2016,0.03200000000000003
408314,561,0.312,0.29,2017,0.02200000000000002
408314,251,0.255,0.268,2018,-0.013000000000000012
424325,182,0.221,0.232,2015,-0.01100000000000001
424325,205,0.326,0.335,2016,-0.009000000000000008
424825,139,0.22,0.254,2015,-0.034
424825,498,0.301,0.295,2016,0.006000000000000005
425509,640,0.323,0.332,2015,-0.009000000000000008
425509,313,0.308,0.317,2016,-0.009000000000000008
425549,224,0.275,0.238,2015,0.03700000000000003
425560,484,0.283,0.301,2015,-0.018000000000000016
425567,411,0.279,0.289,2015,-0.009999999999999953
425664,204,0.271,0.275,2015,-0.0040000000000000036
425766,388,0.294,0.293,2015,0.0010000000000000009
425766,366,0.302,0.302,2016,0.0
425772,103,0.215,0.239,2015,-0.023999999999999994
425772,132,0.261,0.233,2016,0.027999999999999997
425772,203,0.262,0.255,2017,0.007000000000000006
425772,218,0.243,0.244,2018,-0.0010000000000000009
425772,244,0.19,0.192,2019,-0.0020000000000000018
425783,653,0.365,0.357,2015,0.008000000000000007
425783,210,0.334,0.381,2016,-0.046999999999999986
425783,636,0.339,0.367,2017,-0.02799999999999997
425783,665,0.355,0.362,2018,-0.007000000000000006
425783,660,0.353,0.362,2019,-0.009000000000000008
425783,127,0.312,0.34,2020,-0.028000000000000025
425784,319,0.215,0.247,2015,-0.032
425784,207,0.273,0.282,2016,-0.008999999999999952
425784,237,0.31,0.32,2017,-0.010000000000000009
425784,91,0.298,0.294,2018,0.0040000000000000036
425794,69,0.286,0.286,2016,0.0
425796,343,0.308,0.29,2015,0.018000000000000016
425796,331,0.29,0.282,2016,0.008000000000000007
425834,228,0.326,0.32,2015,0.006000000000000005
425834,538,0.297,0.294,2016,0.0030000000000000027
425844,77,0.247,0.242,2015,0.0050000000000000044
425844,71,0.25,0.248,2018,0.0020000000000000018
425877,530,0.287,0.27,2015,0.01699999999999996
425877,581,0.342,0.329,2016,0.013000000000000012
425877,543,0.316,0.33,2017,-0.014000000000000012
425877,503,0.323,0.329,2018,-0.006000000000000005
425877,452,0.303,0.322,2019,-0.019000000000000017
425877,156,0.29,0.298,2020,-0.008000000000000007
425877,473,0.29,0.308,2021,-0.018000000000000016
425877,270,0.235,0.26,2022,-0.025000000000000022
425900,192,0.296,0.314,2015,-0.018000000000000016
425900,334,0.258,0.245,2016,0.013000000000000012
425902,693,0.36,0.35,2015,0.010000000000000009
425902,370,0.276,0.319,2016,-0.04299999999999998
429664,674,0.335,0.356,2015,-0.020999999999999963
429664,715,0.37,0.348,2016,0.02200000000000002
429664,648,0.334,0.355,2017,-0.020999999999999963
429664,348,0.364,0.376,2018,-0.01200000000000001
429664,422,0.309,0.331,2019,-0.02200000000000002
429664,182,0.376,0.353,2020,0.02300000000000002
429664,104,0.169,0.235,2022,-0.06599999999999998
429665,624,0.392,0.379,2015,0.013000000000000012
429665,701,0.373,0.38,2016,-0.007000000000000006
429665,669,0.373,0.389,2017,-0.016000000000000014
429665,578,0.346,0.356,2018,-0.010000000000000009
429665,486,0.362,0.365,2019,-0.0030000000000000027
429665,181,0.272,0.277,2020,-0.0050000000000000044
429666,437,0.248,0.246,2015,0.0020000000000000018
429666,438,0.307,0.299,2016,0.008000000000000007
429666,268,0.251,0.268,2017,-0.017000000000000015
429667,502,0.308,0.359,2015,-0.05099999999999999
429667,362,0.298,0.352,2016,-0.05399999999999999
429711,189,0.41,0.379,2015,0.030999999999999972
429711,283,0.336,0.359,2016,-0.022999999999999965
429713,296,0.302,0.316,2015,-0.014000000000000012
430001,95,0.239,0.231,2015,0.00799999999999998
430001,205,0.335,0.38,2016,-0.044999999999999984
430203,317,0.278,0.293,2015,-0.014999999999999958
430321,180,0.275,0.318,2015,-0.04299999999999998
430404,262,0.294,0.26,2015,0.033999999999999975
430605,201,0.397,0.37,2015,0.027000000000000024
430605,256,0.309,0.278,2016,0.030999999999999972
430637,335,0.323,0.301,2015,0.02200000000000002
430637,333,0.301,0.316,2016,-0.015000000000000013
430652,212,0.278,0.256,2015,0.02200000000000002
430832,666,0.389,0.39,2015,-0.0010000000000000009
430832,517,0.355,0.36,2016,-0.0050000000000000044
430832,686,0.295,0.306,2017,-0.01100000000000001
430832,399,0.324,0.338,2018,-0.014000000000000012
430897,260,0.285,0.282,2015,0.0030000000000000027
430910,367,0.295,0.275,2015,0.019999999999999962
430945,581,0.334,0.338,2015,-0.0040000000000000036
430945,672,0.319,0.328,2016,-0.009000000000000008
430945,635,0.334,0.317,2017,0.017000000000000015
430945,613,0.315,0.311,2018,0.0040000000000000036
430945,528,0.308,0.319,2019,-0.01100000000000001
430947,638,0.28,0.294,2015,-0.013999999999999957
430947,459,0.271,0.253,2016,0.018000000000000016
430947,370,0.282,0.273,2017,0.008999999999999952
430948,261,0.27,0.286,2015,-0.01599999999999996
431094,353,0.281,0.296,2015,-0.014999999999999958
431094,427,0.313,0.311,2016,0.0020000000000000018
431094,80,0.225,0.307,2017,-0.08199999999999999
431145,507,0.34,0.333,2015,0.007000000000000006
431145,535,0.322,0.326,2016,-0.0040000000000000036
431145,365,0.324,0.339,2017,-0.015000000000000013
431145,352,0.305,0.308,2018,-0.0030000000000000027
431145,249,0.295,0.304,2019,-0.009000000000000008
431151,174,0.359,0.395,2015,-0.03600000000000003
431151,163,0.344,0.377,2016,-0.03300000000000003
431171,258,0.243,0.274,2015,-0.031000000000000028
431171,96,0.225,0.279,2016,-0.05400000000000002
433217,261,0.372,0.332,2015,0.03999999999999998
433217,209,0.313,0.288,2016,0.025000000000000022
433217,144,0.243,0.25,2017,-0.007000000000000006
434158,682,0.357,0.363,2015,-0.006000000000000005
434158,633,0.339,0.333,2016,0.006000000000000005
434158,527,0.33,0.34,2017,-0.010000000000000009
434158,403,0.341,0.342,2018,-0.0010000000000000009
434158,363,0.275,0.306,2019,-0.030999999999999972
434540,152,0.269,0.284,2015,-0.014999999999999958
434563,320,0.259,0.289,2015,-0.02999999999999997
434563,233,0.321,0.338,2016,-0.017000000000000015
434563,145,0.295,0.322,2017,-0.027000000000000024
434567,210,0.311,0.321,2015,-0.010000000000000009
434567,86,0.345,0.362,2016,-0.017000000000000015
434604,256,0.291,0.326,2015,-0.03500000000000003
434628,70,0.16,0.171,2015,-0.01100000000000001
434636,550,0.281,0.282,2015,-0.0009999999999999454
434636,541,0.324,0.32,2016,0.0040000000000000036
434658,370,0.32,0.281,2015,0.03899999999999998
434658,495,0.302,0.283,2016,0.019000000000000017
434658,366,0.279,0.27,2017,0.009000000000000008
434658,216,0.251,0.259,2018,-0.008000000000000007
434670,430,0.308,0.314,2015,-0.006000000000000005
434670,620,0.367,0.348,2016,0.019000000000000017
434670,553,0.318,0.347,2017,-0.02899999999999997
434670,195,0.308,0.326,2018,-0.018000000000000016
434778,639,0.364,0.374,2015,-0.010000000000000009
434778,618,0.339,0.389,2016,-0.04999999999999999
434778,608,0.32,0.354,2017,-0.033999999999999975
434778,471,0.329,0.373,2018,-0.043999999999999984
434778,201,0.264,0.365,2019,-0.10099999999999998
435062,495,0.325,0.325,2015,0.0
435062,543,0.303,0.332,2016,-0.029000000000000026
435062,334,0.361,0.337,2017,0.023999999999999966
435062,160,0.342,0.312,2018,0.030000000000000027
435062,370,0.4,0.418,2019,-0.01799999999999996
435062,100,0.298,0.332,2020,-0.03400000000000003
435063,469,0.321,0.309,2015,0.01200000000000001
435063,645,0.343,0.34,2016,0.0030000000000000027
435063,484,0.302,0.313,2017,-0.01100000000000001
435064,147,0.23,0.248,2015,-0.017999999999999988
435064,251,0.27,0.255,2016,0.015000000000000013
435064,151,0.232,0.227,2018,0.0050000000000000044
435079,675,0.335,0.311,2015,0.02400000000000002
435079,679,0.356,0.326,2016,0.02999999999999997
435079,613,0.313,0.328,2017,-0.015000000000000013
435079,534,0.298,0.301,2018,-0.0030000000000000027
435079,281,0.277,0.254,2019,0.02300000000000002
435263,535,0.327,0.307,2015,0.020000000000000018
435263,492,0.326,0.331,2016,-0.0050000000000000044
435263,399,0.323,0.326,2017,-0.0030000000000000027
435263,216,0.286,0.284,2018,0.0020000000000000018
435263,316,0.311,0.313,2019,-0.0020000000000000018
435401,268,0.282,0.293,2015,-0.01100000000000001
435522,603,0.325,0.315,2015,0.010000000000000009
435522,458,0.351,0.353,2016,-0.0020000000000000018
435522,448,0.346,0.34,2017,0.00599999999999995
435522,398,0.291,0.331,2018,-0.040000000000000036
435522,381,0.319,0.339,2019,-0.020000000000000018
435559,479,0.269,0.286,2015,-0.01699999999999996
435559,373,0.303,0.284,2016,0.019000000000000017
435559,309,0.372,0.338,2017,0.033999999999999975
435559,388,0.335,0.327,2018,0.008000000000000007
435559,309,0.337,0.338,2019,-0.0010000000000000009
435559,129,0.326,0.308,2020,0.018000000000000016
435559,247,0.282,0.265,2021,0.01699999999999996
435559,159,0.254,0.268,2022,-0.014000000000000012
435622,641,0.294,0.286,2015,0.008000000000000007
435622,677,0.336,0.319,2016,0.017000000000000015
435622,373,0.305,0.265,2017,0.03999999999999998
435622,619,0.315,0.303,2018,0.01200000000000001
435622,482,0.328,0.339,2019,-0.01100000000000001
443558,655,0.396,0.385,2015,0.01100000000000001
443558,667,0.383,0.397,2016,-0.014000000000000012
443558,645,0.385,0.405,2017,-0.020000000000000018
443558,591,0.361,0.396,2018,-0.03500000000000003
443558,520,0.418,0.416,2019,0.0020000000000000018
443558,214,0.411,0.383,2020,0.02799999999999997
443558,584,0.346,0.367,2021,-0.02100000000000002
443558,507,0.292,0.322,2022,-0.030000000000000027
443558,152,0.291,0.297,2023,-0.006000000000000005
444379,216,0.364,0.395,2015,-0.031000000000000028
444379,432,0.335,0.332,2016,0.0030000000000000027
444379,302,0.317,0.332,2017,-0.015000000000000013
444432,545,0.327,0.325,2015,0.0020000000000000018
444432,667,0.358,0.37,2016,-0.01200000000000001
444432,603,0.295,0.3,2017,-0.0050000000000000044
444432,358,0.329,0.335,2018,-0.006000000000000005
444482,517,0.38,0.355,2015,0.025000000000000022
444482,183,0.308,0.275,2016,0.032999999999999974
444482,577,0.342,0.316,2017,0.026000000000000023
444482,614,0.368,0.353,2018,0.015000000000000013
444482,423,0.338,0.304,2019,0.03400000000000003
444482,218,0.333,0.299,2020,0.03400000000000003
444482,538,0.314,0.294,2021,0.020000000000000018
444482,490,0.315,0.317,2022,-0.0020000000000000018
444482,422,0.29,0.312,2023,-0.02200000000000002
444482,260,0.329,0.318,2024,0.01100000000000001
444489,81,0.326,0.341,2016,-0.015000000000000013
444489,359,0.323,0.299,2017,0.02400000000000002
444489,337,0.301,0.302,2018,-0.0010000000000000009
444489,179,0.308,0.305,2019,0.0030000000000000027
444489,208,0.315,0.329,2021,-0.014000000000000012
444843,445,0.366,0.365,2015,0.0010000000000000009
444876,662,0.271,0.281,2015,-0.010000000000000009
444876,682,0.278,0.262,2016,0.016000000000000014
444876,629,0.269,0.272,2017,-0.0030000000000000027
444876,531,0.261,0.274,2018,-0.013000000000000012
444876,348,0.326,0.31,2021,0.016000000000000014
444876,131,0.242,0.234,2022,0.00799999999999998
445055,245,0.253,0.289,2015,-0.035999999999999976
445055,374,0.318,0.287,2016,0.031000000000000028
445055,433,0.33,0.32,2017,0.010000000000000009
445055,586,0.301,0.293,2018,0.008000000000000007
445055,182,0.275,0.276,2019,-0.0010000000000000009
445988,551,0.318,0.312,2015,0.006000000000000005
445988,658,0.335,0.312,2016,0.02300000000000002
445988,147,0.274,0.274,2017,0.0
445988,209,0.263,0.282,2018,-0.01899999999999996
445988,260,0.243,0.273,2019,-0.030000000000000027
446263,554,0.359,0.372,2015,-0.013000000000000012
446263,172,0.304,0.351,2016,-0.046999999999999986
446263,491,0.341,0.348,2017,-0.006999999999999951
446263,367,0.315,0.331,2018,-0.016000000000000014
446263,119,0.245,0.312,2019,-0.067
446308,282,0.321,0.319,2015,0.0020000000000000018
446308,464,0.307,0.324,2016,-0.017000000000000015
446308,465,0.273,0.287,2017,-0.013999999999999957
446308,271,0.308,0.31,2018,-0.0020000000000000018
446308,183,0.292,0.285,2019,0.007000000000000006
446334,670,0.327,0.34,2015,-0.013000000000000012
446334,685,0.35,0.361,2016,-0.01100000000000001
446334,677,0.312,0.31,2017,0.0020000000000000018
446334,512,0.295,0.31,2018,-0.015000000000000013
446334,508,0.322,0.351,2019,-0.02899999999999997
446334,209,0.308,0.364,2020,-0.055999999999999994
446334,291,0.352,0.351,2021,0.0010000000000000009
446334,298,0.33,0.33,2022,0.0
446334,237,0.308,0.324,2023,-0.016000000000000014
446359,214,0.328,0.295,2015,0.03300000000000003
446359,508,0.312,0.289,2016,0.02300000000000002
446359,507,0.392,0.33,2017,0.062
446359,253,0.289,0.295,2018,-0.006000000000000005
446359,107,0.15,0.247,2019,-0.097
446381,306,0.303,0.285,2016,0.018000000000000016
446381,362,0.263,0.252,2017,0.01100000000000001
446386,385,0.342,0.317,2015,0.025000000000000022
446386,345,0.351,0.328,2016,0.022999999999999965
446386,192,0.293,0.301,2017,-0.008000000000000007
446386,221,0.298,0.295,2018,0.0030000000000000027
446481,240,0.281,0.266,2015,0.015000000000000013
446481,342,0.363,0.342,2016,0.020999999999999963
446481,153,0.257,0.26,2017,-0.0030000000000000027
446481,173,0.264,0.268,2018,-0.0040000000000000036
446481,139,0.319,0.303,2019,0.016000000000000014
446653,155,0.256,0.283,2015,-0.02699999999999997
446653,114,0.301,0.337,2016,-0.03600000000000003
446653,158,0.232,0.294,2017,-0.06199999999999997
448602,432,0.311,0.29,2015,0.02100000000000002
448602,441,0.349,0.304,2016,0.044999999999999984
448602,593,0.357,0.32,2017,0.03699999999999998
448602,235,0.342,0.317,2018,0.025000000000000022
448602,162,0.267,0.272,2019,-0.0050000000000000044
448605,141,0.349,0.372,2015,-0.02300000000000002
448801,670,0.39,0.403,2015,-0.013000000000000012
448801,665,0.34,0.353,2016,-0.012999999999999956
448801,524,0.312,0.329,2017,-0.017000000000000015
448801,522,0.239,0.272,2018,-0.03300000000000003
448801,352,0.263,0.292,2019,-0.02899999999999997
449107,317,0.266,0.281,2015,-0.015000000000000013
449107,181,0.236,0.267,2016,-0.031000000000000028
449107,97,0.256,0.257,2017,-0.0010000000000000009
449181,251,0.303,0.302,2015,0.0010000000000000009
449181,483,0.317,0.313,2016,0.0040000000000000036
449181,89,0.228,0.312,2017,-0.08399999999999999
449181,93,0.176,0.231,2018,-0.05500000000000002
449786,121,0.242,0.241,2015,0.0010000000000000009
