pitcher,year,split_day,il_stints_to,is_on_il_at_split,days_since_il_return,days_on_il_to
624424,2018,30,0,0,,0
642343,2018,30,1,1,0.0,23
607635,2018,30,0,0,,0
543305,2018,30,0,0,,0
571760,2018,30,0,0,,0
657081,2018,30,0,0,,0
650389,2018,30,0,0,,0
592885,2018,30,0,0,,0
519203,2018,30,0,0,,0
660604,2018,30,0,0,,0
434778,2018,30,0,0,,0
622534,2018,30,0,0,,0
460086,2018,30,0,0,,0
521692,2018,30,0,0,,0
553993,2018,30,0,0,,0
592387,2018,30,0,0,,0
663708,2018,30,0,0,,0
670579,2018,30,0,0,,0
642221,2018,30,0,0,,0
593428,2018,30,0,0,,0
663513,2018,30,0,0,,0
622110,2018,30,0,0,,0
452095,2018,30,0,0,,0
456696,2018,30,0,0,,0
450314,2018,30,0,0,,0
624424,2018,37,0,0,,0
642343,2018,37,1,1,0.0,30
607635,2018,37,0,0,,0
543305,2018,37,0,0,,0
571760,2018,37,0,0,,0
657081,2018,37,0,0,,0
650389,2018,37,0,0,,0
592885,2018,37,0,0,,0
519203,2018,37,0,0,,0
660604,2018,37,0,0,,0
434778,2018,37,0,0,,0
622534,2018,37,0,0,,0
460086,2018,37,0,0,,0
521692,2018,37,0,0,,0
553993,2018,37,0,0,,0
592387,2018,37,0,0,,0
663708,2018,37,0,0,,0
670579,2018,37,0,0,,0
642221,2018,37,0,0,,0
593428,2018,37,0,0,,0
663513,2018,37,0,0,,0
622110,2018,37,0,0,,0
452095,2018,37,0,0,,0
456696,2018,37,0,0,,0
450314,2018,37,0,0,,0
519293,2018,37,0,0,,0
664011,2018,37,0,0,,0
670092,2018,37,0,0,,0
676847,2018,37,0,0,,0
624424,2018,44,0,0,,0
642343,2018,44,1,1,0.0,37
607635,2018,44,0,0,,0
543305,2018,44,0,0,,0
571760,2018,44,0,0,,0
657081,2018,44,0,0,,0
650389,2018,44,0,0,,0
592885,2018,44,0,0,,0
519203,2018,44,0,0,,0
660604,2018,44,0,0,,0
434778,2018,44,0,0,,0
622534,2018,44,0,0,,0
460086,2018,44,0,0,,0
521692,2018,44,0,0,,0
553993,2018,44,0,0,,0
592387,2018,44,0,0,,0
663708,2018,44,0,0,,0
670579,2018,44,0,0,,0
642221,2018,44,0,0,,0
593428,2018,44,0,0,,0
663513,2018,44,0,0,,0
622110,2018,44,0,0,,0
452095,2018,44,0,0,,0
456696,2018,44,0,0,,0
450314,2018,44,0,0,,0
519293,2018,44,0,0,,0
664011,2018,44,0,0,,0
670092,2018,44,0,0,,0
676847,2018,44,0,0,,0
621381,2018,44,0,0,,0
642109,2018,44,0,0,,0
664074,2018,44,0,0,,0
657668,2018,44,0,0,,0
571788,2018,44,0,0,,0
650907,2018,44,0,0,,0
663624,2018,44,0,0,,0
596082,2018,44,0,0,,0
596059,2018,44,0,0,,0
657225,2018,44,0,0,,0
644365,2018,44,0,0,,0
624424,2018,51,0,0,,0
642343,2018,51,1,1,0.0,44
607635,2018,51,0,0,,0
543305,2018,51,0,0,,0
571760,2018,51,0,0,,0
657081,2018,51,0,0,,0
650389,2018,51,0,0,,0
592885,2018,51,0,0,,0
519203,2018,51,0,0,,0
660604,2018,51,0,0,,0
434778,2018,51,0,0,,0
622534,2018,51,0,0,,0
460086,2018,51,0,0,,0
521692,2018,51,0,0,,0
553993,2018,51,0,0,,0
592387,2018,51,0,0,,0
663708,2018,51,0,0,,0
670579,2018,51,0,0,,0
642221,2018,51,0,0,,0
593428,2018,51,0,0,,0
663513,2018,51,0,0,,0
622110,2018,51,0,0,,0
452095,2018,51,0,0,,0
456696,2018,51,0,0,,0
450314,2018,51,0,0,,0
519293,2018,51,0,0,,0
664011,2018,51,0,0,,0
670092,2018,51,0,0,,0
676847,2018,51,0,0,,0
621381,2018,51,0,0,,0
642109,2018,51,0,0,,0
664074,2018,51,0,0,,0
657668,2018,51,0,0,,0
571788,2018,51,0,0,,0
650907,2018,51,0,0,,0
663624,2018,51,0,0,,0
596082,2018,51,0,0,,0
596059,2018,51,0,0,,0
657225,2018,51,0,0,,0
644365,2018,51,0,0,,0
670642,2018,51,0,0,,0
594798,2018,51,0,0,,0
660615,2018,51,0,0,,0
660162,2018,51,0,0,,0
663757,2018,51,0,0,,0
624424,2018,58,0,0,,0
642343,2018,58,1,1,0.0,51
607635,2018,58,0,0,,0
543305,2018,58,0,0,,0
571760,2018,58,0,0,,0
657081,2018,58,0,0,,0
650389,2018,58,0,0,,0
592885,2018,58,0,0,,0
519203,2018,58,0,0,,0
660604,2018,58,0,0,,0
434778,2018,58,0,0,,0
622534,2018,58,0,0,,0
460086,2018,58,0,0,,0
521692,2018,58,0,0,,0
553993,2018,58,0,0,,0
592387,2018,58,0,0,,0
663708,2018,58,0,0,,0
670579,2018,58,0,0,,0
642221,2018,58,0,0,,0
593428,2018,58,0,0,,0
663513,2018,58,0,0,,0
622110,2018,58,0,0,,0
452095,2018,58,0,0,,0
456696,2018,58,0,0,,0
450314,2018,58,0,0,,0
519293,2018,58,0,0,,0
664011,2018,58,0,0,,0
670092,2018,58,0,0,,0
676847,2018,58,0,0,,0
621381,2018,58,0,0,,0
642109,2018,58,0,0,,0
664074,2018,58,0,0,,0
657668,2018,58,0,0,,0
571788,2018,58,0,0,,0
650907,2018,58,0,0,,0
663624,2018,58,0,0,,0
596082,2018,58,0,0,,0
596059,2018,58,0,0,,0
657225,2018,58,0,0,,0
644365,2018,58,0,0,,0
670642,2018,58,0,0,,0
594798,2018,58,0,0,,0
660615,2018,58,0,0,,0
660162,2018,58,0,0,,0
663757,2018,58,0,0,,0
665560,2018,58,0,0,,0
622088,2018,58,0,0,,0
547179,2018,58,0,0,,0
676084,2018,58,0,0,,0
516782,2018,58,0,0,,0
642344,2018,58,0,0,,0
624424,2018,60,0,0,,0
642343,2018,60,1,1,0.0,53
607635,2018,60,0,0,,0
543305,2018,60,0,0,,0
571760,2018,60,0,0,,0
657081,2018,60,0,0,,0
650389,2018,60,0,0,,0
592885,2018,60,0,0,,0
519203,2018,60,0,0,,0
660604,2018,60,0,0,,0
434778,2018,60,0,0,,0
622534,2018,60,0,0,,0
460086,2018,60,0,0,,0
521692,2018,60,0,0,,0
553993,2018,60,0,0,,0
592387,2018,60,0,0,,0
663708,2018,60,0,0,,0
670579,2018,60,0,0,,0
642221,2018,60,0,0,,0
593428,2018,60,0,0,,0
663513,2018,60,0,0,,0
622110,2018,60,0,0,,0
452095,2018,60,0,0,,0
456696,2018,60,0,0,,0
450314,2018,60,0,0,,0
519293,2018,60,0,0,,0
664011,2018,60,0,0,,0
670092,2018,60,0,0,,0
676847,2018,60,0,0,,0
621381,2018,60,0,0,,0
642109,2018,60,0,0,,0
664074,2018,60,0,0,,0
657668,2018,60,0,0,,0
571788,2018,60,0,0,,0
650907,2018,60,0,0,,0
663624,2018,60,0,0,,0
596082,2018,60,0,0,,0
596059,2018,60,0,0,,0
657225,2018,60,0,0,,0
644365,2018,60,0,0,,0
670642,2018,60,0,0,,0
594798,2018,60,0,0,,0
660615,2018,60,0,0,,0
660162,2018,60,0,0,,0
663757,2018,60,0,0,,0
665560,2018,60,0,0,,0
622088,2018,60,0,0,,0
547179,2018,60,0,0,,0
676084,2018,60,0,0,,0
516782,2018,60,0,0,,0
642344,2018,60,0,0,,0
623439,2018,60,0,0,,0
592669,2018,60,0,0,,0
668731,2018,60,0,0,,0
624424,2018,65,0,0,,0
642343,2018,65,1,1,0.0,58
607635,2018,65,0,0,,0
543305,2018,65,0,0,,0
571760,2018,65,0,0,,0
657081,2018,65,0,0,,0
650389,2018,65,0,0,,0
592885,2018,65,0,0,,0
519203,2018,65,0,0,,0
660604,2018,65,0,0,,0
434778,2018,65,0,0,,0
622534,2018,65,0,0,,0
460086,2018,65,0,0,,0
521692,2018,65,0,0,,0
553993,2018,65,0,0,,0
592387,2018,65,0,0,,0
663708,2018,65,0,0,,0
670579,2018,65,0,0,,0
642221,2018,65,0,0,,0
593428,2018,65,0,0,,0
663513,2018,65,0,0,,0
622110,2018,65,0,0,,0
452095,2018,65,0,0,,0
456696,2018,65,0,0,,0
450314,2018,65,0,0,,0
519293,2018,65,0,0,,0
664011,2018,65,0,0,,0
670092,2018,65,0,0,,0
676847,2018,65,0,0,,0
621381,2018,65,0,0,,0
642109,2018,65,0,0,,0
664074,2018,65,0,0,,0
657668,2018,65,0,0,,0
571788,2018,65,0,0,,0
650907,2018,65,0,0,,0
663624,2018,65,0,0,,0
596082,2018,65,0,0,,0
596059,2018,65,0,0,,0
657225,2018,65,0,0,,0
644365,2018,65,0,0,,0
670642,2018,65,0,0,,0
594798,2018,65,0,0,,0
660615,2018,65,0,0,,0
660162,2018,65,0,0,,0
663757,2018,65,0,0,,0
665560,2018,65,0,0,,0
622088,2018,65,0,0,,0
547179,2018,65,0,0,,0
676084,2018,65,0,0,,0
516782,2018,65,0,0,,0
642344,2018,65,0,0,,0
623439,2018,65,0,0,,0
592669,2018,65,0,0,,0
668731,2018,65,0,0,,0
668804,2018,65,0,0,,0
669106,2018,65,0,0,,0
628452,2018,65,0,0,,0
641990,2018,65,0,0,,0
543829,2018,65,0,0,,0
501981,2018,65,0,0,,0
453343,2018,65,0,0,,0
670095,2018,65,0,0,,0
545341,2018,65,0,0,,0
593700,2018,65,0,0,,0
671225,2018,65,1,1,0.0,0
621323,2018,65,0,0,,0
624424,2018,72,0,0,,0
642343,2018,72,1,1,0.0,65
607635,2018,72,0,0,,0
543305,2018,72,0,0,,0
571760,2018,72,0,0,,0
657081,2018,72,0,0,,0
650389,2018,72,0,0,,0
592885,2018,72,0,0,,0
519203,2018,72,0,0,,0
660604,2018,72,0,0,,0
434778,2018,72,0,0,,0
622534,2018,72,0,0,,0
460086,2018,72,0,0,,0
521692,2018,72,0,0,,0
553993,2018,72,0,0,,0
592387,2018,72,0,0,,0
663708,2018,72,0,0,,0
670579,2018,72,0,0,,0
642221,2018,72,0,0,,0
593428,2018,72,0,0,,0
663513,2018,72,0,0,,0
622110,2018,72,0,0,,0
452095,2018,72,0,0,,0
456696,2018,72,0,0,,0
450314,2018,72,0,0,,0
519293,2018,72,0,0,,0
664011,2018,72,0,0,,0
670092,2018,72,0,0,,0
676847,2018,72,0,0,,0
621381,2018,72,0,0,,0
642109,2018,72,0,0,,0
664074,2018,72,0,0,,0
657668,2018,72,0,0,,0
571788,2018,72,0,0,,0
650907,2018,72,0,0,,0
663624,2018,72,0,0,,0
596082,2018,72,0,0,,0
596059,2018,72,0,0,,0
657225,2018,72,0,0,,0
644365,2018,72,0,0,,0
670642,2018,72,0,0,,0
594798,2018,72,0,0,,0
660615,2018,72,0,0,,0
660162,2018,72,0,0,,0
663757,2018,72,0,0,,0
665560,2018,72,0,0,,0
622088,2018,72,0,0,,0
547179,2018,72,0,0,,0
676084,2018,72,0,0,,0
516782,2018,72,0,0,,0
642344,2018,72,0,0,,0
623439,2018,72,0,0,,0
592669,2018,72,0,0,,0
668731,2018,72,0,0,,0
668804,2018,72,0,0,,0
669106,2018,72,0,0,,0
628452,2018,72,0,0,,0
641990,2018,72,0,0,,0
543829,2018,72,0,0,,0
501981,2018,72,0,0,,0
453343,2018,72,0,0,,0
670095,2018,72,0,0,,0
545341,2018,72,0,0,,0
593700,2018,72,0,0,,0
671225,2018,72,1,1,0.0,7
621323,2018,72,0,0,,0
425877,2018,72,0,0,,0
518516,2018,72,0,0,,0
664921,2018,72,0,0,,0
543101,2018,72,0,0,,0
594840,2018,72,0,0,,0
621597,2018,72,0,0,,0
502210,2018,72,0,0,,0
656537,2018,72,0,0,,0
671250,2018,72,0,0,,0
645278,2018,72,0,0,,0
663911,2018,72,0,0,,0
643198,2018,72,0,0,,0
664337,2018,72,0,0,,0
660766,2018,72,0,0,,0
657757,2018,72,0,0,,0
665776,2018,72,0,0,,0
594809,2018,72,0,0,,0
607074,2018,72,0,0,,0
656555,2018,72,0,0,,0
650630,2018,72,0,0,,0
670722,2018,72,0,0,,0
624424,2018,79,0,0,,0
642343,2018,79,1,1,0.0,72
607635,2018,79,0,0,,0
543305,2018,79,0,0,,0
571760,2018,79,0,0,,0
657081,2018,79,0,0,,0
650389,2018,79,0,0,,0
592885,2018,79,0,0,,0
519203,2018,79,0,0,,0
660604,2018,79,0,0,,0
434778,2018,79,0,0,,0
622534,2018,79,0,0,,0
460086,2018,79,0,0,,0
521692,2018,79,0,0,,0
553993,2018,79,0,0,,0
592387,2018,79,0,0,,0
663708,2018,79,0,0,,0
670579,2018,79,0,0,,0
642221,2018,79,0,0,,0
593428,2018,79,0,0,,0
663513,2018,79,0,0,,0
622110,2018,79,0,0,,0
452095,2018,79,0,0,,0
456696,2018,79,0,0,,0
450314,2018,79,0,0,,0
519293,2018,79,0,0,,0
664011,2018,79,0,0,,0
