mlbam_id,player_name,year,il_stints_prior3yr,il_days_prior3yr,career_il_days_to_jan1
115629,LaTroy Hawkins,2016,1,50,50
134181,Adrian Beltré,2016,1,22,22
136860,Carlos Beltrán,2016,1,16,16
150029,Jayson Werth,2016,2,78,78
150212,Michael Cuddyer,2016,1,17,17
150274,Joe Nathan,2016,1,207,207
150359,A.J. Burnett,2016,1,41,41
218596,Tim Hudson,2016,2,49,49
234194,Buddy Carlyle,2016,1,173,173
276351,Jason Grilli,2016,1,110,110
276520,Bronson Arroyo,2016,1,215,215
279571,Matt Belisle,2016,1,74,74
282332,CC Sabathia,2016,1,16,16
285078,Josh Hamilton,2016,3,88,88
340192,Marco Scutaro,2016,1,166,166
346793,Jeremy Affeldt,2016,2,74,74
346847,Joe Beimel,2016,1,14,14
400089,Rafael Soriano,2016,1,117,117
400121,Victor Martinez,2016,1,31,31
400284,Chase Utley,2016,1,45,45
407781,Marlon Byrd,2016,1,16,16
407812,Matt Holliday,2016,2,85,85
407822,Jorge De La Rosa,2016,1,15,15
407862,Reed Johnson,2016,1,150,150
407893,Mark Teixeira,2016,1,31,31
407908,Joel Peralta,2016,2,78,78
408042,Gerald Laird,2016,1,130,130
408047,Justin Morneau,2016,2,111,111
408234,Miguel Cabrera,2016,1,41,41
408241,Jake Peavy,2016,1,76,76
408307,Carl Crawford,2016,1,84,84
408314,José Reyes,2016,1,27,27
421685,Aaron Harang,2016,1,28,28
424324,Cliff Lee,2016,1,231,231
424325,David Ross,2016,1,8,8
424825,Coco Crisp,2016,2,104,104
425532,Jerome Williams,2016,1,34,34
425557,Jeff Baker,2016,1,143,143
425567,Alex Rios,2016,1,46,46
425626,Chris Capuano,2016,1,43,43
425664,Shane Victorino,2016,2,56,56
425766,James Loney,2016,2,55,55
425772,Jeff Mathis,2016,1,53,53
425786,Scott Atchison,2016,1,16,16
425794,Adam Wainwright,2016,1,157,157
425834,B.J. Upton,2016,2,66,66
425856,Gavin Floyd,2016,1,149,149
425900,Dioner Navarro,2016,1,40,40
429666,J.J. Hardy,2016,2,47,47
429783,Rafael Betancourt,2016,1,18,18
430589,Chad Qualls,2016,1,14,14
430603,Don Kelly,2016,1,231,231
430611,Corey Hart,2016,1,159,159
430630,Jason Frasor,2016,1,118,118
430637,Kelly Johnson,2016,1,27,27
430641,Blaine Boyer,2016,1,12,12
430652,Jason Bourgeois,2016,1,93,93
430895,Maicer Izturis,2016,1,211,211
430897,Nick Swisher,2016,2,199,199
430912,Matt Cain,2016,2,100,100
431151,David Wright,2016,1,131,131
431162,Tim Stauffer,2016,1,21,21
434181,Brandon League,2016,2,239,239
434378,Justin Verlander,2016,1,66,66
434604,Michael Morse,2016,1,40,40
434636,Ángel Pagán,2016,1,21,21
434661,Nate McLouth,2016,1,239,239
434670,Hanley Ramirez,2016,1,30,30
434671,Aníbal Sánchez,2016,1,102,102
435045,Sergio Santos,2016,1,164,164
435062,Howie Kendrick,2016,1,39,39
435178,Josh Johnson,2016,1,239,239
435221,Brandon McCarthy,2016,1,193,193
435400,Jason Motte,2016,1,42,42
444379,John Jaso,2016,1,88,88
444857,Scott Feldman,2016,2,102,102
444876,Alcides Escobar,2016,1,7,7
444935,Nick Hagadone,2016,1,121,121
445055,Jon Jay,2016,2,79,79
445060,Ricky Nolasco,2016,2,134,134
445156,Sean Marshall,2016,1,248,248
445163,Casey Janssen,2016,1,47,47
445213,Brandon Kintzler,2016,1,75,75
445276,Kenley Jansen,2016,1,40,40
445612,Dale Thayer,2016,1,14,14
445926,Jesse Chavez,2016,1,48,48
445988,Martín Prado,2016,1,29,29
446263,Lucas Duda,2016,1,16,16
446308,Matt Wieters,2016,1,61,61
446321,Ross Detwiler,2016,1,18,18
446359,Zack Cozart,2016,1,144,144
447714,Eric O'Flaherty,2016,1,31,31
448159,Manny Parra,2016,3,53,53
448170,Travis Ishikawa,2016,2,155,155
448281,Sean Doolittle,2016,2,136,136
448802,Jaime García,2016,2,75,75
449079,Wesley Wright,2016,1,94,94
449104,Jim Henderson,2016,1,240,240
