year,split_day,cutoff_date,barrels_to,hr_on_barrels_to,league_hr_per_barrel_to
2018,30,2018-04-28,1567,737,0.47032546266751757
2018,37,2018-05-05,1932,928,0.4803312629399586
2018,44,2018-05-12,2289,1121,0.48973350808213195
2018,51,2018-05-19,2620,1277,0.48740458015267174
2018,58,2018-05-26,2932,1441,0.49147339699863574
2018,65,2018-06-02,3280,1624,0.4951219512195122
2018,72,2018-06-09,3615,1794,0.4962655601659751
2018,79,2018-06-16,3938,1966,0.49923819197562214
2018,86,2018-06-23,4231,2128,0.5029543843063106
2018,93,2018-06-30,4544,2299,0.5059419014084507
2018,100,2018-07-07,4870,2471,0.5073921971252566
2018,107,2018-07-14,5205,2641,0.5073967339097022
2018,114,2018-07-21,5330,2710,0.5084427767354597
2018,121,2018-07-28,5654,2896,0.5122037495578352
2018,128,2018-08-04,5947,3071,0.51639482091811
2018,135,2018-08-11,6254,3255,0.5204669011832427
2018,142,2018-08-18,6541,3421,0.5230087142638741
2018,149,2018-08-25,6848,3618,0.5283294392523364
2018,156,2018-09-01,7140,3789,0.530672268907563
2018,163,2018-09-08,7462,3988,0.53444116858751
2018,170,2018-09-15,7743,4139,0.5345473330750355
2018,177,2018-09-22,8051,4312,0.535585641535213
2018,184,2018-09-29,8372,4489,0.5361920688007644
2019,30,2019-04-19,1178,641,0.5441426146010186
2019,37,2019-04-26,1548,850,0.5490956072351422
2019,44,2019-05-03,1879,1015,0.5401809473124002
2019,51,2019-05-10,2247,1213,0.5398308856252781
2019,58,2019-05-17,2632,1427,0.5421732522796353
2019,65,2019-05-24,3029,1672,0.5519973588643117
2019,72,2019-05-31,3378,1878,0.5559502664298401
2019,79,2019-06-07,3750,2095,0.5586666666666666
2019,86,2019-06-14,4120,2322,0.5635922330097087
2019,93,2019-06-21,4501,2555,0.567651632970451
2019,100,2019-06-28,4828,2752,0.5700082850041425
2019,107,2019-07-05,5174,2969,0.5738306919211442
2019,114,2019-07-12,5331,3066,0.5751266178953293
2019,121,2019-07-19,5693,3287,0.5773757245740383
2019,128,2019-07-26,6040,3486,0.5771523178807947
2019,135,2019-08-02,6384,3701,0.5797305764411027
2019,142,2019-08-09,6752,3943,0.5839751184834123
2019,149,2019-08-16,7135,4186,0.5866853538892782
2019,156,2019-08-23,7437,4378,0.5886782304692753
2019,163,2019-08-30,7763,4574,0.5892052041736442
2019,170,2019-09-06,8135,4810,0.5912722802704364
2019,177,2019-09-13,8501,5039,0.5927537936713327
2019,184,2019-09-20,8815,5214,0.5914917753828701
2019,191,2019-09-27,9127,5405,0.5921989700887477
2021,30,2021-05-01,1620,806,0.49753086419753084
2021,37,2021-05-08,1997,999,0.5002503755633451
2021,44,2021-05-15,2364,1159,0.49027072758037227
2021,51,2021-05-22,2763,1372,0.49656170828809265
2021,58,2021-05-29,3081,1523,0.4943200259655956
2021,65,2021-06-05,3462,1729,0.499422299248989
2021,72,2021-06-12,3823,1904,0.49803818990321735
2021,79,2021-06-19,4206,2126,0.505468378506895
2021,86,2021-06-26,4551,2308,0.5071412876290925
2021,93,2021-07-03,4915,2520,0.5127161749745677
2021,100,2021-07-10,5285,2719,0.5144749290444655
2021,107,2021-07-17,5451,2822,0.5177031737295908
2021,114,2021-07-24,5831,3033,0.5201509175098611
2021,121,2021-07-31,6213,3244,0.5221310156124256
2021,128,2021-08-07,6592,3432,0.5206310679611651
2021,135,2021-08-14,6952,3624,0.5212888377445339
2021,142,2021-08-21,7303,3824,0.5236204299602903
2021,149,2021-08-28,7643,4008,0.5244014130576998
2021,156,2021-09-04,8025,4223,0.5262305295950156
2021,163,2021-09-11,8433,4440,0.5265030238349342
2021,170,2021-09-18,8832,4638,0.5251358695652174
2021,177,2021-09-25,9216,4841,0.5252821180555556
2021,184,2021-10-02,9587,5023,0.5239386669448212
