pitcher,name,season,level,sport_id,team_id,team_abbr,gamesPlayed,gamesStarted,gamesPitched,gamesFinished,inningsPitched,outs,battersFaced,wins,losses,saves,saveOpportunities,holds,blownSaves,strikeOuts,baseOnBalls,hits,earnedRuns,homeRuns,hitByPitch,wildPitches,balks,era,whip,ip,k_pct,bb_pct,k_minus_bb_pct,hr_per_9,h_per_9,er_per_9,ip_per_g
112526,Bartolo Colon,2017,AAA,11,534,,1,1,1,0,3.2,11,17,0,1,0,0,0,0,5,2,4,4,1,0,0,0,9.82,1.64,3.6666666666666665,0.29411764705882354,0.11764705882352941,0.17647058823529413,2.4545454545454546,9.818181818181818,9.818181818181818,3.6666666666666665
115629,LaTroy Hawkins,2015,AAA,11,342,,5,0,5,0,4.2,14,24,0,0,0,1,1,1,4,1,8,4,0,0,1,0,7.71,1.93,4.666666666666667,0.16666666666666666,0.041666666666666664,0.125,0.0,15.428571428571427,7.7142857142857135,0.9333333333333333
121096,Dennys Reyes,2015,AAA,11,5010,,40,0,40,10,24.2,74,105,4,2,2,3,10,1,32,16,19,7,1,1,2,0,2.55,1.42,24.666666666666668,0.3047619047619048,0.1523809523809524,0.1523809523809524,0.36486486486486486,6.9324324324324325,2.554054054054054,0.6166666666666667
136600,Bruce Chen,2015,AAA,11,445,,5,5,5,0,31.0,93,111,2,1,0,0,0,0,23,3,19,6,4,1,0,0,1.74,0.71,31.0,0.2072072072072072,0.02702702702702703,0.18018018018018017,1.1612903225806452,5.516129032258065,1.7419354838709677,6.2
150009,Ramón Ortiz,2015,AAA,11,569,,13,13,13,0,76.1,229,315,7,0,0,0,0,0,40,16,83,32,12,1,1,0,3.77,1.3,76.33333333333333,0.12698412698412698,0.050793650793650794,0.07619047619047618,1.4148471615720526,9.786026200873364,3.77292576419214,5.871794871794871
150035,Kyle Farnsworth,2015,AAA,11,520,,17,0,17,1,17.2,53,69,1,0,0,0,4,0,12,4,12,4,1,0,1,0,2.04,0.91,17.666666666666668,0.17391304347826086,0.057971014492753624,0.11594202898550723,0.5094339622641509,6.113207547169811,2.0377358490566038,1.0392156862745099
150035,Kyle Farnsworth,2016,AAA,11,434,,18,5,18,8,39.0,117,182,1,3,2,2,0,0,11,14,54,30,4,4,8,0,6.92,1.74,39.0,0.06043956043956044,0.07692307692307693,-0.016483516483516487,0.9230769230769231,12.461538461538462,6.923076923076923,2.1666666666666665
150116,Randy Wolf,2015,AAA,11,422,,23,23,23,0,139.2,419,571,9,2,0,0,0,0,106,40,139,40,4,4,4,0,2.58,1.28,139.66666666666666,0.18563922942206654,0.07005253940455342,0.11558669001751312,0.2577565632458234,8.957040572792364,2.577565632458234,6.0724637681159415
150119,Freddy Garcia,2015,AAA,11,562,,15,12,15,1,76.0,228,323,4,4,0,0,2,0,51,11,80,37,6,3,1,0,4.38,1.2,76.0,0.15789473684210525,0.034055727554179564,0.12383900928792568,0.7105263157894737,9.473684210526315,4.381578947368421,5.066666666666666
150119,Freddy Garcia,2016,AAA,11,562,,5,5,5,0,23.1,70,96,2,0,0,0,0,0,14,2,27,13,3,0,0,0,5.01,1.24,23.333333333333332,0.14583333333333334,0.020833333333333332,0.125,1.1571428571428573,10.414285714285715,5.014285714285714,4.666666666666666
150274,Joe Nathan,2015,AAA,11,512,,1,0,1,0,0.2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.0,0.6666666666666666
150274,Joe Nathan,2016,AA,12,3410,,13,0,13,6,12.2,38,45,1,1,2,2,2,0,13,1,6,2,2,0,0,0,1.42,0.55,12.666666666666666,0.28888888888888886,0.022222222222222223,0.26666666666666666,1.4210526315789473,4.2631578947368425,1.4210526315789473,0.9743589743589743
