name,mlb_id
Aaron Judge,592450.0
Bobby Witt Jr.,677951.0
Shohei Ohtani,660271.0
Juan Soto,665742.0
Gunnar Henderson,683002.0
Julio Rodríguez,677594.0
Cal Raleigh,663728.0
José Ramírez,608070.0
Fernando Tatis Jr.,665487.0
Ketel Marte,606466.0
Ronald Acuña Jr.,660670.0
Kyle Tucker,663656.0
Francisco Lindor,596019.0
Corey Seager,608369.0
Vladimir Guerrero Jr.,665489.0
Corbin Carroll,682998.0
William Contreras,661388.0
Trea Turner,607208.0
Will Smith,669257.0
Mookie Betts,605141.0
Junior Caminero,691406.0
Zach Neto,687263.0
Elly De La Cruz,682829.0
Yordan Alvarez,670541.0
Geraldo Perdomo,672695.0
Jackson Merrill,701538.0
Wyatt Langford,694671.0
Pete Crow-Armstrong,691718.0
Jeremy Peña,665161.0
Shea Langeliers,669127.0
Alex Bregman,608324.0
Bryce Harper,547180.0
Alejandro Kirk,672386.0
Matt Chapman,656305.0
Maikel Garcia,672580.0
Adley Rutschman,668939.0
Willy Adames,642715.0
Gabriel Moreno,672515.0
Jacob Wilson,805779.0
Byron Buxton,621439.0
Dansby Swanson,621020.0
Nick Kurtz,701762.0
Bo Bichette,666182.0
Austin Riley,663586.0
Freddie Freeman,518692.0
Brendan Donovan,680977.0
Jazz Chisholm Jr.,665862.0
Roman Anthony,701350.0
Riley Greene,682985.0
Manny Machado,592518.0
Brice Turang,668930.0
Steven Kwan,680757.0
Pete Alonso,624413.0
Kyle Schwarber,656941.0
Matt Olson,621566.0
Nico Hoerner,663538.0
Andy Pages,681624.0
Masyn Winn,691026.0
Yainer Diaz,673237.0
Rafael Devers,646240.0
Gleyber Torres,650402.0
Carlos Correa,621043.0
Brent Rooker,667670.0
Jackson Chourio,694192.0
Xander Bogaerts,593428.0
CJ Abrams,682928.0
Kevin McGonigle,805808.0
Luke Keaschall,807712.0
Michael Harris II,671739.0
J.T. Realmuto,592663.0
James Wood,695578.0
Michael Busch,683737.0
Oneil Cruz,665833.0
J.P. Crawford,641487.0
Taylor Ward,621493.0
Drake Baldwin,686948.0
Jose Altuve,514888.0
Cody Bellinger,641355.0
Marcus Semien,543760.0
Tyler Soderstrom,691016.0
Ian Happ,664023.0
Brandon Nimmo,607043.0
Ben Rice,700250.0
Mike Trout,545361.0
Max Muncy,571970.0
George Springer,543807.0
Yandy Díaz,650490.0
Bryson Stott,681082.0
Xavier Edwards,669364.0
Dillon Dingler,693307.0
Ezequiel Tovar,678662.0
Kazuma Okamoto,672960.0
Isaac Paredes,670623.0
Trent Grisham,663757.0
Seiya Suzuki,673548.0
Bo Naylor,666310.0
Salvador Perez,521692.0
Kyle Stowers,669065.0
Otto Lopez,672640.0
Jakob Marsee,805300.0
Ryan Jeffers,680777.0
Trevor Story,596115.0
Randy Arozarena,668227.0
Ceddanne Rafaela,678882.0
Josh Naylor,647304.0
Brandon Lowe,664040.0
Austin Wells,669224.0
Iván Herrera,671056.0
Jarren Duran,680776.0
Konnor Griffin,804606.0
Jackson Holliday,702616.0
Alec Bohm,664761.0
Colton Cowser,681297.0
Daulton Varsho,662139.0
Andrés Giménez,665926.0
Wilyer Abreu,677800.0
Lawrence Butler,671732.0
Francisco Alvarez,682626.0
Jordan Westburg,676059.0
Colson Montgomery,695657.0
Luis Robert Jr.,673357.0
Carson Kelly,608348.0
Willson Contreras,575929.0
Vinnie Pasquantino,686469.0
Miguel Vargas,678246.0
JJ Wetherholt,802139.0
Caleb Durbin,702332.0
Jeff McNeil,643446.0
Jonathan Aranda,666018.0
Ozzie Albies,645277.0
Matt Wallner,670242.0
Christian Yelich,592885.0
Jake Cronenworth,630105.0
Kyle Teel,691019.0
Nolan Arenado,571448.0
Evan Carter,694497.0
TJ Friedl,670770.0
Teoscar Hernández,606192.0
Anthony Volpe,683011.0
Ryan McMahon,641857.0
Hunter Goodman,696100.0
Carlos Narváez,665966.0
Brenton Doyle,686668.0
Matt McLain,680574.0
Chase Meidroth,805367.0
Carter Jensen,695600.0
Colt Keith,690993.0
Sal Frelick,686217.0
Jake Meyers,676694.0
Luis Arraez,650333.0
Joey Ortiz,687401.0
Josh Jung,673962.0
Freddy Fermin,666023.0
Brandon Marsh,669016.0
Ernie Clement,676391.0
Spencer Torkelson,679529.0
Bryan Reynolds,668804.0
Royce Lewis,668904.0
Patrick Bailey,672275.0
Josh Smith,669701.0
Kyle Manzardo,700932.0
Munetaka Murakami,808959.0
Ramón Laureano,657656.0
Jared Triolo,669707.0
Logan O'Hoppe,681351.0
Jonathan India,663697.0
Jorge Polanco,593871.0
Kerry Carpenter,681481.0
Lars Nootbaar,663457.0
Tyler Stephenson,663886.0
Sean Murphy,669221.0
José Caballero,676609.0
Addison Barger,680718.0
Danny Jansen,643376.0
Tommy Edman,669242.0
Davis Schneider,676914.0
Jung Hoo Lee,808982.0
Sal Stewart,701398.0
Harrison Bader,664056.0
Alec Burleson,676475.0
Daylen Lile,695734.0
Jo Adell,666176.0
Eugenio Suárez,553993.0
Ha-Seong Kim,673490.0
Gavin Lux,666158.0
Cole Young,702284.0
Nolan Schanuel,694384.0
Samuel Basallo,694212.0
Christian Walker,572233.0
Ryan O'Hearn,656811.0
Justin Crawford,702222.0
Luis García Jr.,671277.0
Heliot Ramos,671218.0
Nick Gonzales,693304.0
Spencer Horwitz,687462.0
Joey Bart,663698.0
Carson Williams,700246.0
Cedric Mullins,656775.0
Dylan Crews,686611.0
Brayan Rocchio,677587.0
Jesús Sánchez,660821.0
Jake Burger,669394.0
Yoán Moncada,660162.0
Dylan Beavers,687637.0
Marcell Ozuna,542303.0
Denzel Clarke,672016.0
Colt Emerson,806068.0
Pedro Pagés,686780.0
Brett Baty,683146.0
Tyler O'Neill,641933.0
Mike Yastrzemski,573262.0
Chase DeLauter,800050.0
Parker Meadows,678009.0
Brooks Lee,686797.0
Agustín Ramírez,682663.0
Ke'Bryan Hayes,663647.0
Luis Torrens,620443.0
Dalton Rushing,687221.0
Garrett Mitchell,669003.0
Connor Norby,681393.0
Willi Castro,650489.0
Gabriel Arias,672356.0
Max Muncy,691777.0
Adolis García,666969.0
Austin Martin,668885.0
Jacob Young,696285.0
Victor Scott II,687363.0
Isaac Collins,686555.0
Victor Caratini,605170.0
Zach McKinstry,656716.0
Luis Rengifo,650859.0
Jordan Lawlar,691783.0
Joe Mack,691788.0
Marcelo Mayer,691785.0
Cam Smith,701358.0
Josh Bell,605137.0
Jac Caglianone,695506.0
Nathan Lukes,664770.0
Kody Clemens,665019.0
Luis Campusano,669134.0
Nasim Nuñez,683083.0
Chandler Simpson,802415.0
Alek Thomas,677950.0
Henry Davis,680779.0
Lane Thomas,657041.0
Carson Benge,701807.0
Miguel Amaya,665804.0
Edmundo Sosa,624641.0
Spencer Steer,668715.0
Victor Robles,645302.0
Kyle Higashioka,543309.0
Kyle Isbel,664728.0
Trevor Larnach,663616.0
Jake Rogers,668670.0
Edgar Quero,700337.0
Kyle Karros,691720.0
Nolan Gorman,669357.0
Brooks Baldwin,681460.0
Blaze Alexander,677942.0
Braxton Fulford,690924.0
Casey Schmitt,669477.0
Joc Pederson,592626.0
Ramón Urías,602104.0
Harry Ford,695670.0
Lourdes Gurriel Jr.,666971.0
Vaughn Grissom,687093.0
Coby Mayo,691723.0
Keibert Ruiz,660688.0
Andrew Vaughn,683734.0
Colby Thomas,687515.0
Javier Sanoja,691594.0
Austin Hays,669720.0
Matt Shaw,807713.0
Romy Gonzalez,663853.0
Matt Vierling,663837.0
Will Benson,666181.0
Jose Trevino,624431.0
Jasson Domínguez,691176.0
Luisangel Acuña,682668.0
Josh Lowe,666139.0
Nick Fortes,663743.0
Travis d'Arnaud,518595.0
Wenceel Pérez,672761.0
Leo Rivas,660844.0
Luke Raley,670042.0
Alex Call,669743.0
Darell Hernaiz,687231.0
Austin Wynns,642851.0
Gary Sánchez,596142.0
Ben Williamson,810938.0
JJ Bleday,668709.0
Connor Wong,657136.0
Giancarlo Stanton,519317.0
Amed Rosario,642708.0
David Hamilton,666152.0
Michael Massey,686681.0
Tyler Heineman,623168.0
Rafael Marchán,665561.0
Brady House,691781.0
Edouard Julien,666397.0
Jimmy Crooks,699625.0
Dominic Canzone,686527.0
James McCann,543510.0
Miguel Rojas,500743.0
Graham Pauley,688363.0
Andrew Benintendi,643217.0
Jorge Soler,624585.0
Travis Bazzana,683953.0
Christian Moore,695681.0
Noelvi Marte,682622.0
Taylor Walls,670764.0
Javier Báez,595879.0
Ryan Waldschmidt,814439.0
Jake Fraley,641584.0
Owen Caissie,683357.0
Jake Mangum,663968.0
Hunter Feduccia,676439.0
Mark Vientos,668901.0
CJ Kayfus,692216.0
Blake Perkins,663368.0
Alan Roden,702176.0
Triston Casas,671213.0
Emmanuel Rodriguez,691181.0
Rob Refsnyder,608701.0
Kevin Alcántara,682634.0
Walker Jenkins,805805.0
Tyler Freeman,671289.0
Ryan Ritter,690022.0
José Fermín,665877.0
Daniel Schneemann,682177.0
Thomas Saggese,695336.0
Moisés Ballesteros,694208.0
Sung-Mun Song,823550.0
Dane Myers,667472.0
Drew Millas,686452.0
Mickey Moniak,666160.0
Jake McCarthy,664983.0
Zach Cole,805904.0
Jonah Heim,641680.0
Pavin Smith,656976.0
Mauricio Dubón,643289.0
Liam Hicks,689414.0
Christopher Morel,666624.0
Jeremiah Jackson,669236.0
César Salazar,663967.0
Nathan Church,701675.0
Tyler Fitzgerald,666149.0
Endy Rodríguez,682848.0
Andy Ibáñez,628451.0
Anthony Santander,623993.0
Trey Sweeney,700242.0
Nick Loftin,679845.0
Christian Vázquez,543877.0
Ty France,664034.0
Ryan Mountcastle,663624.0
J.C. Escarra,641555.0
Reese McGuire,624512.0
Jesus Rodriguez,683679.0
Paul Goldschmidt,502671.0
Leo Jiménez,677870.0
Ezequiel Duran,677649.0
Hyeseong Kim,808975.0
Tim Tawa,694374.0
Esteury Ruiz,665923.0
Orlando Arcia,606115.0
Michael Helman,680737.0
Juan Brito,682877.0
Jordan Beck,687597.0
Randal Grichuk,545341.0
Jett Williams,702518.0
Otto Kemp,805249.0
Leody Taveras,665750.0
Tyler Callihan,682997.0
Daniel Susac,691740.0
Taylor Trammell,666211.0
Mitch Garver,641598.0
Luke Maile,571912.0
Cody Freeman,683227.0
Joshua Báez,695491.0
Rhys Hoskins,656555.0
Andrew Knizner,668800.0
Max Kepler,596146.0
Jesse Winker,608385.0
George Valera,671655.0
James Outman,681546.0
Alex Jackson,656577.0
Jonny DeLuca,676356.0
Brett Harris,695391.0
Kristian Campbell,692225.0
Kameron Misner,670224.0
Austin Hedges,595978.0
Dom Keegan,681371.0
Zack Gelof,680869.0
José Tena,677588.0
Derek Hill,656537.0
Oswald Peraza,672724.0
Jose Iglesias,578428.0
Jorge Mateo,622761.0
Sam Haggerty,664059.0
Ryan Bliss,669208.0
Jake Bauers,641343.0
Everson Pereira,677592.0
Christian Koss,683766.0
Nick Yorke,694377.0
Thairo Estrada,642731.0
