team_abbr,park_factor,n_pa
COL,1.0891,25475
KC,1.0565,24406
PIT,1.0394,24575
WSH,1.0364,24613
STL,1.0294,24418
MIA,1.022,24678
AZ,1.0151,24707
DET,1.0138,24272
BOS,1.0111,24910
BAL,1.0101,24358
CWS,1.009,24586
CLE,1.0039,24041
MIN,1.0033,24590
TEX,1.001,24299
CIN,0.9985,24597
LAA,0.9975,24514
ATH,0.9938,24761
NYY,0.9909,24274
TOR,0.9893,24363
NYM,0.9838,24373
SD,0.9815,24017
CHC,0.981,24051
ATL,0.9801,24229
SF,0.9797,24305
LAD,0.9749,24187
MIL,0.9686,24227
TB,0.9682,24009
PHI,0.9679,24379
HOU,0.9643,24126
SEA,0.9399,23913
